open_time,open,high,low,close,close_time,is_closed
1523923200000,0.25551,0.288,0.23983,0.2426,1524009599999,True
1524009600000,0.2426,0.2646,0.24201,0.262,1524095999999,True
1524096000000,0.26199,0.275,0.25777,0.27004,1524182399999,True
1524182400000,0.27004,0.30442,0.26648,0.30108,1524268799999,True
1524268800000,0.30161,0.307,0.26509,0.28668,1524355199999,True
1524355200000,0.28669,0.2973,0.27716,0.2816,1524441599999,True
1524441600000,0.2816,0.28867,0.28064,0.28788,1524527999999,True
1524528000000,0.28798,0.32,0.28593,0.30853,1524614399999,True
1524614400000,0.3085,0.31099,0.2573,0.2687,1524700799999,True
1524700800000,0.2687,0.2939,0.255,0.29326,1524787199999,True
1524787200000,0.29326,0.30643,0.28145,0.28445,1524873599999,True
1524873600000,0.2844,0.36498,0.2817,0.35676,1524959999999,True
1524960000000,0.35675,0.3866,0.3415,0.36254,1525046399999,True
1525046400000,0.36251,0.3637,0.33,0.34145,1525132799999,True
1525132800000,0.34145,0.36034,0.3187,0.35504,1525219199999,True
1525219200000,0.35498,0.37586,0.345,0.37199,1525305599999,True
1525305600000,0.37199,0.3885,0.36402,0.36716,1525391999999,True
1525392000000,0.36683,0.36897,0.3465,0.358,1525478399999,True
1525478400000,0.3584,0.37434,0.35771,0.36502,1525564799999,True
1525564800000,0.36502,0.36641,0.33538,0.34654,1525651199999,True
1525651200000,0.34599,0.3474,0.291,0.33046,1525737599999,True
1525737600000,0.33079,0.34559,0.3163,0.32213,1525823999999,True
1525824000000,0.32213,0.32547,0.298,0.31884,1525910399999,True
1525910400000,0.31884,0.3221,0.291,0.29121,1525996799999,True
1525996800000,0.29121,0.29349,0.2488,0.25573,1526083199999,True
1526083200000,0.25574,0.27898,0.23402,0.2655,1526169599999,True
1526169600000,0.26497,0.285,0.256,0.27718,1526255999999,True
1526256000000,0.27718,0.27815,0.25123,0.26655,1526342399999,True
1526342400000,0.26631,0.275,0.2513,0.25394,1526428799999,True
1526428800000,0.25394,0.2558,0.237,0.25237,1526515199999,True
1526515200000,0.25237,0.26054,0.23666,0.23919,1526601599999,True
1526601600000,0.23915,0.245,0.23037,0.24324,1526687999999,True
1526688000000,0.24382,0.2475,0.2358,0.24116,1526774399999,True
1526774400000,0.24151,0.26006,0.23832,0.25556,1526860799999,True
1526860800000,0.25556,0.25999,0.24301,0.24563,1526947199999,True
1526947200000,0.24588,0.2473,0.21841,0.22,1527033599999,True
1527033600000,0.22,0.2231,0.1927,0.1978,1527119999999,True
1527120000000,0.19767,0.2104,0.18865,0.2073,1527206399999,True
1527206400000,0.20731,0.209,0.19351,0.19788,1527292799999,True
1527292800000,0.19798,0.204,0.1938,0.19504,1527379199999,True
1527379200000,0.19506,0.1958,0.1901,0.19186,1527465599999,True
1527465600000,0.19198,0.194,0.17125,0.17249,1527551999999,True
1527552000000,0.17249,0.20896,0.17055,0.20164,1527638399999,True
1527638400000,0.20176,0.21683,0.19689,0.20779,1527724799999,True
1527724800000,0.20846,0.22879,0.20321,0.2233,1527811199999,True
1527811200000,0.22331,0.2285,0.21347,0.22038,1527897599999,True
1527897600000,0.22038,0.23,0.21666,0.22648,1527983999999,True
1527984000000,0.22647,0.23677,0.22259,0.22659,1528070399999,True
1528070400000,0.2266,0.2303,0.20882,0.21243,1528156799999,True
1528156800000,0.21217,0.2216,0.20221,0.21839,1528243199999,True
1528243200000,0.21835,0.21949,0.20799,0.21452,1528329599999,True
1528329600000,0.2147,0.21863,0.208,0.21019,1528415999999,True
1528416000000,0.21034,0.21053,0.20025,0.2043,1528502399999,True
1528502400000,0.2043,0.21,0.20031,0.2011,1528588799999,True
1528588800000,0.20108,0.20108,0.16806,0.17346,1528675199999,True
1528675200000,0.17346,0.18067,0.16404,0.17897,1528761599999,True
1528761600000,0.1791,0.1813,0.158,0.16297,1528847999999,True
1528848000000,0.16309,0.16609,0.145,0.15791,1528934399999,True
1528934400000,0.15798,0.177,0.153,0.17062,1529020799999,True
1529020800000,0.17091,0.171,0.15997,0.16097,1529107199999,True
1529107200000,0.16098,0.16436,0.15762,0.16191,1529193599999,True
1529193600000,0.16209,0.16436,0.15962,0.16044,1529279999999,True
1529280000000,0.16047,0.1681,0.1554,0.1637,1529366399999,True
1529366400000,0.1637,0.17149,0.1612,0.167,1529452799999,True
1529452800000,0.16675,0.16768,0.15675,0.16182,1529539199999,True
1529539200000,0.16181,0.16369,0.1567,0.15779,1529625599999,True
1529625600000,0.15773,0.15861,0.13429,0.13843,1529711999999,True
1529712000000,0.13786,0.14189,0.13345,0.1371,1529798399999,True
1529798400000,0.13708,0.13828,0.1191,0.13093,1529884799999,True
1529884800000,0.13085,0.13889,0.12619,0.13521,1529971199999,True
1529971200000,0.13521,0.13571,0.12458,0.12519,1530057599999,True
1530057600000,0.12512,0.12832,0.12271,0.12752,1530143999999,True
1530144000000,0.12753,0.12891,0.11742,0.11825,1530230399999,True
1530230400000,0.11818,0.127,0.11359,0.12534,1530316799999,True
