open_time,open,high,low,close,close_time,is_closed
1569888000000,8285.31,8312.30,8187.57,8199.03,1569891599999,True
1569891600000,8198.75,8290,8171,8266.23,1569895199999,True
1569895200000,8266.02,8421.84,8259.32,8415,1569898799999,True
1569898800000,8415,8499,8391.21,8392.36,1569902399999,True
1569902400000,8392.39,8466.75,8388.85,8423.56,1569905999999,True
1569906000000,8423.56,8438.82,8396.67,8417.24,1569909599999,True
1569909600000,8417.04,8418.74,8341,8382.01,1569913199999,True
1569913200000,8382.01,8415,8342.06,8405.03,1569916799999,True
1569916800000,8400.79,8409,8342.90,8374,1569920399999,True
1569920400000,8374.41,8375.84,8288.85,8316.81,1569923999999,True
1569924000000,8314.92,8358.39,8295,8304.63,1569927599999,True
1569927600000,8303.27,8354.49,8285,8353,1569931199999,True
1569931200000,8350.14,8424.72,8290.45,8311.46,1569934799999,True
1569934800000,8310.73,8374.65,8270,8341,1569938399999,True
1569938400000,8339.21,8360.41,8310.77,8332.69,1569941999999,True
1569942000000,8332.54,8370,8301.71,8361.09,1569945599999,True
1569945600000,8361.18,8462.87,8323,8423,1569949199999,True
1569949200000,8428.57,8494.49,8227.36,8271.02,1569952799999,True
1569952800000,8271.02,8326.03,8235.48,8287.64,1569956399999,True
1569956400000,8282.54,8298.71,8225.03,8295.66,1569959999999,True
1569960000000,8300,8396.56,8273.03,8346.67,1569963599999,True
1569963600000,8341.91,8392.79,8275.81,8291.78,1569967199999,True
1569967200000,8292.21,8340.87,8263.01,8319,1569970799999,True
1569970800000,8324.97,8360,8263.23,8290,1569974399999,True
1569974400000,8290,8321.91,8263.91,8282.35,1569977999999,True
1569978000000,8282.65,8325.40,8272.37,8276.17,1569981599999,True
1569981600000,8276.37,8298.99,8242.52,8246.22,1569985199999,True
1569985200000,8246.34,8255,8201,8239,1569988799999,True
1569988800000,8241.34,8252.36,8180,8208.49,1569992399999,True
1569992400000,8207.26,8219.65,8149.35,8158.92,1569995999999,True
1569996000000,8159.97,8215,8159.97,8203.46,1569999599999,True
1569999600000,8203.46,8262.25,8187.77,8194.52,1570003199999,True
1570003200000,8194.76,8266.34,8194.76,8232.87,1570006799999,True
1570006800000,8231.46,8258,8213.87,8224.87,1570010399999,True
1570010400000,8229.18,8245,8200.10,8244.41,1570013999999,True
1570014000000,8243.66,8274.50,8216.36,8255.57,1570017599999,True
1570017600000,8256.32,8280,8197.19,8217.24,1570021199999,True
1570021200000,8216.70,8246.26,8192.48,8205.30,1570024799999,True
1570024800000,8205.49,8241.61,8185.28,8229.69,1570028399999,True
1570028400000,8229.68,8241.81,8206.18,8230.40,1570031999999,True
1570032000000,8230.41,8264.36,8202,8213.81,1570035599999,True
1570035600000,8213.77,8232.19,8177.29,8225.28,1570039199999,True
1570039200000,8225.18,8257.40,8213.44,8227.57,1570042799999,True
1570042800000,8227.74,8255,8216.27,8250.79,1570046399999,True
1570046400000,8250.79,8263.57,8209.18,8218.30,1570049999999,True
1570050000000,8218.27,8250,8218.03,8249.65,1570053599999,True
1570053600000,8249.65,8270,8224.44,8259.08,1570057199999,True
1570057200000,8260.54,8365.92,8259.08,8352.14,1570060799999,True
1570060800000,8353.40,8386,8310,8314.98,1570064399999,True
1570064400000,8314.98,8339.84,8302.86,8317,1570067999999,True
1570068000000,8317.16,8341.94,8315.30,8338,1570071599999,True
1570071600000,8338,8340.79,8320.77,8323.92,1570075199999,True
1570075200000,8324.55,8363.36,8324.43,8327.67,1570078799999,True
1570078800000,8327.54,8340,8279.10,8279.60,1570082399999,True
1570082400000,8279.10,8296.75,8256.59,8256.60,1570085999999,True
1570086000000,8258.80,8271.77,8237.37,8258.14,1570089599999,True
1570089600000,8258.90,8285.77,8235.09,8285.77,1570093199999,True
1570093200000,8285.77,8288.88,8249.34,8264.34,1570096799999,True
1570096800000,8264.34,8266.69,8184.91,8213,1570100399999,True
1570100400000,8212.07,8234.05,8199.12,8215.26,1570103999999,True
1570104000000,8215.49,8243,8206,8223.42,1570107599999,True
1570107600000,8225.48,8239.49,8207.27,8218.40,1570111199999,True
1570111200000,8218.40,8234.96,8020,8098.93,1570114799999,True
1570114800000,8099.25,8132.58,8074.17,8104.71,1570118399999,True
1570118400000,8104.41,8206.25,8100,8170.10,1570121999999,True
1570122000000,8173.20,8174.89,8114.13,8144.61,1570125599999,True
1570125600000,8144.61,8144.61,8123.21,8125,1570129199999,True
1570129200000,8125.68,8155.36,8086,8141.03,1570132799999,True
1570132800000,8142.77,8165,8115.79,8139.18,1570136399999,True
1570136400000,8139.45,8190,8111.49,8162.50,1570139999999,True
1570140000000,8161,8195.30,8137.30,8193.64,1570143599999,True
1570143600000,8193.88,8274.59,8192.03,8220.27,1570147199999,True
1570147200000,8219.95,8227.42,8080.93,8104.01,1570150799999,True
1570150800000,8103.45,8126,8050,8114.50,1570154399999,True
1570154400000,8115.07,8133.48,8090.41,8091.60,1570157999999,True
1570158000000,8091.60,8114.25,8070.54,8101.77,1570161599999,True
1570161600000,8100.25,8105.04,8051,8060.90,1570165199999,True
1570165200000,8060.34,8105.72,7979.95,8086.76,1570168799999,True
1570168800000,8090.46,8125.42,8082.01,8103.62,1570172399999,True
1570172400000,8105.27,8140,8091.47,8126.61,1570175999999,True
1570176000000,8130,8131.71,8080.81,8087.93,1570179599999,True
1570179600000,8087.83,8118.67,8087.19,8118.67,1570183199999,True
1570183200000,8118.38,8166.86,8113.02,8125.37,1570186799999,True
1570186800000,8125.41,8170,8113.86,8145.01,1570190399999,True
1570190400000,8146.18,8167.12,8117.04,8120.72,1570193999999,True
1570194000000,8120,8175,8119.54,8159.05,1570197599999,True
1570197600000,8161,8179,8134.70,8156.68,1570201199999,True
1570201200000,8156.74,8165.75,8120,8140.95,1570204799999,True
1570204800000,8142.63,8199.50,8121.10,8175.40,1570208399999,True
1570208400000,8174.94,8177.05,8145,8158.31,1570211999999,True
1570212000000,8159.39,8194.66,8150.11,8178.60,1570215599999,True
1570215600000,8179.33,8189.50,8166.07,8179,1570219199999,True
1570219200000,8179,8208.88,8135,8139.38,1570222799999,True
1570222800000,8143.57,8166,8125,8163.27,1570226399999,True
1570226400000,8165.86,8195.79,8133,8158.17,1570229999999,True
1570230000000,8158,8158.08,8124.76,8130.56,1570233599999,True
1570233600000,8130,8144.44,8092.38,8120.50,1570237199999,True
1570237200000,8120.50,8126.51,8098.16,8104.56,1570240799999,True
1570240800000,8104.56,8125.38,8089.50,8123.86,1570244399999,True
1570244400000,8123.72,8139.64,8114.79,8131,1570247999999,True
1570248000000,8131.50,8138.63,8115.84,8122.95,1570251599999,True
1570251600000,8121.40,8123.17,8103.10,8112.50,1570255199999,True
1570255200000,8112.50,8132.12,8098.13,8125.94,1570258799999,True
1570258800000,8125.96,8125.96,8092.66,8104.88,1570262399999,True
1570262400000,8104.88,8109.43,8066.74,8085.93,1570265999999,True
1570266000000,8085.96,8100,8074.87,8079.43,1570269599999,True
1570269600000,8079.46,8100,8066,8081.04,1570273199999,True
1570273200000,8081.04,8097.68,8069,8077.76,1570276799999,True
1570276800000,8077.75,8085,8046.50,8065.49,1570280399999,True
1570280400000,8065.79,8070,8010,8067.89,1570283999999,True
1570284000000,8068.13,8076.66,8026.56,8030.98,1570287599999,True
1570287600000,8030.09,8084.68,8023.11,8077.11,1570291199999,True
1570291200000,8075.30,8095.87,8039.30,8069.11,1570294799999,True
1570294800000,8069.11,8070,8028.14,8035.05,1570298399999,True
1570298400000,8034.81,8079.32,8034.14,8054.34,1570301999999,True
1570302000000,8054.14,8086.45,8052.24,8063.96,1570305599999,True
1570305600000,8063.33,8100,8055.79,8080.08,1570309199999,True
1570309200000,8080.09,8175,8077.59,8135,1570312799999,True
1570312800000,8135.57,8166.90,8103,8108.57,1570316399999,True
1570316400000,8107.96,8124.35,8093.13,8122.14,1570319999999,True
1570320000000,8122.01,8148.43,8109,8121.31,1570323599999,True
1570323600000,8120.05,8130.24,8040,8057.20,1570327199999,True
1570327200000,8057.04,8063.93,8009,8048.09,1570330799999,True
1570330800000,8048.21,8057.91,8030.01,8039.21,1570334399999,True
1570334400000,8039.66,8073.19,8034,8070.08,1570337999999,True
1570338000000,8070.06,8070.06,8034,8048.03,1570341599999,True
1570341600000,8049.71,8057.82,7889.64,7958.23,1570345199999,True
1570345200000,7957.49,7974.86,7931.07,7958.19,1570348799999,True
1570348800000,7959.39,7960,7859.03,7870.80,1570352399999,True
1570352400000,7869.37,7933.40,7869.37,7933.06,1570355999999,True
1570356000000,7934.53,7934.53,7891.21,7896.12,1570359599999,True
1570359600000,7894.26,7950,7885.59,7937.72,1570363199999,True
1570363200000,7935.35,7962.02,7922.60,7934.46,1570366799999,True
1570366800000,7931.86,7932.08,7881.13,7899.82,1570370399999,True
1570370400000,7899.58,7920.95,7861,7904.70,1570373999999,True
1570374000000,7900.01,8045.51,7890.32,7995.98,1570377599999,True
1570377600000,7995.98,8012.27,7957,7979.83,1570381199999,True
1570381200000,7979.78,8011.24,7961.12,7970,1570384799999,True
1570384800000,7970,7987.03,7760,7831,1570388399999,True
1570388400000,7828.80,7902.98,7811,7887.04,1570391999999,True
1570392000000,7885.27,7919.01,7859.41,7890.57,1570395599999,True
1570395600000,7890.57,7917.12,7861.50,7909.70,1570399199999,True
1570399200000,7909.54,7909.66,7837.71,7840.37,1570402799999,True
1570402800000,7840.89,7872.30,7798.94,7852.79,1570406399999,True
1570406400000,7851.01,7863.19,7764.42,7812.01,1570409999999,True
1570410000000,7811.82,7826.88,7775,7808.37,1570413599999,True
1570413600000,7808.29,7839.33,7787.57,7813.61,1570417199999,True
1570417200000,7813.81,7900.95,7812.95,7859.27,1570420799999,True
1570420800000,7859.46,7874.12,7824.13,7828.16,1570424399999,True
1570424400000,7830.31,7840.53,7800.82,7833.68,1570427999999,True
1570428000000,7833.68,7843.84,7796.54,7820.97,1570431599999,True
1570431600000,7820.06,7876,7820.06,7862,1570435199999,True
1570435200000,7862,7931.06,7862,7883.75,1570438799999,True
1570438800000,7881.45,7938.84,7866.50,7918.79,1570442399999,True
1570442400000,7917.06,8225,7917.06,7984.64,1570445999999,True
1570446000000,7990,8027.84,7970,7975.99,1570449599999,True
1570449600000,7975.51,8135.82,7975.20,8100,1570453199999,True
1570453200000,8099.76,8330,8099.76,8144,1570456799999,True
1570456800000,8144.07,8168.85,8108,8147,1570460399999,True
1570460400000,8147,8220,8135.64,8174.58,1570463999999,True
1570464000000,8173.58,8239.23,8133.52,8227.46,1570467599999,True
1570467600000,8227.50,8281,8198.91,8270.01,1570471199999,True
1570471200000,8264.61,8307.22,8209.40,8229.10,1570474799999,True
1570474800000,8229.23,8242.02,8207.11,8208.75,1570478399999,True
1570478400000,8208.75,8239,8175,8194.19,1570481999999,True
1570482000000,8194.56,8210.41,8175,8188.82,1570485599999,True
1570485600000,8188.81,8239,8188.33,8227.48,1570489199999,True
1570489200000,8227.48,8249.89,8181.05,8186.88,1570492799999,True
1570492800000,8188.55,8227.22,8188.04,8225.79,1570496399999,True
1570496400000,8225.56,8283.50,8213.86,8279.73,1570499999999,True
1570500000000,8279.77,8322.01,8260.02,8262.69,1570503599999,True
1570503600000,8262.82,8277.99,8236.90,8255.90,1570507199999,True
1570507200000,8257.01,8284.78,8214.41,8220.74,1570510799999,True
1570510800000,8221.66,8253.12,8201.98,8244.54,1570514399999,True
1570514400000,8244.55,8257.45,8220.18,8236.28,1570517999999,True
1570518000000,8237.38,8237.88,8195,8206.24,1570521599999,True
1570521600000,8206.24,8207.85,8132.27,8167.20,1570525199999,True
1570525200000,8167.46,8175.11,8134.18,8169.20,1570528799999,True
1570528800000,8169.58,8205.06,8153.43,8165.26,1570532399999,True
1570532400000,8165.26,8191.50,8154.98,8177.48,1570535999999,True
1570536000000,8176.64,8222,8132,8222,1570539599999,True
1570539600000,8222.50,8242.52,8190.01,8198.03,1570543199999,True
1570543200000,8197.36,8197.43,8155,8185.11,1570546799999,True
1570546800000,8185.03,8217.84,8175.08,8182.46,1570550399999,True
1570550400000,8183.46,8206,8157.05,8168.32,1570553999999,True
1570554000000,8168.39,8182.44,8160.02,8171.89,1570557599999,True
1570557600000,8171.83,8192.68,8157.82,8182.12,1570561199999,True
1570561200000,8183.77,8200,8161.74,8163.54,1570564799999,True
1570564800000,8165.06,8184,8103.88,8125.18,1570568399999,True
1570568400000,8125.17,8159.85,8123,8159.24,1570571999999,True
1570572000000,8159.49,8206,8150.98,8189.49,1570575599999,True
1570575600000,8189.52,8201.86,8163.19,8167.62,1570579199999,True
1570579200000,8168.33,8198,8138,8180.39,1570582799999,True
1570582800000,8179.88,8184,8155.22,8161.17,1570586399999,True
1570586400000,8161.13,8164.81,8125,8155,1570589999999,True
1570590000000,8155,8173.54,8117.98,8119.11,1570593599999,True
1570593600000,8119.11,8144.86,8113,8127.71,1570597199999,True
1570597200000,8127.71,8163.10,8120,8145.26,1570600799999,True
1570600800000,8145.80,8167.47,8132.33,8149.60,1570604399999,True
1570604400000,8149.49,8193.17,8145.98,8177.40,1570607999999,True
1570608000000,8173.72,8194,8154.34,8188.37,1570611599999,True
1570611600000,8192.08,8219.50,8173.61,8192.41,1570615199999,True
1570615200000,8193.74,8236.15,8186.19,8206.07,1570618799999,True
1570618800000,8204.27,8205.74,8163.28,8183.32,1570622399999,True
1570622400000,8183.32,8188.13,8159.77,8166.86,1570625999999,True
1570626000000,8166.86,8238,8164.26,8237,1570629599999,True
1570629600000,8234.52,8449,8230.83,8430.23,1570633199999,True
1570633200000,8429.46,8700,8428.51,8550.09,1570636799999,True
1570636800000,8549.48,8633.31,8490.90,8557.45,1570640399999,True
1570640400000,8564.42,8633.54,8554.60,8614.85,1570643999999,True
1570644000000,8612.82,8665,8571.22,8587.17,1570647599999,True
1570647600000,8587.26,8592.76,8551.68,8576.37,1570651199999,True
1570651200000,8578.60,8609.35,8557.20,8562.03,1570654799999,True
1570654800000,8562.09,8587.68,8518.32,8539.63,1570658399999,True
1570658400000,8539.27,8608.38,8535.94,8553.52,1570661999999,True
1570662000000,8553.52,8595,8553.06,8559.77,1570665599999,True
1570665600000,8559.77,8589.21,8547.50,8553.73,1570669199999,True
1570669200000,8552.59,8560.01,8528.02,8528.25,1570672799999,True
1570672800000,8528.23,8541.92,8495.70,8541.65,1570676399999,True
1570676400000,8541.88,8577.05,8509.86,8541.12,1570679999999,True
1570680000000,8541.74,8580.33,8541.74,8570.95,1570683599999,True
1570683600000,8571.35,8571.35,8538.29,8547.66,1570687199999,True
1570687200000,8547.72,8598.01,8530.50,8585,1570690799999,True
1570690800000,8585,8640.89,8570.60,8611.27,1570694399999,True
1570694400000,8611.75,8619.51,8541.59,8554.70,1570697999999,True
1570698000000,8554.52,8561.46,8490.83,8510.81,1570701599999,True
1570701600000,8510.83,8527.25,8465.84,8510.75,1570705199999,True
1570705200000,8511.94,8531.35,8492.81,8524.63,1570708799999,True
1570708800000,8524.66,8525.01,8419.34,8462.22,1570712399999,True
1570712400000,8460.11,8493.90,8434.32,8480,1570715999999,True
1570716000000,8481.19,8508.11,8455.60,8488.71,1570719599999,True
1570719600000,8488.70,8553.99,8473.16,8536.08,1570723199999,True
1570723200000,8536.03,8570.18,8510.63,8525.25,1570726799999,True
1570726800000,8525.22,8539.94,8487,8488.25,1570730399999,True
1570730400000,8488.25,8528.89,8482.48,8517.69,1570733999999,True
1570734000000,8518.61,8553.83,8517.40,8552.62,1570737599999,True
1570737600000,8552.50,8573.95,8528.90,8551.88,1570741199999,True
1570741200000,8551.60,8587.24,8517.61,8543.32,1570744799999,True
1570744800000,8545.79,8567.22,8527.84,8559.98,1570748399999,True
1570748400000,8559.77,8566.22,8530,8556.02,1570751999999,True
1570752000000,8557,8569,8491.30,8502.97,1570755599999,True
1570755600000,8502.96,8527.05,8475.46,8523.91,1570759199999,True
1570759200000,8523.82,8525.43,8495.06,8508.09,1570762799999,True
1570762800000,8507.84,8555.68,8500.01,8551.26,1570766399999,True
1570766400000,8551.69,8708,8531.51,8693.59,1570769999999,True
1570770000000,8697.40,8788,8332.60,8436.68,1570773599999,True
1570773600000,8439.83,8439.83,8369.73,8426.54,1570777199999,True
1570777200000,8426.04,8432.56,8377.23,8385.26,1570780799999,True
1570780800000,8384.60,8386.61,8291,8354.02,1570784399999,True
1570784400000,8353.15,8375,8343.59,8355.51,1570787999999,True
1570788000000,8356.28,8373,8340.07,8366.91,1570791599999,True
1570791600000,8365.37,8367.99,8280,8295.88,1570795199999,True
1570795200000,8295.74,8354,8268.51,8335.75,1570798799999,True
1570798800000,8335.68,8357.30,8321.23,8338.93,1570802399999,True
1570802400000,8338.89,8339.52,8284,8316.07,1570805999999,True
1570806000000,8315.07,8347.34,8293,8341,1570809599999,True
1570809600000,8341,8349.80,8277.37,8338.92,1570813199999,True
1570813200000,8338.91,8369.99,8327,8337.06,1570816799999,True
1570816800000,8336.98,8354.99,8303.36,8312.46,1570820399999,True
1570820400000,8311.88,8343.14,8307.55,8340.96,1570823999999,True
1570824000000,8341.64,8350,8318.03,8321.60,1570827599999,True
1570827600000,8322.72,8326.30,8305,8311.32,1570831199999,True
1570831200000,8310.49,8341.90,8309.92,8312.45,1570834799999,True
1570834800000,8312.45,8318.91,8210,8255.58,1570838399999,True
1570838400000,8255.54,8305.99,8248.34,8272,1570841999999,True
1570842000000,8272,8327.91,8265,8307.40,1570845599999,True
1570845600000,8307.40,8325,8292.59,8301,1570849199999,True
1570849200000,8301,8320,8291.25,8306.56,1570852799999,True
1570852800000,8307.01,8327.18,8303,8312.35,1570856399999,True
1570856400000,8312.74,8349.90,8309.33,8328.80,1570859999999,True
1570860000000,8328,8356,8328,8337.09,1570863599999,True
1570863600000,8337.30,8344.80,8322.36,8336.35,1570867199999,True
1570867200000,8336.33,8344.71,8323,8338.42,1570870799999,True
1570870800000,8338.25,8366.79,8334.55,8335.47,1570874399999,True
1570874400000,8335.47,8335.47,8289.26,8309.13,1570877999999,True
1570878000000,8308.65,8340,8296.35,8319.75,1570881599999,True
1570881600000,8319.74,8334.67,8304.70,8330.75,1570885199999,True
1570885200000,8331.23,8337.45,8313.19,8328.65,1570888799999,True
1570888800000,8328.94,8397.45,8308.16,8385.12,1570892399999,True
1570892400000,8385.12,8393.09,8347.23,8368.79,1570895999999,True
1570896000000,8368.94,8395,8321.90,8332.34,1570899599999,True
1570899600000,8332.38,8342.92,8316.09,8323.05,1570903199999,True
1570903200000,8323.23,8328,8290.50,8304.13,1570906799999,True
1570906800000,8304.13,8324,8295,8307.99,1570910399999,True
1570910400000,8307.99,8339.13,8307.97,8335.09,1570913999999,True
1570914000000,8335.53,8343.65,8314.21,8330.58,1570917599999,True
1570917600000,8330.58,8342.42,8315.60,8320.04,1570921199999,True
1570921200000,8318.05,8326,8292,8300.22,1570924799999,True
1570924800000,8300.31,8330.33,8277.32,8316.44,1570928399999,True
1570928400000,8319.47,8360,8316.55,8339.16,1570931999999,True
1570932000000,8339.53,8349.38,8325.23,8337.84,1570935599999,True
1570935600000,8337.84,8341.94,8325.52,8336.51,1570939199999,True
1570939200000,8336.51,8354.11,8326.28,8333.52,1570942799999,True
1570942800000,8333.47,8333.47,8314.59,8323.13,1570946399999,True
1570946400000,8323.13,8323.13,8307.20,8312.31,1570949999999,True
1570950000000,8310.39,8344.02,8307.53,8319.36,1570953599999,True
1570953600000,8318.76,8341.25,8316.06,8340.77,1570957199999,True
1570957200000,8340.76,8345.38,8322.09,8337.10,1570960799999,True
1570960800000,8337.10,8348.92,8327.50,8333.95,1570964399999,True
1570964400000,8334.03,8378.19,8331.36,8345.14,1570967999999,True
1570968000000,8345.14,8440,8342.55,8391.28,1570971599999,True
1570971600000,8392.48,8435.05,8380.15,8408.75,1570975199999,True
1570975200000,8408.13,8415.95,8360.31,8400.32,1570978799999,True
1570978800000,8400.32,8412,8383.17,8401.39,1570982399999,True
1570982400000,8401.39,8456,8397.65,8420.64,1570985999999,True
1570986000000,8420.96,8440,8412.79,8421.99,1570989599999,True
1570989600000,8421.63,8432.98,8415.34,8421.19,1570993199999,True
1570993200000,8421.19,8430,8416.48,8430,1570996799999,True
1570996800000,8430,8430,8137.30,8256.42,1571000399999,True
1571000400000,8254.62,8254.62,8219.70,8245.47,1571003999999,True
1571004000000,8244.59,8289,8239.50,8276.51,1571007599999,True
1571007600000,8279.56,8307.38,8267.63,8274.66,1571011199999,True
1571011200000,8274.33,8274.33,8243.87,8271.22,1571014799999,True
