open_time,open,high,low,close,close_time,is_closed
1720915200000,157.28,160.24,155.27,159.96,1721001599999,True
1721001600000,159.96,162.33,157.33,158.85,1721087999999,True
1721088000000,158.91,163.67,157.16,161.92,1721174399999,True
1721174400000,162.24,164.25,158.75,160.36,1721260799999,True
1721260800000,160.31,162.13,159.99,161.11,1721347199999,True
1721347200000,161.20,163.25,157.68,161.45,1721433599999,True
1721433600000,161.49,166.00,161.24,163.42,1721519999999,True
1721520000000,163.44,165.08,162.00,164.73,1721606399999,True
1721606400000,164.80,165.87,159.62,160.96,1721692799999,True
1721692800000,160.68,161.89,157.86,160.82,1721779199999,True
1721779200000,160.95,164.17,158.89,160.19,1721865599999,True
1721865600000,160.21,163.09,152.13,163.01,1721951999999,True
1721952000000,163.00,176.99,160.93,161.31,1722038399999,True
1722038400000,161.30,165.68,160.70,162.67,1722124799999,True
1722124800000,162.16,165.32,159.90,164.47,1722211199999,True
1722211200000,164.68,165.58,160.92,161.10,1722297599999,True
1722297600000,161.14,164.60,155.74,157.78,1722383999999,True
1722384000000,157.74,161.49,155.75,157.56,1722470399999,True
1722470400000,157.56,158.48,149.99,156.50,1722556799999,True
1722556800000,156.62,168.22,155.20,157.94,1722643199999,True
1722643200000,158.00,161.00,141.63,149.22,1722729599999,True
1722729600000,149.36,154.00,144.53,150.29,1722815999999,True
1722816000000,150.20,154.53,136.08,145.88,1722902399999,True
1722902400000,145.78,151.77,145.78,147.87,1722988799999,True
1722988800000,147.87,153.18,141.47,145.83,1723075199999,True
1723075200000,146.10,159.15,145.81,158.07,1723161599999,True
1723161600000,158.30,159.02,152.40,153.04,1723247999999,True
1723248000000,152.98,153.29,146.81,150.67,1723334399999,True
1723334400000,150.76,151.97,148.44,149.27,1723420799999,True
1723420800000,149.27,151.86,147.78,150.64,1723507199999,True
1723507200000,150.60,151.42,147.10,147.66,1723593599999,True
1723593600000,147.62,164.99,147.53,151.22,1723679999999,True
1723680000000,151.22,153.59,147.54,149.58,1723766399999,True
1723766400000,149.58,151.78,147.92,148.80,1723852799999,True
1723852800000,148.81,150.36,148.59,150.36,1723939199999,True
1723939200000,150.37,152.11,149.77,151.48,1724025599999,True
1724025600000,151.49,157.22,150.01,155.10,1724111999999,True
1724112000000,155.13,162.53,153.91,159.60,1724198399999,True
1724198400000,159.60,162.51,157.05,161.47,1724284799999,True
1724284800000,161.38,169.94,159.86,168.85,1724371199999,True
1724371200000,168.79,174.00,163.04,173.49,1724457599999,True
1724457600000,173.40,176.18,166.87,169.64,1724543999999,True
1724544000000,169.39,171.76,164.98,166.45,1724630399999,True
1724630400000,166.37,167.97,161.10,166.53,1724716799999,True
1724716800000,166.41,168.31,155.00,155.78,1724803199999,True
1724803200000,155.60,160.12,153.30,158.02,1724889599999,True
1724889600000,157.99,166.58,155.29,161.72,1724975999999,True
1724976000000,161.75,168.47,160.58,168.42,1725062399999,True
1725062400000,168.11,172.39,161.05,168.96,1725148799999,True
1725148800000,168.99,171.87,163.72,169.72,1725235199999,True
1725235200000,169.70,170.62,166.89,170.43,1725321599999,True
1725321600000,170.18,175.49,169.52,172.83,1725407999999,True
1725408000000,172.83,176.84,170.36,170.75,1725494399999,True
1725494400000,170.53,176.35,169.62,172.47,1725580799999,True
1725580800000,172.56,173.71,163.83,165.00,1725667199999,True
1725667200000,165.07,172.61,162.02,167.42,1725753599999,True
1725753600000,167.41,176.26,167.24,171.57,1725839999999,True
1725840000000,171.95,173.43,168.85,170.61,1725926399999,True
1725926400000,170.55,171.61,165.95,168.14,1726012799999,True
1726012800000,167.74,174.62,166.68,173.37,1726099199999,True
1726099200000,173.48,175.12,169.32,171.89,1726185599999,True
1726185600000,171.79,172.90,169.40,170.31,1726271999999,True
1726272000000,170.29,171.31,167.81,169.71,1726358399999,True
1726358400000,169.70,171.87,169.20,170.30,1726444799999,True
1726444800000,170.33,171.93,167.78,170.55,1726531199999,True
1726531200000,170.63,172.98,168.73,172.64,1726617599999,True
1726617600000,172.55,175.00,170.12,171.37,1726703999999,True
1726704000000,171.41,178.12,169.26,175.41,1726790399999,True
1726790400000,175.45,178.79,174.50,175.34,1726876799999,True
1726876800000,175.45,178.66,173.89,176.92,1726963199999,True
1726963200000,177.00,177.20,174.84,176.96,1727049599999,True
1727049600000,176.77,177.13,171.76,171.79,1727135999999,True
1727136000000,171.74,171.88,165.10,169.45,1727222399999,True
1727222400000,169.37,169.76,164.51,165.49,1727308799999,True
1727308800000,165.52,166.54,162.89,164.42,1727395199999,True
1727395200000,164.41,164.56,161.52,164.11,1727481599999,True
1727481600000,164.07,165.59,157.26,158.63,1727567999999,True
1727568000000,158.74,158.77,151.79,153.00,1727654399999,True
1727654400000,152.96,156.68,149.88,154.44,1727740799999,True
1727740800000,154.26,154.90,140.00,144.82,1727827199999,True
1727827200000,144.75,149.72,135.38,136.68,1727913599999,True
1727913600000,136.74,145.32,135.37,144.27,1727999999999,True
1728000000000,144.35,150.83,143.18,148.96,1728086399999,True
1728086400000,148.85,155.00,148.85,153.33,1728172799999,True
1728172800000,153.11,155.00,146.64,147.77,1728259199999,True
1728259200000,147.80,148.60,144.05,144.60,1728345599999,True
1728345600000,144.42,152.15,144.13,149.26,1728431999999,True
1728432000000,149.25,154.79,146.39,147.48,1728518399999,True
1728518400000,147.48,153.97,147.04,153.16,1728604799999,True
1728604800000,152.99,155.00,149.74,151.94,1728691199999,True
1728691200000,152.04,154.51,150.15,150.61,1728777599999,True
1728777600000,150.55,152.42,147.94,148.47,1728863999999,True
1728864000000,148.50,157.07,148.44,156.67,1728950399999,True
1728950400000,156.55,158.10,150.65,153.22,1729036799999,True
1729036800000,153.32,160.26,152.74,155.84,1729123199999,True
1729123200000,155.92,159.40,153.90,157.89,1729209599999,True
1729209600000,157.91,162.78,157.08,159.80,1729295999999,True
1729296000000,160.08,163.08,158.99,160.77,1729382399999,True
1729382400000,160.74,165.00,159.22,163.40,1729468799999,True
1729468800000,163.41,163.50,153.10,155.19,1729555199999,True
1729555200000,155.23,158.43,154.42,157.07,1729641599999,True
1729641600000,157.09,158.19,154.79,156.62,1729727999999,True
