open_time,open,high,low,close,close_time,is_closed
1781269200000,0.004855,0.004858,0.004797,0.004823,1781272799999,True
1781272800000,0.004824,0.004929,0.00482,0.004924,1781276399999,True
1781276400000,0.004925,0.004937,0.004836,0.004837,1781279999999,True
1781280000000,0.004837,0.004883,0.004832,0.004873,1781283599999,True
1781283600000,0.004874,0.004882,0.004843,0.004847,1781287199999,True
1781287200000,0.004847,0.004862,0.004832,0.00485,1781290799999,True
1781290800000,0.004851,0.004874,0.004848,0.004855,1781294399999,True
1781294400000,0.004856,0.004862,0.004841,0.004845,1781297999999,True
1781298000000,0.004846,0.004869,0.004836,0.004838,1781301599999,True
1781301600000,0.004839,0.004851,0.004827,0.004836,1781305199999,True
1781305200000,0.004836,0.004847,0.004814,0.004845,1781308799999,True
1781308800000,0.004844,0.004859,0.004834,0.004851,1781312399999,True
1781312400000,0.004851,0.004884,0.004851,0.004875,1781315999999,True
1781316000000,0.004876,0.004882,0.004862,0.004866,1781319599999,True
1781319600000,0.004867,0.004879,0.004852,0.004875,1781323199999,True
1781323200000,0.004876,0.004892,0.004861,0.004876,1781326799999,True
1781326800000,0.004877,0.004895,0.004865,0.004895,1781330399999,True
1781330400000,0.004896,0.00493,0.004892,0.004923,1781333999999,True
1781334000000,0.004924,0.004949,0.004898,0.004941,1781337599999,True
1781337600000,0.004942,0.004952,0.00493,0.004951,1781341199999,True
1781341200000,0.004951,0.005011,0.004951,0.004983,1781344799999,True
1781344800000,0.004983,0.00502,0.004976,0.00498,1781348399999,True
1781348400000,0.004979,0.005084,0.00496,0.005081,1781351999999,True
1781352000000,0.00508,0.005092,0.005001,0.005016,1781355599999,True
1781355600000,0.005016,0.005017,0.004978,0.004987,1781359199999,True
1781359200000,0.004988,0.004994,0.004946,0.004984,1781362799999,True
1781362800000,0.004985,0.005005,0.004976,0.004985,1781366399999,True
1781366400000,0.004984,0.005005,0.004963,0.005005,1781369999999,True
1781370000000,0.005004,0.005009,0.004969,0.004985,1781373599999,True
1781373600000,0.004984,0.004996,0.004969,0.004976,1781377199999,True
1781377200000,0.004975,0.005003,0.004962,0.004987,1781380799999,True
1781380800000,0.004988,0.005002,0.004977,0.004995,1781384399999,True
1781384400000,0.004995,0.005043,0.004995,0.005027,1781387999999,True
1781388000000,0.005028,0.005028,0.004995,0.005,1781391599999,True
1781391600000,0.005001,0.005016,0.005,0.00501,1781395199999,True
1781395200000,0.005009,0.00502,0.005001,0.005012,1781398799999,True
1781398800000,0.005013,0.00503,0.005003,0.005021,1781402399999,True
1781402400000,0.005022,0.005039,0.005014,0.005016,1781405999999,True
