open_time,open,high,low,close,close_time,is_closed
1781269200000,64.6,64.82,63.6,63.93,1781272799999,True
1781272800000,63.94,65.28,63.86,65.2,1781276399999,True
1781276400000,65.2,65.53,63.96,64.07,1781279999999,True
1781280000000,64.07,64.79,63.85,64.78,1781283599999,True
1781283600000,64.79,65.06,64.55,64.77,1781287199999,True
1781287200000,64.77,64.9,64.3,64.63,1781290799999,True
1781290800000,64.62,65.28,64.62,64.8,1781294399999,True
1781294400000,64.8,65.02,64.57,64.66,1781297999999,True
1781298000000,64.66,64.78,64.24,64.28,1781301599999,True
1781301600000,64.29,64.57,64.13,64.27,1781305199999,True
1781305200000,64.28,64.28,63.93,64.18,1781308799999,True
1781308800000,64.18,64.4,64.07,64.28,1781312399999,True
1781312400000,64.29,64.94,64.28,64.91,1781315999999,True
1781316000000,64.92,65.58,64.61,65.21,1781319599999,True
1781319600000,65.21,65.5,64.87,65.24,1781323199999,True
1781323200000,65.24,65.41,64.9,64.95,1781326799999,True
1781326800000,64.96,65.38,64.91,65.21,1781330399999,True
1781330400000,65.22,65.99,64.97,65.83,1781333999999,True
1781334000000,65.82,66.36,65.53,66.18,1781337599999,True
1781337600000,66.18,66.42,65.97,66.27,1781341199999,True
1781341200000,66.27,66.67,66.11,66.45,1781344799999,True
1781344800000,66.45,67.24,66.4,66.7,1781348399999,True
1781348400000,66.7,67.1,66.44,66.82,1781351999999,True
1781352000000,66.83,67.19,66.68,66.88,1781355599999,True
1781355600000,66.89,67.02,66.66,66.85,1781359199999,True
1781359200000,66.85,67.24,66.69,67.15,1781362799999,True
1781362800000,67.15,67.54,66.95,66.99,1781366399999,True
1781366400000,66.99,67.04,65.77,66.09,1781369999999,True
1781370000000,66.1,66.61,65.91,66.07,1781373599999,True
1781373600000,66.07,66.62,66.03,66.36,1781377199999,True
1781377200000,66.36,66.65,66.22,66.39,1781380799999,True
1781380800000,66.4,66.45,66.15,66.35,1781384399999,True
