open_time,open,high,low,close,close_time,is_closed
1781269200000,0.1707,0.171,0.1674,0.1682,1781272799999,True
1781272800000,0.1683,0.1732,0.168,0.1727,1781276399999,True
1781276400000,0.1728,0.1744,0.1701,0.1703,1781279999999,True
1781280000000,0.1704,0.1734,0.1694,0.1734,1781283599999,True
1781283600000,0.1734,0.1743,0.1713,0.1717,1781287199999,True
1781287200000,0.1718,0.1722,0.1699,0.1708,1781290799999,True
1781290800000,0.1709,0.1726,0.1704,0.1706,1781294399999,True
1781294400000,0.1707,0.1713,0.1692,0.1695,1781297999999,True
1781298000000,0.1695,0.1703,0.1685,0.1691,1781301599999,True
1781301600000,0.1692,0.1703,0.1689,0.1695,1781305199999,True
1781305200000,0.1695,0.17,0.1685,0.1696,1781308799999,True
1781308800000,0.1696,0.1705,0.1693,0.1699,1781312399999,True
1781312400000,0.17,0.1734,0.1697,0.1726,1781315999999,True
1781316000000,0.1726,0.173,0.1714,0.1717,1781319599999,True
1781319600000,0.1718,0.1722,0.1698,0.1702,1781323199999,True
1781323200000,0.1702,0.1708,0.1694,0.1701,1781326799999,True
1781326800000,0.1702,0.1707,0.1689,0.1695,1781330399999,True
1781330400000,0.1696,0.172,0.1692,0.172,1781333999999,True
1781334000000,0.172,0.1746,0.1712,0.173,1781337599999,True
1781337600000,0.1731,0.1738,0.1726,0.1728,1781341199999,True
1781341200000,0.1729,0.1734,0.1722,0.1725,1781344799999,True
1781344800000,0.1724,0.173,0.1719,0.1723,1781348399999,True
1781348400000,0.1723,0.1738,0.1722,0.1733,1781351999999,True
1781352000000,0.1734,0.1743,0.1729,0.1736,1781355599999,True
1781355600000,0.1737,0.1742,0.1732,0.1741,1781359199999,True
1781359200000,0.174,0.1748,0.1734,0.1745,1781362799999,True
1781362800000,0.1744,0.1757,0.174,0.1748,1781366399999,True
1781366400000,0.1749,0.1749,0.1725,0.1732,1781369999999,True
1781370000000,0.1732,0.1739,0.1716,0.1721,1781373599999,True
1781373600000,0.1721,0.1731,0.1716,0.1719,1781377199999,True
1781377200000,0.172,0.1727,0.1713,0.1719,1781380799999,True
1781380800000,0.1719,0.1724,0.171,0.1715,1781384399999,True
1781384400000,0.1715,0.1734,0.1712,0.1726,1781387999999,True
1781388000000,0.1727,0.1728,0.1714,0.1714,1781391599999,True
1781391600000,0.1715,0.1729,0.1713,0.1716,1781395199999,True
1781395200000,0.1717,0.1725,0.1713,0.1714,1781398799999,True
1781398800000,0.1715,0.1733,0.1712,0.1726,1781402399999,True
1781402400000,0.1726,0.1736,0.172,0.1721,1781405999999,True
1781406000000,0.1721,0.1735,0.1718,0.1728,1781409599999,True
1781409600000,0.1729,0.1732,0.1714,0.1717,1781413199999,True
1781413200000,0.1718,0.1723,0.1711,0.1719,1781416799999,True
1781416800000,0.172,0.1726,0.1711,0.1713,1781420399999,True
1781420400000,0.1714,0.1717,0.1708,0.1709,1781423999999,True
1781424000000,0.1709,0.1715,0.1706,0.1708,1781427599999,True
1781427600000,0.1709,0.1717,0.1699,0.171,1781431199999,True
1781431200000,0.171,0.171,0.1696,0.1697,1781434799999,True
1781434800000,0.1696,0.1702,0.1693,0.1696,1781438399999,True
1781438400000,0.1697,0.1698,0.1677,0.1681,1781441999999,True
1781442000000,0.1681,0.1685,0.1668,0.1675,1781445599999,True
1781445600000,0.1675,0.168,0.1652,0.1668,1781449199999,True
1781449200000,0.1668,0.1673,0.1662,0.1668,1781452799999,True
1781452800000,0.1668,0.1675,0.1667,0.1669,1781456399999,True
1781456400000,0.1669,0.1674,0.1662,0.1665,1781459999999,True
1781460000000,0.1665,0.1669,0.1658,0.1659,1781463599999,True
1781463600000,0.1659,0.1665,0.1657,0.1659,1781467199999,True
1781467200000,0.1659,0.1673,0.1657,0.1668,1781470799999,True
