open_time,open,high,low,close,close_time,is_closed
1781269200000,0.38297,0.39647,0.3829,0.39591,1781272799999,True
1781272800000,0.39592,0.4278,0.39538,0.42013,1781276399999,True
1781276400000,0.42013,0.46092,0.39881,0.45943,1781279999999,True
1781280000000,0.45939,0.47442,0.40166,0.42895,1781283599999,True
1781283600000,0.42892,0.44068,0.41754,0.4207,1781287199999,True
1781287200000,0.4207,0.44,0.41102,0.42966,1781290799999,True
1781290800000,0.42956,0.43707,0.42001,0.43051,1781294399999,True
1781294400000,0.43045,0.43503,0.42361,0.42524,1781297999999,True
1781298000000,0.42519,0.4469,0.42151,0.42807,1781301599999,True
1781301600000,0.42808,0.43553,0.41406,0.42619,1781305199999,True
1781305200000,0.4262,0.4306,0.39127,0.39695,1781308799999,True
1781308800000,0.39695,0.40077,0.38818,0.39372,1781312399999,True
1781312400000,0.39366,0.3944,0.38932,0.39327,1781315999999,True
1781316000000,0.39327,0.39639,0.38936,0.39037,1781319599999,True
1781319600000,0.39038,0.39598,0.38949,0.39039,1781323199999,True
1781323200000,0.39039,0.39792,0.38999,0.39579,1781326799999,True
1781326800000,0.39567,0.40133,0.39,0.39813,1781330399999,True
1781330400000,0.39813,0.40047,0.39162,0.39483,1781333999999,True
1781334000000,0.39484,0.39693,0.39137,0.3927,1781337599999,True
1781337600000,0.39271,0.39606,0.39116,0.39233,1781341199999,True
1781341200000,0.39232,0.39436,0.39111,0.39309,1781344799999,True
1781344800000,0.3931,0.39918,0.39144,0.39222,1781348399999,True
1781348400000,0.39223,0.39279,0.38214,0.38577,1781351999999,True
1781352000000,0.38577,0.38823,0.3845,0.38582,1781355599999,True
1781355600000,0.38583,0.38961,0.38013,0.38224,1781359199999,True
1781359200000,0.38225,0.3859,0.37666,0.38197,1781362799999,True
1781362800000,0.38198,0.38369,0.37824,0.38007,1781366399999,True
1781366400000,0.38006,0.38091,0.36504,0.36958,1781369999999,True
1781370000000,0.36962,0.37477,0.3415,0.36714,1781373599999,True
1781373600000,0.36714,0.39,0.36482,0.38724,1781377199999,True
1781377200000,0.38724,0.38921,0.3723,0.37662,1781380799999,True
1781380800000,0.37663,0.37697,0.36857,0.3699,1781384399999,True
1781384400000,0.36989,0.37061,0.36208,0.3634,1781387999999,True
1781388000000,0.3634,0.37058,0.36116,0.37047,1781391599999,True
1781391600000,0.37048,0.3708,0.36551,0.36632,1781395199999,True
1781395200000,0.36631,0.37653,0.36524,0.3728,1781398799999,True
1781398800000,0.3728,0.37993,0.37179,0.37343,1781402399999,True
1781402400000,0.37343,0.38561,0.36729,0.37659,1781405999999,True
1781406000000,0.37659,0.3805,0.36717,0.37087,1781409599999,True
1781409600000,0.37086,0.37139,0.3666,0.36819,1781413199999,True
1781413200000,0.3682,0.375,0.3627,0.36554,1781416799999,True
1781416800000,0.36555,0.36585,0.355,0.35712,1781420399999,True
1781420400000,0.35712,0.35826,0.35002,0.35735,1781423999999,True
1781424000000,0.35735,0.36805,0.35603,0.36359,1781427599999,True
1781427600000,0.36354,0.37144,0.36259,0.3681,1781431199999,True
1781431200000,0.36809,0.385,0.36763,0.38059,1781434799999,True
1781434800000,0.38055,0.38848,0.37315,0.38269,1781438399999,True
1781438400000,0.38265,0.3968,0.37717,0.38559,1781441999999,True
1781442000000,0.38558,0.38711,0.37378,0.38606,1781445599999,True
1781445600000,0.3861,0.38845,0.37317,0.37863,1781449199999,True
1781449200000,0.37862,0.37862,0.36674,0.36873,1781452799999,True
1781452800000,0.36881,0.37023,0.365,0.36694,1781456399999,True
1781456400000,0.36695,0.37837,0.36617,0.37163,1781459999999,True
1781460000000,0.37163,0.37336,0.36343,0.37321,1781463599999,True
1781463600000,0.37331,0.38481,0.36942,0.37095,1781467199999,True
1781467200000,0.37096,0.37716,0.36801,0.37413,1781470799999,True
1781470800000,0.37426,0.37453,0.367,0.369,1781474399999,True
1781474400000,0.369,0.37007,0.36427,0.36573,1781477999999,True
1781478000000,0.36573,0.36847,0.36518,0.3661,1781481599999,True
1781481600000,0.36611,0.36914,0.36502,0.36597,1781485199999,True
1781485200000,0.36597,0.37296,0.36518,0.36995,1781488799999,True
1781488800000,0.36998,0.37034,0.35193,0.3591,1781492399999,True
1781492400000,0.3591,0.3598,0.35354,0.35371,1781495999999,True
1781496000000,0.3537,0.35973,0.33783,0.34145,1781499599999,True
1781499600000,0.34146,0.34147,0.33,0.33198,1781503199999,True
1781503200000,0.33199,0.33534,0.31918,0.32849,1781506799999,True
1781506800000,0.3283,0.34052,0.3241,0.33432,1781510399999,True
1781510400000,0.33432,0.33998,0.325,0.32542,1781513999999,True
1781514000000,0.32538,0.33809,0.32516,0.33658,1781517599999,True
1781517600000,0.33658,0.35704,0.33467,0.35197,1781521199999,True
1781521200000,0.35193,0.37078,0.3461,0.36412,1781524799999,True
1781524800000,0.36418,0.39273,0.36417,0.37532,1781528399999,True
1781528400000,0.37532,0.38815,0.37279,0.38295,1781531999999,True
1781532000000,0.38294,0.39042,0.37515,0.37716,1781535599999,True
1781535600000,0.37715,0.38297,0.35664,0.35997,1781539199999,True
1781539200000,0.36005,0.36285,0.3475,0.34935,1781542799999,True
1781542800000,0.34934,0.3556,0.34382,0.35308,1781546399999,True
1781546400000,0.35307,0.3542,0.34591,0.34776,1781549999999,True
