open_time,open,high,low,close,close_time,is_closed
1781269200000,0.6559,0.6571,0.6417,0.6477,1781272799999,True
1781272800000,0.6477,0.6686,0.6461,0.6664,1781276399999,True
1781276400000,0.6665,0.6693,0.6409,0.6426,1781279999999,True
1781280000000,0.6426,0.6553,0.6387,0.6546,1781283599999,True
1781283600000,0.6547,0.6576,0.6492,0.6496,1781287199999,True
1781287200000,0.6498,0.6509,0.644,0.6462,1781290799999,True
1781290800000,0.6463,0.6505,0.6445,0.6446,1781294399999,True
1781294400000,0.6447,0.6483,0.6414,0.6432,1781297999999,True
1781298000000,0.6432,0.6458,0.6395,0.6406,1781301599999,True
1781301600000,0.6407,0.6441,0.6386,0.6402,1781305199999,True
1781305200000,0.6402,0.6421,0.6354,0.6421,1781308799999,True
1781308800000,0.6421,0.6436,0.6397,0.6427,1781312399999,True
1781312400000,0.6428,0.6537,0.6428,0.6503,1781315999999,True
1781316000000,0.6503,0.6519,0.6471,0.6509,1781319599999,True
1781319600000,0.651,0.6574,0.6471,0.6546,1781323199999,True
1781323200000,0.6546,0.6597,0.6495,0.6522,1781326799999,True
1781326800000,0.6523,0.6554,0.6487,0.655,1781330399999,True
1781330400000,0.655,0.6698,0.6522,0.6633,1781333999999,True
1781334000000,0.6633,0.676,0.6599,0.6681,1781337599999,True
1781337600000,0.6681,0.675,0.6651,0.6662,1781341199999,True
1781341200000,0.6662,0.6705,0.6644,0.6673,1781344799999,True
1781344800000,0.6673,0.6697,0.662,0.6657,1781348399999,True
1781348400000,0.6656,0.6739,0.6642,0.6719,1781351999999,True
1781352000000,0.6719,0.6766,0.6702,0.6735,1781355599999,True
1781355600000,0.6735,0.6789,0.6724,0.6759,1781359199999,True
1781359200000,0.676,0.6797,0.6726,0.6771,1781362799999,True
1781362800000,0.6772,0.6846,0.6755,0.6791,1781366399999,True
1781366400000,0.6791,0.6798,0.6684,0.6734,1781369999999,True
1781370000000,0.6734,0.6784,0.6685,0.6733,1781373599999,True
1781373600000,0.6732,0.6755,0.6687,0.6711,1781377199999,True
1781377200000,0.6712,0.6745,0.6685,0.6698,1781380799999,True
1781380800000,0.6698,0.6714,0.6669,0.6701,1781384399999,True
1781384400000,0.6702,0.678,0.6677,0.673,1781387999999,True
1781388000000,0.6729,0.6739,0.6687,0.6688,1781391599999,True
1781391600000,0.6688,0.6734,0.6681,0.6708,1781395199999,True
1781395200000,0.6708,0.6723,0.6671,0.6695,1781398799999,True
1781398800000,0.6695,0.6725,0.6676,0.6698,1781402399999,True
1781402400000,0.6698,0.6731,0.6663,0.6671,1781405999999,True
1781406000000,0.667,0.6678,0.6641,0.667,1781409599999,True
1781409600000,0.6671,0.6691,0.6616,0.6631,1781413199999,True
1781413200000,0.6631,0.6647,0.6573,0.6635,1781416799999,True
1781416800000,0.6636,0.6684,0.6595,0.6609,1781420399999,True
1781420400000,0.661,0.6642,0.6596,0.6624,1781423999999,True
1781424000000,0.6625,0.6685,0.6613,0.6646,1781427599999,True
1781427600000,0.6647,0.667,0.6606,0.6659,1781431199999,True
