open_time,open,high,low,close,close_time,is_closed
1781269200000,0.6281,0.6305,0.6248,0.6279,1781272799999,True
1781272800000,0.628,0.6329,0.6276,0.6328,1781276399999,True
1781276400000,0.6328,0.6354,0.6289,0.6291,1781279999999,True
1781280000000,0.6292,0.633,0.6283,0.6293,1781283599999,True
1781283600000,0.6293,0.6304,0.6246,0.627,1781287199999,True
1781287200000,0.627,0.6293,0.6266,0.6284,1781290799999,True
1781290800000,0.6284,0.6305,0.6284,0.629,1781294399999,True
1781294400000,0.629,0.6301,0.6282,0.6282,1781297999999,True
1781298000000,0.6282,0.63,0.6269,0.6277,1781301599999,True
1781301600000,0.6277,0.6291,0.6269,0.6272,1781305199999,True
1781305200000,0.6272,0.6279,0.626,0.6276,1781308799999,True
1781308800000,0.6276,0.6316,0.6276,0.631,1781312399999,True
1781312400000,0.6311,0.6328,0.6305,0.6313,1781315999999,True
1781316000000,0.6313,0.6339,0.6302,0.6328,1781319599999,True
1781319600000,0.6328,0.6356,0.632,0.6336,1781323199999,True
1781323200000,0.6337,0.6344,0.6318,0.633,1781326799999,True
1781326800000,0.633,0.6354,0.633,0.6353,1781330399999,True
1781330400000,0.6354,0.6395,0.6344,0.6395,1781333999999,True
1781334000000,0.6394,0.6439,0.6383,0.6395,1781337599999,True
1781337600000,0.6395,0.6398,0.6357,0.6361,1781341199999,True
1781341200000,0.6361,0.6373,0.6357,0.6364,1781344799999,True
1781344800000,0.6365,0.6385,0.6364,0.6378,1781348399999,True
1781348400000,0.6378,0.64,0.6371,0.6378,1781351999999,True
1781352000000,0.6378,0.6398,0.6375,0.6388,1781355599999,True
1781355600000,0.6389,0.6444,0.6376,0.6423,1781359199999,True
1781359200000,0.6423,0.6423,0.6396,0.6403,1781362799999,True
1781362800000,0.6403,0.641,0.6379,0.6382,1781366399999,True
1781366400000,0.6383,0.6386,0.6338,0.6368,1781369999999,True
1781370000000,0.6368,0.6385,0.6362,0.6376,1781373599999,True
1781373600000,0.6376,0.6405,0.6375,0.64,1781377199999,True
1781377200000,0.64,0.6417,0.638,0.6396,1781380799999,True
1781380800000,0.6396,0.6404,0.6388,0.6399,1781384399999,True
1781384400000,0.6399,0.6414,0.6387,0.6406,1781387999999,True
1781388000000,0.6406,0.6409,0.6388,0.6398,1781391599999,True
1781391600000,0.6397,0.6412,0.6393,0.6401,1781395199999,True
1781395200000,0.6401,0.6402,0.6371,0.6382,1781398799999,True
1781398800000,0.6382,0.639,0.6362,0.6365,1781402399999,True
1781402400000,0.6365,0.6372,0.6356,0.6356,1781405999999,True
1781406000000,0.6357,0.6377,0.6351,0.637,1781409599999,True
1781409600000,0.637,0.6371,0.6325,0.6342,1781413199999,True
1781413200000,0.6343,0.6355,0.6333,0.6341,1781416799999,True
1781416800000,0.6341,0.6353,0.6332,0.6332,1781420399999,True
1781420400000,0.6332,0.6343,0.6309,0.6321,1781423999999,True
1781424000000,0.6321,0.6329,0.6308,0.6321,1781427599999,True
1781427600000,0.6321,0.6328,0.6304,0.6314,1781431199999,True
1781431200000,0.6314,0.6347,0.6309,0.6324,1781434799999,True
1781434800000,0.6324,0.6327,0.6307,0.631,1781438399999,True
1781438400000,0.631,0.6312,0.625,0.6262,1781441999999,True
1781442000000,0.6262,0.6274,0.62,0.6217,1781445599999,True
1781445600000,0.6217,0.6234,0.6179,0.6219,1781449199999,True
1781449200000,0.6218,0.6229,0.6212,0.6218,1781452799999,True
1781452800000,0.6217,0.6242,0.6205,0.623,1781456399999,True
1781456400000,0.6229,0.6241,0.6212,0.6212,1781459999999,True
1781460000000,0.6213,0.6223,0.6208,0.6214,1781463599999,True
1781463600000,0.6214,0.6215,0.6201,0.6205,1781467199999,True
1781467200000,0.6205,0.6233,0.6198,0.6215,1781470799999,True
1781470800000,0.6214,0.6414,0.621,0.6334,1781474399999,True
1781474400000,0.6334,0.6372,0.6312,0.6338,1781477999999,True
1781478000000,0.6339,0.6354,0.632,0.6351,1781481599999,True
1781481600000,0.6351,0.6353,0.6327,0.6332,1781485199999,True
1781485200000,0.6332,0.6339,0.631,0.6311,1781488799999,True
1781488800000,0.6312,0.6384,0.6304,0.6382,1781492399999,True
1781492400000,0.6381,0.6398,0.636,0.6368,1781495999999,True
1781496000000,0.6372,0.6372,0.633,0.6337,1781499599999,True
1781499600000,0.6337,0.6377,0.6333,0.6363,1781503199999,True
1781503200000,0.6364,0.637,0.6325,0.6328,1781506799999,True
1781506800000,0.6328,0.6349,0.6312,0.6313,1781510399999,True
1781510400000,0.6313,0.6325,0.6303,0.6306,1781513999999,True
1781514000000,0.6306,0.6319,0.628,0.6288,1781517599999,True
1781517600000,0.6289,0.6344,0.6283,0.6343,1781521199999,True
1781521200000,0.6343,0.6406,0.6334,0.6395,1781524799999,True
1781524800000,0.6395,0.6445,0.6369,0.6445,1781528399999,True
1781528400000,0.6445,0.6497,0.6431,0.6447,1781531999999,True
1781532000000,0.6447,0.6552,0.6423,0.6536,1781535599999,True
1781535600000,0.6534,0.6567,0.6464,0.6551,1781539199999,True
1781539200000,0.6551,0.656,0.6511,0.6547,1781542799999,True
1781542800000,0.6547,0.6549,0.6481,0.6514,1781546399999,True
1781546400000,0.6514,0.6529,0.65,0.6523,1781549999999,True
1781550000000,0.6523,0.6544,0.6475,0.6503,1781553599999,True
1781553600000,0.6503,0.6555,0.6495,0.653,1781557199999,True
1781557200000,0.653,0.6571,0.6498,0.6537,1781560799999,True
1781560800000,0.6538,0.6557,0.6464,0.6472,1781564399999,True
1781564400000,0.6472,0.6499,0.6444,0.6492,1781567999999,True
1781568000000,0.6491,0.6543,0.6483,0.6515,1781571599999,True
1781571600000,0.6515,0.6536,0.6488,0.6493,1781575199999,True
1781575200000,0.6493,0.651,0.6446,0.6463,1781578799999,True
1781578800000,0.6463,0.6598,0.6457,0.6583,1781582399999,True
1781582400000,0.6583,0.6595,0.6486,0.65,1781585999999,True
1781586000000,0.6501,0.676,0.6501,0.6705,1781589599999,True
1781589600000,0.6706,0.6774,0.6515,0.6556,1781593199999,True
1781593200000,0.6556,0.657,0.6516,0.6554,1781596799999,True
1781596800000,0.6553,0.666,0.6551,0.6644,1781600399999,True
1781600400000,0.6643,0.6656,0.6584,0.6601,1781603999999,True
1781604000000,0.6601,0.6685,0.6579,0.6671,1781607599999,True
1781607600000,0.6671,0.6709,0.6615,0.6642,1781611199999,True
1781611200000,0.6642,0.6703,0.6616,0.6688,1781614799999,True
1781614800000,0.6687,0.6725,0.6573,0.6641,1781618399999,True
1781618400000,0.6642,0.6672,0.6471,0.6547,1781621999999,True
1781622000000,0.6546,0.6605,0.6537,0.659,1781625599999,True
1781625600000,0.659,0.6603,0.6532,0.6537,1781629199999,True
1781629200000,0.6538,0.659,0.6532,0.659,1781632799999,True
1781632800000,0.6591,0.663,0.6554,0.658,1781636399999,True
1781636400000,0.658,0.658,0.6519,0.6525,1781639999999,True
1781640000000,0.6524,0.66,0.6513,0.6574,1781643599999,True
1781643600000,0.6575,0.6622,0.6551,0.6621,1781647199999,True
1781647200000,0.6621,0.6647,0.6604,0.6618,1781650799999,True
1781650800000,0.6619,0.663,0.66,0.6616,1781654399999,True
1781654400000,0.6616,0.6635,0.6605,0.6625,1781657999999,True
1781658000000,0.6625,0.6711,0.6613,0.6705,1781661599999,True
1781661600000,0.6706,0.6709,0.6643,0.6677,1781665199999,True
1781665200000,0.6678,0.6786,0.6667,0.6752,1781668799999,True
1781668800000,0.6753,0.6765,0.6674,0.6698,1781672399999,True
1781672400000,0.6698,0.6713,0.6671,0.6705,1781675999999,True
1781676000000,0.6705,0.6736,0.6658,0.6663,1781679599999,True
1781679600000,0.6663,0.6691,0.6626,0.6656,1781683199999,True
1781683200000,0.6656,0.6662,0.6568,0.6604,1781686799999,True
1781686800000,0.6603,0.6633,0.6597,0.663,1781690399999,True
1781690400000,0.6631,0.6648,0.6586,0.6597,1781693999999,True
1781694000000,0.6597,0.6704,0.656,0.6689,1781697599999,True
1781697600000,0.669,0.7608,0.6685,0.745,1781701199999,True
1781701200000,0.745,0.7673,0.73,0.7502,1781704799999,True
1781704800000,0.7502,0.7802,0.7431,0.7792,1781708399999,True
1781708400000,0.7793,0.7843,0.7554,0.7596,1781711999999,True
1781712000000,0.7596,0.8036,0.7333,0.7436,1781715599999,True
1781715600000,0.7436,0.7491,0.7134,0.7335,1781719199999,True
1781719200000,0.7336,0.7409,0.7122,0.7323,1781722799999,True
1781722800000,0.7323,0.7458,0.7233,0.728,1781726399999,True
1781726400000,0.728,0.7314,0.7173,0.7223,1781729999999,True
1781730000000,0.7223,0.7227,0.7043,0.7085,1781733599999,True
1781733600000,0.7085,0.7211,0.7025,0.7166,1781737199999,True
1781737200000,0.7167,0.7212,0.7078,0.7169,1781740799999,True
1781740800000,0.7169,0.7255,0.7141,0.7166,1781744399999,True
1781744400000,0.7166,0.7226,0.7002,0.7066,1781747999999,True
1781748000000,0.7067,0.7265,0.7034,0.7064,1781751599999,True
1781751600000,0.7064,0.708,0.6723,0.674,1781755199999,True
1781755200000,0.6739,0.6754,0.644,0.6581,1781758799999,True
1781758800000,0.6583,0.6597,0.632,0.6569,1781762399999,True
1781762400000,0.6568,0.6705,0.6494,0.6695,1781765999999,True
1781766000000,0.6695,0.6787,0.6655,0.6717,1781769599999,True
1781769600000,0.6717,0.6836,0.6687,0.6761,1781773199999,True
1781773200000,0.6762,0.6846,0.672,0.6761,1781776799999,True
1781776800000,0.6761,0.6781,0.6715,0.6765,1781780399999,True
1781780400000,0.6766,0.6775,0.6581,0.665,1781783999999,True
1781784000000,0.665,0.6714,0.6616,0.6707,1781787599999,True
1781787600000,0.6708,0.6763,0.6615,0.6673,1781791199999,True
1781791200000,0.6672,0.6713,0.6624,0.6644,1781794799999,True
1781794800000,0.6644,0.6655,0.6211,0.6314,1781798399999,True
1781798400000,0.6313,0.6426,0.6307,0.6416,1781801999999,True
1781802000000,0.6416,0.643,0.6291,0.6347,1781805599999,True
1781805600000,0.6346,0.6383,0.6325,0.6357,1781809199999,True
1781809200000,0.6357,0.641,0.6336,0.6395,1781812799999,True
1781812800000,0.6395,0.6431,0.6355,0.6378,1781816399999,True
1781816400000,0.6378,0.6379,0.6282,0.6367,1781819999999,True
1781820000000,0.6366,0.6391,0.6292,0.6343,1781823599999,True
1781823600000,0.6343,0.6379,0.6312,0.6374,1781827199999,True
1781827200000,0.6373,0.6374,0.6311,0.6334,1781830799999,True
1781830800000,0.6334,0.6383,0.6314,0.6379,1781834399999,True
1781834400000,0.6379,0.6391,0.6341,0.6378,1781837999999,True
1781838000000,0.6378,0.6395,0.6188,0.6313,1781841599999,True
1781841600000,0.6313,0.6314,0.618,0.6191,1781845199999,True
1781845200000,0.6192,0.6276,0.6185,0.6241,1781848799999,True
1781848800000,0.6242,0.6274,0.6227,0.6246,1781852399999,True
1781852400000,0.6246,0.625,0.6155,0.6189,1781855999999,True
1781856000000,0.6188,0.6223,0.6182,0.6199,1781859599999,True
1781859600000,0.62,0.622,0.6136,0.6209,1781863199999,True
1781863200000,0.621,0.6223,0.6185,0.6221,1781866799999,True
1781866800000,0.6221,0.6226,0.6186,0.6197,1781870399999,True
1781870400000,0.6197,0.6234,0.6164,0.6231,1781873999999,True
1781874000000,0.623,0.6302,0.6215,0.6264,1781877599999,True
1781877600000,0.6264,0.6287,0.6231,0.6247,1781881199999,True
1781881200000,0.6248,0.6276,0.6239,0.6268,1781884799999,True
1781884800000,0.6267,0.6309,0.6208,0.622,1781888399999,True
1781888400000,0.622,0.6286,0.6217,0.6279,1781891999999,True
1781892000000,0.628,0.6285,0.6233,0.6256,1781895599999,True
1781895600000,0.6257,0.6261,0.6224,0.6246,1781899199999,True
1781899200000,0.6247,0.6279,0.6225,0.6277,1781902799999,True
1781902800000,0.6278,0.6318,0.6274,0.6287,1781906399999,True
1781906400000,0.6287,0.6349,0.6271,0.6338,1781909999999,True
1781910000000,0.6338,0.6366,0.6286,0.6339,1781913599999,True
1781913600000,0.6339,0.6373,0.6309,0.6319,1781917199999,True
1781917200000,0.6318,0.6342,0.6292,0.6309,1781920799999,True
1781920800000,0.6309,0.6309,0.6268,0.6271,1781924399999,True
1781924400000,0.6272,0.6272,0.6211,0.623,1781927999999,True
1781928000000,0.6231,0.6272,0.6219,0.6272,1781931599999,True
1781931600000,0.6272,0.6313,0.6258,0.6308,1781935199999,True
1781935200000,0.6308,0.6354,0.6271,0.6308,1781938799999,True
1781938800000,0.6308,0.655,0.6284,0.6547,1781942399999,True
1781942400000,0.6546,0.6666,0.6452,0.6486,1781945999999,True
1781946000000,0.6486,0.6506,0.6432,0.6502,1781949599999,True
1781949600000,0.6502,0.6515,0.6415,0.6446,1781953199999,True
1781953200000,0.6446,0.6467,0.6401,0.6453,1781956799999,True
1781956800000,0.6452,0.6457,0.6317,0.6372,1781960399999,True
1781960400000,0.6372,0.6379,0.6303,0.6346,1781963999999,True
1781964000000,0.6345,0.6457,0.6308,0.6447,1781967599999,True
1781967600000,0.6446,0.6471,0.6413,0.6446,1781971199999,True
1781971200000,0.6447,0.649,0.6421,0.6475,1781974799999,True
1781974800000,0.6475,0.6481,0.6421,0.6441,1781978399999,True
1781978400000,0.6441,0.6464,0.6425,0.6448,1781981999999,True
1781982000000,0.6449,0.6478,0.6441,0.6449,1781985599999,True
1781985600000,0.6449,0.6467,0.6431,0.6461,1781989199999,True
1781989200000,0.6461,0.6491,0.6458,0.6471,1781992799999,True
1781992800000,0.647,0.6503,0.6465,0.6471,1781996399999,True
1781996400000,0.6472,0.6476,0.6454,0.6465,1781999999999,True
1782000000000,0.6465,0.6485,0.6456,0.6484,1782003599999,True
1782003600000,0.6484,0.6519,0.6471,0.65,1782007199999,True
1782007200000,0.65,0.6532,0.648,0.6515,1782010799999,True
1782010800000,0.6514,0.6546,0.6507,0.6524,1782014399999,True
1782014400000,0.6524,0.6532,0.6494,0.6506,1782017999999,True
1782018000000,0.6505,0.6549,0.6481,0.653,1782021599999,True
1782021600000,0.653,0.6551,0.6503,0.6515,1782025199999,True
1782025200000,0.6515,0.6522,0.6452,0.6473,1782028799999,True
1782028800000,0.6473,0.6497,0.6388,0.6442,1782032399999,True
1782032400000,0.6442,0.6488,0.6432,0.6456,1782035999999,True
1782036000000,0.6456,0.6479,0.6442,0.6451,1782039599999,True
1782039600000,0.6451,0.6458,0.6397,0.6407,1782043199999,True
1782043200000,0.6406,0.6432,0.6382,0.6425,1782046799999,True
1782046800000,0.6425,0.6433,0.6403,0.6421,1782050399999,True
1782050400000,0.6421,0.6434,0.6412,0.6429,1782053999999,True
1782054000000,0.6429,0.645,0.6425,0.6435,1782057599999,True
1782057600000,0.6434,0.646,0.6383,0.6413,1782061199999,True
1782061200000,0.6413,0.6434,0.6397,0.6401,1782064799999,True
1782064800000,0.64,0.6422,0.6365,0.641,1782068399999,True
1782068400000,0.6409,0.6421,0.6389,0.6391,1782071999999,True
1782072000000,0.6391,0.6409,0.6371,0.6382,1782075599999,True
1782075600000,0.6382,0.6403,0.6324,0.6389,1782079199999,True
1782079200000,0.6389,0.6407,0.6355,0.6404,1782082799999,True
1782082800000,0.6403,0.6408,0.6346,0.6361,1782086399999,True
1782086400000,0.6361,0.6432,0.6356,0.6416,1782089999999,True
1782090000000,0.6417,0.6485,0.6392,0.6454,1782093599999,True
1782093600000,0.6454,0.6466,0.6412,0.6419,1782097199999,True
1782097200000,0.642,0.642,0.6305,0.6332,1782100799999,True
1782100800000,0.6332,0.636,0.6214,0.6305,1782104399999,True
1782104400000,0.6305,0.6331,0.6295,0.6323,1782107999999,True
1782108000000,0.6324,0.6342,0.6309,0.6332,1782111599999,True
1782111600000,0.6332,0.6362,0.6331,0.6353,1782115199999,True
1782115200000,0.6353,0.6372,0.6333,0.6348,1782118799999,True
1782118800000,0.6348,0.6379,0.6345,0.6377,1782122399999,True
1782122400000,0.6377,0.639,0.6364,0.6384,1782125999999,True
1782126000000,0.6385,0.643,0.6376,0.6421,1782129599999,True
1782129600000,0.6422,0.6454,0.6411,0.6439,1782133199999,True
1782133200000,0.6439,0.646,0.6414,0.645,1782136799999,True
1782136800000,0.645,0.645,0.6369,0.6388,1782140399999,True
1782140400000,0.6388,0.642,0.6355,0.6391,1782143999999,True
1782144000000,0.6391,0.6413,0.6362,0.6407,1782147599999,True
1782147600000,0.6408,0.6423,0.6379,0.6419,1782151199999,True
1782151200000,0.6419,0.6427,0.6383,0.639,1782154799999,True
1782154800000,0.639,0.6397,0.6324,0.6333,1782158399999,True
1782158400000,0.6333,0.6348,0.6314,0.634,1782161999999,True
1782162000000,0.6339,0.6345,0.6303,0.633,1782165599999,True
1782165600000,0.633,0.6346,0.6287,0.6313,1782169199999,True
1782169200000,0.6312,0.6328,0.6295,0.6307,1782172799999,True
1782172800000,0.6307,0.6321,0.6252,0.632,1782176399999,True
1782176400000,0.632,0.6332,0.6266,0.6304,1782179999999,True
1782180000000,0.6305,0.6317,0.6285,0.6306,1782183599999,True
1782183600000,0.6305,0.6306,0.6282,0.6303,1782187199999,True
1782187200000,0.6303,0.6305,0.6272,0.6273,1782190799999,True
1782190800000,0.6273,0.6298,0.6262,0.6273,1782194399999,True
1782194400000,0.6274,0.6275,0.611,0.6213,1782197999999,True
1782198000000,0.6214,0.6231,0.6206,0.6211,1782201599999,True
1782201600000,0.6212,0.623,0.6103,0.6163,1782205199999,True
1782205200000,0.6164,0.6188,0.6156,0.6174,1782208799999,True
1782208800000,0.6175,0.6202,0.6161,0.6182,1782212399999,True
1782212400000,0.6182,0.6224,0.6181,0.6211,1782215999999,True
1782216000000,0.621,0.6223,0.6171,0.618,1782219599999,True
1782219600000,0.618,0.623,0.6164,0.6181,1782223199999,True
1782223200000,0.6182,0.6216,0.6175,0.6187,1782226799999,True
1782226800000,0.6186,0.6226,0.6072,0.6181,1782230399999,True
1782230400000,0.6181,0.6223,0.6175,0.62,1782233999999,True
1782234000000,0.62,0.6216,0.6184,0.619,1782237599999,True
1782237600000,0.619,0.621,0.6177,0.62,1782241199999,True
1782241200000,0.62,0.6424,0.6199,0.6299,1782244799999,True
1782244800000,0.6297,0.6338,0.6292,0.6323,1782248399999,True
1782248400000,0.6322,0.636,0.6309,0.6327,1782251999999,True
1782252000000,0.6327,0.6362,0.6323,0.6352,1782255599999,True
1782255600000,0.6352,0.6379,0.6329,0.6353,1782259199999,True
1782259200000,0.6354,0.6372,0.634,0.6365,1782262799999,True
1782262800000,0.6366,0.6392,0.6338,0.6361,1782266399999,True
1782266400000,0.6361,0.6364,0.6312,0.6344,1782269999999,True
1782270000000,0.6344,0.6351,0.6305,0.6314,1782273599999,True
1782273600000,0.6313,0.6337,0.6281,0.6319,1782277199999,True
1782277200000,0.6318,0.6347,0.6314,0.6339,1782280799999,True
1782280800000,0.6339,0.6354,0.6331,0.6338,1782284399999,True
1782284400000,0.6338,0.6339,0.629,0.6309,1782287999999,True
1782288000000,0.6309,0.6322,0.6299,0.63,1782291599999,True
1782291600000,0.63,0.6317,0.6276,0.6306,1782295199999,True
1782295200000,0.6306,0.6323,0.6288,0.629,1782298799999,True
1782298800000,0.6289,0.6336,0.6216,0.6303,1782302399999,True
1782302400000,0.6304,0.6304,0.6257,0.6273,1782305999999,True
1782306000000,0.6274,0.6276,0.618,0.6215,1782309599999,True
1782309600000,0.6214,0.623,0.6171,0.6209,1782313199999,True
1782313200000,0.6209,0.6217,0.6111,0.6125,1782316799999,True
1782316800000,0.6125,0.6185,0.5956,0.6057,1782320399999,True
1782320400000,0.6057,0.6088,0.5889,0.6001,1782323999999,True
1782324000000,0.6001,0.6087,0.5985,0.6061,1782327599999,True
1782327600000,0.6061,0.6077,0.5834,0.5911,1782331199999,True
1782331200000,0.5911,0.6064,0.5902,0.606,1782334799999,True
1782334800000,0.6059,0.6126,0.6035,0.6113,1782338399999,True
1782338400000,0.6113,0.6155,0.611,0.6116,1782341999999,True
1782342000000,0.6116,0.6173,0.6105,0.6156,1782345599999,True
1782345600000,0.6157,0.6162,0.6122,0.6132,1782349199999,True
1782349200000,0.6132,0.6193,0.6115,0.6162,1782352799999,True
1782352800000,0.6162,0.6189,0.6158,0.6183,1782356399999,True
1782356400000,0.6183,0.6196,0.615,0.6191,1782359999999,True
1782360000000,0.6191,0.6232,0.6175,0.6221,1782363599999,True
1782363600000,0.6221,0.6261,0.6217,0.6233,1782367199999,True
1782367200000,0.6232,0.6256,0.619,0.6251,1782370799999,True
1782370800000,0.6251,0.6319,0.625,0.6274,1782374399999,True
1782374400000,0.6274,0.6285,0.6226,0.624,1782377999999,True
1782378000000,0.6241,0.6242,0.622,0.6221,1782381599999,True
1782381600000,0.6221,0.626,0.6187,0.619,1782385199999,True
1782385200000,0.619,0.6199,0.6156,0.6189,1782388799999,True
1782388800000,0.619,0.6232,0.6159,0.6184,1782392399999,True
1782392400000,0.6185,0.6193,0.5913,0.5936,1782395999999,True
1782396000000,0.5936,0.6156,0.5936,0.6112,1782399599999,True
1782399600000,0.6112,0.6181,0.6086,0.6171,1782403199999,True
1782403200000,0.6171,0.6212,0.6137,0.6186,1782406799999,True
1782406800000,0.6186,0.6243,0.6175,0.6233,1782410399999,True
1782410400000,0.6233,0.6247,0.6159,0.6172,1782413999999,True
1782414000000,0.6173,0.619,0.614,0.6187,1782417599999,True
1782417600000,0.6188,0.6216,0.6137,0.6184,1782421199999,True
1782421200000,0.6183,0.6238,0.6179,0.6231,1782424799999,True
1782424800000,0.6231,0.6241,0.6203,0.622,1782428399999,True
1782428400000,0.6219,0.6231,0.6199,0.622,1782431999999,True
1782432000000,0.622,0.6277,0.6219,0.6233,1782435599999,True
1782435600000,0.6233,0.6244,0.6218,0.6242,1782439199999,True
1782439200000,0.6242,0.6248,0.6155,0.6176,1782442799999,True
1782442800000,0.6177,0.6264,0.6138,0.6255,1782446399999,True
1782446400000,0.6255,0.6263,0.621,0.6215,1782449999999,True
1782450000000,0.6214,0.6216,0.6185,0.6202,1782453599999,True
1782453600000,0.6201,0.6251,0.6191,0.6242,1782457199999,True
1782457200000,0.6241,0.6283,0.6238,0.6267,1782460799999,True
1782460800000,0.6267,0.6271,0.6237,0.6251,1782464399999,True
1782464400000,0.6251,0.6252,0.6187,0.6199,1782467999999,True
1782468000000,0.6198,0.6213,0.6175,0.6185,1782471599999,True
1782471600000,0.6185,0.6194,0.6154,0.6171,1782475199999,True
1782475200000,0.6172,0.6219,0.6139,0.6189,1782478799999,True
1782478800000,0.6188,0.6299,0.6152,0.6296,1782482399999,True
1782482400000,0.6296,0.6328,0.6262,0.6298,1782485999999,True
1782486000000,0.6298,0.6326,0.6267,0.6295,1782489599999,True
1782489600000,0.6294,0.632,0.6276,0.6286,1782493199999,True
1782493200000,0.6285,0.6309,0.6267,0.6304,1782496799999,True
1782496800000,0.6305,0.6316,0.6285,0.6298,1782500399999,True
1782500400000,0.6298,0.6321,0.6267,0.6281,1782503999999,True
1782504000000,0.6269,0.6306,0.6268,0.6293,1782507599999,True
1782507600000,0.6294,0.633,0.6286,0.6304,1782511199999,True
1782511200000,0.6304,0.631,0.6275,0.6306,1782514799999,True
1782514800000,0.6307,0.6314,0.6289,0.6303,1782518399999,True
1782518400000,0.6303,0.6315,0.6253,0.6272,1782521999999,True
1782522000000,0.6271,0.628,0.6248,0.6248,1782525599999,True
1782525600000,0.6248,0.6297,0.6246,0.6294,1782529199999,True
1782529200000,0.6293,0.63,0.6275,0.6293,1782532799999,True
1782532800000,0.6293,0.6312,0.6284,0.6285,1782536399999,True
1782536400000,0.6285,0.6312,0.6283,0.6309,1782539999999,True
1782540000000,0.6309,0.6325,0.6292,0.63,1782543599999,True
1782543600000,0.63,0.6302,0.6286,0.6297,1782547199999,True
1782547200000,0.6298,0.6316,0.6295,0.6315,1782550799999,True
1782550800000,0.6314,0.632,0.6288,0.6296,1782554399999,True
1782554400000,0.6295,0.6298,0.6278,0.6282,1782557999999,True
1782558000000,0.6282,0.63,0.6266,0.63,1782561599999,True
1782561600000,0.6299,0.6304,0.6275,0.6283,1782565199999,True
