open_time,open,high,low,close,close_time,is_closed
1781269200000,6.611,6.617,6.514,6.537,1781272799999,True
1781272800000,6.537,6.669,6.53,6.662,1781276399999,True
1781276400000,6.662,6.695,6.54,6.546,1781279999999,True
1781280000000,6.546,6.619,6.515,6.617,1781283599999,True
1781283600000,6.618,6.648,6.585,6.59,1781287199999,True
1781287200000,6.591,6.612,6.552,6.58,1781290799999,True
1781290800000,6.58,6.624,6.575,6.582,1781294399999,True
1781294400000,6.582,6.603,6.566,6.576,1781297999999,True
1781298000000,6.577,6.599,6.548,6.56,1781301599999,True
1781301600000,6.561,6.585,6.548,6.566,1781305199999,True
1781305200000,6.566,6.572,6.533,6.567,1781308799999,True
1781308800000,6.567,6.591,6.553,6.58,1781312399999,True
1781312400000,6.581,6.633,6.576,6.615,1781315999999,True
1781316000000,6.616,6.622,6.585,6.599,1781319599999,True
1781319600000,6.6,6.613,6.565,6.591,1781323199999,True
1781323200000,6.592,6.618,6.567,6.584,1781326799999,True
1781326800000,6.585,6.616,6.562,6.586,1781330399999,True
1781330400000,6.587,6.64,6.566,6.63,1781333999999,True
1781334000000,6.63,6.685,6.612,6.662,1781337599999,True
1781337600000,6.662,6.679,6.644,6.656,1781341199999,True
1781341200000,6.657,6.668,6.644,6.649,1781344799999,True
1781344800000,6.648,6.66,6.625,6.641,1781348399999,True
1781348400000,6.641,6.675,6.637,6.67,1781351999999,True
1781352000000,6.67,6.692,6.658,6.675,1781355599999,True
1781355600000,6.675,6.682,6.658,6.671,1781359199999,True
1781359200000,6.672,6.691,6.663,6.686,1781362799999,True
1781362800000,6.687,6.758,6.678,6.749,1781366399999,True
1781366400000,6.749,6.77,6.671,6.711,1781369999999,True
1781370000000,6.712,6.723,6.676,6.691,1781373599999,True
1781373600000,6.691,6.716,6.684,6.702,1781377199999,True
1781377200000,6.702,6.729,6.687,6.71,1781380799999,True
1781380800000,6.71,6.718,6.693,6.715,1781384399999,True
1781384400000,6.716,6.772,6.697,6.746,1781387999999,True
1781388000000,6.747,6.749,6.714,6.715,1781391599999,True
1781391600000,6.715,6.733,6.699,6.714,1781395199999,True
1781395200000,6.715,6.715,6.687,6.698,1781398799999,True
1781398800000,6.698,6.73,6.681,6.701,1781402399999,True
1781402400000,6.701,6.727,6.695,6.707,1781405999999,True
1781406000000,6.707,6.723,6.693,6.715,1781409599999,True
