open_time,open,high,low,close,close_time,is_closed
1781269200000,0.04097,0.04231,0.04056,0.0417,1781272799999,True
1781272800000,0.04171,0.04279,0.04127,0.04141,1781276399999,True
1781276400000,0.04142,0.04157,0.04061,0.04087,1781279999999,True
1781280000000,0.04088,0.04089,0.03986,0.04043,1781283599999,True
1781283600000,0.04043,0.0419,0.04012,0.04128,1781287199999,True
1781287200000,0.04129,0.04196,0.04026,0.04035,1781290799999,True
1781290800000,0.04035,0.04145,0.03962,0.03996,1781294399999,True
1781294400000,0.03998,0.0401,0.03726,0.03794,1781297999999,True
1781298000000,0.03796,0.03798,0.0368,0.03697,1781301599999,True
1781301600000,0.03703,0.03789,0.03685,0.03756,1781305199999,True
1781305200000,0.03756,0.03815,0.03727,0.038,1781308799999,True
1781308800000,0.038,0.04078,0.03779,0.04,1781312399999,True
1781312400000,0.04,0.04059,0.0397,0.04037,1781315999999,True
1781316000000,0.04037,0.04091,0.04007,0.04071,1781319599999,True
1781319600000,0.04071,0.04165,0.04036,0.04051,1781323199999,True
1781323200000,0.04049,0.0413,0.04017,0.04101,1781326799999,True
1781326800000,0.04099,0.04106,0.04003,0.04037,1781330399999,True
1781330400000,0.04037,0.04046,0.03912,0.03961,1781333999999,True
1781334000000,0.03961,0.0408,0.03935,0.04041,1781337599999,True
1781337600000,0.04037,0.04048,0.03992,0.04019,1781341199999,True
1781341200000,0.04019,0.04114,0.03989,0.04049,1781344799999,True
1781344800000,0.04045,0.04059,0.03955,0.03969,1781348399999,True
1781348400000,0.03973,0.04002,0.03942,0.03957,1781351999999,True
1781352000000,0.03955,0.04116,0.03948,0.04018,1781355599999,True
1781355600000,0.04017,0.04095,0.03998,0.04017,1781359199999,True
1781359200000,0.04017,0.04021,0.03989,0.04006,1781362799999,True
1781362800000,0.04006,0.04062,0.03985,0.04041,1781366399999,True
1781366400000,0.04042,0.04049,0.03945,0.03961,1781369999999,True
1781370000000,0.03962,0.04035,0.0394,0.04025,1781373599999,True
1781373600000,0.04024,0.04036,0.0395,0.03988,1781377199999,True
1781377200000,0.03987,0.03993,0.0395,0.03976,1781380799999,True
1781380800000,0.03976,0.03993,0.03942,0.03954,1781384399999,True
1781384400000,0.03955,0.03997,0.03905,0.0396,1781387999999,True
1781388000000,0.0396,0.03966,0.03936,0.03938,1781391599999,True
1781391600000,0.03938,0.03963,0.03925,0.03952,1781395199999,True
1781395200000,0.03953,0.03974,0.03932,0.03934,1781398799999,True
1781398800000,0.03933,0.03935,0.03872,0.03888,1781402399999,True
1781402400000,0.03887,0.03957,0.03884,0.03939,1781405999999,True
1781406000000,0.03937,0.0396,0.03923,0.0396,1781409599999,True
1781409600000,0.03957,0.03963,0.03911,0.03919,1781413199999,True
1781413200000,0.03918,0.03982,0.0391,0.0395,1781416799999,True
1781416800000,0.03951,0.03964,0.03898,0.039,1781420399999,True
1781420400000,0.03898,0.03989,0.0389,0.03953,1781423999999,True
1781424000000,0.03953,0.04134,0.03939,0.04036,1781427599999,True
1781427600000,0.04035,0.04046,0.03985,0.04008,1781431199999,True
1781431200000,0.04009,0.04098,0.03971,0.03984,1781434799999,True
1781434800000,0.03982,0.04024,0.0393,0.04008,1781438399999,True
1781438400000,0.04005,0.04097,0.04002,0.04084,1781441999999,True
1781442000000,0.04084,0.0414,0.0405,0.04072,1781445599999,True
1781445600000,0.04072,0.04076,0.04015,0.04056,1781449199999,True
1781449200000,0.04056,0.04097,0.04046,0.04072,1781452799999,True
1781452800000,0.04069,0.0407,0.03981,0.0399,1781456399999,True
1781456400000,0.03989,0.04003,0.03963,0.03971,1781459999999,True
1781460000000,0.03972,0.04029,0.03963,0.03965,1781463599999,True
1781463600000,0.03966,0.03995,0.03925,0.03956,1781467199999,True
1781467200000,0.03954,0.03962,0.03876,0.03925,1781470799999,True
1781470800000,0.03928,0.0407,0.0392,0.04053,1781474399999,True
1781474400000,0.04053,0.04072,0.04012,0.04059,1781477999999,True
1781478000000,0.04059,0.04082,0.04027,0.04073,1781481599999,True
1781481600000,0.04076,0.04083,0.04028,0.04048,1781485199999,True
1781485200000,0.04046,0.04087,0.04035,0.04043,1781488799999,True
1781488800000,0.04042,0.04083,0.04017,0.04055,1781492399999,True
1781492400000,0.04055,0.04074,0.04034,0.04038,1781495999999,True
1781496000000,0.04036,0.04128,0.03998,0.04005,1781499599999,True
1781499600000,0.04002,0.04088,0.03992,0.04068,1781503199999,True
1781503200000,0.04067,0.04115,0.04045,0.04052,1781506799999,True
1781506800000,0.04051,0.04066,0.04018,0.04064,1781510399999,True
1781510400000,0.04063,0.0409,0.04028,0.04066,1781513999999,True
1781514000000,0.04066,0.04111,0.04057,0.04081,1781517599999,True
1781517600000,0.0408,0.04127,0.04057,0.04077,1781521199999,True
1781521200000,0.04074,0.04124,0.04068,0.04094,1781524799999,True
1781524800000,0.04095,0.04095,0.04015,0.04056,1781528399999,True
1781528400000,0.04056,0.04073,0.04017,0.04032,1781531999999,True
1781532000000,0.04032,0.04063,0.03982,0.04014,1781535599999,True
1781535600000,0.04013,0.04074,0.0399,0.04064,1781539199999,True
1781539200000,0.04061,0.04079,0.04033,0.04046,1781542799999,True
1781542800000,0.04046,0.04074,0.04033,0.04062,1781546399999,True
1781546400000,0.0406,0.04071,0.04037,0.04048,1781549999999,True
1781550000000,0.04045,0.04118,0.04028,0.04072,1781553599999,True
1781553600000,0.04071,0.04089,0.04041,0.04057,1781557199999,True
1781557200000,0.04057,0.04075,0.0401,0.04036,1781560799999,True
1781560800000,0.04036,0.04042,0.03987,0.04039,1781564399999,True
1781564400000,0.04039,0.04112,0.04034,0.04084,1781567999999,True
1781568000000,0.04085,0.04085,0.04031,0.04061,1781571599999,True
1781571600000,0.0406,0.041,0.04052,0.04067,1781575199999,True
1781575200000,0.04068,0.04081,0.04025,0.04058,1781578799999,True
1781578800000,0.04057,0.04142,0.04042,0.04074,1781582399999,True
1781582400000,0.0407,0.04113,0.04042,0.04092,1781585999999,True
1781586000000,0.0409,0.04124,0.0407,0.0408,1781589599999,True
1781589600000,0.0408,0.04342,0.04065,0.0431,1781593199999,True
1781593200000,0.0431,0.04368,0.04263,0.04301,1781596799999,True
1781596800000,0.04305,0.04352,0.04278,0.04325,1781600399999,True
1781600400000,0.04324,0.04336,0.04199,0.04233,1781603999999,True
1781604000000,0.04231,0.04241,0.04191,0.04206,1781607599999,True
1781607600000,0.04205,0.04206,0.04053,0.04108,1781611199999,True
1781611200000,0.04108,0.0411,0.04062,0.04077,1781614799999,True
1781614800000,0.04077,0.04254,0.04048,0.04252,1781618399999,True
1781618400000,0.04253,0.04302,0.04159,0.04182,1781621999999,True
1781622000000,0.04182,0.04241,0.04115,0.04125,1781625599999,True
