open_time,open,high,low,close,close_time,is_closed
1781269200000,204.42,205.36,201.7,202.78,1781272799999,True
1781272800000,202.78,206.9,202.55,206.6,1781276399999,True
1781276400000,206.61,208.96,204.49,205.02,1781279999999,True
1781280000000,205.04,206.4,204.05,205.68,1781283599999,True
1781283600000,205.69,206.38,204.22,204.32,1781287199999,True
1781287200000,204.33,204.91,203.28,203.4,1781290799999,True
1781290800000,203.4,204.98,203.22,203.94,1781294399999,True
1781294400000,203.94,204.96,203.72,204.43,1781297999999,True
1781298000000,204.43,205.42,203.48,203.82,1781301599999,True
1781301600000,203.82,204.57,202.2,202.35,1781305199999,True
1781305200000,202.33,202.4,200.75,201.98,1781308799999,True
1781308800000,201.98,202.72,201.62,202.29,1781312399999,True
1781312400000,202.3,204.08,202.27,203.92,1781315999999,True
1781316000000,203.93,204.06,202.27,202.55,1781319599999,True
1781319600000,202.56,203.06,201.65,202.86,1781323199999,True
1781323200000,202.87,204.29,202.31,203.58,1781326799999,True
1781326800000,203.58,204.05,200.81,202.96,1781330399999,True
1781330400000,202.96,205.2,202.37,205.14,1781333999999,True
1781334000000,205.12,208.95,204.17,207.58,1781337599999,True
1781337600000,207.56,207.67,206.14,206.38,1781341199999,True
1781341200000,206.38,208.19,206.33,206.97,1781344799999,True
1781344800000,206.98,208.45,206.92,207.26,1781348399999,True
1781348400000,207.26,208.5,207.01,207.72,1781351999999,True
1781352000000,207.72,208.87,207.52,208.11,1781355599999,True
1781355600000,208.09,209.26,207.8,208.7,1781359199999,True
1781359200000,208.69,209.59,207.61,208.56,1781362799999,True
1781362800000,208.56,209.24,207.95,208.55,1781366399999,True
1781366400000,208.56,208.66,206.24,206.95,1781369999999,True
1781370000000,206.94,207.88,205.66,206.1,1781373599999,True
1781373600000,206.1,207.9,205.93,206.75,1781377199999,True
1781377200000,206.76,207.95,206.53,207.37,1781380799999,True
1781380800000,207.36,207.71,206.84,207.57,1781384399999,True
1781384400000,207.58,209.65,206.85,208.83,1781387999999,True
1781388000000,208.85,209.26,208.24,208.29,1781391599999,True
1781391600000,208.29,209.25,207.89,208.48,1781395199999,True
1781395200000,208.48,208.9,207.83,208.29,1781398799999,True
1781398800000,208.3,209.34,207.65,208.61,1781402399999,True
1781402400000,208.61,209.33,208.01,208.29,1781405999999,True
1781406000000,208.28,208.97,208.02,208.67,1781409599999,True
1781409600000,208.66,208.82,206.35,206.39,1781413199999,True
1781413200000,206.38,206.7,202.5,203.39,1781416799999,True
1781416800000,203.4,204.43,202.74,202.96,1781420399999,True
1781420400000,202.95,203.74,202.15,203.3,1781423999999,True
1781424000000,203.31,204.19,203.01,203.5,1781427599999,True
1781427600000,203.5,204.5,202.22,204.37,1781431199999,True
1781431200000,204.34,204.64,203.37,203.66,1781434799999,True
1781434800000,203.67,204.49,203.5,203.96,1781438399999,True
1781438400000,203.96,204.6,202.62,202.89,1781441999999,True
1781442000000,202.9,203.27,201.2,202.17,1781445599999,True
1781445600000,202.18,202.34,199.46,200.92,1781449199999,True
1781449200000,200.91,201.57,200.65,201.43,1781452799999,True
1781452800000,201.43,202.47,201.31,201.97,1781456399999,True
1781456400000,201.97,202.38,200.86,201.15,1781459999999,True
1781460000000,201.15,201.29,196.21,198.53,1781463599999,True
1781463600000,198.53,199.87,198.08,198.89,1781467199999,True
1781467200000,198.9,200.98,198.51,200.52,1781470799999,True
1781470800000,200.52,209.0,200.35,208.27,1781474399999,True
