open_time,open,high,low,close,close_time,is_closed
1781269200000,8.3795,8.666,8.3527,8.5029,1781272799999,True
1781272800000,8.5022,10.0749,8.4813,9.9666,1781276399999,True
1781276400000,9.9674,10.66,9.4411,10.2045,1781279999999,True
1781280000000,10.2033,11.5699,10.1268,10.9692,1781283599999,True
1781283600000,10.9724,11.1499,9.637,9.6957,1781287199999,True
1781287200000,9.6909,10.6452,7.9055,9.1344,1781290799999,True
1781290800000,9.14,9.4823,8.4482,8.6854,1781294399999,True
1781294400000,8.685,8.7596,7.8351,8.1967,1781297999999,True
1781298000000,8.1969,8.219,7.0062,7.7142,1781301599999,True
1781301600000,7.7159,7.737,6.9001,7.3209,1781305199999,True
1781305200000,7.321,7.3643,6.9358,7.0171,1781308799999,True
1781308800000,7.0186,7.7662,6.227,7.6091,1781312399999,True
1781312400000,7.6077,8.1,7.2344,7.8207,1781315999999,True
1781316000000,7.8207,8.0375,7.4897,7.855,1781319599999,True
1781319600000,7.8556,8.2712,7.7828,8.0814,1781323199999,True
1781323200000,8.0814,8.57,8.0391,8.4307,1781326799999,True
1781326800000,8.4304,8.675,8.1082,8.2625,1781330399999,True
1781330400000,8.2621,8.7912,8.2333,8.6342,1781333999999,True
1781334000000,8.6356,8.9698,8.5587,8.8088,1781337599999,True
1781337600000,8.811,9.36,8.8028,9.1279,1781341199999,True
1781341200000,9.1272,9.5336,9.1148,9.4667,1781344799999,True
1781344800000,9.4661,9.5069,9.1292,9.2896,1781348399999,True
1781348400000,9.2896,9.4717,8.1901,8.3781,1781351999999,True
1781352000000,8.3784,9.1857,8.1236,8.6988,1781355599999,True
1781355600000,8.696,8.7392,8.375,8.5466,1781359199999,True
1781359200000,8.5462,8.7299,7.62,7.7732,1781362799999,True
1781362800000,7.7735,7.8819,7.243,7.4271,1781366399999,True
1781366400000,7.4275,7.5729,7.0088,7.1203,1781369999999,True
1781370000000,7.1195,7.9778,7.1069,7.3268,1781373599999,True
1781373600000,7.3267,7.4898,6.95,7.0194,1781377199999,True
1781377200000,7.0207,7.4927,6.85,7.2482,1781380799999,True
1781380800000,7.2481,7.59,7.0866,7.4609,1781384399999,True
1781384400000,7.4622,7.5785,7.3035,7.4006,1781387999999,True
1781388000000,7.4006,7.5535,7.3351,7.375,1781391599999,True
1781391600000,7.3743,7.8856,7.2865,7.7391,1781395199999,True
1781395200000,7.739,8.2499,7.7369,7.8875,1781398799999,True
1781398800000,7.8894,7.8921,7.2091,7.3492,1781402399999,True
1781402400000,7.35,7.5936,7.2144,7.3833,1781405999999,True
1781406000000,7.3833,7.4098,6.8255,6.9912,1781409599999,True
1781409600000,6.9923,7.0887,6.6602,6.7804,1781413199999,True
1781413200000,6.7803,7.3827,6.514,7.2037,1781416799999,True
1781416800000,7.2044,7.3411,6.6605,6.8966,1781420399999,True
1781420400000,6.8976,7.1948,6.7214,7.1345,1781423999999,True
1781424000000,7.1351,7.1779,6.3651,6.5427,1781427599999,True
1781427600000,6.5431,6.5785,6.0168,6.1134,1781431199999,True
1781431200000,6.1144,6.1363,5.8049,5.9742,1781434799999,True
1781434800000,5.9744,5.9745,5.255,5.3979,1781438399999,True
1781438400000,5.3979,5.7753,5.3571,5.4906,1781441999999,True
1781442000000,5.49,5.7216,5.4009,5.5309,1781445599999,True
1781445600000,5.5309,5.6902,5.2647,5.5054,1781449199999,True
1781449200000,5.5051,5.9864,5.4527,5.4937,1781452799999,True
1781452800000,5.4938,5.8509,5.4101,5.4475,1781456399999,True
1781456400000,5.4477,5.5884,5.1809,5.3821,1781459999999,True
1781460000000,5.3823,5.5441,5.25,5.2738,1781463599999,True
1781463600000,5.2738,5.3896,5.2073,5.2619,1781467199999,True
1781467200000,5.2631,5.299,5.0455,5.1601,1781470799999,True
1781470800000,5.1601,5.7154,4.91,5.5966,1781474399999,True
1781474400000,5.5958,5.6539,5.232,5.5458,1781477999999,True
1781478000000,5.5469,5.5695,5.3807,5.4941,1781481599999,True
1781481600000,5.4941,5.6368,5.1151,5.3012,1781485199999,True
1781485200000,5.3015,5.6162,5.2305,5.3449,1781488799999,True
1781488800000,5.3455,5.76,5.2717,5.4868,1781492399999,True
1781492400000,5.4855,5.6779,5.3776,5.4174,1781495999999,True
1781496000000,5.4174,5.6733,5.3887,5.6309,1781499599999,True
1781499600000,5.631,5.8154,5.5143,5.7579,1781503199999,True
1781503200000,5.7584,5.7612,5.3162,5.4426,1781506799999,True
1781506800000,5.4427,5.4608,4.4444,4.6681,1781510399999,True
1781510400000,4.6682,4.722,4.4101,4.5138,1781513999999,True
1781514000000,4.5136,4.5365,4.3104,4.3624,1781517599999,True
1781517600000,4.3626,4.5226,4.2594,4.3045,1781521199999,True
1781521200000,4.3043,4.7461,4.0614,4.3139,1781524799999,True
1781524800000,4.3137,4.4434,4.0823,4.2386,1781528399999,True
1781528400000,4.2379,4.2704,4.0845,4.1221,1781531999999,True
1781532000000,4.1221,4.2295,3.9404,3.9716,1781535599999,True
1781535600000,3.9718,4.09,3.7729,3.8653,1781539199999,True
1781539200000,3.8652,4.2679,3.6848,3.806,1781542799999,True
1781542800000,3.8059,4.1144,3.7791,3.9224,1781546399999,True
1781546400000,3.923,4.2396,3.8611,4.1618,1781549999999,True
1781550000000,4.1614,4.1991,3.8792,3.9042,1781553599999,True
1781553600000,3.9039,4.1338,3.8958,4.0834,1781557199999,True
1781557200000,4.0832,4.1598,3.9851,4.0155,1781560799999,True
1781560800000,4.0159,4.0271,3.8711,3.9498,1781564399999,True
1781564400000,3.9498,4.0241,3.9002,3.9869,1781567999999,True
1781568000000,3.9868,4.224,3.9634,4.1467,1781571599999,True
1781571600000,4.1464,4.2039,4.0428,4.1593,1781575199999,True
1781575200000,4.1593,4.3911,4.08,4.125,1781578799999,True
1781578800000,4.1255,4.2385,3.9177,4.022,1781582399999,True
1781582400000,4.022,4.12,3.9233,3.9885,1781585999999,True
1781586000000,3.9886,4.002,3.6281,3.7162,1781589599999,True
1781589600000,3.7162,3.7668,3.5512,3.5894,1781593199999,True
1781593200000,3.5895,3.728,3.5682,3.6431,1781596799999,True
1781596800000,3.6431,3.696,3.4651,3.5034,1781600399999,True
1781600400000,3.5034,3.504,3.2865,3.3284,1781603999999,True
1781604000000,3.3286,3.34,3.1728,3.1926,1781607599999,True
1781607600000,3.1925,3.241,3.0801,3.198,1781611199999,True
1781611200000,3.198,3.1985,2.6157,2.6285,1781614799999,True
1781614800000,2.6287,2.8983,2.5055,2.8466,1781618399999,True
1781618400000,2.8454,3.2021,2.7217,2.9975,1781621999999,True
1781622000000,2.9975,3.17,2.7603,2.8681,1781625599999,True
1781625600000,2.8681,2.8728,2.5786,2.6042,1781629199999,True
1781629200000,2.6034,2.6745,2.4615,2.5141,1781632799999,True
1781632800000,2.514,2.5715,2.4084,2.472,1781636399999,True
1781636400000,2.472,2.5197,2.4027,2.4415,1781639999999,True
1781640000000,2.4415,2.7051,2.4282,2.6646,1781643599999,True
1781643600000,2.6647,2.6804,2.5377,2.5516,1781647199999,True
1781647200000,2.5516,2.5889,2.4521,2.4741,1781650799999,True
1781650800000,2.4745,2.5099,2.4334,2.4492,1781654399999,True
1781654400000,2.4492,2.5794,2.4334,2.4429,1781657999999,True
1781658000000,2.4428,2.4553,2.2479,2.3199,1781661599999,True
1781661600000,2.3194,3.0479,2.3145,2.7157,1781665199999,True
1781665200000,2.7158,2.8267,2.622,2.7706,1781668799999,True
1781668800000,2.7712,2.9714,2.6309,2.7005,1781672399999,True
1781672400000,2.7004,2.7484,2.1337,2.1987,1781675999999,True
1781676000000,2.1987,2.222,2.0406,2.103,1781679599999,True
1781679600000,2.105,2.189,2.018,2.05,1781683199999,True
1781683200000,2.051,2.102,1.951,1.979,1781686799999,True
1781686800000,1.978,2.027,1.846,1.937,1781690399999,True
1781690400000,1.937,1.98,1.805,1.835,1781693999999,True
1781694000000,1.835,1.839,1.733,1.787,1781697599999,True
1781697600000,1.788,1.828,1.704,1.747,1781701199999,True
1781701200000,1.7476,1.913,1.659,1.85,1781704799999,True
1781704800000,1.852,1.957,1.748,1.944,1781708399999,True
1781708400000,1.943,1.952,1.792,1.826,1781711999999,True
1781712000000,1.827,1.839,1.737,1.764,1781715599999,True
1781715600000,1.764,1.821,1.675,1.753,1781719199999,True
1781719200000,1.754,1.767,1.599,1.659,1781722799999,True
1781722800000,1.658,1.666,1.545,1.595,1781726399999,True
1781726400000,1.595,1.667,1.588,1.633,1781729999999,True
1781730000000,1.633,1.698,1.617,1.683,1781733599999,True
1781733600000,1.683,1.807,1.654,1.762,1781737199999,True
1781737200000,1.763,1.884,1.717,1.862,1781740799999,True
1781740800000,1.862,2.059,1.83,1.846,1781744399999,True
1781744400000,1.844,1.98,1.762,1.796,1781747999999,True
1781748000000,1.795,1.832,1.736,1.76,1781751599999,True
1781751600000,1.76,1.934,1.726,1.89,1781755199999,True
1781755200000,1.89,2.032,1.83,1.908,1781758799999,True
1781758800000,1.909,1.942,1.609,1.643,1781762399999,True
1781762400000,1.643,1.741,1.604,1.638,1781765999999,True
1781766000000,1.638,1.6443,1.459,1.518,1781769599999,True
1781769600000,1.518,1.586,1.493,1.55,1781773199999,True
1781773200000,1.55,1.584,1.514,1.559,1781776799999,True
1781776800000,1.56,1.574,1.515,1.559,1781780399999,True
1781780400000,1.559,1.57,1.497,1.519,1781783999999,True
1781784000000,1.518,1.524,1.462,1.515,1781787599999,True
1781787600000,1.515,1.7,1.509,1.64,1781791199999,True
1781791200000,1.64,1.821,1.595,1.72,1781794799999,True
1781794800000,1.719,1.78,1.684,1.743,1781798399999,True
1781798400000,1.742,1.899,1.734,1.812,1781801999999,True
1781802000000,1.811,1.812,1.618,1.707,1781805599999,True
1781805600000,1.708,1.83,1.696,1.805,1781809199999,True
1781809200000,1.806,1.929,1.781,1.909,1781812799999,True
1781812800000,1.91,1.937,1.798,1.833,1781816399999,True
1781816400000,1.833,1.834,1.702,1.73,1781819999999,True
1781820000000,1.73,1.732,1.661,1.675,1781823599999,True
1781823600000,1.674,1.715,1.648,1.656,1781827199999,True
1781827200000,1.657,1.705,1.607,1.683,1781830799999,True
1781830800000,1.684,1.716,1.623,1.685,1781834399999,True
1781834400000,1.685,1.794,1.656,1.782,1781837999999,True
1781838000000,1.782,1.854,1.721,1.837,1781841599999,True
1781841600000,1.836,1.928,1.831,1.886,1781845199999,True
1781845200000,1.885,2.015,1.78,1.881,1781848799999,True
1781848800000,1.882,2.156,1.864,1.892,1781852399999,True
1781852400000,1.892,1.96,1.634,1.642,1781855999999,True
1781856000000,1.642,1.884,1.502,1.866,1781859599999,True
1781859600000,1.866,1.946,1.611,1.633,1781863199999,True
1781863200000,1.634,1.77,1.58,1.756,1781866799999,True
1781866800000,1.756,2.052,1.732,2.011,1781870399999,True
1781870400000,2.011,2.096,1.831,1.957,1781873999999,True
