open_time,open,high,low,close,close_time,is_closed
1781269200000,0.07145,0.07255,0.0712,0.07177,1781272799999,True
1781272800000,0.07179,0.07244,0.07111,0.07162,1781276399999,True
1781276400000,0.07165,0.07176,0.06987,0.07022,1781279999999,True
1781280000000,0.07022,0.07268,0.07021,0.07258,1781283599999,True
1781283600000,0.07259,0.07265,0.0709,0.07173,1781287199999,True
1781287200000,0.07172,0.07217,0.07077,0.07114,1781290799999,True
1781290800000,0.07115,0.0717,0.0711,0.07145,1781294399999,True
1781294400000,0.07144,0.0746,0.07128,0.07456,1781297999999,True
1781298000000,0.07456,0.075,0.07293,0.0732,1781301599999,True
1781301600000,0.07319,0.07415,0.07312,0.07357,1781305199999,True
1781305200000,0.07357,0.07367,0.0725,0.07362,1781308799999,True
1781308800000,0.07362,0.0745,0.0734,0.07429,1781312399999,True
1781312400000,0.07428,0.07469,0.07323,0.07418,1781315999999,True
1781316000000,0.07418,0.07418,0.0728,0.07406,1781319599999,True
1781319600000,0.07406,0.07417,0.07264,0.07321,1781323199999,True
1781323200000,0.0732,0.0735,0.07069,0.07148,1781326799999,True
1781326800000,0.07148,0.07207,0.07142,0.07197,1781330399999,True
1781330400000,0.07196,0.07197,0.06944,0.06968,1781333999999,True
1781334000000,0.06968,0.0718,0.06901,0.0705,1781337599999,True
1781337600000,0.07049,0.07109,0.07023,0.07035,1781341199999,True
1781341200000,0.07035,0.07054,0.06919,0.0698,1781344799999,True
1781344800000,0.06981,0.0711,0.0698,0.0703,1781348399999,True
1781348400000,0.07029,0.07052,0.06979,0.07016,1781351999999,True
1781352000000,0.07016,0.07021,0.06912,0.06921,1781355599999,True
1781355600000,0.06922,0.06994,0.06884,0.0691,1781359199999,True
1781359200000,0.0691,0.06944,0.06874,0.06911,1781362799999,True
1781362800000,0.06912,0.06916,0.06844,0.06855,1781366399999,True
1781366400000,0.06855,0.06964,0.06831,0.06944,1781369999999,True
1781370000000,0.06945,0.07017,0.06867,0.06941,1781373599999,True
1781373600000,0.06941,0.06995,0.06902,0.06912,1781377199999,True
1781377200000,0.06912,0.07016,0.06909,0.06995,1781380799999,True
1781380800000,0.06996,0.07069,0.06968,0.07036,1781384399999,True
1781384400000,0.07036,0.07268,0.07036,0.07233,1781387999999,True
1781388000000,0.07236,0.075,0.07204,0.07432,1781391599999,True
1781391600000,0.07433,0.07453,0.07304,0.07319,1781395199999,True
1781395200000,0.0732,0.07395,0.07244,0.07328,1781398799999,True
1781398800000,0.07327,0.07455,0.07318,0.07338,1781402399999,True
1781402400000,0.07337,0.07344,0.07154,0.07216,1781405999999,True
1781406000000,0.07216,0.0724,0.07099,0.07127,1781409599999,True
1781409600000,0.07126,0.07165,0.07106,0.07124,1781413199999,True
1781413200000,0.07125,0.07214,0.07045,0.07064,1781416799999,True
1781416800000,0.07064,0.07252,0.07035,0.0719,1781420399999,True
1781420400000,0.0719,0.07308,0.07141,0.07271,1781423999999,True
1781424000000,0.07271,0.07408,0.07206,0.07408,1781427599999,True
1781427600000,0.07407,0.07608,0.07405,0.07546,1781431199999,True
1781431200000,0.07547,0.07721,0.07461,0.07679,1781434799999,True
1781434800000,0.0768,0.07691,0.07329,0.07513,1781438399999,True
1781438400000,0.07515,0.07553,0.07407,0.07519,1781441999999,True
1781442000000,0.07519,0.07581,0.07365,0.07519,1781445599999,True
1781445600000,0.0752,0.07556,0.07307,0.07334,1781449199999,True
1781449200000,0.07334,0.07507,0.0731,0.07488,1781452799999,True
1781452800000,0.07488,0.07509,0.07312,0.07334,1781456399999,True
1781456400000,0.07333,0.0737,0.07236,0.07264,1781459999999,True
1781460000000,0.07262,0.07267,0.07096,0.07173,1781463599999,True
1781463600000,0.07174,0.07261,0.07117,0.0714,1781467199999,True
1781467200000,0.07141,0.07234,0.07122,0.07215,1781470799999,True
1781470800000,0.07215,0.0738,0.07172,0.07308,1781474399999,True
1781474400000,0.07309,0.07411,0.07278,0.07334,1781477999999,True
1781478000000,0.07335,0.07435,0.07307,0.07407,1781481599999,True
1781481600000,0.07406,0.07483,0.07376,0.07441,1781485199999,True
1781485200000,0.07442,0.07468,0.07359,0.07446,1781488799999,True
1781488800000,0.07446,0.07464,0.07334,0.07351,1781492399999,True
1781492400000,0.07351,0.07406,0.07298,0.07334,1781495999999,True
1781496000000,0.07334,0.07387,0.07292,0.07309,1781499599999,True
1781499600000,0.07309,0.07327,0.0721,0.07275,1781503199999,True
1781503200000,0.07274,0.07314,0.07224,0.07255,1781506799999,True
1781506800000,0.07255,0.07365,0.0723,0.07317,1781510399999,True
1781510400000,0.07317,0.07347,0.07153,0.07187,1781513999999,True
