open_time,open,high,low,close,close_time,is_closed
1781269200000,606.74,607.69,603.75,605.76,1781272799999,True
1781272800000,605.76,610.73,605.45,609.97,1781276399999,True
1781276400000,609.97,613.9,605.36,605.66,1781279999999,True
1781280000000,605.66,609.41,605.0,608.87,1781283599999,True
1781283600000,608.88,609.82,606.22,607.1,1781287199999,True
1781287200000,607.11,608.36,605.8,606.13,1781290799999,True
1781290800000,606.13,606.94,603.01,603.79,1781294399999,True
1781294400000,603.79,604.99,603.07,603.15,1781297999999,True
1781298000000,603.14,604.84,602.58,603.84,1781301599999,True
1781301600000,603.83,604.43,602.58,603.16,1781305199999,True
1781305200000,603.16,604.36,602.3,604.08,1781308799999,True
1781308800000,604.08,605.59,603.67,605.26,1781312399999,True
1781312400000,605.27,606.57,604.13,606.4,1781315999999,True
1781316000000,606.41,606.48,603.57,603.99,1781319599999,True
1781319600000,603.99,604.91,600.66,600.67,1781323199999,True
1781323200000,600.66,601.6,599.71,599.85,1781326799999,True
1781326800000,599.86,600.98,599.7,600.74,1781330399999,True
1781330400000,600.73,603.24,600.67,602.99,1781333999999,True
1781334000000,603.0,604.33,601.97,603.5,1781337599999,True
1781337600000,603.51,604.8,603.0,604.17,1781341199999,True
1781341200000,604.17,604.6,603.51,604.04,1781344799999,True
1781344800000,604.04,605.94,603.87,605.27,1781348399999,True
1781348400000,605.26,607.95,605.11,607.0,1781351999999,True
1781352000000,607.0,609.35,606.51,609.21,1781355599999,True
1781355600000,609.22,610.53,608.07,609.03,1781359199999,True
1781359200000,609.02,611.0,608.05,610.92,1781362799999,True
1781362800000,610.91,611.5,609.72,610.77,1781366399999,True
1781366400000,610.77,610.91,607.81,609.31,1781369999999,True
1781370000000,609.31,609.56,607.07,607.41,1781373599999,True
1781373600000,607.4,609.13,607.4,608.1,1781377199999,True
1781377200000,608.1,609.2,607.67,608.81,1781380799999,True
1781380800000,608.81,609.66,608.0,609.38,1781384399999,True
1781384400000,609.38,612.71,608.45,610.07,1781387999999,True
1781388000000,610.08,610.19,608.73,609.29,1781391599999,True
1781391600000,609.3,611.1,609.0,609.9,1781395199999,True
1781395200000,609.9,610.5,609.03,609.75,1781398799999,True
1781398800000,609.74,611.29,609.22,609.49,1781402399999,True
1781402400000,609.5,610.89,609.3,609.55,1781405999999,True
1781406000000,609.55,610.47,608.73,610.32,1781409599999,True
1781409600000,610.32,610.5,608.1,608.9,1781413199999,True
1781413200000,608.9,610.31,608.82,610.3,1781416799999,True
1781416800000,610.29,612.43,610.29,611.58,1781420399999,True
1781420400000,611.57,611.93,609.92,610.53,1781423999999,True
1781424000000,610.54,611.86,610.34,610.73,1781427599999,True
1781427600000,610.74,613.32,609.84,612.13,1781431199999,True
1781431200000,612.12,613.44,611.04,611.28,1781434799999,True
1781434800000,611.29,613.29,611.29,612.6,1781438399999,True
1781438400000,612.6,612.86,610.0,611.42,1781441999999,True
1781442000000,611.42,612.45,611.15,611.45,1781445599999,True
1781445600000,611.46,612.02,605.48,606.03,1781449199999,True
1781449200000,606.04,608.55,605.97,608.32,1781452799999,True
1781452800000,608.32,609.0,606.27,606.4,1781456399999,True
1781456400000,606.41,607.91,604.2,604.38,1781459999999,True
1781460000000,604.39,605.55,603.69,604.55,1781463599999,True
1781463600000,604.55,605.16,603.05,603.52,1781467199999,True
1781467200000,603.52,606.07,603.0,605.16,1781470799999,True
1781470800000,605.16,617.63,604.97,614.87,1781474399999,True
1781474400000,614.87,617.08,612.03,614.51,1781477999999,True
1781478000000,614.5,617.36,613.09,617.17,1781481599999,True
1781481600000,617.18,618.54,615.02,615.93,1781485199999,True
