open_time,open,high,low,close,close_time,is_closed
1781269200000,0.2352,0.2367,0.2347,0.2356,1781272799999,True
1781272800000,0.2356,0.2365,0.234,0.2355,1781276399999,True
1781276400000,0.2355,0.24,0.2355,0.2397,1781279999999,True
1781280000000,0.2398,0.2457,0.2388,0.2442,1781283599999,True
1781283600000,0.2442,0.2444,0.2368,0.2386,1781287199999,True
1781287200000,0.2387,0.239,0.2369,0.2374,1781290799999,True
1781290800000,0.2374,0.2384,0.2369,0.2372,1781294399999,True
1781294400000,0.2371,0.2389,0.237,0.2376,1781297999999,True
1781298000000,0.2376,0.2387,0.2371,0.2372,1781301599999,True
1781301600000,0.2372,0.2381,0.2359,0.2363,1781305199999,True
1781305200000,0.2364,0.2389,0.2358,0.2383,1781308799999,True
1781308800000,0.2383,0.2425,0.2382,0.2419,1781312399999,True
1781312400000,0.242,0.2425,0.2381,0.2386,1781315999999,True
1781316000000,0.2386,0.2389,0.2366,0.2366,1781319599999,True
1781319600000,0.2366,0.237,0.2352,0.2357,1781323199999,True
1781323200000,0.2357,0.2361,0.2348,0.2354,1781326799999,True
1781326800000,0.2354,0.2368,0.2325,0.2353,1781330399999,True
1781330400000,0.2351,0.2355,0.2322,0.2336,1781333999999,True
1781334000000,0.2336,0.2368,0.2331,0.2348,1781337599999,True
1781337600000,0.2349,0.2361,0.2336,0.2356,1781341199999,True
1781341200000,0.2356,0.2367,0.2305,0.2341,1781344799999,True
1781344800000,0.2342,0.2419,0.2339,0.2345,1781348399999,True
1781348400000,0.2345,0.2348,0.2326,0.2328,1781351999999,True
1781352000000,0.2327,0.2336,0.2314,0.2333,1781355599999,True
1781355600000,0.2333,0.2352,0.2331,0.2351,1781359199999,True
1781359200000,0.235,0.2362,0.2321,0.2337,1781362799999,True
1781362800000,0.2337,0.2337,0.2321,0.2329,1781366399999,True
1781366400000,0.2328,0.2331,0.2319,0.2326,1781369999999,True
1781370000000,0.2326,0.2333,0.204,0.2183,1781373599999,True
1781373600000,0.2183,0.222,0.2173,0.2211,1781377199999,True
1781377200000,0.2212,0.2233,0.2209,0.2225,1781380799999,True
1781380800000,0.2224,0.2236,0.2209,0.2222,1781384399999,True
1781384400000,0.2221,0.2239,0.2216,0.2234,1781387999999,True
1781388000000,0.2234,0.2238,0.2215,0.2218,1781391599999,True
1781391600000,0.2218,0.2228,0.2213,0.222,1781395199999,True
1781395200000,0.2221,0.223,0.2215,0.2227,1781398799999,True
1781398800000,0.2227,0.2235,0.2223,0.2231,1781402399999,True
1781402400000,0.2232,0.2235,0.2225,0.2229,1781405999999,True
1781406000000,0.223,0.2254,0.2224,0.2241,1781409599999,True
1781409600000,0.2241,0.2409,0.223,0.2386,1781413199999,True
1781413200000,0.2386,0.242,0.2359,0.2372,1781416799999,True
1781416800000,0.2372,0.2378,0.2333,0.2362,1781420399999,True
1781420400000,0.2362,0.2378,0.2351,0.2372,1781423999999,True
1781424000000,0.2372,0.2385,0.236,0.2383,1781427599999,True
1781427600000,0.2383,0.2388,0.237,0.2376,1781431199999,True
1781431200000,0.2376,0.2383,0.2366,0.2369,1781434799999,True
1781434800000,0.237,0.2374,0.2353,0.2356,1781438399999,True
1781438400000,0.2356,0.2361,0.2331,0.2332,1781441999999,True
1781442000000,0.2332,0.2398,0.2319,0.2385,1781445599999,True
1781445600000,0.2386,0.2399,0.2346,0.2355,1781449199999,True
1781449200000,0.2355,0.2356,0.234,0.2353,1781452799999,True
1781452800000,0.2353,0.2366,0.2326,0.2365,1781456399999,True
1781456400000,0.2364,0.2368,0.2341,0.2346,1781459999999,True
1781460000000,0.2345,0.2345,0.2327,0.2339,1781463599999,True
1781463600000,0.2339,0.2345,0.2334,0.2343,1781467199999,True
1781467200000,0.2342,0.2357,0.234,0.2346,1781470799999,True
1781470800000,0.2347,0.245,0.2346,0.2383,1781474399999,True
1781474400000,0.2383,0.2386,0.2365,0.2371,1781477999999,True
1781478000000,0.2371,0.2381,0.2363,0.2376,1781481599999,True
1781481600000,0.2376,0.2377,0.2366,0.2369,1781485199999,True
1781485200000,0.237,0.2392,0.237,0.2373,1781488799999,True
1781488800000,0.2374,0.2378,0.2365,0.2375,1781492399999,True
1781492400000,0.2376,0.2388,0.2354,0.2369,1781495999999,True
1781496000000,0.237,0.2394,0.2352,0.2358,1781499599999,True
1781499600000,0.2359,0.2375,0.2357,0.2365,1781503199999,True
1781503200000,0.2366,0.2375,0.2365,0.2371,1781506799999,True
1781506800000,0.237,0.2371,0.2346,0.2347,1781510399999,True
1781510400000,0.2348,0.2356,0.2339,0.2353,1781513999999,True
1781514000000,0.2353,0.2357,0.2343,0.2348,1781517599999,True
1781517600000,0.2347,0.235,0.2333,0.2337,1781521199999,True
1781521200000,0.2337,0.2362,0.2336,0.2354,1781524799999,True
1781524800000,0.2355,0.2411,0.235,0.2374,1781528399999,True
1781528400000,0.2374,0.2548,0.2369,0.2538,1781531999999,True
1781532000000,0.2537,0.254,0.2533,0.2539,1781535599999,True
1781535600000,0.2538,0.254,0.2531,0.254,1781539199999,True
1781539200000,0.254,0.254,0.2532,0.2539,1781542799999,True
1781542800000,0.2538,0.254,0.2535,0.2539,1781546399999,True
1781546400000,0.2539,0.254,0.2536,0.2539,1781549999999,True
1781550000000,0.2538,0.254,0.2512,0.2519,1781553599999,True
1781553600000,0.2519,0.2528,0.251,0.252,1781557199999,True
1781557200000,0.2522,0.2525,0.2517,0.2525,1781560799999,True
1781560800000,0.2525,0.2538,0.2514,0.2528,1781564399999,True
1781564400000,0.2527,0.2538,0.2519,0.252,1781567999999,True
1781568000000,0.252,0.2527,0.2505,0.2508,1781571599999,True
1781571600000,0.2508,0.251,0.2489,0.2492,1781575199999,True
1781575200000,0.2492,0.2509,0.2473,0.2502,1781578799999,True
1781578800000,0.2503,0.2773,0.2501,0.2739,1781582399999,True
1781582400000,0.2736,0.28,0.2718,0.2787,1781585999999,True
1781586000000,0.2786,0.2801,0.2637,0.2674,1781589599999,True
1781589600000,0.2672,0.2674,0.2386,0.2423,1781593199999,True
1781593200000,0.2424,0.245,0.2417,0.243,1781596799999,True
