open_time,open,high,low,close,close_time,is_closed
1781269200000,86.85,88.56,86.73,88.43,1781272799999,True
1781272800000,88.42,88.58,86.37,86.54,1781276399999,True
1781276400000,86.54,86.61,85.62,85.89,1781279999999,True
1781280000000,85.89,86.35,85.68,86.23,1781283599999,True
1781283600000,86.22,86.4,85.92,86.27,1781287199999,True
1781287200000,86.27,86.4,85.76,85.89,1781290799999,True
1781290800000,85.89,86.07,85.71,85.74,1781294399999,True
1781294400000,85.73,85.93,85.63,85.72,1781297999999,True
1781298000000,85.73,86.1,85.72,85.82,1781301599999,True
1781301600000,85.82,85.88,83.14,84.78,1781305199999,True
1781305200000,84.77,85.04,84.55,84.88,1781308799999,True
1781308800000,84.88,85.36,84.11,85.16,1781312399999,True
1781312400000,85.16,85.51,84.92,85.18,1781315999999,True
1781316000000,85.18,85.31,84.43,84.82,1781319599999,True
1781319600000,84.82,84.93,84.54,84.77,1781323199999,True
1781323200000,84.76,85.14,84.56,84.91,1781326799999,True
1781326800000,84.91,85.02,84.57,84.68,1781330399999,True
1781330400000,84.67,84.75,84.08,84.57,1781333999999,True
1781334000000,84.57,84.95,84.54,84.84,1781337599999,True
1781337600000,84.85,84.97,84.71,84.84,1781341199999,True
1781341200000,84.84,84.99,84.72,84.78,1781344799999,True
1781344800000,84.78,84.95,84.0,84.76,1781348399999,True
1781348400000,84.76,84.79,84.29,84.42,1781351999999,True
1781352000000,84.42,84.5,83.7,84.08,1781355599999,True
1781355600000,84.08,84.33,83.81,84.21,1781359199999,True
1781359200000,84.21,84.51,83.65,83.98,1781362799999,True
1781362800000,83.98,84.14,83.88,84.03,1781366399999,True
1781366400000,84.03,84.45,83.22,84.09,1781369999999,True
1781370000000,84.1,84.35,83.49,83.5,1781373599999,True
1781373600000,83.5,83.86,83.3,83.65,1781377199999,True
1781377200000,83.65,84.08,83.54,83.91,1781380799999,True
1781380800000,83.91,84.18,83.87,84.06,1781384399999,True
1781384400000,84.06,84.37,83.79,84.13,1781387999999,True
1781388000000,84.12,84.29,84.06,84.11,1781391599999,True
1781391600000,84.12,84.29,84.05,84.14,1781395199999,True
1781395200000,84.15,84.31,84.09,84.1,1781398799999,True
1781398800000,84.1,84.32,83.93,84.24,1781402399999,True
1781402400000,84.24,84.25,84.04,84.16,1781405999999,True
1781406000000,84.16,84.21,83.89,83.94,1781409599999,True
1781409600000,83.94,84.1,83.94,84.04,1781413199999,True
1781413200000,84.04,84.1,83.96,84.07,1781416799999,True
1781416800000,84.06,84.09,83.87,84.03,1781420399999,True
1781420400000,84.03,84.09,82.88,83.21,1781423999999,True
1781424000000,83.21,83.56,82.9,83.42,1781427599999,True
1781427600000,83.41,83.92,83.41,83.63,1781431199999,True
1781431200000,83.63,83.96,83.4,83.92,1781434799999,True
1781434800000,83.92,84.08,83.7,83.75,1781438399999,True
1781438400000,83.74,84.83,83.63,84.83,1781441999999,True
1781442000000,84.83,84.88,84.33,84.62,1781445599999,True
1781445600000,84.62,85.25,83.69,84.05,1781449199999,True
1781449200000,84.04,84.82,84.01,84.7,1781452799999,True
1781452800000,84.69,85.0,83.86,84.17,1781456399999,True
1781456400000,84.16,84.38,83.89,84.06,1781459999999,True
1781460000000,84.07,85.08,84.06,84.98,1781463599999,True
1781463600000,84.98,85.22,84.45,84.45,1781467199999,True
1781467200000,84.44,84.72,83.72,84.3,1781470799999,True
1781470800000,84.3,84.43,79.51,80.82,1781474399999,True
1781474400000,80.82,83.92,80.8,83.13,1781477999999,True
1781478000000,83.13,83.19,82.71,82.95,1781481599999,True
1781481600000,82.94,83.21,82.37,82.92,1781485199999,True
1781485200000,82.93,83.22,82.51,82.98,1781488799999,True
1781488800000,82.98,82.98,82.17,82.25,1781492399999,True
1781492400000,82.26,82.64,82.19,82.47,1781495999999,True
1781496000000,82.47,82.58,82.37,82.4,1781499599999,True
1781499600000,82.4,83.0,82.38,82.83,1781503199999,True
1781503200000,82.84,83.08,82.45,82.59,1781506799999,True
1781506800000,82.59,82.72,81.91,82.45,1781510399999,True
1781510400000,82.45,82.82,82.06,82.25,1781513999999,True
1781514000000,82.25,82.47,81.82,82.27,1781517599999,True
1781517600000,82.26,82.55,82.06,82.44,1781521199999,True
1781521200000,82.45,82.51,82.08,82.43,1781524799999,True
1781524800000,82.43,82.61,82.2,82.39,1781528399999,True
1781528400000,82.4,82.65,82.12,82.18,1781531999999,True
1781532000000,82.17,82.32,81.73,82.32,1781535599999,True
1781535600000,82.32,82.57,81.88,81.94,1781539199999,True
1781539200000,81.94,82.32,81.8,82.31,1781542799999,True
1781542800000,82.31,82.48,82.07,82.34,1781546399999,True
1781546400000,82.35,82.58,82.17,82.49,1781549999999,True
1781550000000,82.49,82.92,82.49,82.73,1781553599999,True
1781553600000,82.74,82.99,82.58,82.61,1781557199999,True
1781557200000,82.61,82.86,82.45,82.7,1781560799999,True
1781560800000,82.7,82.91,82.47,82.86,1781564399999,True
1781564400000,82.86,82.98,82.74,82.92,1781567999999,True
1781568000000,82.92,82.92,82.64,82.76,1781571599999,True
1781571600000,82.76,82.81,82.34,82.45,1781575199999,True
1781575200000,82.45,82.57,82.06,82.17,1781578799999,True
1781578800000,82.18,82.24,82.04,82.14,1781582399999,True
1781582400000,82.14,82.27,82.02,82.04,1781585999999,True
1781586000000,82.04,82.07,81.78,82.03,1781589599999,True
1781589600000,82.03,82.26,81.86,82.05,1781593199999,True
1781593200000,82.04,82.04,81.07,81.14,1781596799999,True
1781596800000,81.14,81.32,80.28,80.45,1781600399999,True
1781600400000,80.45,81.09,80.45,80.81,1781603999999,True
1781604000000,80.8,80.82,80.23,80.41,1781607599999,True
1781607600000,80.4,80.46,80.14,80.25,1781611199999,True
1781611200000,80.25,80.26,79.1,79.58,1781614799999,True
1781614800000,79.58,80.31,79.54,80.08,1781618399999,True
1781618400000,80.08,80.2,79.35,79.58,1781621999999,True
1781622000000,79.58,79.81,78.21,78.54,1781625599999,True
1781625600000,78.54,78.73,78.1,78.37,1781629199999,True
1781629200000,78.37,78.73,78.25,78.55,1781632799999,True
1781632800000,78.56,79.02,78.41,78.93,1781636399999,True
1781636400000,78.94,79.68,78.91,79.38,1781639999999,True
1781640000000,79.38,79.42,79.05,79.21,1781643599999,True
1781643600000,79.2,79.31,78.89,79.05,1781647199999,True
1781647200000,79.05,79.42,78.86,79.27,1781650799999,True
1781650800000,79.26,79.29,79.08,79.21,1781654399999,True
1781654400000,79.21,79.28,78.96,79.24,1781657999999,True
1781658000000,79.24,79.28,78.72,78.79,1781661599999,True
1781661600000,78.79,78.92,78.67,78.79,1781665199999,True
1781665200000,78.79,78.79,78.18,78.29,1781668799999,True
1781668800000,78.29,78.58,78.19,78.31,1781672399999,True
1781672400000,78.31,79.15,77.88,78.88,1781675999999,True
1781676000000,78.88,79.02,78.06,78.32,1781679599999,True
1781679600000,78.31,78.58,77.63,78.44,1781683199999,True
1781683200000,78.43,79.22,78.21,78.85,1781686799999,True
1781686800000,78.85,79.07,78.33,78.79,1781690399999,True
1781690400000,78.8,79.17,78.47,79.05,1781693999999,True
1781694000000,79.04,79.64,78.91,79.38,1781697599999,True
1781697600000,79.39,79.56,79.15,79.3,1781701199999,True
1781701200000,79.29,79.97,79.23,79.77,1781704799999,True
1781704800000,79.78,82.13,79.47,80.2,1781708399999,True
1781708400000,80.2,80.36,79.07,79.2,1781711999999,True
1781712000000,79.21,79.59,78.87,78.92,1781715599999,True
1781715600000,78.92,79.55,78.67,78.88,1781719199999,True
1781719200000,78.89,79.47,78.77,78.97,1781722799999,True
1781722800000,78.98,79.09,78.61,78.7,1781726399999,True
1781726400000,78.69,78.77,78.38,78.46,1781729999999,True
1781730000000,78.45,78.83,78.36,78.53,1781733599999,True
1781733600000,78.53,79.14,78.38,78.79,1781737199999,True
1781737200000,78.79,78.86,78.58,78.82,1781740799999,True
1781740800000,78.81,78.83,78.39,78.69,1781744399999,True
1781744400000,78.68,78.79,78.05,78.23,1781747999999,True
1781748000000,78.22,78.48,78.03,78.26,1781751599999,True
1781751600000,78.26,78.28,78.0,78.02,1781755199999,True
1781755200000,78.02,78.07,77.58,77.67,1781758799999,True
1781758800000,77.67,77.76,77.33,77.56,1781762399999,True
1781762400000,77.56,77.74,76.94,77.62,1781765999999,True
1781766000000,77.62,78.14,77.43,77.79,1781769599999,True
1781769600000,77.78,78.03,77.41,77.54,1781773199999,True
1781773200000,77.54,77.9,77.35,77.51,1781776799999,True
1781776800000,77.51,78.74,77.49,78.25,1781780399999,True
1781780400000,78.25,78.57,78.04,78.37,1781783999999,True
1781784000000,78.37,78.43,77.97,78.13,1781787599999,True
1781787600000,78.14,78.27,76.68,76.82,1781791199999,True
1781791200000,76.82,77.09,76.45,76.85,1781794799999,True
1781794800000,76.85,77.44,76.38,77.39,1781798399999,True
1781798400000,77.4,77.86,77.18,77.76,1781801999999,True
1781802000000,77.75,78.1,77.55,78.0,1781805599999,True
1781805600000,78.01,79.68,78.01,79.16,1781809199999,True
1781809200000,79.17,79.38,79.04,79.34,1781812799999,True
1781812800000,79.33,79.41,78.86,79.1,1781816399999,True
1781816400000,79.11,79.11,78.76,78.95,1781819999999,True
1781820000000,78.94,79.28,78.86,78.97,1781823599999,True
1781823600000,78.97,79.02,78.71,78.97,1781827199999,True
1781827200000,78.97,78.97,78.57,78.66,1781830799999,True
1781830800000,78.66,79.3,78.59,79.26,1781834399999,True
1781834400000,79.26,79.41,79.07,79.17,1781837999999,True
1781838000000,79.17,79.31,78.77,78.85,1781841599999,True
1781841600000,78.85,79.46,78.82,79.18,1781845199999,True
1781845200000,79.19,79.94,79.16,79.67,1781848799999,True
1781848800000,79.68,80.16,79.51,79.59,1781852399999,True
1781852400000,79.6,79.99,79.37,79.67,1781855999999,True
1781856000000,79.68,79.87,78.82,79.14,1781859599999,True
1781859600000,79.14,79.18,78.67,78.89,1781863199999,True
1781863200000,78.9,79.47,78.89,79.15,1781866799999,True
1781866800000,79.15,79.74,79.11,79.39,1781870399999,True
1781870400000,79.39,80.06,78.65,78.71,1781873999999,True
1781874000000,78.71,79.45,78.46,79.43,1781877599999,True
1781877600000,79.43,79.74,79.35,79.7,1781881199999,True
1781881200000,79.7,80.24,79.64,80.09,1781884799999,True
1781884800000,80.11,80.37,79.98,80.06,1781888399999,True
1781888400000,80.06,80.06,79.61,79.85,1781891999999,True
1781892000000,79.85,79.96,79.76,79.88,1781895599999,True
1781895600000,79.88,80.05,79.68,79.73,1781899199999,True
1781899200000,79.73,80.1,79.68,80.01,1781902799999,True
1781902800000,80.02,81.55,79.98,81.41,1781906399999,True
1781906400000,81.42,81.45,80.58,80.66,1781909999999,True
