open_time,open,high,low,close,close_time,is_closed
1781269200000,83.57,85.46,83.44,85.41,1781272799999,True
1781272800000,85.41,85.65,83.28,83.49,1781276399999,True
1781276400000,83.49,83.56,82.67,82.98,1781279999999,True
1781280000000,82.99,83.51,82.69,83.37,1781283599999,True
1781283600000,83.36,83.53,82.99,83.39,1781287199999,True
1781287200000,83.39,83.54,82.83,82.96,1781290799999,True
1781290800000,82.96,83.18,82.81,82.85,1781294399999,True
1781294400000,82.85,83.04,82.8,82.91,1781297999999,True
1781298000000,82.91,83.27,82.89,82.95,1781301599999,True
1781301600000,82.95,83.07,80.63,82.26,1781305199999,True
1781305200000,82.26,82.46,82.05,82.19,1781308799999,True
1781308800000,82.19,82.55,81.51,82.38,1781312399999,True
1781312400000,82.38,82.72,82.1,82.49,1781315999999,True
1781316000000,82.49,82.65,81.92,82.31,1781319599999,True
1781319600000,82.32,82.33,81.85,82.03,1781323199999,True
1781323200000,82.03,82.38,81.88,82.18,1781326799999,True
1781326800000,82.19,82.27,81.89,81.95,1781330399999,True
1781330400000,81.95,82.04,81.41,81.8,1781333999999,True
1781334000000,81.8,82.1,81.62,81.83,1781337599999,True
1781337600000,81.83,81.93,81.75,81.86,1781341199999,True
1781341200000,81.87,82.0,81.7,81.75,1781344799999,True
1781344800000,81.75,81.95,81.62,81.8,1781348399999,True
1781348400000,81.8,81.83,81.31,81.45,1781351999999,True
1781352000000,81.46,81.55,80.86,81.29,1781355599999,True
1781355600000,81.3,81.62,81.04,81.48,1781359199999,True
1781359200000,81.48,81.69,80.89,81.24,1781362799999,True
1781362800000,81.23,81.29,81.11,81.24,1781366399999,True
1781366400000,81.25,81.65,80.5,81.2,1781369999999,True
1781370000000,81.21,81.41,80.66,80.66,1781373599999,True
1781373600000,80.67,80.94,80.43,80.8,1781377199999,True
1781377200000,80.8,81.21,80.67,81.0,1781380799999,True
1781380800000,81.01,81.28,80.96,81.12,1781384399999,True
1781384400000,81.13,81.45,81.01,81.27,1781387999999,True
1781388000000,81.27,81.4,81.19,81.2,1781391599999,True
1781391600000,81.21,81.35,81.08,81.17,1781395199999,True
1781395200000,81.16,81.28,81.15,81.15,1781398799999,True
1781398800000,81.15,81.26,81.01,81.23,1781402399999,True
1781402400000,81.23,81.25,81.11,81.23,1781405999999,True
1781406000000,81.23,81.26,81.05,81.12,1781409599999,True
1781409600000,81.11,81.16,81.04,81.13,1781413199999,True
1781413200000,81.13,81.19,81.08,81.14,1781416799999,True
1781416800000,81.14,81.17,80.87,81.07,1781420399999,True
1781420400000,81.08,81.09,80.22,80.51,1781423999999,True
1781424000000,80.51,80.77,80.31,80.69,1781427599999,True
1781427600000,80.68,81.01,80.47,80.72,1781431199999,True
1781431200000,80.73,81.12,80.54,81.09,1781434799999,True
1781434800000,81.1,81.15,80.85,80.92,1781438399999,True
1781438400000,80.92,81.67,80.8,81.66,1781441999999,True
1781442000000,81.66,81.85,81.2,81.71,1781445599999,True
1781445600000,81.72,82.55,80.68,81.12,1781449199999,True
1781449200000,81.11,81.8,81.08,81.7,1781452799999,True
1781452800000,81.69,81.91,80.87,81.17,1781456399999,True
1781456400000,81.16,81.43,80.94,81.18,1781459999999,True
1781460000000,81.19,82.24,81.19,82.11,1781463599999,True
1781463600000,82.11,82.39,81.53,81.54,1781467199999,True
1781467200000,81.53,81.76,80.72,81.16,1781470799999,True
1781470800000,81.17,81.29,77.0,78.08,1781474399999,True
1781474400000,78.07,80.73,77.93,80.05,1781477999999,True
1781478000000,80.06,80.12,79.58,79.78,1781481599999,True
1781481600000,79.78,79.98,79.19,79.69,1781485199999,True
1781485200000,79.69,79.96,79.29,79.7,1781488799999,True
1781488800000,79.69,79.69,78.82,78.94,1781492399999,True
