open_time,open,high,low,close,close_time,is_closed
1781269200000,82.24,82.86,78.75,79.15,1781272799999,True
1781272800000,79.16,81.24,79.02,81.18,1781276399999,True
1781276400000,81.2,81.39,77.7,77.89,1781279999999,True
1781280000000,77.9,79.69,77.76,79.43,1781283599999,True
1781283600000,79.44,79.92,78.8,78.83,1781287199999,True
1781287200000,78.83,79.16,78.31,78.35,1781290799999,True
1781290800000,78.35,79.16,77.89,77.9,1781294399999,True
1781294400000,77.9,78.72,77.74,78.21,1781297999999,True
1781298000000,78.22,78.54,78.12,78.49,1781301599999,True
1781301600000,78.5,78.56,78.17,78.24,1781305199999,True
1781305200000,78.24,78.4,78.23,78.4,1781308799999,True
1781308800000,78.4,79.07,78.4,78.94,1781312399999,True
1781312400000,78.94,79.34,78.9,79.16,1781315999999,True
1781316000000,79.17,79.2,78.8,78.85,1781319599999,True
1781319600000,78.85,78.99,78.52,78.73,1781323199999,True
1781323200000,78.73,78.84,78.63,78.67,1781326799999,True
1781326800000,78.68,78.96,78.59,78.96,1781330399999,True
1781330400000,78.97,79.34,78.7,79.28,1781333999999,True
1781334000000,79.28,79.82,79.17,79.53,1781337599999,True
1781337600000,79.53,79.72,79.39,79.44,1781341199999,True
1781341200000,79.44,79.51,79.29,79.42,1781344799999,True
1781344800000,79.43,79.6,79.31,79.52,1781348399999,True
1781348400000,79.52,79.58,79.13,79.3,1781351999999,True
1781352000000,79.3,79.9,79.22,79.83,1781355599999,True
1781355600000,79.83,79.89,79.41,79.47,1781359199999,True
1781359200000,79.47,79.8,79.42,79.67,1781362799999,True
1781362800000,79.68,79.93,79.46,79.83,1781366399999,True
1781366400000,79.84,79.86,79.05,79.48,1781369999999,True
1781370000000,79.48,79.66,79.24,79.45,1781373599999,True
1781373600000,79.45,79.65,79.18,79.35,1781377199999,True
1781377200000,79.35,79.54,79.25,79.46,1781380799999,True
1781380800000,79.46,79.53,79.25,79.51,1781384399999,True
1781384400000,79.51,79.85,79.35,79.73,1781387999999,True
1781388000000,79.73,79.79,79.52,79.66,1781391599999,True
1781391600000,79.66,79.87,79.64,79.75,1781395199999,True
1781395200000,79.75,79.79,79.5,79.77,1781398799999,True
1781398800000,79.77,79.96,79.71,79.87,1781402399999,True
1781402400000,79.87,80.03,79.86,80.02,1781405999999,True
1781406000000,80.02,80.06,79.94,80.01,1781409599999,True
1781409600000,80.01,80.03,79.17,79.21,1781413199999,True
1781413200000,79.21,79.48,79.15,79.41,1781416799999,True
1781416800000,79.41,79.66,79.09,79.38,1781420399999,True
1781420400000,79.39,79.48,79.25,79.47,1781423999999,True
1781424000000,79.47,79.73,79.29,79.62,1781427599999,True
1781427600000,79.62,79.87,79.33,79.8,1781431199999,True
1781431200000,79.79,80.13,79.69,79.9,1781434799999,True
1781434800000,79.89,80.25,79.88,79.98,1781438399999,True
1781438400000,79.98,80.02,78.94,79.1,1781441999999,True
1781442000000,79.09,79.27,78.74,79.17,1781445599999,True
1781445600000,79.17,79.18,78.17,78.77,1781449199999,True
1781449200000,78.76,78.94,78.5,78.5,1781452799999,True
1781452800000,78.5,78.7,78.22,78.23,1781456399999,True
1781456400000,78.22,78.52,78.15,78.21,1781459999999,True
1781460000000,78.21,78.38,78.16,78.27,1781463599999,True
1781463600000,78.27,78.4,78.2,78.22,1781467199999,True
1781467200000,78.23,78.57,78.18,78.47,1781470799999,True
1781470800000,78.47,80.84,78.44,80.18,1781474399999,True
1781474400000,80.18,80.82,79.61,80.4,1781477999999,True
1781478000000,80.4,81.9,79.54,81.69,1781481599999,True
1781481600000,81.69,82.56,81.2,81.44,1781485199999,True
1781485200000,81.45,81.71,80.87,81.13,1781488799999,True
1781488800000,81.13,81.75,80.93,81.53,1781492399999,True
1781492400000,81.53,82.08,81.47,81.99,1781495999999,True
1781496000000,81.99,82.06,81.44,81.84,1781499599999,True
1781499600000,81.84,82.11,81.63,82.02,1781503199999,True
1781503200000,82.02,82.56,81.94,82.51,1781506799999,True
1781506800000,82.51,82.79,82.18,82.32,1781510399999,True
1781510400000,82.32,83.0,82.26,82.52,1781513999999,True
1781514000000,82.53,82.65,81.7,81.86,1781517599999,True
1781517600000,81.87,82.08,81.33,81.87,1781521199999,True
1781521200000,81.87,82.3,81.37,81.79,1781524799999,True
1781524800000,81.79,82.34,81.39,82.27,1781528399999,True
1781528400000,82.27,86.99,82.14,86.92,1781531999999,True
1781532000000,86.91,87.29,84.33,85.64,1781535599999,True
1781535600000,85.63,86.49,85.1,86.05,1781539199999,True
1781539200000,86.05,86.38,84.81,84.85,1781542799999,True
1781542800000,84.84,85.09,84.3,84.7,1781546399999,True
1781546400000,84.7,84.99,83.17,83.23,1781549999999,True
1781550000000,83.22,83.86,82.96,83.47,1781553599999,True
1781553600000,83.47,84.29,83.4,84.08,1781557199999,True
1781557200000,84.07,84.13,83.65,83.69,1781560799999,True
1781560800000,83.69,83.81,83.23,83.5,1781564399999,True
1781564400000,83.5,83.86,83.26,83.86,1781567999999,True
1781568000000,83.85,83.95,82.94,83.01,1781571599999,True
1781571600000,83.01,83.44,82.67,83.26,1781575199999,True
1781575200000,83.26,83.39,82.58,82.89,1781578799999,True
1781578800000,82.89,83.9,82.87,83.78,1781582399999,True
1781582400000,83.78,83.97,83.33,83.44,1781585999999,True
1781586000000,83.44,83.89,83.43,83.59,1781589599999,True
