open_time,open,high,low,close,close_time,is_closed
1781269200000,21.96,21.971,21.366,21.622,1781272799999,True
1781272800000,21.621,21.995,21.18,21.825,1781276399999,True
1781276400000,21.825,21.885,20.99,21.055,1781279999999,True
1781280000000,21.054,21.191,20.869,21.019,1781283599999,True
1781283600000,21.018,21.052,20.813,20.961,1781287199999,True
1781287200000,20.961,21.042,20.725,20.743,1781290799999,True
1781290800000,20.742,20.906,20.723,20.828,1781294399999,True
1781294400000,20.836,20.964,20.711,20.711,1781297999999,True
1781298000000,20.715,20.737,20.575,20.622,1781301599999,True
1781301600000,20.625,20.737,19.724,19.983,1781305199999,True
1781305200000,19.977,20.183,19.428,19.513,1781308799999,True
1781308800000,19.513,19.7,19.288,19.289,1781312399999,True
1781312400000,19.289,19.409,19.025,19.085,1781315999999,True
1781316000000,19.088,19.214,18.971,19.078,1781319599999,True
1781319600000,19.081,19.157,18.71,18.878,1781323199999,True
1781323200000,18.878,19.189,18.821,19.079,1781326799999,True
1781326800000,19.082,19.535,19.049,19.508,1781330399999,True
1781330400000,19.509,19.548,19.25,19.27,1781333999999,True
1781334000000,19.28,19.38,18.94,19.02,1781337599999,True
1781337600000,19.04,19.14,15.85,17.46,1781341199999,True
1781341200000,17.45,17.68,17.216,17.41,1781344799999,True
1781344800000,17.41,19.24,15.2,18.92,1781348399999,True
1781348400000,18.94,19.24,17.37,17.49,1781351999999,True
1781352000000,17.5,18.06,17.13,17.9,1781355599999,True
1781355600000,17.9,18.17,17.55,17.84,1781359199999,True
1781359200000,17.86,17.94,17.14,17.22,1781362799999,True
1781362800000,17.21,17.98,17.072,17.11,1781366399999,True
1781366400000,17.11,17.35,16.94,16.99,1781369999999,True
1781370000000,17.01,17.13,16.91,17.0,1781373599999,True
1781373600000,16.99,17.35,16.91,17.0,1781377199999,True
1781377200000,17.01,17.48,16.956,17.3,1781380799999,True
1781380800000,17.3,18.18,17.25,17.55,1781384399999,True
1781384400000,17.56,17.66,17.45,17.47,1781387999999,True
1781388000000,17.47,17.6,17.34,17.57,1781391599999,True
1781391600000,17.58,17.61,17.22,17.28,1781395199999,True
1781395200000,17.3,18.2,17.15,17.97,1781398799999,True
1781398800000,17.97,18.46,17.71,17.77,1781402399999,True
1781402400000,17.77,18.36,17.75,18.06,1781405999999,True
1781406000000,18.06,18.35,17.96,18.17,1781409599999,True
1781409600000,18.17,18.31,17.85,17.98,1781413199999,True
1781413200000,17.96,18.27,17.48,17.56,1781416799999,True
1781416800000,17.56,18.23,17.47,18.14,1781420399999,True
1781420400000,18.14,18.14,17.62,17.66,1781423999999,True
1781424000000,17.66,18.12,17.57,17.72,1781427599999,True
1781427600000,17.7,18.1,17.55,17.91,1781431199999,True
1781431200000,17.9,18.04,17.72,17.77,1781434799999,True
1781434800000,17.78,18.276,17.77,18.01,1781438399999,True
1781438400000,18.01,18.33,17.731,18.12,1781441999999,True
1781442000000,18.12,18.19,17.93,17.99,1781445599999,True
1781445600000,18.0,18.1,17.786,17.93,1781449199999,True
1781449200000,17.93,18.01,17.75,17.91,1781452799999,True
1781452800000,17.92,18.1,17.86,17.88,1781456399999,True
1781456400000,17.88,17.93,17.8,17.84,1781459999999,True
1781460000000,17.84,18.0,17.8,17.88,1781463599999,True
1781463600000,17.88,18.04,17.53,17.77,1781467199999,True
1781467200000,17.77,17.88,17.74,17.81,1781470799999,True
1781470800000,17.81,18.2,17.76,17.89,1781474399999,True
1781474400000,17.89,17.92,17.54,17.58,1781477999999,True
1781478000000,17.58,18.23,17.51,17.91,1781481599999,True
1781481600000,17.91,18.09,17.64,17.68,1781485199999,True
1781485200000,17.68,17.74,17.48,17.48,1781488799999,True
1781488800000,17.49,18.42,17.43,18.04,1781492399999,True
1781492400000,18.03,18.04,17.67,17.7,1781495999999,True
1781496000000,17.7,18.25,17.56,17.81,1781499599999,True
1781499600000,17.81,18.36,17.53,17.7,1781503199999,True
1781503200000,17.71,18.21,17.56,17.97,1781506799999,True
1781506800000,17.97,19.88,17.82,19.26,1781510399999,True
1781510400000,19.27,19.78,18.71,18.9,1781513999999,True
1781514000000,18.9,19.14,18.78,19.01,1781517599999,True
1781517600000,19.01,19.06,18.86,18.93,1781521199999,True
1781521200000,18.93,19.16,18.74,18.98,1781524799999,True
1781524800000,18.97,19.08,18.93,18.99,1781528399999,True
1781528400000,19.0,19.01,18.75,18.79,1781531999999,True
1781532000000,18.81,18.91,18.57,18.58,1781535599999,True
1781535600000,18.6,18.67,18.48,18.59,1781539199999,True
1781539200000,18.58,18.956,18.5,18.74,1781542799999,True
1781542800000,18.74,18.88,18.7,18.83,1781546399999,True
1781546400000,18.82,19.09,18.78,19.03,1781549999999,True
1781550000000,19.01,19.08,18.93,18.96,1781553599999,True
1781553600000,18.98,19.1,18.92,18.98,1781557199999,True
1781557200000,18.99,19.07,18.94,18.99,1781560799999,True
1781560800000,18.99,19.14,18.96,18.99,1781564399999,True
1781564400000,19.01,19.06,18.95,18.99,1781567999999,True
1781568000000,18.99,19.05,18.93,18.99,1781571599999,True
1781571600000,18.99,19.09,18.89,18.96,1781575199999,True
1781575200000,18.96,19.08,18.93,19.06,1781578799999,True
1781578800000,19.06,19.44,19.03,19.44,1781582399999,True
1781582400000,19.44,19.62,19.26,19.47,1781585999999,True
1781586000000,19.49,19.57,19.34,19.48,1781589599999,True
1781589600000,19.48,19.55,19.25,19.29,1781593199999,True
1781593200000,19.27,19.3,18.81,18.87,1781596799999,True
1781596800000,18.87,19.04,18.65,19.0,1781600399999,True
1781600400000,19.0,19.049,18.87,18.91,1781603999999,True
1781604000000,18.9,19.01,18.75,18.84,1781607599999,True
1781607600000,18.84,18.87,18.61,18.67,1781611199999,True
1781611200000,18.69,18.72,18.5,18.51,1781614799999,True
1781614800000,18.51,18.68,18.49,18.58,1781618399999,True
1781618400000,18.58,18.82,18.58,18.73,1781621999999,True
1781622000000,18.75,18.821,18.68,18.8,1781625599999,True
1781625600000,18.79,19.04,18.79,18.97,1781629199999,True
1781629200000,18.97,19.01,18.68,18.7,1781632799999,True
1781632800000,18.7,18.8,18.49,18.51,1781636399999,True
1781636400000,18.51,18.52,18.31,18.36,1781639999999,True
1781640000000,18.36,18.54,18.29,18.49,1781643599999,True
1781643600000,18.49,18.86,18.45,18.8,1781647199999,True
1781647200000,18.8,18.84,18.61,18.66,1781650799999,True
1781650800000,18.66,18.85,18.44,18.47,1781654399999,True
1781654400000,18.47,18.75,18.47,18.61,1781657999999,True
1781658000000,18.61,18.67,18.44,18.46,1781661599999,True
1781661600000,18.46,18.53,18.27,18.33,1781665199999,True
1781665200000,18.33,18.46,18.25,18.31,1781668799999,True
1781668800000,18.32,18.37,17.8,17.86,1781672399999,True
1781672400000,17.86,17.87,17.5,17.58,1781675999999,True
1781676000000,17.58,17.68,17.07,17.2,1781679599999,True
1781679600000,17.21,17.78,17.08,17.71,1781683199999,True
1781683200000,17.71,17.73,17.08,17.33,1781686799999,True
1781686800000,17.31,17.36,17.11,17.22,1781690399999,True
1781690400000,17.22,18.269,15.22,15.86,1781693999999,True
1781694000000,15.86,16.28,15.63,15.94,1781697599999,True
1781697600000,15.94,16.45,15.31,15.55,1781701199999,True
1781701200000,15.56,16.19,15.23,15.83,1781704799999,True
1781704800000,15.83,15.92,15.68,15.78,1781708399999,True
1781708400000,15.78,15.81,15.53,15.6,1781711999999,True
1781712000000,15.61,15.94,15.38,15.38,1781715599999,True
1781715600000,15.38,15.518,14.81,14.96,1781719199999,True
1781719200000,14.96,15.23,14.706,14.74,1781722799999,True
1781722800000,14.74,15.49,14.72,15.02,1781726399999,True
1781726400000,15.02,15.24,14.82,14.84,1781729999999,True
1781730000000,14.84,14.97,14.71,14.75,1781733599999,True
1781733600000,14.75,14.87,14.59,14.7,1781737199999,True
1781737200000,14.7,14.75,14.47,14.51,1781740799999,True
1781740800000,14.51,14.82,14.46,14.8,1781744399999,True
1781744400000,14.8,14.84,13.1,13.95,1781747999999,True
1781748000000,13.92,14.07,13.55,13.73,1781751599999,True
1781751600000,13.73,14.05,13.53,13.7,1781755199999,True
