open_time,open,high,low,close,close_time,is_closed
1781269200000,0.08696,0.08733,0.08662,0.08695,1781272799999,True
1781272800000,0.08695,0.09246,0.0869,0.09054,1781276399999,True
1781276400000,0.09055,0.0908,0.08709,0.08738,1781279999999,True
1781280000000,0.08738,0.08874,0.08715,0.08873,1781283599999,True
1781283600000,0.08874,0.08898,0.08769,0.08782,1781287199999,True
1781287200000,0.08783,0.08807,0.08739,0.08753,1781290799999,True
1781290800000,0.08753,0.08809,0.08728,0.08738,1781294399999,True
1781294400000,0.08738,0.08782,0.0873,0.08744,1781297999999,True
1781298000000,0.08745,0.08768,0.0865,0.08668,1781301599999,True
1781301600000,0.08667,0.08681,0.08612,0.08633,1781305199999,True
1781305200000,0.08633,0.08634,0.08554,0.08594,1781308799999,True
1781308800000,0.08594,0.08615,0.08574,0.08604,1781312399999,True
1781312400000,0.08605,0.08674,0.08603,0.0867,1781315999999,True
1781316000000,0.08671,0.08687,0.08617,0.08639,1781319599999,True
1781319600000,0.0864,0.08653,0.08601,0.08625,1781323199999,True
1781323200000,0.08624,0.08643,0.08597,0.08603,1781326799999,True
1781326800000,0.08604,0.08625,0.08575,0.08611,1781330399999,True
1781330400000,0.08612,0.08674,0.08604,0.08661,1781333999999,True
1781334000000,0.08661,0.08729,0.0864,0.08703,1781337599999,True
1781337600000,0.08703,0.08737,0.08686,0.08708,1781341199999,True
1781341200000,0.08709,0.08743,0.08699,0.08713,1781344799999,True
1781344800000,0.08713,0.08749,0.08708,0.08728,1781348399999,True
1781348400000,0.08729,0.08793,0.08721,0.08792,1781351999999,True
1781352000000,0.08793,0.08874,0.08769,0.08852,1781355599999,True
1781355600000,0.08853,0.08854,0.08794,0.08809,1781359199999,True
1781359200000,0.08809,0.08841,0.088,0.08834,1781362799999,True
1781362800000,0.08833,0.08879,0.08823,0.08831,1781366399999,True
1781366400000,0.08831,0.08834,0.08746,0.08786,1781369999999,True
1781370000000,0.08786,0.0879,0.08733,0.08756,1781373599999,True
1781373600000,0.08756,0.08782,0.0875,0.08763,1781377199999,True
1781377200000,0.08762,0.08784,0.08745,0.08758,1781380799999,True
1781380800000,0.08757,0.08774,0.08747,0.0876,1781384399999,True
1781384400000,0.08761,0.08854,0.08758,0.08812,1781387999999,True
1781388000000,0.08813,0.08814,0.08775,0.08779,1781391599999,True
1781391600000,0.08779,0.08802,0.08767,0.08783,1781395199999,True
1781395200000,0.08782,0.0879,0.08752,0.08765,1781398799999,True
1781398800000,0.08765,0.08798,0.08754,0.08776,1781402399999,True
1781402400000,0.08776,0.08807,0.08772,0.08788,1781405999999,True
1781406000000,0.08788,0.08813,0.08775,0.08802,1781409599999,True
1781409600000,0.08803,0.08809,0.08738,0.08755,1781413199999,True
1781413200000,0.08756,0.08774,0.08721,0.0876,1781416799999,True
1781416800000,0.0876,0.08782,0.08736,0.08746,1781420399999,True
1781420400000,0.08747,0.08747,0.08696,0.08713,1781423999999,True
1781424000000,0.08714,0.08743,0.08699,0.08716,1781427599999,True
1781427600000,0.08717,0.08742,0.08663,0.08738,1781431199999,True
1781431200000,0.08739,0.08745,0.08703,0.08707,1781434799999,True
1781434800000,0.08707,0.08723,0.08696,0.08698,1781438399999,True
1781438400000,0.08699,0.08705,0.08633,0.08652,1781441999999,True
1781442000000,0.08653,0.08665,0.08613,0.08646,1781445599999,True
1781445600000,0.08647,0.0865,0.08563,0.08598,1781449199999,True
1781449200000,0.08599,0.08632,0.08585,0.08625,1781452799999,True
1781452800000,0.08625,0.08663,0.08624,0.08639,1781456399999,True
1781456400000,0.0864,0.0866,0.0862,0.08631,1781459999999,True
1781460000000,0.08632,0.08643,0.08608,0.08631,1781463599999,True
1781463600000,0.08631,0.08658,0.08619,0.08636,1781467199999,True
1781467200000,0.08637,0.08692,0.08625,0.08658,1781470799999,True
1781470800000,0.08659,0.08908,0.08655,0.08852,1781474399999,True
1781474400000,0.08853,0.08878,0.08793,0.08834,1781477999999,True
1781478000000,0.08835,0.08895,0.08807,0.08886,1781481599999,True
1781481600000,0.08886,0.08914,0.08846,0.08877,1781485199999,True
1781485200000,0.08878,0.08886,0.08822,0.08839,1781488799999,True
1781488800000,0.08839,0.08918,0.08831,0.08873,1781492399999,True
1781492400000,0.08872,0.0891,0.08863,0.08893,1781495999999,True
1781496000000,0.08894,0.08899,0.08852,0.08854,1781499599999,True
1781499600000,0.08853,0.08892,0.08843,0.08869,1781503199999,True
1781503200000,0.08869,0.08895,0.08858,0.08868,1781506799999,True
1781506800000,0.08867,0.08872,0.08832,0.08848,1781510399999,True
1781510400000,0.08849,0.08888,0.08838,0.08849,1781513999999,True
1781514000000,0.08848,0.0887,0.08808,0.08854,1781517599999,True
1781517600000,0.08854,0.08946,0.0884,0.08916,1781521199999,True
1781521200000,0.08916,0.09008,0.08897,0.08967,1781524799999,True
1781524800000,0.08967,0.0902,0.08947,0.09002,1781528399999,True
1781528400000,0.09002,0.09088,0.08992,0.0903,1781531999999,True
1781532000000,0.09029,0.09032,0.08903,0.08949,1781535599999,True
1781535600000,0.08948,0.09075,0.08916,0.09065,1781539199999,True
1781539200000,0.09065,0.09066,0.08999,0.09003,1781542799999,True
1781542800000,0.09002,0.09005,0.08922,0.08963,1781546399999,True
1781546400000,0.08963,0.0897,0.08918,0.08928,1781549999999,True
1781550000000,0.08928,0.0897,0.08852,0.08895,1781553599999,True
1781553600000,0.08893,0.08919,0.0886,0.08895,1781557199999,True
1781557200000,0.08895,0.08912,0.08857,0.08878,1781560799999,True
1781560800000,0.08879,0.08892,0.08768,0.08797,1781564399999,True
1781564400000,0.08797,0.08823,0.08774,0.08808,1781567999999,True
1781568000000,0.08808,0.08827,0.0876,0.08771,1781571599999,True
1781571600000,0.0877,0.08809,0.08767,0.08781,1781575199999,True
1781575200000,0.08782,0.08795,0.08673,0.08694,1781578799999,True
1781578800000,0.08695,0.0875,0.08682,0.08742,1781582399999,True
1781582400000,0.08743,0.08753,0.08665,0.08689,1781585999999,True
1781586000000,0.0869,0.0873,0.08689,0.08722,1781589599999,True
1781589600000,0.08722,0.08767,0.08721,0.08757,1781593199999,True
1781593200000,0.08758,0.08781,0.0874,0.08779,1781596799999,True
1781596800000,0.0878,0.08905,0.08756,0.08879,1781600399999,True
1781600400000,0.0888,0.08892,0.08836,0.08849,1781603999999,True
1781604000000,0.0885,0.08864,0.08821,0.08823,1781607599999,True
1781607600000,0.08823,0.0884,0.08779,0.08817,1781611199999,True
1781611200000,0.08817,0.08889,0.08786,0.08838,1781614799999,True
1781614800000,0.08839,0.08845,0.08717,0.08738,1781618399999,True
1781618400000,0.08738,0.08774,0.08617,0.08664,1781621999999,True
1781622000000,0.08663,0.08739,0.08651,0.08713,1781625599999,True
1781625600000,0.08714,0.08727,0.08634,0.08652,1781629199999,True
1781629200000,0.08652,0.08732,0.08648,0.08722,1781632799999,True
1781632800000,0.08722,0.08784,0.08716,0.08754,1781636399999,True
1781636400000,0.08753,0.08767,0.08694,0.08726,1781639999999,True
1781640000000,0.08725,0.08776,0.08706,0.08763,1781643599999,True
1781643600000,0.08763,0.08774,0.08725,0.08744,1781647199999,True
1781647200000,0.08743,0.08761,0.08714,0.08731,1781650799999,True
1781650800000,0.08731,0.0874,0.08695,0.08712,1781654399999,True
1781654400000,0.08712,0.08746,0.08707,0.08736,1781657999999,True
1781658000000,0.08736,0.08783,0.08694,0.08774,1781661599999,True
1781661600000,0.08773,0.08807,0.08746,0.08773,1781665199999,True
1781665200000,0.08774,0.08774,0.08724,0.08744,1781668799999,True
1781668800000,0.08744,0.08781,0.08731,0.08747,1781672399999,True
1781672400000,0.08747,0.08765,0.08717,0.08735,1781675999999,True
1781676000000,0.08735,0.08748,0.0867,0.08698,1781679599999,True
1781679600000,0.08698,0.0872,0.08653,0.08685,1781683199999,True
1781683200000,0.08686,0.08688,0.0857,0.08592,1781686799999,True
1781686800000,0.08592,0.08621,0.08586,0.08602,1781690399999,True
1781690400000,0.08602,0.08613,0.08585,0.08594,1781693999999,True
1781694000000,0.08593,0.08606,0.08542,0.08578,1781697599999,True
1781697600000,0.08579,0.08623,0.08542,0.0862,1781701199999,True
