open_time,open,high,low,close,close_time,is_closed
1781269200000,0.5884,0.589,0.5466,0.5589,1781272799999,True
1781272800000,0.5588,0.5613,0.5483,0.549,1781276399999,True
1781276400000,0.5487,0.5605,0.5398,0.5409,1781279999999,True
1781280000000,0.5409,0.5534,0.538,0.5496,1781283599999,True
1781283600000,0.5496,0.5561,0.5342,0.5541,1781287199999,True
1781287200000,0.554,0.5556,0.5425,0.5447,1781290799999,True
1781290800000,0.5449,0.5516,0.5434,0.548,1781294399999,True
1781294400000,0.5478,0.5499,0.5343,0.5366,1781297999999,True
1781298000000,0.5368,0.5414,0.5349,0.538,1781301599999,True
1781301600000,0.5381,0.5435,0.5322,0.5339,1781305199999,True
1781305200000,0.5339,0.5413,0.5331,0.5389,1781308799999,True
1781308800000,0.5391,0.5418,0.5338,0.5349,1781312399999,True
1781312400000,0.5349,0.5393,0.5327,0.5342,1781315999999,True
1781316000000,0.5342,0.536,0.53,0.5331,1781319599999,True
1781319600000,0.5331,0.5442,0.53,0.535,1781323199999,True
1781323200000,0.535,0.614,0.5135,0.5424,1781326799999,True
1781326800000,0.542,0.5779,0.5211,0.5658,1781330399999,True
1781330400000,0.5658,0.5905,0.5638,0.5862,1781333999999,True
1781334000000,0.5863,0.5905,0.565,0.5691,1781337599999,True
1781337600000,0.5688,0.5811,0.5621,0.578,1781341199999,True
1781341200000,0.578,0.5818,0.574,0.5772,1781344799999,True
1781344800000,0.5772,0.5798,0.563,0.5676,1781348399999,True
1781348400000,0.5676,0.5911,0.5658,0.5856,1781351999999,True
1781352000000,0.5857,0.5884,0.5787,0.579,1781355599999,True
1781355600000,0.579,0.5965,0.5749,0.5877,1781359199999,True
1781359200000,0.5876,0.5994,0.5843,0.5876,1781362799999,True
1781362800000,0.5876,0.6374,0.5554,0.5572,1781366399999,True
1781366400000,0.5577,0.5599,0.546,0.5495,1781369999999,True
1781370000000,0.5495,0.5547,0.5414,0.5438,1781373599999,True
1781373600000,0.5439,0.5461,0.5404,0.5421,1781377199999,True
1781377200000,0.5422,0.5455,0.5395,0.5417,1781380799999,True
1781380800000,0.5419,0.5429,0.5299,0.5326,1781384399999,True
1781384400000,0.5326,0.5335,0.5296,0.5319,1781387999999,True
1781388000000,0.5317,0.5335,0.5291,0.5326,1781391599999,True
1781391600000,0.5326,0.5333,0.5288,0.5297,1781395199999,True
1781395200000,0.5296,0.5493,0.5285,0.5292,1781398799999,True
1781398800000,0.5293,0.5318,0.5262,0.5287,1781402399999,True
1781402400000,0.5286,0.541,0.5263,0.5289,1781405999999,True
1781406000000,0.5289,0.5417,0.5271,0.5295,1781409599999,True
1781409600000,0.5293,0.5311,0.5265,0.5273,1781413199999,True
1781413200000,0.5274,0.5323,0.5247,0.5303,1781416799999,True
1781416800000,0.5305,0.5317,0.5261,0.5268,1781420399999,True
1781420400000,0.5267,0.5279,0.5238,0.5253,1781423999999,True
1781424000000,0.5253,0.526,0.5228,0.5244,1781427599999,True
1781427600000,0.5244,0.5252,0.5205,0.522,1781431199999,True
1781431200000,0.522,0.524,0.5171,0.5204,1781434799999,True
1781434800000,0.5207,0.5219,0.5163,0.5199,1781438399999,True
1781438400000,0.52,0.5205,0.5158,0.5166,1781441999999,True
1781442000000,0.5166,0.5191,0.5137,0.5143,1781445599999,True
1781445600000,0.5143,0.5275,0.5135,0.5174,1781449199999,True
1781449200000,0.5174,0.5212,0.5116,0.5171,1781452799999,True
1781452800000,0.5172,0.5184,0.5115,0.5122,1781456399999,True
1781456400000,0.5122,0.5159,0.5108,0.5146,1781459999999,True
1781460000000,0.5145,0.5178,0.5114,0.5125,1781463599999,True
1781463600000,0.5125,0.5145,0.5112,0.5125,1781467199999,True
1781467200000,0.5125,0.5133,0.5077,0.5085,1781470799999,True
1781470800000,0.5086,0.5115,0.5065,0.5082,1781474399999,True
1781474400000,0.5082,0.5087,0.5042,0.5047,1781477999999,True
1781478000000,0.5047,0.5164,0.5031,0.5113,1781481599999,True
1781481600000,0.5115,0.5151,0.5041,0.5046,1781485199999,True
1781485200000,0.5046,0.5076,0.5031,0.5035,1781488799999,True
1781488800000,0.5035,0.5059,0.5026,0.504,1781492399999,True
1781492400000,0.5041,0.5116,0.5025,0.5055,1781495999999,True
1781496000000,0.5054,0.5248,0.5026,0.5097,1781499599999,True
1781499600000,0.5096,0.5104,0.502,0.5029,1781503199999,True
1781503200000,0.5028,0.5096,0.5021,0.5026,1781506799999,True
1781506800000,0.5026,0.5052,0.5017,0.5032,1781510399999,True
1781510400000,0.5031,0.5047,0.5012,0.5015,1781513999999,True
1781514000000,0.5015,0.5094,0.5011,0.5016,1781517599999,True
1781517600000,0.5018,0.505,0.5002,0.5032,1781521199999,True
1781521200000,0.5032,0.5048,0.5002,0.5025,1781524799999,True
1781524800000,0.5025,0.503,0.4991,0.5007,1781528399999,True
1781528400000,0.5007,0.51,0.4976,0.4983,1781531999999,True
1781532000000,0.4982,0.5047,0.4964,0.4977,1781535599999,True
1781535600000,0.4977,0.5026,0.4948,0.4981,1781539199999,True
1781539200000,0.4983,0.4986,0.4936,0.4945,1781542799999,True
1781542800000,0.4945,0.4969,0.4921,0.4932,1781546399999,True
1781546400000,0.4934,0.4975,0.4916,0.4941,1781549999999,True
1781550000000,0.4942,0.4974,0.4923,0.4931,1781553599999,True
1781553600000,0.4932,0.4946,0.4897,0.4916,1781557199999,True
1781557200000,0.4916,0.4925,0.4891,0.4898,1781560799999,True
1781560800000,0.4898,0.4959,0.4887,0.4924,1781564399999,True
1781564400000,0.4924,0.4954,0.4906,0.4944,1781567999999,True
1781568000000,0.4944,0.5132,0.4931,0.4956,1781571599999,True
1781571600000,0.4956,0.497,0.4898,0.4906,1781575199999,True
1781575200000,0.4905,0.498,0.4894,0.4937,1781578799999,True
1781578800000,0.4936,0.4955,0.492,0.4932,1781582399999,True
1781582400000,0.4932,0.4953,0.4893,0.4949,1781585999999,True
1781586000000,0.4949,0.5521,0.4948,0.5386,1781589599999,True
1781589600000,0.5382,0.5678,0.538,0.5526,1781593199999,True
1781593200000,0.5525,0.5603,0.5235,0.552,1781596799999,True
1781596800000,0.552,0.5763,0.5424,0.5762,1781600399999,True
1781600400000,0.576,0.63,0.5653,0.6251,1781603999999,True
1781604000000,0.6246,0.6414,0.6104,0.6324,1781607599999,True
1781607600000,0.6322,0.6442,0.6029,0.6258,1781611199999,True
1781611200000,0.6258,0.6375,0.6152,0.6296,1781614799999,True
1781614800000,0.6296,0.6319,0.6142,0.62,1781618399999,True
1781618400000,0.62,0.6309,0.6031,0.6252,1781621999999,True
1781622000000,0.6252,0.6312,0.6099,0.6174,1781625599999,True
1781625600000,0.6175,0.6238,0.6113,0.6216,1781629199999,True
1781629200000,0.6215,0.6285,0.6006,0.6072,1781632799999,True
1781632800000,0.6074,0.6394,0.6068,0.6301,1781636399999,True
1781636400000,0.6297,0.6378,0.6257,0.6368,1781639999999,True
1781640000000,0.6371,0.6479,0.6197,0.644,1781643599999,True
1781643600000,0.644,0.6472,0.6339,0.6416,1781647199999,True
1781647200000,0.6412,0.6478,0.6363,0.6439,1781650799999,True
1781650800000,0.6439,0.647,0.6233,0.636,1781654399999,True
1781654400000,0.6357,0.6474,0.6288,0.6445,1781657999999,True
1781658000000,0.6443,0.669,0.6331,0.6396,1781661599999,True
1781661600000,0.64,0.6659,0.6381,0.6555,1781665199999,True
1781665200000,0.6555,0.6626,0.6455,0.6596,1781668799999,True
1781668800000,0.6597,0.6699,0.6408,0.6636,1781672399999,True
1781672400000,0.6634,0.6713,0.6552,0.6578,1781675999999,True
1781676000000,0.6579,0.6731,0.6549,0.6689,1781679599999,True
1781679600000,0.6688,0.6742,0.6642,0.669,1781683199999,True
1781683200000,0.669,0.6722,0.6567,0.6699,1781686799999,True
1781686800000,0.6697,0.6727,0.6617,0.6652,1781690399999,True
1781690400000,0.6652,0.6692,0.6503,0.6554,1781693999999,True
1781694000000,0.6553,0.6606,0.6445,0.6466,1781697599999,True
1781697600000,0.6466,0.655,0.6391,0.653,1781701199999,True
1781701200000,0.653,0.6572,0.6465,0.6547,1781704799999,True
1781704800000,0.6549,0.6617,0.6512,0.6611,1781708399999,True
1781708400000,0.6611,0.6649,0.6484,0.6585,1781711999999,True
1781712000000,0.6584,0.6753,0.6521,0.6577,1781715599999,True
1781715600000,0.6576,0.667,0.6567,0.664,1781719199999,True
1781719200000,0.6638,0.6682,0.6584,0.6628,1781722799999,True
1781722800000,0.6628,0.6688,0.6548,0.6676,1781726399999,True
1781726400000,0.6678,0.6699,0.6623,0.6639,1781729999999,True
1781730000000,0.6639,0.6714,0.6592,0.6656,1781733599999,True
1781733600000,0.6655,0.6698,0.6644,0.666,1781737199999,True
1781737200000,0.666,0.6665,0.6564,0.6574,1781740799999,True
1781740800000,0.6576,0.6645,0.6556,0.6608,1781744399999,True
1781744400000,0.6607,0.6705,0.6581,0.6675,1781747999999,True
1781748000000,0.6676,0.6756,0.6646,0.667,1781751599999,True
1781751600000,0.667,0.6846,0.6664,0.6846,1781755199999,True
1781755200000,0.6845,0.6887,0.6767,0.6831,1781758799999,True
1781758800000,0.683,0.6929,0.6812,0.686,1781762399999,True
1781762400000,0.6861,0.6885,0.679,0.6839,1781765999999,True
1781766000000,0.6839,0.6906,0.6804,0.6873,1781769599999,True
1781769600000,0.6872,0.6919,0.6853,0.6908,1781773199999,True
1781773200000,0.6906,0.7125,0.6898,0.7095,1781776799999,True
1781776800000,0.7093,0.7297,0.706,0.7259,1781780399999,True
1781780400000,0.726,0.768,0.6627,0.6667,1781783999999,True
1781784000000,0.6666,0.6823,0.634,0.6447,1781787599999,True
1781787600000,0.645,0.6544,0.6351,0.6391,1781791199999,True
1781791200000,0.6395,0.6395,0.5897,0.6102,1781794799999,True
1781794800000,0.6106,0.614,0.5728,0.5835,1781798399999,True
1781798400000,0.5829,0.5881,0.5783,0.5853,1781801999999,True
1781802000000,0.5854,0.5864,0.578,0.5822,1781805599999,True
1781805600000,0.5822,0.5851,0.5797,0.5818,1781809199999,True
1781809200000,0.5817,0.5858,0.5785,0.5836,1781812799999,True
1781812800000,0.5838,0.5851,0.5803,0.5816,1781816399999,True
1781816400000,0.5815,0.5855,0.58,0.5817,1781819999999,True
1781820000000,0.5818,0.5874,0.58,0.5833,1781823599999,True
1781823600000,0.5832,0.5898,0.5818,0.5846,1781827199999,True
1781827200000,0.5846,0.5913,0.5846,0.5907,1781830799999,True
1781830800000,0.5908,0.5936,0.5873,0.5931,1781834399999,True
1781834400000,0.5931,0.5957,0.5561,0.5593,1781837999999,True
1781838000000,0.5594,0.5846,0.518,0.5322,1781841599999,True
1781841600000,0.5322,0.536,0.5293,0.533,1781845199999,True
1781845200000,0.5331,0.536,0.5288,0.5308,1781848799999,True
1781848800000,0.5311,0.54,0.5295,0.5308,1781852399999,True
1781852400000,0.5311,0.5328,0.514,0.5163,1781855999999,True
1781856000000,0.5161,0.5251,0.5078,0.5084,1781859599999,True
1781859600000,0.5087,0.5101,0.4966,0.5096,1781863199999,True
1781863200000,0.5096,0.51,0.5005,0.5062,1781866799999,True
1781866800000,0.5062,0.51,0.5008,0.5042,1781870399999,True
1781870400000,0.5041,0.5093,0.4856,0.4903,1781873999999,True
1781874000000,0.4903,0.5177,0.4854,0.4876,1781877599999,True
1781877600000,0.4872,0.4884,0.4483,0.4494,1781881199999,True
1781881200000,0.4496,0.4593,0.4195,0.421,1781884799999,True
1781884800000,0.4209,0.44,0.4105,0.4216,1781888399999,True
1781888400000,0.4215,0.4379,0.4126,0.4244,1781891999999,True
1781892000000,0.4246,0.4343,0.4204,0.4263,1781895599999,True
1781895600000,0.4266,0.4308,0.4172,0.4205,1781899199999,True
1781899200000,0.4205,0.4254,0.415,0.4165,1781902799999,True
1781902800000,0.4166,0.4193,0.4015,0.4031,1781906399999,True
1781906400000,0.403,0.409,0.3949,0.4014,1781909999999,True
1781910000000,0.4015,0.4028,0.3957,0.3988,1781913599999,True
1781913600000,0.3987,0.4124,0.3952,0.4043,1781917199999,True
1781917200000,0.4045,0.4162,0.3994,0.4149,1781920799999,True
1781920800000,0.4152,0.4286,0.3665,0.3797,1781924399999,True
1781924400000,0.3796,0.4211,0.3672,0.3906,1781927999999,True
1781928000000,0.391,0.4161,0.3906,0.403,1781931599999,True
1781931600000,0.403,0.4045,0.37,0.376,1781935199999,True
1781935200000,0.376,0.4074,0.371,0.4046,1781938799999,True
1781938800000,0.4046,0.4819,0.4038,0.4712,1781942399999,True
1781942400000,0.4708,0.4907,0.458,0.4732,1781945999999,True
1781946000000,0.473,0.4948,0.4407,0.4439,1781949599999,True
1781949600000,0.444,0.4449,0.3801,0.4005,1781953199999,True
1781953200000,0.4007,0.4158,0.3871,0.4093,1781956799999,True
1781956800000,0.4097,0.4502,0.4069,0.4451,1781960399999,True
1781960400000,0.4451,0.4474,0.4282,0.4328,1781963999999,True
1781964000000,0.4328,0.4396,0.4283,0.4351,1781967599999,True
1781967600000,0.435,0.4365,0.431,0.4319,1781971199999,True
1781971200000,0.432,0.4342,0.4308,0.4334,1781974799999,True
1781974800000,0.4335,0.435,0.4306,0.4325,1781978399999,True
1781978400000,0.4325,0.4336,0.4274,0.4311,1781981999999,True
1781982000000,0.4313,0.4328,0.431,0.4319,1781985599999,True
1781985600000,0.4319,0.4332,0.4307,0.4332,1781989199999,True
1781989200000,0.4331,0.4332,0.4241,0.4295,1781992799999,True
1781992800000,0.4295,0.4303,0.4276,0.4279,1781996399999,True
1781996400000,0.4279,0.4297,0.4266,0.4285,1781999999999,True
1782000000000,0.4284,0.457,0.4283,0.4477,1782003599999,True
1782003600000,0.4477,0.4649,0.4448,0.4615,1782007199999,True
1782007200000,0.4615,0.4694,0.4584,0.467,1782010799999,True
1782010800000,0.4671,0.4781,0.4621,0.475,1782014399999,True
1782014400000,0.4753,0.494,0.4753,0.4896,1782017999999,True
1782018000000,0.4897,0.4929,0.472,0.4866,1782021599999,True
1782021600000,0.4866,0.488,0.4751,0.4815,1782025199999,True
1782025200000,0.4812,0.4899,0.4762,0.4809,1782028799999,True
1782028800000,0.4811,0.4835,0.473,0.4759,1782032399999,True
1782032400000,0.4762,0.4785,0.4653,0.4735,1782035999999,True
1782036000000,0.4733,0.4747,0.4691,0.4702,1782039599999,True
1782039600000,0.4703,0.4782,0.4684,0.4749,1782043199999,True
1782043200000,0.4746,0.48,0.474,0.478,1782046799999,True
1782046800000,0.4781,0.4825,0.4762,0.4802,1782050399999,True
1782050400000,0.4799,0.4818,0.4771,0.478,1782053999999,True
1782054000000,0.478,0.4806,0.4729,0.4747,1782057599999,True
1782057600000,0.4746,0.4889,0.4715,0.4816,1782061199999,True
1782061200000,0.4816,0.4846,0.4122,0.4153,1782064799999,True
1782064800000,0.4147,0.4266,0.4043,0.4165,1782068399999,True
1782068400000,0.4169,0.432,0.4154,0.4306,1782071999999,True
