open_time,open,high,low,close,close_time,is_closed
1781269200000,7.242,7.249,7.176,7.208,1781272799999,True
1781272800000,7.209,7.321,7.201,7.308,1781276399999,True
1781276400000,7.309,7.325,7.205,7.21,1781279999999,True
1781280000000,7.209,7.268,7.191,7.229,1781283599999,True
1781283600000,7.23,7.249,7.172,7.185,1781287199999,True
1781287200000,7.185,7.194,7.145,7.152,1781290799999,True
1781290800000,7.152,7.189,7.138,7.141,1781294399999,True
1781294400000,7.141,7.161,7.135,7.148,1781297999999,True
1781298000000,7.149,7.168,7.119,7.123,1781301599999,True
1781301600000,7.122,7.142,7.115,7.125,1781305199999,True
1781305200000,7.125,7.145,7.103,7.143,1781308799999,True
1781308800000,7.144,7.162,7.124,7.16,1781312399999,True
1781312400000,7.161,7.199,7.158,7.179,1781315999999,True
1781316000000,7.18,7.182,7.145,7.157,1781319599999,True
1781319600000,7.158,7.176,7.135,7.145,1781323199999,True
1781323200000,7.144,7.16,7.129,7.131,1781326799999,True
1781326800000,7.132,7.141,7.095,7.117,1781330399999,True
1781330400000,7.118,7.161,7.1,7.151,1781333999999,True
1781334000000,7.152,7.19,7.135,7.182,1781337599999,True
1781337600000,7.182,7.195,7.17,7.175,1781341199999,True
1781341200000,7.175,7.185,7.161,7.173,1781344799999,True
1781344800000,7.173,7.191,7.164,7.173,1781348399999,True
1781348400000,7.174,7.203,7.168,7.197,1781351999999,True
1781352000000,7.197,7.211,7.179,7.191,1781355599999,True
1781355600000,7.192,7.201,7.169,7.175,1781359199999,True
1781359200000,7.176,7.191,7.157,7.178,1781362799999,True
1781362800000,7.178,7.232,7.173,7.218,1781366399999,True
1781366400000,7.219,7.221,7.16,7.184,1781369999999,True
1781370000000,7.185,7.21,7.167,7.19,1781373599999,True
1781373600000,7.19,7.214,7.176,7.185,1781377199999,True
1781377200000,7.185,7.207,7.169,7.189,1781380799999,True
1781380800000,7.188,7.192,7.17,7.189,1781384399999,True
1781384400000,7.19,7.233,7.164,7.204,1781387999999,True
1781388000000,7.205,7.205,7.17,7.173,1781391599999,True
1781391600000,7.173,7.185,7.165,7.182,1781395199999,True
1781395200000,7.182,7.182,7.138,7.161,1781398799999,True
1781398800000,7.161,7.191,7.142,7.142,1781402399999,True
1781402400000,7.142,7.171,7.134,7.159,1781405999999,True
1781406000000,7.159,7.184,7.148,7.159,1781409599999,True
1781409600000,7.158,7.159,7.117,7.121,1781413199999,True
1781413200000,7.122,7.133,7.087,7.128,1781416799999,True
1781416800000,7.129,7.161,7.126,7.15,1781420399999,True
1781420400000,7.151,7.153,7.097,7.099,1781423999999,True
1781424000000,7.1,7.141,7.092,7.12,1781427599999,True
1781427600000,7.12,7.136,7.088,7.135,1781431199999,True
1781431200000,7.136,7.153,7.118,7.125,1781434799999,True
1781434800000,7.124,7.125,7.104,7.104,1781438399999,True
1781438400000,7.104,7.109,7.069,7.08,1781441999999,True
1781442000000,7.081,7.085,7.041,7.052,1781445599999,True
