open_time,open,high,low,close,close_time,is_closed
1781269200000,0.4009,0.4062,0.3984,0.4027,1781272799999,True
1781272800000,0.4024,0.4083,0.4013,0.4077,1781276399999,True
1781276400000,0.4076,0.4086,0.3982,0.3984,1781279999999,True
1781280000000,0.3987,0.4045,0.3979,0.4027,1781283599999,True
1781283600000,0.4023,0.4027,0.3953,0.3968,1781287199999,True
1781287200000,0.3968,0.3968,0.3873,0.3876,1781290799999,True
1781290800000,0.3878,0.3927,0.3878,0.39,1781294399999,True
1781294400000,0.39,0.3939,0.3886,0.3899,1781297999999,True
1781298000000,0.39,0.3907,0.3865,0.3881,1781301599999,True
1781301600000,0.3885,0.3902,0.3876,0.3878,1781305199999,True
1781305200000,0.3881,0.3889,0.3856,0.3886,1781308799999,True
1781308800000,0.3886,0.3911,0.3862,0.3899,1781312399999,True
1781312400000,0.3899,0.3932,0.3868,0.3914,1781315999999,True
1781316000000,0.3914,0.3947,0.39,0.3906,1781319599999,True
1781319600000,0.3907,0.3907,0.381,0.3819,1781323199999,True
1781323200000,0.3819,0.3852,0.3805,0.3824,1781326799999,True
1781326800000,0.3822,0.384,0.3734,0.3765,1781330399999,True
1781330400000,0.3764,0.3779,0.37,0.3769,1781333999999,True
1781334000000,0.3769,0.3829,0.3746,0.3816,1781337599999,True
1781337600000,0.3814,0.393,0.3806,0.393,1781341199999,True
1781341200000,0.3929,0.3936,0.3868,0.391,1781344799999,True
1781344800000,0.3907,0.3923,0.3867,0.3881,1781348399999,True
1781348400000,0.3882,0.3902,0.387,0.3879,1781351999999,True
1781352000000,0.3875,0.3884,0.3844,0.3851,1781355599999,True
1781355600000,0.3851,0.3883,0.3841,0.3862,1781359199999,True
1781359200000,0.3862,0.389,0.3845,0.3874,1781362799999,True
1781362800000,0.3871,0.3884,0.3829,0.3841,1781366399999,True
1781366400000,0.384,0.3917,0.3829,0.3912,1781369999999,True
1781370000000,0.3911,0.3931,0.3887,0.3926,1781373599999,True
1781373600000,0.3922,0.4029,0.3919,0.3977,1781377199999,True
1781377200000,0.3975,0.4008,0.3949,0.3981,1781380799999,True
1781380800000,0.3979,0.3994,0.3935,0.3973,1781384399999,True
1781384400000,0.3977,0.3977,0.39,0.3952,1781387999999,True
1781388000000,0.3947,0.3968,0.39,0.3908,1781391599999,True
1781391600000,0.3906,0.3928,0.3895,0.3914,1781395199999,True
1781395200000,0.3913,0.3958,0.3908,0.3952,1781398799999,True
1781398800000,0.3954,0.3995,0.3925,0.3983,1781402399999,True
1781402400000,0.3983,0.3986,0.395,0.398,1781405999999,True
1781406000000,0.398,0.3995,0.3946,0.3954,1781409599999,True
1781409600000,0.3951,0.4073,0.395,0.4063,1781413199999,True
1781413200000,0.4064,0.4107,0.4051,0.4104,1781416799999,True
1781416800000,0.4101,0.4322,0.4085,0.4308,1781420399999,True
1781420400000,0.4309,0.4523,0.4245,0.4311,1781423999999,True
1781424000000,0.4312,0.4338,0.4223,0.4289,1781427599999,True
1781427600000,0.4289,0.4513,0.4248,0.4485,1781431199999,True
1781431200000,0.4484,0.4528,0.4373,0.4476,1781434799999,True
1781434800000,0.4476,0.482,0.442,0.4737,1781438399999,True
1781438400000,0.4736,0.4781,0.4529,0.4681,1781441999999,True
1781442000000,0.4682,0.475,0.4578,0.4587,1781445599999,True
1781445600000,0.4582,0.4863,0.4573,0.4852,1781449199999,True
1781449200000,0.4851,0.5454,0.4832,0.5352,1781452799999,True
1781452800000,0.5353,0.5961,0.5335,0.5878,1781456399999,True
1781456400000,0.5877,0.6598,0.5564,0.5924,1781459999999,True
1781460000000,0.5925,0.6394,0.5373,0.6341,1781463599999,True
1781463600000,0.6342,0.7121,0.6288,0.6838,1781467199999,True
1781467200000,0.684,0.728,0.6552,0.7205,1781470799999,True
1781470800000,0.72,0.8415,0.6949,0.6994,1781474399999,True
1781474400000,0.6995,0.706,0.5713,0.6623,1781477999999,True
1781478000000,0.6618,0.7366,0.6218,0.7112,1781481599999,True
1781481600000,0.7114,0.7384,0.6424,0.6631,1781485199999,True
1781485200000,0.6628,0.6949,0.6566,0.6888,1781488799999,True
1781488800000,0.6888,0.7677,0.6787,0.7503,1781492399999,True
1781492400000,0.7504,0.8888,0.6561,0.8423,1781495999999,True
1781496000000,0.8419,0.9868,0.8365,0.9509,1781499599999,True
1781499600000,0.9514,0.9777,0.86,0.8677,1781503199999,True
1781503200000,0.8677,0.92,0.7756,0.8511,1781506799999,True
1781506800000,0.8511,1.0466,0.8436,0.9623,1781510399999,True
1781510400000,0.9626,1.06,0.9534,1.0031,1781513999999,True
1781514000000,1.0029,1.056,0.9704,1.0178,1781517599999,True
1781517600000,1.0174,1.0575,0.964,1.0112,1781521199999,True
1781521200000,1.0108,1.0349,0.8663,0.9013,1781524799999,True
1781524800000,0.901,1.046,0.8993,0.9887,1781528399999,True
1781528400000,0.9889,1.1948,0.7382,0.9032,1781531999999,True
1781532000000,0.9032,1.0453,0.8831,1.004,1781535599999,True
1781535600000,1.0044,1.0278,0.9402,1.0258,1781539199999,True
1781539200000,1.0264,1.1758,1.0135,1.1179,1781542799999,True
1781542800000,1.1183,1.2681,1.1071,1.2446,1781546399999,True
1781546400000,1.2445,1.2787,1.1783,1.2474,1781549999999,True
1781550000000,1.2474,1.3388,1.171,1.208,1781553599999,True
1781553600000,1.2083,1.27,1.09,1.155,1781557199999,True
1781557200000,1.155,1.2936,1.1102,1.1793,1781560799999,True
1781560800000,1.1788,1.27,1.1632,1.207,1781564399999,True
1781564400000,1.207,1.3093,1.205,1.2724,1781567999999,True
1781568000000,1.2724,1.3676,1.2361,1.257,1781571599999,True
1781571600000,1.2568,1.2793,1.0654,1.1237,1781575199999,True
1781575200000,1.1239,1.1666,1.0517,1.0948,1781578799999,True
1781578800000,1.0949,1.148,1.08,1.1178,1781582399999,True
1781582400000,1.118,1.1426,0.8955,0.9207,1781585999999,True
1781586000000,0.9211,0.9303,0.6668,0.7186,1781589599999,True
1781589600000,0.719,0.745,0.6821,0.7212,1781593199999,True
1781593200000,0.7212,0.8741,0.7124,0.8413,1781596799999,True
1781596800000,0.8414,0.8707,0.7577,0.7957,1781600399999,True
1781600400000,0.796,0.8567,0.7765,0.7881,1781603999999,True
1781604000000,0.7882,0.7951,0.7108,0.7324,1781607599999,True
1781607600000,0.7324,0.7489,0.6466,0.68,1781611199999,True
1781611200000,0.6803,0.6888,0.6555,0.6801,1781614799999,True
1781614800000,0.6804,0.7364,0.6507,0.6654,1781618399999,True
1781618400000,0.6654,0.7467,0.6631,0.74,1781621999999,True
1781622000000,0.7397,0.7642,0.7238,0.7496,1781625599999,True
1781625600000,0.7494,0.7618,0.7151,0.7352,1781629199999,True
1781629200000,0.7351,0.7405,0.661,0.6856,1781632799999,True
