open_time,open,high,low,close,close_time,is_closed
1781269200000,0.1903,0.1907,0.1867,0.1881,1781272799999,True
1781272800000,0.1882,0.1935,0.188,0.1935,1781276399999,True
1781276400000,0.1935,0.1949,0.1894,0.1898,1781279999999,True
1781280000000,0.1899,0.1916,0.1886,0.1902,1781283599999,True
1781283600000,0.1903,0.1915,0.1892,0.1894,1781287199999,True
1781287200000,0.1895,0.1902,0.1879,0.1887,1781290799999,True
1781290800000,0.1887,0.1906,0.1883,0.1886,1781294399999,True
1781294400000,0.1885,0.1899,0.1873,0.1881,1781297999999,True
1781298000000,0.1881,0.1889,0.1862,0.1868,1781301599999,True
1781301600000,0.1868,0.1875,0.1854,0.1859,1781305199999,True
1781305200000,0.1859,0.1862,0.1844,0.1859,1781308799999,True
1781308800000,0.1859,0.1873,0.1847,0.1867,1781312399999,True
1781312400000,0.1867,0.1892,0.1866,0.1888,1781315999999,True
1781316000000,0.1888,0.1889,0.1852,0.1857,1781319599999,True
1781319600000,0.1858,0.1863,0.184,0.1847,1781323199999,True
1781323200000,0.1847,0.186,0.1834,0.1848,1781326799999,True
1781326800000,0.1848,0.1853,0.1834,0.1843,1781330399999,True
1781330400000,0.1844,0.1891,0.1836,0.1883,1781333999999,True
1781334000000,0.1883,0.1907,0.1868,0.1907,1781337599999,True
1781337600000,0.1906,0.1913,0.1887,0.189,1781341199999,True
1781341200000,0.189,0.1933,0.188,0.1926,1781344799999,True
1781344800000,0.1926,0.1955,0.1925,0.1944,1781348399999,True
1781348400000,0.1945,0.1989,0.1941,0.1987,1781351999999,True
1781352000000,0.1987,0.2056,0.1982,0.2029,1781355599999,True
1781355600000,0.2029,0.2078,0.2018,0.2071,1781359199999,True
1781359200000,0.2071,0.2079,0.2015,0.2048,1781362799999,True
1781362800000,0.2048,0.2089,0.2039,0.2075,1781366399999,True
1781366400000,0.2075,0.2093,0.2022,0.2046,1781369999999,True
1781370000000,0.2045,0.2118,0.2027,0.2087,1781373599999,True
1781373600000,0.2087,0.2107,0.2039,0.206,1781377199999,True
1781377200000,0.2061,0.2088,0.2041,0.2065,1781380799999,True
1781380800000,0.2065,0.2071,0.2047,0.2068,1781384399999,True
1781384400000,0.2068,0.2114,0.2051,0.2088,1781387999999,True
1781388000000,0.2087,0.21,0.2072,0.2073,1781391599999,True
1781391600000,0.2073,0.2092,0.2068,0.2079,1781395199999,True
1781395200000,0.2079,0.2098,0.2074,0.2089,1781398799999,True
