open_time,open,high,low,close,close_time,is_closed
1781269200000,60.391,60.74,59.326,59.686,1781272799999,True
1781272800000,59.683,60.476,59.304,60.446,1781276399999,True
1781276400000,60.447,61.236,59.726,59.772,1781279999999,True
1781280000000,59.772,61.527,59.409,61.02,1781283599999,True
1781283600000,61.021,62.47,60.957,61.926,1781287199999,True
1781287200000,61.928,62.177,61.032,61.158,1781290799999,True
1781290800000,61.158,61.217,60.464,60.79,1781294399999,True
1781294400000,60.791,61.35,60.5,60.815,1781297999999,True
1781298000000,60.816,61.163,60.151,60.508,1781301599999,True
1781301600000,60.506,60.883,60.28,60.647,1781305199999,True
1781305200000,60.648,60.698,59.219,59.298,1781308799999,True
1781308800000,59.297,59.364,58.862,59.292,1781312399999,True
1781312400000,59.293,59.477,58.901,59.396,1781315999999,True
1781316000000,59.396,59.704,59.115,59.213,1781319599999,True
1781319600000,59.214,59.326,58.306,58.578,1781323199999,True
1781323200000,58.579,58.65,57.811,57.953,1781326799999,True
1781326800000,57.954,58.018,57.241,57.851,1781330399999,True
1781330400000,57.851,58.86,57.82,58.732,1781333999999,True
1781334000000,58.732,58.995,58.346,58.758,1781337599999,True
1781337600000,58.758,59.206,58.561,58.877,1781341199999,True
1781341200000,58.878,58.95,58.252,58.394,1781344799999,True
1781344800000,58.401,58.509,57.829,58.055,1781348399999,True
1781348400000,58.055,58.811,57.948,58.639,1781351999999,True
1781352000000,58.639,59.579,58.499,59.44,1781355599999,True
1781355600000,59.44,59.663,58.904,59.016,1781359199999,True
1781359200000,59.015,60.244,58.914,60.243,1781362799999,True
1781362800000,60.244,60.46,59.75,59.898,1781366399999,True
1781366400000,59.899,60.297,59.45,60.136,1781369999999,True
1781370000000,60.137,60.191,58.98,59.009,1781373599999,True
1781373600000,59.01,59.879,58.9,59.858,1781377199999,True
1781377200000,59.857,59.991,59.626,59.864,1781380799999,True
1781380800000,59.862,59.99,59.625,59.913,1781384399999,True
1781384400000,59.917,60.773,59.789,60.511,1781387999999,True
1781388000000,60.511,60.538,60.221,60.239,1781391599999,True
1781391600000,60.235,60.917,60.128,60.684,1781395199999,True
1781395200000,60.682,60.934,60.399,60.871,1781398799999,True
1781398800000,60.872,61.108,60.5,60.576,1781402399999,True
1781402400000,60.575,61.199,60.502,60.795,1781405999999,True
1781406000000,60.804,60.923,60.308,60.577,1781409599999,True
1781409600000,60.578,60.635,59.94,60.105,1781413199999,True
1781413200000,60.105,60.236,59.835,59.937,1781416799999,True
1781416800000,59.937,60.329,59.652,59.882,1781420399999,True
1781420400000,59.883,60.534,59.784,60.074,1781423999999,True
1781424000000,60.075,60.33,59.689,60.257,1781427599999,True
1781427600000,60.256,60.859,59.904,60.828,1781431199999,True
1781431200000,60.828,61.59,60.481,61.0,1781434799999,True
1781434800000,61.001,61.254,60.554,60.998,1781438399999,True
1781438400000,60.999,61.323,60.645,60.853,1781441999999,True
1781442000000,60.854,61.288,60.573,61.05,1781445599999,True
1781445600000,61.048,61.069,59.613,60.295,1781449199999,True
1781449200000,60.298,60.708,60.207,60.226,1781452799999,True
1781452800000,60.227,60.496,59.906,59.937,1781456399999,True
1781456400000,59.937,60.345,59.737,59.765,1781459999999,True
1781460000000,59.77,60.428,59.589,60.34,1781463599999,True
1781463600000,60.338,60.769,60.163,60.493,1781467199999,True
1781467200000,60.494,60.741,60.224,60.475,1781470799999,True
1781470800000,60.475,63.808,60.347,63.01,1781474399999,True
1781474400000,63.01,63.626,62.224,63.004,1781477999999,True
1781478000000,63.003,64.079,62.93,63.863,1781481599999,True
1781481600000,63.864,64.252,63.452,63.919,1781485199999,True
1781485200000,63.92,63.977,63.111,63.558,1781488799999,True
1781488800000,63.558,65.056,63.414,64.785,1781492399999,True
1781492400000,64.787,65.399,64.527,65.291,1781495999999,True
1781496000000,65.291,65.788,64.749,64.809,1781499599999,True
1781499600000,64.81,65.129,64.502,64.752,1781503199999,True
1781503200000,64.752,65.2,64.389,65.165,1781506799999,True
1781506800000,65.165,65.83,64.76,65.199,1781510399999,True
1781510400000,65.2,65.994,65.109,65.978,1781513999999,True
1781514000000,65.978,66.627,65.587,66.51,1781517599999,True
1781517600000,66.509,68.116,66.389,67.815,1781521199999,True
1781521200000,67.815,68.486,67.607,67.939,1781524799999,True
1781524800000,67.939,68.321,67.347,68.03,1781528399999,True
1781528400000,68.031,68.253,66.873,66.974,1781531999999,True
1781532000000,66.973,68.149,66.666,67.985,1781535599999,True
1781535600000,67.984,68.45,67.442,68.006,1781539199999,True
1781539200000,68.005,68.466,67.501,68.37,1781542799999,True
1781542800000,68.37,68.757,67.873,68.096,1781546399999,True
1781546400000,68.097,68.413,67.701,67.976,1781549999999,True
1781550000000,67.975,68.25,67.004,67.186,1781553599999,True
1781553600000,67.186,67.64,67.001,67.415,1781557199999,True
1781557200000,67.414,68.186,67.315,68.087,1781560799999,True
1781560800000,68.087,68.37,66.432,66.466,1781564399999,True
1781564400000,66.466,66.942,66.069,66.868,1781567999999,True
1781568000000,66.87,67.548,66.344,67.299,1781571599999,True
1781571600000,67.299,67.703,67.063,67.313,1781575199999,True
1781575200000,67.313,67.623,66.8,67.487,1781578799999,True
1781578800000,67.484,69.88,67.35,69.754,1781582399999,True
1781582400000,69.753,70.491,69.041,70.386,1781585999999,True
1781586000000,70.386,72.309,70.336,71.816,1781589599999,True
1781589600000,71.815,72.78,71.518,72.705,1781593199999,True
1781593200000,72.704,73.09,71.878,72.963,1781596799999,True
1781596800000,72.962,74.086,72.54,73.739,1781600399999,True
1781600400000,73.741,73.988,72.986,73.442,1781603999999,True
1781604000000,73.442,76.66,73.23,75.354,1781607599999,True
1781607600000,75.359,76.105,74.452,75.596,1781611199999,True
1781611200000,75.597,76.991,74.86,76.946,1781614799999,True
1781614800000,76.945,76.949,75.3,75.801,1781618399999,True
1781618400000,75.8,76.528,73.314,73.462,1781621999999,True
1781622000000,73.459,75.098,73.37,74.931,1781625599999,True
1781625600000,74.931,75.399,73.424,73.705,1781629199999,True
1781629200000,73.702,74.319,72.8,74.035,1781632799999,True
1781632800000,74.035,75.2,72.455,72.862,1781636399999,True
1781636400000,72.864,73.499,72.15,72.521,1781639999999,True
1781640000000,72.521,73.492,72.168,73.44,1781643599999,True
1781643600000,73.437,73.753,72.867,73.506,1781647199999,True
1781647200000,73.505,74.065,73.009,73.485,1781650799999,True
1781650800000,73.486,73.878,72.973,73.651,1781654399999,True
1781654400000,73.651,73.947,72.606,72.828,1781657999999,True
1781658000000,72.828,74.846,72.81,74.422,1781661599999,True
1781661600000,74.419,74.957,74.078,74.851,1781665199999,True
1781665200000,74.851,75.114,74.3,74.509,1781668799999,True
1781668800000,74.507,75.348,74.332,74.515,1781672399999,True
1781672400000,74.516,74.747,73.402,74.353,1781675999999,True
1781676000000,74.354,74.396,72.828,73.416,1781679599999,True
1781679600000,73.417,73.789,72.952,73.44,1781683199999,True
1781683200000,73.441,73.518,72.2,72.405,1781686799999,True
1781686800000,72.403,73.222,72.291,73.076,1781690399999,True
1781690400000,73.076,73.096,72.044,72.256,1781693999999,True
1781694000000,72.256,72.433,70.632,71.025,1781697599999,True
1781697600000,71.026,71.679,69.954,71.417,1781701199999,True
1781701200000,71.417,72.392,70.959,71.724,1781704799999,True
1781704800000,71.723,72.688,71.255,72.155,1781708399999,True
1781708400000,72.152,74.631,71.842,74.404,1781711999999,True
1781712000000,74.402,76.72,74.401,75.294,1781715599999,True
1781715600000,75.288,75.474,73.8,74.346,1781719199999,True
1781719200000,74.346,75.371,72.703,73.658,1781722799999,True
1781722800000,73.658,74.031,71.023,72.258,1781726399999,True
1781726400000,72.26,72.828,71.536,72.4,1781729999999,True
1781730000000,72.4,72.632,70.483,71.08,1781733599999,True
1781733600000,71.079,71.615,70.219,70.965,1781737199999,True
1781737200000,70.97,71.766,70.949,71.158,1781740799999,True
1781740800000,71.159,72.529,71.066,72.3,1781744399999,True
