open_time,open,high,low,close,close_time,is_closed
1781269200000,5.332,5.35,5.164,5.229,1781272799999,True
1781272800000,5.229,5.307,5.196,5.294,1781276399999,True
1781276400000,5.295,5.348,5.107,5.117,1781279999999,True
1781280000000,5.116,5.162,5.049,5.139,1781283599999,True
1781283600000,5.14,5.179,5.124,5.155,1781287199999,True
1781287200000,5.154,5.167,5.091,5.119,1781290799999,True
1781290800000,5.119,5.165,5.112,5.126,1781294399999,True
1781294400000,5.126,5.198,5.112,5.148,1781297999999,True
1781298000000,5.148,5.163,5.08,5.102,1781301599999,True
1781301600000,5.102,5.143,5.096,5.112,1781305199999,True
1781305200000,5.111,5.117,5.075,5.077,1781308799999,True
1781308800000,5.078,5.136,5.068,5.124,1781312399999,True
1781312400000,5.125,5.159,5.112,5.148,1781315999999,True
1781316000000,5.149,5.151,5.054,5.072,1781319599999,True
1781319600000,5.073,5.145,5.071,5.115,1781323199999,True
1781323200000,5.115,5.18,5.083,5.103,1781326799999,True
1781326800000,5.103,5.113,5.021,5.091,1781330399999,True
1781330400000,5.092,5.193,5.064,5.182,1781333999999,True
1781334000000,5.183,5.45,5.138,5.319,1781337599999,True
1781337600000,5.32,5.354,5.264,5.306,1781341199999,True
1781341200000,5.306,5.323,5.25,5.265,1781344799999,True
1781344800000,5.266,5.298,5.225,5.249,1781348399999,True
1781348400000,5.249,5.294,5.223,5.249,1781351999999,True
1781352000000,5.251,5.287,5.245,5.262,1781355599999,True
1781355600000,5.263,5.297,5.238,5.255,1781359199999,True
1781359200000,5.255,5.298,5.248,5.284,1781362799999,True
1781362800000,5.283,5.348,5.269,5.291,1781366399999,True
1781366400000,5.291,5.295,5.143,5.184,1781369999999,True
1781370000000,5.184,5.232,5.153,5.169,1781373599999,True
1781373600000,5.169,5.212,5.156,5.191,1781377199999,True
1781377200000,5.19,5.229,5.184,5.19,1781380799999,True
1781380800000,5.189,5.212,5.145,5.202,1781384399999,True
1781384400000,5.202,5.272,5.18,5.243,1781387999999,True
1781388000000,5.244,5.259,5.214,5.216,1781391599999,True
1781391600000,5.216,5.295,5.209,5.269,1781395199999,True
1781395200000,5.269,5.27,5.221,5.235,1781398799999,True
1781398800000,5.236,5.282,5.225,5.258,1781402399999,True
1781402400000,5.258,5.28,5.211,5.221,1781405999999,True
1781406000000,5.222,5.247,5.187,5.207,1781409599999,True
1781409600000,5.208,5.21,5.137,5.144,1781413199999,True
1781413200000,5.144,5.162,5.102,5.151,1781416799999,True
1781416800000,5.152,5.18,5.11,5.123,1781420399999,True
1781420400000,5.123,5.147,5.103,5.132,1781423999999,True
1781424000000,5.133,5.165,5.114,5.133,1781427599999,True
1781427600000,5.134,5.172,5.113,5.152,1781431199999,True
1781431200000,5.151,5.181,5.105,5.11,1781434799999,True
1781434800000,5.11,5.163,5.093,5.129,1781438399999,True
1781438400000,5.13,5.132,5.055,5.08,1781441999999,True
1781442000000,5.081,5.149,5.064,5.101,1781445599999,True
1781445600000,5.101,5.102,4.98,5.018,1781449199999,True
1781449200000,5.018,5.065,5.016,5.029,1781452799999,True
1781452800000,5.028,5.078,5.014,5.042,1781456399999,True
1781456400000,5.042,5.107,4.914,4.961,1781459999999,True
1781460000000,4.961,4.989,4.946,4.982,1781463599999,True
1781463600000,4.982,5.009,4.968,4.977,1781467199999,True
1781467200000,4.978,5.017,4.971,4.987,1781470799999,True
1781470800000,4.988,5.255,4.982,5.209,1781474399999,True
1781474400000,5.209,5.239,5.134,5.182,1781477999999,True
1781478000000,5.182,5.243,5.16,5.229,1781481599999,True
1781481600000,5.228,5.252,5.137,5.152,1781485199999,True
1781485200000,5.153,5.155,5.075,5.096,1781488799999,True
1781488800000,5.097,5.156,5.083,5.137,1781492399999,True
1781492400000,5.137,5.202,5.125,5.169,1781495999999,True
1781496000000,5.168,5.277,5.154,5.257,1781499599999,True
1781499600000,5.256,5.298,5.195,5.224,1781503199999,True
1781503200000,5.224,5.277,5.213,5.24,1781506799999,True
1781506800000,5.239,5.304,5.221,5.236,1781510399999,True
1781510400000,5.237,5.287,5.21,5.234,1781513999999,True
1781514000000,5.233,5.249,5.174,5.218,1781517599999,True
1781517600000,5.218,5.505,5.215,5.411,1781521199999,True
1781521200000,5.411,5.505,5.374,5.484,1781524799999,True
1781524800000,5.485,5.502,5.425,5.462,1781528399999,True
1781528400000,5.461,5.506,5.417,5.453,1781531999999,True
1781532000000,5.453,5.687,5.393,5.644,1781535599999,True
1781535600000,5.644,5.734,5.572,5.64,1781539199999,True
1781539200000,5.64,5.744,5.588,5.659,1781542799999,True
1781542800000,5.658,5.729,5.594,5.677,1781546399999,True
1781546400000,5.678,5.73,5.635,5.67,1781549999999,True
1781550000000,5.67,5.716,5.553,5.61,1781553599999,True
1781553600000,5.609,5.715,5.588,5.685,1781557199999,True
1781557200000,5.685,5.734,5.633,5.647,1781560799999,True
1781560800000,5.649,5.681,5.494,5.515,1781564399999,True
1781564400000,5.514,5.591,5.491,5.575,1781567999999,True
