open_time,open,high,low,close,close_time,is_closed
1781269200000,0.4139,0.4152,0.4094,0.4133,1781272799999,True
1781272800000,0.4133,0.416,0.4113,0.4146,1781276399999,True
1781276400000,0.4146,0.4188,0.4126,0.4136,1781279999999,True
1781280000000,0.4135,0.42,0.4132,0.4193,1781283599999,True
1781283600000,0.4193,0.4215,0.4186,0.4206,1781287199999,True
1781287200000,0.4206,0.4247,0.4192,0.4194,1781290799999,True
1781290800000,0.4196,0.4209,0.4178,0.4188,1781294399999,True
1781294400000,0.4188,0.4199,0.4158,0.4173,1781297999999,True
1781298000000,0.4174,0.4192,0.4161,0.4181,1781301599999,True
1781301600000,0.4181,0.4208,0.4161,0.4168,1781305199999,True
1781305200000,0.4168,0.4171,0.4147,0.4171,1781308799999,True
1781308800000,0.417,0.4181,0.4147,0.4157,1781312399999,True
1781312400000,0.4157,0.4204,0.4157,0.4185,1781315999999,True
1781316000000,0.4184,0.42,0.4158,0.4172,1781319599999,True
1781319600000,0.4172,0.4247,0.4152,0.4222,1781323199999,True
1781323200000,0.422,0.4243,0.4204,0.4211,1781326799999,True
1781326800000,0.421,0.425,0.42,0.4238,1781330399999,True
1781330400000,0.4237,0.4269,0.42,0.4253,1781333999999,True
1781334000000,0.4251,0.4258,0.4231,0.4247,1781337599999,True
1781337600000,0.4247,0.4257,0.4228,0.4236,1781341199999,True
1781341200000,0.4236,0.4281,0.4227,0.425,1781344799999,True
1781344800000,0.425,0.4259,0.4235,0.4254,1781348399999,True
1781348400000,0.4255,0.4273,0.4236,0.4249,1781351999999,True
1781352000000,0.4251,0.4388,0.4242,0.4374,1781355599999,True
1781355600000,0.4374,0.4429,0.4325,0.4382,1781359199999,True
1781359200000,0.4382,0.4402,0.4365,0.4388,1781362799999,True
1781362800000,0.4388,0.4417,0.438,0.4407,1781366399999,True
1781366400000,0.4407,0.4425,0.4387,0.442,1781369999999,True
1781370000000,0.442,0.4456,0.439,0.4405,1781373599999,True
1781373600000,0.4405,0.445,0.4401,0.4443,1781377199999,True
1781377200000,0.4442,0.4487,0.4439,0.4478,1781380799999,True
1781380800000,0.4479,0.4636,0.4476,0.462,1781384399999,True
1781384400000,0.462,0.4787,0.461,0.4726,1781387999999,True
