open_time,open,high,low,close,close_time,is_closed
1782133200000,1090.8,1096.99,1069.2,1088.48,1782136799999,True
1782136800000,1088.0,1121.24,1053.35,1079.72,1782140399999,True
1782140400000,1077.41,1081.57,1056.0,1057.0,1782143999999,True
1782144000000,1057.58,1077.63,1051.78,1072.67,1782147599999,True
1782147600000,1077.35,1105.36,1069.93,1089.97,1782151199999,True
1782151200000,1091.42,1093.95,1072.04,1076.83,1782154799999,True
1782154800000,1076.18,1083.5,1063.36,1079.4,1782158399999,True
1782158400000,1081.2,1089.18,1069.33,1086.99,1782161999999,True
1782162000000,1084.01,1092.0,1078.73,1080.84,1782165599999,True
1782165600000,1082.11,1084.57,1049.93,1065.1,1782169199999,True
1782169200000,1064.94,1070.37,1060.0,1060.0,1782172799999,True
1782172800000,1059.83,1059.83,975.03,985.53,1782176399999,True
1782176400000,986.96,997.05,901.13,913.72,1782179999999,True
1782180000000,910.95,915.12,867.71,897.04,1782183599999,True
1782183600000,896.17,897.95,830.04,884.23,1782187199999,True
1782187200000,885.13,897.99,850.67,858.23,1782190799999,True
1782190800000,858.0,864.79,812.0,818.87,1782194399999,True
1782194400000,818.87,847.61,800.21,807.09,1782197999999,True
1782198000000,806.89,844.34,800.55,811.03,1782201599999,True
1782201600000,811.03,815.0,730.0,743.33,1782205199999,True
1782205200000,743.5,766.7,736.17,763.35,1782208799999,True
1782208800000,763.34,774.92,720.0,728.54,1782212399999,True
1782212400000,728.72,770.79,728.31,763.04,1782215999999,True
1782216000000,763.3,771.0,730.0,733.28,1782219599999,True
1782219600000,733.5,784.0,701.0,773.95,1782223199999,True
1782223200000,774.02,830.0,750.0,774.28,1782226799999,True
1782226800000,774.35,778.52,738.54,757.01,1782230399999,True
1782230400000,757.33,780.0,743.16,748.33,1782233999999,True
1782234000000,748.62,749.62,720.17,721.0,1782237599999,True
1782237600000,721.28,731.83,716.3,727.5,1782241199999,True
1782241200000,727.57,747.2,716.64,716.64,1782244799999,True
1782244800000,716.71,728.9,712.01,727.47,1782248399999,True
1782248400000,727.47,750.0,726.0,747.49,1782251999999,True
1782252000000,747.07,777.64,733.15,743.94,1782255599999,True
1782255600000,743.99,744.0,712.0,732.08,1782259199999,True
1782259200000,732.48,785.0,730.0,768.66,1782262799999,True
1782262800000,768.4,778.3,751.24,772.55,1782266399999,True
1782266400000,772.02,774.0,702.0,702.8,1782269999999,True
1782270000000,702.0,742.75,681.0,725.0,1782273599999,True
1782273600000,724.43,746.0,696.03,737.49,1782277199999,True
1782277200000,737.31,784.97,737.15,755.49,1782280799999,True
1782280800000,755.96,778.33,750.75,755.63,1782284399999,True
1782284400000,755.65,762.79,743.05,756.77,1782287999999,True
1782288000000,756.6,777.89,756.59,772.45,1782291599999,True
1782291600000,772.53,773.0,752.11,761.9,1782295199999,True
1782295200000,761.88,768.89,755.35,763.04,1782298799999,True
1782298800000,763.03,782.18,756.47,781.73,1782302399999,True
