open_time,open,high,low,close,close_time,is_closed
1781269200000,9.916,10.419,9.824,10.196,1781272799999,True
1781272800000,10.198,10.224,9.714,9.949,1781276399999,True
1781276400000,9.949,10.212,9.616,10.141,1781279999999,True
1781280000000,10.141,10.244,9.886,10.018,1781283599999,True
1781283600000,10.018,10.189,9.76,10.037,1781287199999,True
1781287200000,10.036,10.152,9.774,9.963,1781290799999,True
1781290800000,9.964,10.109,9.816,10.001,1781294399999,True
1781294400000,10.003,10.07,9.678,9.757,1781297999999,True
1781298000000,9.759,9.856,9.657,9.751,1781301599999,True
1781301600000,9.751,9.829,9.563,9.689,1781305199999,True
1781305200000,9.689,9.971,9.607,9.881,1781308799999,True
1781308800000,9.881,10.165,9.691,10.12,1781312399999,True
1781312400000,10.12,10.184,9.846,9.969,1781315999999,True
1781316000000,9.97,10.078,9.841,9.908,1781319599999,True
1781319600000,9.909,9.971,9.611,9.672,1781323199999,True
1781323200000,9.671,9.933,9.658,9.865,1781326799999,True
1781326800000,9.865,10.053,9.821,9.824,1781330399999,True
1781330400000,9.823,9.856,9.627,9.69,1781333999999,True
1781334000000,9.691,9.943,9.654,9.803,1781337599999,True
1781337600000,9.801,9.878,9.693,9.777,1781341199999,True
1781341200000,9.777,9.862,9.7,9.82,1781344799999,True
1781344800000,9.82,10.36,9.82,10.237,1781348399999,True
1781348400000,10.236,10.455,9.547,9.701,1781351999999,True
1781352000000,9.699,9.701,9.273,9.555,1781355599999,True
1781355600000,9.556,9.643,9.284,9.408,1781359199999,True
1781359200000,9.407,9.753,9.362,9.402,1781362799999,True
1781362800000,9.402,9.713,9.06,9.521,1781366399999,True
1781366400000,9.522,9.542,9.294,9.357,1781369999999,True
1781370000000,9.357,9.442,9.151,9.348,1781373599999,True
1781373600000,9.348,9.46,9.285,9.358,1781377199999,True
1781377200000,9.358,9.56,9.301,9.51,1781380799999,True
1781380800000,9.509,9.616,9.46,9.492,1781384399999,True
1781384400000,9.493,9.636,9.419,9.534,1781387999999,True
1781388000000,9.535,9.537,9.357,9.37,1781391599999,True
1781391600000,9.369,9.458,9.355,9.449,1781395199999,True
1781395200000,9.449,9.532,9.315,9.494,1781398799999,True
1781398800000,9.494,9.496,9.341,9.376,1781402399999,True
1781402400000,9.378,9.435,9.343,9.391,1781405999999,True
1781406000000,9.391,9.465,9.345,9.351,1781409599999,True
1781409600000,9.352,9.571,9.33,9.538,1781413199999,True
1781413200000,9.538,10.185,9.462,9.888,1781416799999,True
1781416800000,9.888,10.107,9.746,10.101,1781420399999,True
1781420400000,10.101,10.247,9.944,10.154,1781423999999,True
1781424000000,10.153,10.308,10.006,10.072,1781427599999,True
1781427600000,10.072,10.297,10.009,10.246,1781431199999,True
1781431200000,10.247,10.392,9.789,9.973,1781434799999,True
1781434800000,9.974,10.112,9.848,9.875,1781438399999,True
1781438400000,9.876,10.163,9.741,9.992,1781441999999,True
1781442000000,9.993,10.04,9.794,9.934,1781445599999,True
1781445600000,9.933,10.084,9.832,9.982,1781449199999,True
1781449200000,9.984,10.042,9.788,9.998,1781452799999,True
1781452800000,9.998,10.079,9.882,9.921,1781456399999,True
1781456400000,9.921,9.977,9.807,9.865,1781459999999,True
1781460000000,9.865,9.878,9.4,9.573,1781463599999,True
1781463600000,9.573,9.781,9.472,9.737,1781467199999,True
1781467200000,9.739,9.963,9.683,9.945,1781470799999,True
1781470800000,9.945,10.16,9.856,10.049,1781474399999,True
1781474400000,10.05,12.034,10.021,11.803,1781477999999,True
1781478000000,11.804,11.911,10.923,11.197,1781481599999,True
1781481600000,11.196,11.624,10.762,11.51,1781485199999,True
1781485200000,11.509,11.709,10.846,10.85,1781488799999,True
1781488800000,10.855,11.02,10.516,10.702,1781492399999,True
1781492400000,10.702,10.728,10.375,10.428,1781495999999,True
1781496000000,10.429,10.712,10.376,10.588,1781499599999,True
1781499600000,10.588,10.856,10.23,10.72,1781503199999,True
1781503200000,10.721,10.99,10.613,10.714,1781506799999,True
1781506800000,10.714,10.756,10.274,10.402,1781510399999,True
1781510400000,10.403,10.431,9.682,10.091,1781513999999,True
1781514000000,10.093,10.095,9.846,9.907,1781517599999,True
1781517600000,9.907,10.056,9.816,9.974,1781521199999,True
1781521200000,9.976,10.06,9.786,9.868,1781524799999,True
1781524800000,9.869,10.04,9.63,9.939,1781528399999,True
1781528400000,9.938,10.194,9.814,10.068,1781531999999,True
1781532000000,10.068,10.182,9.836,9.887,1781535599999,True
1781535600000,9.888,10.265,9.88,10.236,1781539199999,True
1781539200000,10.235,10.242,9.96,10.025,1781542799999,True
1781542800000,10.028,10.074,9.731,9.783,1781546399999,True
1781546400000,9.782,9.87,9.587,9.732,1781549999999,True
1781550000000,9.735,9.937,9.666,9.677,1781553599999,True
1781553600000,9.676,9.826,9.617,9.739,1781557199999,True
1781557200000,9.739,9.791,9.693,9.706,1781560799999,True
1781560800000,9.707,9.768,9.531,9.549,1781564399999,True
1781564400000,9.548,9.692,9.28,9.565,1781567999999,True
1781568000000,9.566,9.86,9.514,9.787,1781571599999,True
1781571600000,9.788,9.922,9.699,9.714,1781575199999,True
1781575200000,9.713,9.919,9.57,9.613,1781578799999,True
1781578800000,9.613,9.935,9.59,9.884,1781582399999,True
1781582400000,9.884,10.092,9.759,9.957,1781585999999,True
1781586000000,9.957,10.088,9.897,9.973,1781589599999,True
1781589600000,9.974,10.09,9.935,10.017,1781593199999,True
1781593200000,10.016,10.24,9.986,10.143,1781596799999,True
1781596800000,10.144,10.537,10.127,10.473,1781600399999,True
1781600400000,10.474,10.86,10.441,10.739,1781603999999,True
1781604000000,10.74,11.187,10.68,11.071,1781607599999,True
1781607600000,11.07,12.727,10.961,12.435,1781611199999,True
1781611200000,12.435,13.698,12.402,13.28,1781614799999,True
1781614800000,13.279,13.48,12.704,12.999,1781618399999,True
1781618400000,13.0,13.365,12.818,13.091,1781621999999,True
1781622000000,13.094,14.086,13.085,13.64,1781625599999,True
1781625600000,13.646,13.957,12.028,12.17,1781629199999,True
1781629200000,12.17,12.994,12.163,12.922,1781632799999,True
1781632800000,12.921,13.468,12.507,12.613,1781636399999,True
1781636400000,12.615,12.788,12.476,12.6,1781639999999,True
1781640000000,12.599,12.74,12.407,12.565,1781643599999,True
1781643600000,12.564,13.313,12.519,13.265,1781647199999,True
1781647200000,13.265,13.436,12.871,13.101,1781650799999,True
1781650800000,13.097,13.495,13.058,13.345,1781654399999,True
1781654400000,13.343,13.596,13.091,13.33,1781657999999,True
1781658000000,13.329,13.761,13.098,13.454,1781661599999,True
1781661600000,13.453,13.848,13.309,13.752,1781665199999,True
1781665200000,13.754,14.077,13.477,13.904,1781668799999,True
1781668800000,13.905,14.429,13.438,13.979,1781672399999,True
1781672400000,13.978,14.18,13.641,13.806,1781675999999,True
1781676000000,13.806,14.176,13.561,13.65,1781679599999,True
1781679600000,13.647,14.088,13.5587,13.682,1781683199999,True
1781683200000,13.68,13.705,12.444,12.874,1781686799999,True
1781686800000,12.874,13.26,12.744,12.937,1781690399999,True
1781690400000,12.939,13.22,12.783,12.909,1781693999999,True
1781694000000,12.909,13.189,12.661,12.945,1781697599999,True
1781697600000,12.944,13.28,12.828,13.177,1781701199999,True
1781701200000,13.178,13.55,13.068,13.4,1781704799999,True
1781704800000,13.4,13.445,12.935,13.339,1781708399999,True
1781708400000,13.339,13.491,13.069,13.404,1781711999999,True
1781712000000,13.402,13.578,13.015,13.061,1781715599999,True
1781715600000,13.059,13.233,12.873,13.14,1781719199999,True
1781719200000,13.139,13.184,12.989,13.032,1781722799999,True
1781722800000,13.031,13.186,12.926,13.094,1781726399999,True
1781726400000,13.095,13.106,12.7,12.99,1781729999999,True
1781730000000,12.991,13.219,12.968,13.006,1781733599999,True
1781733600000,13.005,13.186,12.927,13.117,1781737199999,True
1781737200000,13.115,13.351,13.085,13.121,1781740799999,True
1781740800000,13.121,13.347,12.863,13.303,1781744399999,True
1781744400000,13.303,13.477,13.141,13.222,1781747999999,True
1781748000000,13.222,16.463,13.146,14.27,1781751599999,True
1781751600000,14.272,14.545,13.652,13.874,1781755199999,True
1781755200000,13.874,14.647,13.331,14.357,1781758799999,True
1781758800000,14.357,14.522,13.982,14.0,1781762399999,True
1781762400000,14.001,14.822,14.0,14.536,1781765999999,True
1781766000000,14.535,15.098,14.354,14.768,1781769599999,True
1781769600000,14.77,15.791,14.748,15.167,1781773199999,True
1781773200000,15.168,15.871,15.114,15.693,1781776799999,True
1781776800000,15.69,16.246,15.619,16.132,1781780399999,True
1781780400000,16.132,16.263,15.347,15.878,1781783999999,True
1781784000000,15.878,15.977,15.318,15.58,1781787599999,True
1781787600000,15.581,15.962,15.426,15.788,1781791199999,True
1781791200000,15.788,16.381,15.698,16.017,1781794799999,True
1781794800000,16.018,16.143,15.59616,15.967,1781798399999,True
1781798400000,15.968,16.659,15.847,16.2,1781801999999,True
1781802000000,16.2,17.297,16.187,16.937,1781805599999,True
1781805600000,16.937,17.432,16.653,16.896,1781809199999,True
1781809200000,16.897,17.89,16.839,17.289,1781812799999,True
1781812800000,17.288,17.63,16.712,17.207,1781816399999,True
1781816400000,17.207,17.89,17.035,17.649,1781819999999,True
1781820000000,17.65,18.0,17.361,17.683,1781823599999,True
1781823600000,17.684,17.928,17.34,17.789,1781827199999,True
1781827200000,17.787,18.274,17.711,18.095,1781830799999,True
1781830800000,18.095,18.497,17.246,17.864,1781834399999,True
1781834400000,17.864,18.787,17.838,18.549,1781837999999,True
1781838000000,18.549,18.577,17.1,17.212,1781841599999,True
1781841600000,17.208,17.352,14.867,15.469,1781845199999,True
1781845200000,15.471,16.15,14.818,15.781,1781848799999,True
