open_time,open,high,low,close,close_time,is_closed
1781269200000,0.2646,0.2648,0.2602,0.2619,1781272799999,True
1781272800000,0.2619,0.2656,0.2613,0.2648,1781276399999,True
1781276400000,0.2648,0.2672,0.2611,0.2614,1781279999999,True
1781280000000,0.2614,0.2645,0.2602,0.2641,1781283599999,True
1781283600000,0.2642,0.2651,0.2629,0.2635,1781287199999,True
1781287200000,0.2634,0.2643,0.262,0.2631,1781290799999,True
1781290800000,0.2631,0.265,0.263,0.2634,1781294399999,True
1781294400000,0.2634,0.2644,0.2629,0.2633,1781297999999,True
1781298000000,0.2633,0.2639,0.2614,0.2619,1781301599999,True
1781301600000,0.2619,0.2623,0.2602,0.2609,1781305199999,True
1781305200000,0.2609,0.2613,0.2599,0.2613,1781308799999,True
1781308800000,0.2614,0.2617,0.2604,0.2612,1781312399999,True
1781312400000,0.2613,0.2632,0.261,0.2623,1781315999999,True
1781316000000,0.2624,0.2627,0.2608,0.2611,1781319599999,True
1781319600000,0.261,0.2614,0.2568,0.2582,1781323199999,True
1781323200000,0.2582,0.2591,0.2574,0.2579,1781326799999,True
1781326800000,0.2579,0.2596,0.2579,0.2591,1781330399999,True
1781330400000,0.2591,0.2608,0.2578,0.2607,1781333999999,True
1781334000000,0.2607,0.2634,0.2598,0.2628,1781337599999,True
1781337600000,0.2629,0.2646,0.2624,0.2633,1781341199999,True
1781341200000,0.2633,0.2641,0.2624,0.2625,1781344799999,True
1781344800000,0.2626,0.2633,0.2621,0.2626,1781348399999,True
1781348400000,0.2627,0.2643,0.2622,0.2638,1781351999999,True
1781352000000,0.2638,0.2658,0.263,0.2645,1781355599999,True
1781355600000,0.2646,0.2651,0.2637,0.2648,1781359199999,True
1781359200000,0.2648,0.2664,0.2643,0.265,1781362799999,True
1781362800000,0.265,0.2667,0.2628,0.2667,1781366399999,True
1781366400000,0.2667,0.2669,0.2629,0.2637,1781369999999,True
1781370000000,0.2638,0.2653,0.2629,0.2635,1781373599999,True
1781373600000,0.2636,0.2642,0.2628,0.2635,1781377199999,True
1781377200000,0.2635,0.2641,0.262,0.2631,1781380799999,True
1781380800000,0.2631,0.2632,0.2622,0.263,1781384399999,True
1781384400000,0.2631,0.2657,0.2621,0.2644,1781387999999,True
1781388000000,0.2644,0.2652,0.2633,0.2635,1781391599999,True
1781391600000,0.2634,0.2645,0.2628,0.263,1781395199999,True
1781395200000,0.263,0.2638,0.2623,0.263,1781398799999,True
1781398800000,0.2631,0.2646,0.2607,0.2638,1781402399999,True
1781402400000,0.2637,0.2646,0.2628,0.2629,1781405999999,True
1781406000000,0.2629,0.2643,0.2628,0.2643,1781409599999,True
1781409600000,0.2643,0.2655,0.2623,0.2625,1781413199999,True
1781413200000,0.2626,0.2641,0.2608,0.2633,1781416799999,True
1781416800000,0.2633,0.2641,0.2615,0.2616,1781420399999,True
1781420400000,0.2617,0.262,0.2604,0.2612,1781423999999,True
1781424000000,0.2611,0.2632,0.2607,0.2617,1781427599999,True
1781427600000,0.2617,0.2628,0.2602,0.2625,1781431199999,True
1781431200000,0.2625,0.2635,0.2615,0.2615,1781434799999,True
1781434800000,0.2615,0.2623,0.261,0.2614,1781438399999,True
1781438400000,0.2614,0.2616,0.2593,0.2597,1781441999999,True
1781442000000,0.2596,0.2602,0.2589,0.2598,1781445599999,True
1781445600000,0.2598,0.2599,0.2557,0.2573,1781449199999,True
1781449200000,0.2573,0.2585,0.2571,0.2585,1781452799999,True
1781452800000,0.2584,0.2593,0.2579,0.2582,1781456399999,True
1781456400000,0.2582,0.2593,0.2573,0.2576,1781459999999,True
1781460000000,0.2575,0.2586,0.2571,0.2577,1781463599999,True
1781463600000,0.2576,0.2587,0.2572,0.2575,1781467199999,True
1781467200000,0.2575,0.2589,0.2571,0.2582,1781470799999,True
1781470800000,0.2582,0.2696,0.2581,0.268,1781474399999,True
1781474400000,0.2681,0.2694,0.2663,0.2673,1781477999999,True
1781478000000,0.2672,0.269,0.2658,0.2688,1781481599999,True
1781481600000,0.2688,0.2699,0.2673,0.2679,1781485199999,True
1781485200000,0.268,0.2687,0.2661,0.2677,1781488799999,True
1781488800000,0.2677,0.2709,0.2674,0.27,1781492399999,True
1781492400000,0.27,0.272,0.2696,0.2707,1781495999999,True
1781496000000,0.2707,0.2715,0.2696,0.2704,1781499599999,True
1781499600000,0.2703,0.2722,0.2692,0.2718,1781503199999,True
1781503200000,0.2718,0.2726,0.2711,0.2712,1781506799999,True
1781506800000,0.2712,0.2731,0.2705,0.2708,1781510399999,True
1781510400000,0.2709,0.2727,0.2704,0.2718,1781513999999,True
1781514000000,0.2718,0.2733,0.2708,0.2722,1781517599999,True
1781517600000,0.2722,0.2768,0.2721,0.2743,1781521199999,True
1781521200000,0.2743,0.2793,0.2739,0.2779,1781524799999,True
1781524800000,0.2778,0.2786,0.2738,0.2773,1781528399999,True
1781528400000,0.2774,0.2825,0.2768,0.2797,1781531999999,True
1781532000000,0.2798,0.2805,0.2777,0.2787,1781535599999,True
1781535600000,0.2786,0.2819,0.2761,0.2817,1781539199999,True
1781539200000,0.2817,0.2861,0.2814,0.2819,1781542799999,True
1781542800000,0.2819,0.2819,0.2792,0.281,1781546399999,True
1781546400000,0.281,0.2812,0.2784,0.2786,1781549999999,True
1781550000000,0.2786,0.2803,0.2737,0.2763,1781553599999,True
1781553600000,0.2762,0.2774,0.2751,0.2755,1781557199999,True
1781557200000,0.2755,0.2759,0.2742,0.2748,1781560799999,True
1781560800000,0.2749,0.2756,0.2706,0.2717,1781564399999,True
1781564400000,0.2718,0.2742,0.2711,0.2736,1781567999999,True
1781568000000,0.2737,0.2752,0.2727,0.2734,1781571599999,True
1781571600000,0.2735,0.2748,0.2721,0.2726,1781575199999,True
1781575200000,0.2726,0.2735,0.2677,0.2696,1781578799999,True
1781578800000,0.2696,0.2732,0.2687,0.2732,1781582399999,True
1781582400000,0.2732,0.2741,0.2699,0.2704,1781585999999,True
1781586000000,0.2703,0.2723,0.2703,0.2715,1781589599999,True
1781589600000,0.2715,0.2743,0.2715,0.2739,1781593199999,True
1781593200000,0.274,0.2756,0.2731,0.2753,1781596799999,True
1781596800000,0.2753,0.2817,0.275,0.2808,1781600399999,True
1781600400000,0.2808,0.2809,0.2773,0.2776,1781603999999,True
