open_time,open,high,low,close,close_time,is_closed
1781269200000,7.882,7.892,7.777,7.806,1781272799999,True
1781272800000,7.807,7.972,7.796,7.962,1781276399999,True
1781276400000,7.964,8.009,7.805,7.81,1781279999999,True
1781280000000,7.811,7.897,7.795,7.889,1781283599999,True
1781283600000,7.89,7.918,7.856,7.873,1781287199999,True
1781287200000,7.874,7.882,7.826,7.836,1781290799999,True
1781290800000,7.836,7.879,7.823,7.834,1781294399999,True
1781294400000,7.835,7.862,7.826,7.838,1781297999999,True
1781298000000,7.839,7.871,7.817,7.826,1781301599999,True
1781301600000,7.827,7.867,7.82,7.843,1781305199999,True
1781305200000,7.842,7.863,7.811,7.863,1781308799999,True
1781308800000,7.862,7.898,7.853,7.883,1781312399999,True
1781312400000,7.884,7.946,7.882,7.941,1781315999999,True
1781316000000,7.941,7.942,7.896,7.904,1781319599999,True
1781319600000,7.905,7.918,7.865,7.887,1781323199999,True
1781323200000,7.887,7.906,7.863,7.872,1781326799999,True
1781326800000,7.873,7.891,7.851,7.879,1781330399999,True
1781330400000,7.88,7.931,7.86,7.92,1781333999999,True
1781334000000,7.921,7.967,7.891,7.958,1781337599999,True
1781337600000,7.96,7.98,7.939,7.957,1781341199999,True
1781341200000,7.957,7.975,7.941,7.948,1781344799999,True
1781344800000,7.949,7.973,7.945,7.957,1781348399999,True
1781348400000,7.957,7.989,7.951,7.986,1781351999999,True
1781352000000,7.987,8.029,7.971,8.006,1781355599999,True
1781355600000,8.006,8.008,7.971,7.99,1781359199999,True
1781359200000,7.99,8.013,7.986,8.007,1781362799999,True
1781362800000,8.008,8.039,7.993,8.021,1781366399999,True
1781366400000,8.022,8.026,7.934,7.99,1781369999999,True
1781370000000,7.989,8.021,7.974,7.988,1781373599999,True
1781373600000,7.988,8.018,7.963,7.978,1781377199999,True
1781377200000,7.979,8.007,7.959,7.987,1781380799999,True
1781380800000,7.986,7.988,7.962,7.979,1781384399999,True
1781384400000,7.979,8.057,7.952,8.018,1781387999999,True
1781388000000,8.019,8.021,7.977,7.977,1781391599999,True
1781391600000,7.976,7.989,7.96,7.981,1781395199999,True
1781395200000,7.98,7.981,7.952,7.961,1781398799999,True
1781398800000,7.962,8.006,7.951,7.968,1781402399999,True
1781402400000,7.968,8.0,7.948,7.956,1781405999999,True
1781406000000,7.956,7.97,7.946,7.959,1781409599999,True
1781409600000,7.959,7.963,7.9,7.914,1781413199999,True
1781413200000,7.915,7.93,7.888,7.919,1781416799999,True
1781416800000,7.919,7.949,7.91,7.916,1781420399999,True
1781420400000,7.917,7.921,7.879,7.9,1781423999999,True
1781424000000,7.901,7.928,7.891,7.91,1781427599999,True
1781427600000,7.911,7.943,7.877,7.942,1781431199999,True
1781431200000,7.943,7.947,7.91,7.911,1781434799999,True
1781434800000,7.911,7.942,7.905,7.922,1781438399999,True
