open_time,open,high,low,close,close_time,is_closed
1781269200000,1.5951,1.6073,1.5487,1.5633,1781272799999,True
1781272800000,1.5634,1.5831,1.518,1.5532,1781276399999,True
1781276400000,1.5532,1.5704,1.5391,1.5424,1781279999999,True
1781280000000,1.5423,1.6023,1.5303,1.6021,1781283599999,True
1781283600000,1.6022,1.6135,1.5705,1.5833,1781287199999,True
1781287200000,1.5834,1.6003,1.5464,1.5489,1781290799999,True
1781290800000,1.5488,1.5617,1.5344,1.5482,1781294399999,True
1781294400000,1.5483,1.5598,1.5424,1.5436,1781297999999,True
1781298000000,1.5436,1.5461,1.5038,1.5165,1781301599999,True
1781301600000,1.5163,1.5352,1.5058,1.531,1781305199999,True
1781305200000,1.531,1.5403,1.5163,1.5342,1781308799999,True
1781308800000,1.5342,1.5469,1.5213,1.5266,1781312399999,True
1781312400000,1.5268,1.531,1.5211,1.5262,1781315999999,True
1781316000000,1.5262,1.5318,1.5108,1.5197,1781319599999,True
1781319600000,1.5196,1.54,1.5096,1.5105,1781323199999,True
1781323200000,1.5105,1.5137,1.4976,1.5013,1781326799999,True
1781326800000,1.5014,1.5108,1.4985,1.5108,1781330399999,True
1781330400000,1.5108,1.5315,1.4957,1.525,1781333999999,True
1781334000000,1.5252,1.545,1.5113,1.5357,1781337599999,True
1781337600000,1.5354,1.5519,1.5285,1.5319,1781341199999,True
1781341200000,1.532,1.5576,1.5281,1.5568,1781344799999,True
1781344800000,1.5568,1.578,1.5491,1.5733,1781348399999,True
1781348400000,1.5732,1.5937,1.5634,1.5926,1781351999999,True
1781352000000,1.5928,1.6183,1.5837,1.5991,1781355599999,True
1781355600000,1.599,1.6002,1.5794,1.5923,1781359199999,True
1781359200000,1.5923,1.6278,1.5845,1.6227,1781362799999,True
1781362800000,1.6226,1.6382,1.6165,1.6259,1781366399999,True
1781366400000,1.6257,1.6411,1.6075,1.6379,1781369999999,True
1781370000000,1.6379,1.6398,1.5976,1.6015,1781373599999,True
1781373600000,1.6018,1.6347,1.5956,1.625,1781377199999,True
1781377200000,1.6249,1.658,1.6155,1.6321,1781380799999,True
1781380800000,1.632,1.6412,1.6159,1.6326,1781384399999,True
1781384400000,1.6327,1.6515,1.625,1.6415,1781387999999,True
1781388000000,1.6417,1.655,1.626,1.6277,1781391599999,True
1781391600000,1.6276,1.6474,1.6251,1.6297,1781395199999,True
1781395200000,1.6296,1.6467,1.6171,1.6193,1781398799999,True
1781398800000,1.6194,1.6485,1.5932,1.6017,1781402399999,True
1781402400000,1.6015,1.6135,1.5823,1.61,1781405999999,True
1781406000000,1.6099,1.614,1.5902,1.5944,1781409599999,True
1781409600000,1.5945,1.6015,1.5784,1.5894,1781413199999,True
1781413200000,1.5893,1.6038,1.5819,1.5937,1781416799999,True
1781416800000,1.5936,1.5969,1.5683,1.5794,1781420399999,True
1781420400000,1.5794,1.5892,1.5708,1.5792,1781423999999,True
1781424000000,1.5793,1.5952,1.575,1.5863,1781427599999,True
1781427600000,1.5861,1.5864,1.5647,1.5832,1781431199999,True
1781431200000,1.5833,1.6075,1.5754,1.5974,1781434799999,True
1781434800000,1.5973,1.6115,1.5872,1.6101,1781438399999,True
1781438400000,1.6099,1.6133,1.5643,1.5693,1781441999999,True
1781442000000,1.5694,1.579,1.5524,1.572,1781445599999,True
1781445600000,1.572,1.5845,1.553,1.5839,1781449199999,True
1781449200000,1.5841,1.633,1.5841,1.6125,1781452799999,True
1781452800000,1.6125,1.6239,1.573,1.5896,1781456399999,True
1781456400000,1.5897,1.6004,1.5788,1.5817,1781459999999,True
1781460000000,1.5818,1.5948,1.5757,1.5905,1781463599999,True
1781463600000,1.5904,1.6085,1.5863,1.6019,1781467199999,True
1781467200000,1.602,1.6029,1.5878,1.5928,1781470799999,True
1781470800000,1.5929,1.69,1.5929,1.6613,1781474399999,True
1781474400000,1.6615,1.7036,1.6448,1.6855,1781477999999,True
1781478000000,1.6855,1.708,1.6572,1.6843,1781481599999,True
1781481600000,1.6843,1.7034,1.666,1.6903,1781485199999,True
1781485200000,1.6903,1.6938,1.6673,1.6756,1781488799999,True
1781488800000,1.6755,1.6814,1.6616,1.6784,1781492399999,True
1781492400000,1.6783,1.7028,1.6682,1.6935,1781495999999,True
1781496000000,1.6933,1.7203,1.6724,1.673,1781499599999,True
1781499600000,1.673,1.7096,1.6694,1.6998,1781503199999,True
1781503200000,1.7,1.715,1.6817,1.7115,1781506799999,True
1781506800000,1.7117,1.7258,1.6755,1.6817,1781510399999,True
1781510400000,1.6817,1.6975,1.6461,1.6507,1781513999999,True
1781514000000,1.651,1.679,1.6496,1.6774,1781517599999,True
1781517600000,1.6773,1.6775,1.6527,1.6584,1781521199999,True
1781521200000,1.6587,1.7172,1.6431,1.7097,1781524799999,True
1781524800000,1.7097,1.715,1.6788,1.691,1781528399999,True
1781528400000,1.691,1.7006,1.6576,1.6644,1781531999999,True
1781532000000,1.6645,1.7036,1.651,1.6992,1781535599999,True
1781535600000,1.6985,1.761,1.6801,1.7029,1781539199999,True
1781539200000,1.7028,1.7062,1.6697,1.6793,1781542799999,True
1781542800000,1.6787,1.726,1.6668,1.717,1781546399999,True
1781546400000,1.717,1.7459,1.7065,1.7186,1781549999999,True
1781550000000,1.7185,1.721,1.6571,1.6638,1781553599999,True
1781553600000,1.6636,1.7198,1.6561,1.7178,1781557199999,True
1781557200000,1.7177,1.7457,1.693,1.7445,1781560799999,True
1781560800000,1.7448,1.745,1.6964,1.7043,1781564399999,True
1781564400000,1.7043,1.7074,1.6629,1.6869,1781567999999,True
1781568000000,1.687,1.7018,1.67,1.6775,1781571599999,True
1781571600000,1.6775,1.6852,1.6637,1.6663,1781575199999,True
