open_time,open,high,low,close,close_time,is_closed
1781269200000,43.05,43.08,42.65,42.79,1781272799999,True
1781272800000,42.8,43.44,42.74,43.38,1781276399999,True
1781276400000,43.39,43.51,42.77,42.82,1781279999999,True
1781280000000,42.81,43.2,42.69,43.2,1781283599999,True
1781283600000,43.21,43.22,42.95,42.98,1781287199999,True
1781287200000,42.99,43.07,42.79,42.88,1781290799999,True
1781290800000,42.88,43.2,42.88,42.96,1781294399999,True
1781294400000,42.96,43.04,42.82,42.88,1781297999999,True
1781298000000,42.87,43.06,42.81,42.9,1781301599999,True
1781301600000,42.9,43.03,42.86,42.96,1781305199999,True
1781305200000,42.96,43.07,42.86,43.05,1781308799999,True
1781308800000,43.04,43.35,42.93,43.27,1781312399999,True
1781312400000,43.27,43.52,43.26,43.43,1781315999999,True
1781316000000,43.44,43.45,43.17,43.24,1781319599999,True
1781319600000,43.25,43.39,43.15,43.35,1781323199999,True
1781323200000,43.34,43.39,43.18,43.21,1781326799999,True
1781326800000,43.22,43.28,43.03,43.16,1781330399999,True
1781330400000,43.16,43.35,43.11,43.31,1781333999999,True
1781334000000,43.32,43.54,43.21,43.48,1781337599999,True
1781337600000,43.48,43.85,43.4,43.63,1781341199999,True
1781341200000,43.63,43.74,43.55,43.57,1781344799999,True
1781344800000,43.57,43.76,43.54,43.74,1781348399999,True
1781348400000,43.73,43.89,43.73,43.76,1781351999999,True
1781352000000,43.76,43.98,43.73,43.93,1781355599999,True
1781355600000,43.93,44.03,43.81,43.88,1781359199999,True
1781359200000,43.88,43.94,43.78,43.87,1781362799999,True
1781362800000,43.87,44.1,43.84,44.03,1781366399999,True
1781366400000,44.03,44.05,43.66,43.8,1781369999999,True
1781370000000,43.8,43.86,43.52,43.6,1781373599999,True
1781373600000,43.6,43.77,43.59,43.67,1781377199999,True
1781377200000,43.67,43.84,43.63,43.77,1781380799999,True
1781380800000,43.77,43.9,43.68,43.85,1781384399999,True
1781384400000,43.86,44.38,43.85,44.2,1781387999999,True
1781388000000,44.21,44.33,44.11,44.32,1781391599999,True
1781391600000,44.32,44.36,44.22,44.32,1781395199999,True
1781395200000,44.32,44.52,44.24,44.41,1781398799999,True
1781398800000,44.41,44.65,44.31,44.37,1781402399999,True
1781402400000,44.37,44.49,44.25,44.34,1781405999999,True
1781406000000,44.34,44.49,44.23,44.43,1781409599999,True
1781409600000,44.43,44.45,44.06,44.14,1781413199999,True
1781413200000,44.14,44.18,43.95,44.13,1781416799999,True
1781416800000,44.13,44.26,44.09,44.12,1781420399999,True
1781420400000,44.11,44.12,43.86,44.03,1781423999999,True
1781424000000,44.03,44.14,43.98,44.11,1781427599999,True
1781427600000,44.11,44.29,43.98,44.22,1781431199999,True
1781431200000,44.22,44.29,44.04,44.05,1781434799999,True
1781434800000,44.04,44.14,43.95,44.04,1781438399999,True
1781438400000,44.04,44.09,43.87,43.95,1781441999999,True
1781442000000,43.96,44.0,43.78,43.94,1781445599999,True
1781445600000,43.95,44.06,43.69,43.92,1781449199999,True
1781449200000,43.92,44.07,43.91,44.01,1781452799999,True
1781452800000,44.0,44.24,43.99,44.04,1781456399999,True
1781456400000,44.04,44.18,43.87,43.94,1781459999999,True
1781460000000,43.94,44.05,43.89,44.04,1781463599999,True
1781463600000,44.04,44.22,44.01,44.18,1781467199999,True
1781467200000,44.17,44.45,44.13,44.41,1781470799999,True
1781470800000,44.41,44.99,44.32,44.83,1781474399999,True
1781474400000,44.84,45.13,44.74,45.11,1781477999999,True
1781478000000,45.12,45.42,45.07,45.37,1781481599999,True
1781481600000,45.36,45.44,45.05,45.23,1781485199999,True
1781485200000,45.24,45.31,44.98,45.1,1781488799999,True
1781488800000,45.09,45.38,45.02,45.25,1781492399999,True
1781492400000,45.25,45.37,45.19,45.3,1781495999999,True
1781496000000,45.29,45.3,45.06,45.09,1781499599999,True
1781499600000,45.08,45.55,45.04,45.5,1781503199999,True
1781503200000,45.5,45.53,45.24,45.28,1781506799999,True
1781506800000,45.29,45.29,45.04,45.06,1781510399999,True
1781510400000,45.07,45.23,45.03,45.14,1781513999999,True
1781514000000,45.14,45.18,44.75,44.91,1781517599999,True
1781517600000,44.9,46.12,44.84,45.65,1781521199999,True
1781521200000,45.65,46.04,45.43,45.77,1781524799999,True
1781524800000,45.77,45.98,45.59,45.84,1781528399999,True
1781528400000,45.84,46.28,45.79,46.08,1781531999999,True
1781532000000,46.09,46.09,45.7,45.79,1781535599999,True
1781535600000,45.79,46.11,45.33,46.06,1781539199999,True
1781539200000,46.05,46.23,45.94,46.09,1781542799999,True
1781542800000,46.09,46.09,45.7,45.95,1781546399999,True
1781546400000,45.95,45.98,45.68,45.76,1781549999999,True
1781550000000,45.76,45.85,45.38,45.63,1781553599999,True
1781553600000,45.63,45.76,45.54,45.63,1781557199999,True
1781557200000,45.62,45.83,45.58,45.71,1781560799999,True
1781560800000,45.71,45.81,45.41,45.62,1781564399999,True
1781564400000,45.62,45.84,45.57,45.72,1781567999999,True
1781568000000,45.72,45.86,45.59,45.63,1781571599999,True
1781571600000,45.63,45.95,45.61,45.78,1781575199999,True
1781575200000,45.78,45.87,45.28,45.5,1781578799999,True
1781578800000,45.51,45.9,45.45,45.83,1781582399999,True
1781582400000,45.83,45.84,45.34,45.45,1781585999999,True
1781586000000,45.44,45.63,45.44,45.52,1781589599999,True
1781589600000,45.53,45.66,45.43,45.62,1781593199999,True
1781593200000,45.61,45.81,45.47,45.78,1781596799999,True
1781596800000,45.77,46.31,45.73,46.25,1781600399999,True
1781600400000,46.24,46.34,45.51,45.54,1781603999999,True
1781604000000,45.54,45.69,45.46,45.5,1781607599999,True
1781607600000,45.5,45.62,45.33,45.51,1781611199999,True
1781611200000,45.5,45.74,45.42,45.56,1781614799999,True
1781614800000,45.56,45.61,45.05,45.08,1781618399999,True
1781618400000,45.08,45.21,44.45,44.78,1781621999999,True
1781622000000,44.77,45.0,44.67,44.88,1781625599999,True
1781625600000,44.87,45.08,44.82,44.96,1781629199999,True
1781629200000,44.96,45.49,44.95,45.43,1781632799999,True
1781632800000,45.42,45.78,45.39,45.63,1781636399999,True
1781636400000,45.62,45.62,45.22,45.45,1781639999999,True
1781640000000,45.44,45.73,45.34,45.67,1781643599999,True
1781643600000,45.67,45.85,45.61,45.78,1781647199999,True
1781647200000,45.78,46.04,45.7,45.86,1781650799999,True
