open_time,open,high,low,close,close_time,is_closed
1781269200000,1.9463,1.9559,1.9072,1.9129,1781272799999,True
1781272800000,1.913,1.9432,1.9107,1.9339,1781276399999,True
1781276400000,1.9339,1.9551,1.8926,1.8962,1781279999999,True
1781280000000,1.8957,1.9405,1.8937,1.9351,1781283599999,True
1781283600000,1.9352,1.9415,1.9096,1.9152,1781287199999,True
1781287200000,1.9152,1.9233,1.8998,1.9167,1781290799999,True
1781290800000,1.9167,1.9436,1.9122,1.9396,1781294399999,True
1781294400000,1.9401,1.9506,1.9366,1.9426,1781297999999,True
1781298000000,1.9427,1.9496,1.9295,1.9383,1781301599999,True
1781301600000,1.9386,1.9442,1.928,1.9408,1781305199999,True
1781305200000,1.9409,1.9584,1.9371,1.9562,1781308799999,True
1781308800000,1.956,1.9783,1.9475,1.9771,1781312399999,True
1781312400000,1.9772,1.9889,1.9711,1.9748,1781315999999,True
1781316000000,1.9749,1.9834,1.9655,1.9795,1781319599999,True
1781319600000,1.9795,1.9838,1.9704,1.9737,1781323199999,True
1781323200000,1.9739,1.9888,1.9712,1.9799,1781326799999,True
1781326800000,1.98,1.9898,1.9703,1.9876,1781330399999,True
1781330400000,1.9877,1.9956,1.9826,1.9897,1781333999999,True
1781334000000,1.9895,2.0133,1.9883,2.0031,1781337599999,True
1781337600000,2.0026,2.0047,1.9766,1.9864,1781341199999,True
1781341200000,1.9864,1.9886,1.9585,1.9589,1781344799999,True
1781344800000,1.9591,1.9686,1.9502,1.9554,1781348399999,True
1781348400000,1.9554,1.9692,1.9508,1.9571,1781351999999,True
1781352000000,1.957,1.9578,1.941,1.9417,1781355599999,True
1781355600000,1.9415,1.9773,1.9354,1.9405,1781359199999,True
1781359200000,1.9406,1.9512,1.9281,1.9397,1781362799999,True
1781362800000,1.9397,1.948,1.9306,1.9445,1781366399999,True
1781366400000,1.9446,1.9581,1.9312,1.954,1781369999999,True
1781370000000,1.9539,1.9546,1.9426,1.9455,1781373599999,True
1781373600000,1.9454,1.9467,1.917,1.9308,1781377199999,True
1781377200000,1.9308,1.9442,1.9237,1.941,1781380799999,True
1781380800000,1.941,1.9552,1.9396,1.9491,1781384399999,True
1781384400000,1.9491,1.9609,1.9384,1.9472,1781387999999,True
1781388000000,1.9473,1.9595,1.9467,1.9496,1781391599999,True
1781391600000,1.9496,1.9601,1.9495,1.9573,1781395199999,True
1781395200000,1.9572,1.9606,1.9504,1.9576,1781398799999,True
1781398800000,1.9576,1.9691,1.944,1.9459,1781402399999,True
1781402400000,1.946,1.9491,1.9362,1.9427,1781405999999,True
1781406000000,1.9427,1.9512,1.9331,1.937,1781409599999,True
1781409600000,1.937,1.9437,1.9293,1.9328,1781413199999,True
1781413200000,1.9329,1.9624,1.9329,1.9548,1781416799999,True
1781416800000,1.9551,1.9625,1.9472,1.9475,1781420399999,True
1781420400000,1.9474,1.9594,1.9437,1.9523,1781423999999,True
1781424000000,1.9523,1.9543,1.9374,1.9398,1781427599999,True
1781427600000,1.9393,1.9596,1.9382,1.9506,1781431199999,True
1781431200000,1.9507,1.9567,1.9352,1.9415,1781434799999,True
1781434800000,1.9415,1.9493,1.9385,1.9465,1781438399999,True
1781438400000,1.9465,1.9489,1.9359,1.9384,1781441999999,True
1781442000000,1.9385,1.945,1.9334,1.9439,1781445599999,True
1781445600000,1.944,1.9515,1.9038,1.9072,1781449199999,True
1781449200000,1.9065,1.9234,1.8994,1.9218,1781452799999,True
1781452800000,1.9216,1.9428,1.9155,1.9404,1781456399999,True
1781456400000,1.9403,1.9519,1.9342,1.9342,1781459999999,True
1781460000000,1.9343,1.9458,1.9255,1.9419,1781463599999,True
1781463600000,1.9421,1.9625,1.94,1.9457,1781467199999,True
1781467200000,1.9459,1.9488,1.9393,1.9424,1781470799999,True
1781470800000,1.9424,1.9632,1.938,1.96,1781474399999,True
1781474400000,1.9599,1.9848,1.9398,1.944,1781477999999,True
1781478000000,1.944,1.962,1.9433,1.9602,1781481599999,True
1781481600000,1.9601,1.9976,1.9548,1.9959,1781485199999,True
1781485200000,1.9958,2.0081,1.9861,2.0039,1781488799999,True
1781488800000,2.0039,2.0219,1.9974,2.0001,1781492399999,True
1781492400000,2.0006,2.0268,1.9928,2.0236,1781495999999,True
1781496000000,2.0236,2.0246,1.9978,1.9995,1781499599999,True
1781499600000,1.9994,2.0096,1.9921,1.9999,1781503199999,True
