open_time,open,high,low,close,close_time,is_closed
1781269200000,119.42,119.97,117.33,118.3,1781272799999,True
1781272800000,118.32,127.33,118.17,127.27,1781276399999,True
1781276400000,127.29,128.58,123.06,123.33,1781279999999,True
1781280000000,123.32,125.54,123.03,125.37,1781283599999,True
1781283600000,125.38,125.7,122.6,122.79,1781287199999,True
1781287200000,122.8,124.12,122.51,123.15,1781290799999,True
1781290800000,123.15,124.25,123.06,123.94,1781294399999,True
1781294400000,123.94,124.85,123.73,123.85,1781297999999,True
1781298000000,123.85,124.49,123.76,124.0,1781301599999,True
1781301600000,123.99,124.27,123.77,124.17,1781305199999,True
1781305200000,124.17,124.32,123.78,124.3,1781308799999,True
1781308800000,124.3,124.51,124.03,124.35,1781312399999,True
1781312400000,124.34,124.83,124.16,124.48,1781315999999,True
1781316000000,124.47,124.5,123.48,123.69,1781319599999,True
1781319600000,123.71,124.0,123.41,123.69,1781323199999,True
1781323200000,123.69,123.8,123.48,123.65,1781326799999,True
1781326800000,123.64,123.79,123.43,123.66,1781330399999,True
1781330400000,123.66,124.28,123.47,124.18,1781333999999,True
1781334000000,124.18,124.77,124.03,124.57,1781337599999,True
1781337600000,124.57,124.96,124.16,124.41,1781341199999,True
1781341200000,124.38,124.58,124.25,124.44,1781344799999,True
1781344800000,124.43,124.88,124.42,124.69,1781348399999,True
1781348400000,124.68,124.94,124.54,124.72,1781351999999,True
1781352000000,124.73,125.68,124.6,125.54,1781355599999,True
1781355600000,125.56,126.37,125.52,125.74,1781359199999,True
1781359200000,125.75,126.42,125.7,126.06,1781362799999,True
1781362800000,126.07,126.44,125.68,126.31,1781366399999,True
1781366400000,126.32,126.41,125.37,125.99,1781369999999,True
1781370000000,125.97,126.21,125.48,125.77,1781373599999,True
1781373600000,125.78,126.4,125.73,125.96,1781377199999,True
1781377200000,125.97,126.63,125.78,126.49,1781380799999,True
1781380800000,126.47,126.6,126.22,126.29,1781384399999,True
1781384400000,126.29,128.01,126.15,127.58,1781387999999,True
1781388000000,127.58,127.84,127.27,127.37,1781391599999,True
1781391600000,127.37,127.7,127.16,127.38,1781395199999,True
1781395200000,127.4,127.93,127.15,127.65,1781398799999,True
1781398800000,127.65,128.17,127.48,127.48,1781402399999,True
1781402400000,127.47,127.72,127.45,127.61,1781405999999,True
1781406000000,127.62,127.8,127.5,127.8,1781409599999,True
1781409600000,127.81,127.88,127.01,127.01,1781413199999,True
1781413200000,127.02,127.4,126.95,127.03,1781416799999,True
1781416800000,127.03,127.43,126.76,126.96,1781420399999,True
1781420400000,126.97,127.29,126.73,127.25,1781423999999,True
1781424000000,127.26,127.71,126.96,127.38,1781427599999,True
1781427600000,127.39,127.83,126.87,127.82,1781431199999,True
1781431200000,127.82,128.16,127.55,127.83,1781434799999,True
1781434800000,127.8,128.11,127.62,127.8,1781438399999,True
1781438400000,127.83,127.86,126.64,126.72,1781441999999,True
1781442000000,126.72,126.92,126.13,126.45,1781445599999,True
1781445600000,126.49,126.51,124.7,126.03,1781449199999,True
1781449200000,126.02,126.42,125.6,126.1,1781452799999,True
1781452800000,126.12,126.46,125.52,125.64,1781456399999,True
