open_time,open,high,low,close,close_time,is_closed
1781269200000,2.1,2.103,2.048,2.062,1781272799999,True
1781272800000,2.062,2.092,2.048,2.083,1781276399999,True
1781276400000,2.082,2.126,2.033,2.038,1781279999999,True
1781280000000,2.037,2.056,2.016,2.054,1781283599999,True
1781283600000,2.054,2.07,2.051,2.055,1781287199999,True
1781287200000,2.056,2.06,2.02,2.021,1781290799999,True
1781290800000,2.021,2.039,2.004,2.006,1781294399999,True
1781294400000,2.005,2.02,1.973,1.996,1781297999999,True
1781298000000,1.997,2.015,1.977,1.993,1781301599999,True
1781301600000,1.993,2.009,1.991,2.004,1781305199999,True
1781305200000,2.005,2.013,1.993,2.009,1781308799999,True
1781308800000,2.01,2.01,1.995,2.005,1781312399999,True
1781312400000,2.006,2.019,1.999,2.012,1781315999999,True
1781316000000,2.012,2.022,2.004,2.019,1781319599999,True
1781319600000,2.02,2.034,2.008,2.011,1781323199999,True
1781323200000,2.011,2.018,1.991,1.997,1781326799999,True
1781326800000,1.998,2.003,1.987,2.0,1781330399999,True
1781330400000,2.0,2.03,1.988,2.027,1781333999999,True
1781334000000,2.027,2.056,2.004,2.025,1781337599999,True
1781337600000,2.025,2.045,2.015,2.023,1781341199999,True
1781341200000,2.022,2.034,2.012,2.026,1781344799999,True
1781344800000,2.026,2.037,2.013,2.023,1781348399999,True
1781348400000,2.024,2.047,2.018,2.04,1781351999999,True
1781352000000,2.041,2.064,2.037,2.053,1781355599999,True
1781355600000,2.053,2.077,2.045,2.055,1781359199999,True
1781359200000,2.055,2.073,2.05,2.072,1781362799999,True
1781362800000,2.072,2.184,2.068,2.177,1781366399999,True
1781366400000,2.178,2.186,2.089,2.15,1781369999999,True
1781370000000,2.149,2.152,2.103,2.117,1781373599999,True
1781373600000,2.117,2.129,2.102,2.119,1781377199999,True
1781377200000,2.119,2.132,2.099,2.104,1781380799999,True
1781380800000,2.104,2.11,2.088,2.1,1781384399999,True
1781384400000,2.1,2.142,2.081,2.13,1781387999999,True
1781388000000,2.13,2.135,2.111,2.113,1781391599999,True
1781391600000,2.114,2.136,2.11,2.127,1781395199999,True
1781395200000,2.127,2.13,2.11,2.114,1781398799999,True
1781398800000,2.115,2.173,2.109,2.157,1781402399999,True
1781402400000,2.157,2.171,2.127,2.134,1781405999999,True
1781406000000,2.134,2.146,2.12,2.139,1781409599999,True
1781409600000,2.138,2.142,2.107,2.117,1781413199999,True
1781413200000,2.117,2.123,2.098,2.116,1781416799999,True
1781416800000,2.117,2.141,2.097,2.106,1781420399999,True
1781420400000,2.106,2.111,2.088,2.102,1781423999999,True
1781424000000,2.102,2.128,2.098,2.111,1781427599999,True
1781427600000,2.11,2.122,2.084,2.118,1781431199999,True
