open_time,open,high,low,close,close_time,is_closed
1781269200000,204.76,206.31,203.72,204.1,1781272799999,True
1781272800000,204.15,206.77,204.1,205.9,1781276399999,True
1781276400000,205.92,207.18,204.16,204.36,1781279999999,True
1781280000000,204.36,205.9,204.2,205.37,1781283599999,True
1781283600000,205.37,205.67,204.89,205.22,1781287199999,True
1781287200000,205.23,205.66,204.45,204.85,1781290799999,True
1781290800000,204.87,205.35,204.11,205.25,1781294399999,True
1781294400000,205.23,205.47,205.11,205.34,1781297999999,True
1781298000000,205.34,205.41,205.23,205.34,1781301599999,True
1781301600000,205.34,205.38,205.11,205.28,1781305199999,True
1781305200000,205.28,205.53,205.23,205.49,1781308799999,True
1781308800000,205.49,205.74,205.19,205.19,1781312399999,True
1781312400000,205.19,205.6,205.13,205.5,1781315999999,True
1781316000000,205.5,206.03,205.5,205.68,1781319599999,True
1781319600000,205.68,205.94,204.97,205.11,1781323199999,True
1781323200000,205.11,205.32,204.89,205.24,1781326799999,True
1781326800000,205.24,205.57,205.06,205.31,1781330399999,True
1781330400000,205.31,205.62,205.06,205.31,1781333999999,True
1781334000000,205.31,205.53,205.08,205.38,1781337599999,True
1781337600000,205.39,205.9,204.97,205.37,1781341199999,True
1781341200000,205.37,205.56,205.07,205.2,1781344799999,True
1781344800000,205.2,205.39,205.19,205.28,1781348399999,True
1781348400000,205.28,205.43,205.05,205.17,1781351999999,True
1781352000000,205.16,205.61,204.95,205.46,1781355599999,True
1781355600000,205.45,205.61,204.7,204.95,1781359199999,True
1781359200000,204.95,205.31,204.64,205.05,1781362799999,True
1781362800000,205.05,205.48,205.03,205.21,1781366399999,True
1781366400000,205.21,205.29,204.59,205.03,1781369999999,True
1781370000000,205.02,205.05,204.69,204.86,1781373599999,True
1781373600000,204.87,205.42,204.76,205.09,1781377199999,True
1781377200000,205.09,205.46,205.04,205.38,1781380799999,True
1781380800000,205.38,205.61,205.21,205.44,1781384399999,True
1781384400000,205.44,205.67,205.28,205.54,1781387999999,True
1781388000000,205.53,205.66,205.46,205.53,1781391599999,True
1781391600000,205.54,205.68,205.47,205.58,1781395199999,True
1781395200000,205.58,205.64,205.5,205.59,1781398799999,True
1781398800000,205.59,205.74,205.37,205.63,1781402399999,True
1781402400000,205.62,205.63,205.34,205.38,1781405999999,True
1781406000000,205.39,205.54,205.3,205.41,1781409599999,True
1781409600000,205.42,205.59,205.27,205.41,1781413199999,True
1781413200000,205.42,205.58,205.35,205.58,1781416799999,True
1781416800000,205.58,205.89,205.45,205.89,1781420399999,True
1781420400000,205.89,206.33,205.68,206.18,1781423999999,True
1781424000000,206.19,206.52,205.72,205.96,1781427599999,True
1781427600000,205.97,206.23,205.88,205.98,1781431199999,True
1781431200000,205.99,207.53,205.97,207.01,1781434799999,True
1781434800000,207.01,207.54,206.97,206.98,1781438399999,True
1781438400000,206.99,207.19,206.52,206.7,1781441999999,True
1781442000000,206.72,207.28,206.48,206.86,1781445599999,True
1781445600000,206.86,207.25,206.28,206.87,1781449199999,True
1781449200000,206.87,207.23,206.76,207.06,1781452799999,True
1781452800000,207.06,207.31,206.96,207.19,1781456399999,True
1781456400000,207.19,207.23,206.75,206.94,1781459999999,True
1781460000000,206.94,206.98,206.49,206.78,1781463599999,True
1781463600000,206.78,206.94,206.51,206.59,1781467199999,True
1781467200000,206.58,207.11,206.51,206.93,1781470799999,True
1781470800000,206.93,209.39,206.92,209.25,1781474399999,True
1781474400000,209.27,209.9,208.38,209.31,1781477999999,True
1781478000000,209.3,209.82,208.88,209.72,1781481599999,True
1781481600000,209.71,210.34,208.65,209.12,1781485199999,True
1781485200000,209.13,210.0,208.92,209.89,1781488799999,True
1781488800000,209.89,210.15,209.68,210.15,1781492399999,True
1781492400000,210.15,210.55,209.79,210.48,1781495999999,True
1781496000000,210.49,211.3,210.18,210.95,1781499599999,True
1781499600000,210.95,211.16,210.4,210.67,1781503199999,True
1781503200000,210.67,210.93,210.09,210.22,1781506799999,True
1781506800000,210.22,210.57,210.0,210.25,1781510399999,True
1781510400000,210.25,210.79,210.13,210.25,1781513999999,True
1781514000000,210.26,210.45,209.42,209.83,1781517599999,True
1781517600000,209.82,209.93,209.18,209.25,1781521199999,True
1781521200000,209.24,209.7,208.25,208.92,1781524799999,True
1781524800000,208.94,209.18,207.77,208.24,1781528399999,True
1781528400000,208.24,211.02,208.11,208.9,1781531999999,True
1781532000000,208.93,210.44,208.48,210.35,1781535599999,True
1781535600000,210.38,212.7,210.36,212.3,1781539199999,True
1781539200000,212.32,212.73,211.94,212.38,1781542799999,True
1781542800000,212.39,212.74,211.93,211.94,1781546399999,True
1781546400000,211.95,212.63,211.53,212.36,1781549999999,True
1781550000000,212.36,212.63,211.45,212.55,1781553599999,True
1781553600000,212.52,212.53,211.99,212.16,1781557199999,True
1781557200000,212.17,212.55,212.07,212.28,1781560799999,True
1781560800000,212.29,212.42,211.47,211.56,1781564399999,True
1781564400000,211.56,211.98,211.18,211.92,1781567999999,True
1781568000000,211.91,212.07,210.99,211.01,1781571599999,True
1781571600000,211.0,211.19,210.29,210.93,1781575199999,True
1781575200000,210.94,211.15,210.58,210.87,1781578799999,True
1781578800000,210.87,211.75,210.87,211.47,1781582399999,True
1781582400000,211.46,211.64,210.9,211.18,1781585999999,True
1781586000000,211.19,211.6,211.16,211.25,1781589599999,True
1781589600000,211.24,211.39,211.15,211.33,1781593199999,True
1781593200000,211.34,211.39,211.16,211.37,1781596799999,True
1781596800000,211.36,212.01,211.29,211.82,1781600399999,True
1781600400000,211.81,211.88,211.4,211.59,1781603999999,True
1781604000000,211.58,211.92,211.42,211.85,1781607599999,True
1781607600000,211.84,212.67,211.74,212.31,1781611199999,True
1781611200000,212.3,212.48,210.97,211.04,1781614799999,True
1781614800000,211.03,211.42,208.86,208.9,1781618399999,True
1781618400000,208.91,210.35,208.57,209.43,1781621999999,True
1781622000000,209.39,210.32,208.59,209.23,1781625599999,True
1781625600000,209.23,209.84,208.43,209.21,1781629199999,True
1781629200000,209.21,209.77,208.89,209.55,1781632799999,True
1781632800000,209.54,209.91,208.92,209.12,1781636399999,True
1781636400000,209.13,209.46,207.53,207.54,1781639999999,True
1781640000000,207.53,207.91,207.03,207.77,1781643599999,True
1781643600000,207.78,208.16,207.75,207.98,1781647199999,True
1781647200000,207.97,208.14,207.77,208.13,1781650799999,True
1781650800000,208.12,208.13,207.48,207.73,1781654399999,True
1781654400000,207.73,208.09,207.66,207.82,1781657999999,True
1781658000000,207.81,208.65,207.78,208.59,1781661599999,True
1781661600000,208.59,208.76,208.42,208.5,1781665199999,True
1781665200000,208.48,209.07,208.4,208.89,1781668799999,True
1781668800000,208.88,209.12,208.77,209.12,1781672399999,True
1781672400000,209.12,209.15,208.77,208.78,1781675999999,True
1781676000000,208.79,208.99,208.57,208.89,1781679599999,True
1781679600000,208.89,209.18,208.79,208.94,1781683199999,True
1781683200000,208.95,209.04,208.07,208.48,1781686799999,True
1781686800000,208.5,208.72,208.3,208.44,1781690399999,True
1781690400000,208.42,208.51,208.19,208.24,1781693999999,True
1781694000000,208.23,208.76,207.85,208.01,1781697599999,True
1781697600000,208.02,208.82,207.92,208.62,1781701199999,True
1781701200000,208.59,209.26,207.27,207.31,1781704799999,True
