open_time,open,high,low,close,close_time,is_closed
1781269200000,0.3641,0.365,0.356,0.3587,1781272799999,True
1781272800000,0.3588,0.3669,0.3585,0.3661,1781276399999,True
1781276400000,0.3662,0.3704,0.3588,0.3591,1781279999999,True
1781280000000,0.3591,0.3676,0.3574,0.3676,1781283599999,True
1781283600000,0.3677,0.3691,0.3613,0.3616,1781287199999,True
1781287200000,0.3616,0.3637,0.3597,0.3598,1781290799999,True
1781290800000,0.3598,0.3627,0.3581,0.3583,1781294399999,True
1781294400000,0.3583,0.3588,0.3529,0.3548,1781297999999,True
1781298000000,0.3549,0.3572,0.3527,0.3536,1781301599999,True
1781301600000,0.3536,0.3566,0.3536,0.3545,1781305199999,True
1781305200000,0.3546,0.3548,0.3516,0.3536,1781308799999,True
1781308800000,0.3536,0.3559,0.3523,0.3554,1781312399999,True
1781312400000,0.3554,0.3599,0.3552,0.3585,1781315999999,True
1781316000000,0.3585,0.3585,0.3555,0.357,1781319599999,True
1781319600000,0.3571,0.3587,0.3541,0.3551,1781323199999,True
1781323200000,0.3552,0.3577,0.3536,0.3546,1781326799999,True
1781326800000,0.3546,0.3555,0.3532,0.3555,1781330399999,True
1781330400000,0.3555,0.3583,0.3526,0.3579,1781333999999,True
1781334000000,0.3579,0.3655,0.3559,0.365,1781337599999,True
1781337600000,0.365,0.3654,0.3608,0.3613,1781341199999,True
1781341200000,0.3613,0.364,0.3609,0.3612,1781344799999,True
1781344800000,0.3613,0.3658,0.3611,0.365,1781348399999,True
1781348400000,0.3651,0.3682,0.3637,0.3667,1781351999999,True
1781352000000,0.3667,0.3763,0.3655,0.3742,1781355599999,True
1781355600000,0.3741,0.3753,0.369,0.371,1781359199999,True
1781359200000,0.3711,0.3748,0.3694,0.3747,1781362799999,True
1781362800000,0.3748,0.3749,0.3711,0.3716,1781366399999,True
1781366400000,0.3716,0.3719,0.3645,0.3674,1781369999999,True
1781370000000,0.3673,0.371,0.3648,0.3658,1781373599999,True
1781373600000,0.3658,0.3683,0.3648,0.366,1781377199999,True
1781377200000,0.3659,0.3684,0.3646,0.3654,1781380799999,True
1781380800000,0.3654,0.3657,0.3627,0.3637,1781384399999,True
1781384400000,0.3638,0.3703,0.3618,0.3689,1781387999999,True
1781388000000,0.3689,0.3696,0.3653,0.3654,1781391599999,True
1781391600000,0.3654,0.3666,0.3626,0.3647,1781395199999,True
1781395200000,0.3646,0.3649,0.3622,0.3628,1781398799999,True
1781398800000,0.3629,0.3658,0.3611,0.3637,1781402399999,True
1781402400000,0.3636,0.366,0.3623,0.3633,1781405999999,True
1781406000000,0.3632,0.3639,0.3594,0.3618,1781409599999,True
1781409600000,0.3618,0.3622,0.357,0.3582,1781413199999,True
1781413200000,0.3583,0.3608,0.3566,0.3596,1781416799999,True
1781416800000,0.3596,0.3631,0.3583,0.3588,1781420399999,True
1781420400000,0.3588,0.3605,0.3571,0.3587,1781423999999,True
1781424000000,0.3588,0.361,0.3574,0.3591,1781427599999,True
1781427600000,0.3591,0.3618,0.3566,0.3605,1781431199999,True
1781431200000,0.3605,0.3622,0.3573,0.3573,1781434799999,True
1781434800000,0.3573,0.3591,0.3556,0.3562,1781438399999,True
1781438400000,0.3562,0.3565,0.352,0.3531,1781441999999,True
1781442000000,0.3532,0.3537,0.3477,0.349,1781445599999,True
1781445600000,0.349,0.3494,0.3435,0.3467,1781449199999,True
1781449200000,0.3467,0.3492,0.3465,0.3482,1781452799999,True
1781452800000,0.3482,0.3505,0.3478,0.3485,1781456399999,True
1781456400000,0.3485,0.3499,0.3457,0.3459,1781459999999,True
1781460000000,0.3459,0.3472,0.3442,0.3467,1781463599999,True
1781463600000,0.3467,0.3481,0.3449,0.3455,1781467199999,True
1781467200000,0.3455,0.3497,0.3447,0.3481,1781470799999,True
1781470800000,0.3482,0.367,0.3479,0.3638,1781474399999,True
1781474400000,0.3638,0.3694,0.3604,0.3681,1781477999999,True
1781478000000,0.3682,0.3704,0.3656,0.3676,1781481599999,True
1781481600000,0.3675,0.3693,0.3654,0.3678,1781485199999,True
1781485200000,0.3679,0.3693,0.3623,0.3669,1781488799999,True
1781488800000,0.3669,0.3746,0.3655,0.3744,1781492399999,True
1781492400000,0.3745,0.3826,0.3735,0.3782,1781495999999,True
1781496000000,0.3782,0.3833,0.3765,0.3782,1781499599999,True
1781499600000,0.3781,0.3855,0.3767,0.3811,1781503199999,True
1781503200000,0.3812,0.3853,0.3785,0.3802,1781506799999,True
1781506800000,0.3801,0.3824,0.3763,0.3774,1781510399999,True
1781510400000,0.3774,0.381,0.3766,0.3784,1781513999999,True
1781514000000,0.3785,0.3806,0.3768,0.3797,1781517599999,True
1781517600000,0.3797,0.3858,0.3775,0.382,1781521199999,True
1781521200000,0.382,0.386,0.3802,0.3829,1781524799999,True
1781524800000,0.3829,0.3849,0.379,0.3838,1781528399999,True
1781528400000,0.3838,0.3881,0.3804,0.3866,1781531999999,True
1781532000000,0.3866,0.392,0.3831,0.391,1781535599999,True
1781535600000,0.391,0.392,0.3845,0.3892,1781539199999,True
1781539200000,0.3892,0.3893,0.3826,0.3834,1781542799999,True
1781542800000,0.3834,0.3847,0.3805,0.3839,1781546399999,True
1781546400000,0.3839,0.3855,0.3817,0.3819,1781549999999,True
1781550000000,0.3819,0.3837,0.3733,0.3751,1781553599999,True
1781553600000,0.375,0.3774,0.3731,0.3738,1781557199999,True
1781557200000,0.3738,0.3739,0.3703,0.3718,1781560799999,True
1781560800000,0.3719,0.3743,0.3655,0.3672,1781564399999,True
1781564400000,0.3673,0.3708,0.3652,0.3698,1781567999999,True
1781568000000,0.3699,0.3729,0.3689,0.3705,1781571599999,True
1781571600000,0.3705,0.3735,0.3697,0.3702,1781575199999,True
1781575200000,0.3703,0.3703,0.3627,0.365,1781578799999,True
1781578800000,0.365,0.3752,0.364,0.3746,1781582399999,True
1781582400000,0.3746,0.3762,0.3669,0.3694,1781585999999,True
1781586000000,0.3693,0.3751,0.3692,0.3706,1781589599999,True
1781589600000,0.3706,0.3756,0.3704,0.3728,1781593199999,True
1781593200000,0.3727,0.3787,0.3713,0.3779,1781596799999,True
1781596800000,0.378,0.3868,0.3765,0.3853,1781600399999,True
1781600400000,0.3854,0.3868,0.3813,0.3826,1781603999999,True
1781604000000,0.3827,0.3908,0.3812,0.3849,1781607599999,True
1781607600000,0.3849,0.3884,0.3822,0.3845,1781611199999,True
1781611200000,0.3845,0.3871,0.3816,0.3834,1781614799999,True
1781614800000,0.3834,0.3838,0.3708,0.3744,1781618399999,True
1781618400000,0.3745,0.3783,0.3654,0.3701,1781621999999,True
1781622000000,0.3701,0.3741,0.3691,0.37,1781625599999,True
1781625600000,0.37,0.3717,0.366,0.3673,1781629199999,True
1781629200000,0.3673,0.3691,0.3634,0.3681,1781632799999,True
1781632800000,0.3682,0.3727,0.3673,0.3682,1781636399999,True
1781636400000,0.3683,0.3697,0.3652,0.3668,1781639999999,True
1781640000000,0.3668,0.3794,0.3653,0.3774,1781643599999,True
1781643600000,0.3773,0.3788,0.3698,0.3735,1781647199999,True
1781647200000,0.3735,0.3748,0.3702,0.3719,1781650799999,True
1781650800000,0.372,0.3727,0.3687,0.3695,1781654399999,True
1781654400000,0.3695,0.3773,0.3695,0.3763,1781657999999,True
1781658000000,0.3763,0.3834,0.3709,0.3831,1781661599999,True
1781661600000,0.3831,0.3832,0.3764,0.3781,1781665199999,True
1781665200000,0.3782,0.3787,0.3736,0.3782,1781668799999,True
1781668800000,0.3783,0.3827,0.3763,0.3765,1781672399999,True
1781672400000,0.3765,0.3793,0.3741,0.3765,1781675999999,True
1781676000000,0.3766,0.379,0.3735,0.3741,1781679599999,True
1781679600000,0.374,0.375,0.369,0.3714,1781683199999,True
1781683200000,0.3714,0.373,0.3652,0.3674,1781686799999,True
1781686800000,0.3674,0.37,0.3668,0.3698,1781690399999,True
1781690400000,0.3698,0.3714,0.3687,0.3696,1781693999999,True
1781694000000,0.3696,0.3722,0.3664,0.3711,1781697599999,True
1781697600000,0.3711,0.3747,0.3636,0.3746,1781701199999,True
1781701200000,0.3746,0.3784,0.3733,0.3744,1781704799999,True
1781704800000,0.3744,0.3773,0.3709,0.3747,1781708399999,True
1781708400000,0.3748,0.3828,0.3715,0.3827,1781711999999,True
1781712000000,0.3826,0.3843,0.3765,0.3772,1781715599999,True
1781715600000,0.3772,0.3815,0.3759,0.3813,1781719199999,True
1781719200000,0.3813,0.3834,0.3682,0.3772,1781722799999,True
1781722800000,0.3772,0.3812,0.3646,0.3665,1781726399999,True
1781726400000,0.3665,0.371,0.3652,0.37,1781729999999,True
1781730000000,0.3701,0.3705,0.3607,0.3634,1781733599999,True
1781733600000,0.3633,0.365,0.3572,0.3627,1781737199999,True
1781737200000,0.3628,0.3658,0.3624,0.3646,1781740799999,True
1781740800000,0.3647,0.3688,0.3623,0.3632,1781744399999,True
1781744400000,0.3631,0.3696,0.3628,0.3682,1781747999999,True
1781748000000,0.3683,0.3713,0.3658,0.3706,1781751599999,True
1781751600000,0.3705,0.3724,0.3639,0.3642,1781755199999,True
1781755200000,0.3643,0.3649,0.3575,0.3579,1781758799999,True
1781758800000,0.3578,0.3584,0.353,0.3575,1781762399999,True
1781762400000,0.3574,0.3607,0.3562,0.3603,1781765999999,True
1781766000000,0.3603,0.3656,0.3588,0.364,1781769599999,True
1781769600000,0.3641,0.3681,0.3618,0.3662,1781773199999,True
1781773200000,0.3662,0.3717,0.3645,0.3682,1781776799999,True
1781776800000,0.3683,0.3684,0.3623,0.3647,1781780399999,True
1781780400000,0.3647,0.3672,0.3594,0.3619,1781783999999,True
1781784000000,0.362,0.3754,0.3601,0.3738,1781787599999,True
1781787600000,0.3739,0.3785,0.3664,0.3702,1781791199999,True
1781791200000,0.3703,0.3784,0.3689,0.3746,1781794799999,True
1781794800000,0.3746,0.3748,0.3553,0.3561,1781798399999,True
1781798400000,0.356,0.3618,0.3555,0.3606,1781801999999,True
1781802000000,0.3607,0.3615,0.3543,0.3576,1781805599999,True
1781805600000,0.3577,0.3578,0.3509,0.3513,1781809199999,True
1781809200000,0.3513,0.3582,0.3498,0.3567,1781812799999,True
1781812800000,0.3568,0.3619,0.3568,0.36,1781816399999,True
1781816400000,0.36,0.3622,0.3574,0.3613,1781819999999,True
1781820000000,0.3613,0.3627,0.3584,0.3606,1781823599999,True
1781823600000,0.3605,0.3665,0.3595,0.3661,1781827199999,True
1781827200000,0.3662,0.3666,0.3623,0.3628,1781830799999,True
1781830800000,0.3629,0.3645,0.3598,0.3637,1781834399999,True
1781834400000,0.3636,0.3659,0.3589,0.3611,1781837999999,True
1781838000000,0.3611,0.3625,0.3535,0.3576,1781841599999,True
1781841600000,0.3575,0.3606,0.3508,0.3517,1781845199999,True
1781845200000,0.3517,0.3564,0.3516,0.3559,1781848799999,True
1781848800000,0.3559,0.3575,0.3534,0.356,1781852399999,True
1781852400000,0.3561,0.3565,0.3468,0.3486,1781855999999,True
1781856000000,0.3486,0.353,0.3484,0.3508,1781859599999,True
1781859600000,0.3509,0.3517,0.3468,0.3478,1781863199999,True
1781863200000,0.3478,0.3485,0.3448,0.3471,1781866799999,True
1781866800000,0.3471,0.349,0.3461,0.3481,1781870399999,True
1781870400000,0.3482,0.3522,0.3449,0.3516,1781873999999,True
1781874000000,0.3517,0.3599,0.3503,0.3569,1781877599999,True
1781877600000,0.3568,0.3587,0.3547,0.355,1781881199999,True
1781881200000,0.355,0.3567,0.3527,0.3546,1781884799999,True
1781884800000,0.3547,0.3565,0.3512,0.3523,1781888399999,True
1781888400000,0.3523,0.3573,0.3513,0.3562,1781891999999,True
1781892000000,0.3562,0.3566,0.3514,0.3527,1781895599999,True
1781895600000,0.3527,0.353,0.3479,0.3492,1781899199999,True
1781899200000,0.3493,0.3519,0.3475,0.3516,1781902799999,True
1781902800000,0.3516,0.3525,0.3482,0.3491,1781906399999,True
1781906400000,0.3491,0.3533,0.3486,0.3527,1781909999999,True
1781910000000,0.3527,0.3567,0.3509,0.3554,1781913599999,True
1781913600000,0.3554,0.3566,0.3509,0.3509,1781917199999,True
1781917200000,0.3509,0.353,0.3491,0.3514,1781920799999,True
1781920800000,0.3513,0.352,0.3484,0.3488,1781924399999,True
1781924400000,0.3487,0.3514,0.3482,0.3498,1781927999999,True
1781928000000,0.3498,0.3513,0.349,0.3507,1781931599999,True
1781931600000,0.3507,0.3546,0.3501,0.3523,1781935199999,True
1781935200000,0.3523,0.3538,0.3509,0.3511,1781938799999,True
1781938800000,0.3511,0.3514,0.3488,0.3501,1781942399999,True
1781942400000,0.3501,0.3519,0.3484,0.3495,1781945999999,True
1781946000000,0.3495,0.3522,0.349,0.3515,1781949599999,True
1781949600000,0.3515,0.3526,0.3487,0.3497,1781953199999,True
1781953200000,0.3496,0.3499,0.3465,0.3475,1781956799999,True
1781956800000,0.3474,0.3495,0.3456,0.3457,1781960399999,True
1781960400000,0.3457,0.3466,0.3412,0.3432,1781963999999,True
1781964000000,0.3432,0.3476,0.3367,0.3448,1781967599999,True
1781967600000,0.3448,0.348,0.3426,0.3442,1781971199999,True
1781971200000,0.3443,0.3443,0.3392,0.3405,1781974799999,True
1781974800000,0.3405,0.3407,0.3356,0.3386,1781978399999,True
1781978400000,0.3386,0.34,0.3372,0.3376,1781981999999,True
1781982000000,0.3376,0.3394,0.3368,0.3385,1781985599999,True
1781985600000,0.3385,0.3395,0.3372,0.3391,1781989199999,True
1781989200000,0.3391,0.3425,0.339,0.341,1781992799999,True
1781992800000,0.3409,0.3455,0.3399,0.3442,1781996399999,True
1781996400000,0.3443,0.3454,0.3423,0.3432,1781999999999,True
1782000000000,0.3432,0.3435,0.3393,0.3404,1782003599999,True
1782003600000,0.3403,0.3406,0.3384,0.3386,1782007199999,True
1782007200000,0.3386,0.3393,0.3372,0.3385,1782010799999,True
1782010800000,0.3385,0.3417,0.338,0.3398,1782014399999,True
1782014400000,0.3398,0.3412,0.3373,0.3375,1782017999999,True
1782018000000,0.3374,0.3378,0.3358,0.3372,1782021599999,True
1782021600000,0.3373,0.3384,0.3362,0.3381,1782025199999,True
1782025200000,0.3381,0.3397,0.3368,0.3384,1782028799999,True
1782028800000,0.3384,0.3396,0.3338,0.3372,1782032399999,True
1782032400000,0.3372,0.3401,0.3357,0.3399,1782035999999,True
1782036000000,0.3399,0.3429,0.3393,0.3397,1782039599999,True
1782039600000,0.3397,0.3407,0.336,0.3366,1782043199999,True
1782043200000,0.3366,0.3395,0.3354,0.3388,1782046799999,True
1782046800000,0.3388,0.3406,0.3381,0.3392,1782050399999,True
1782050400000,0.3392,0.3399,0.3377,0.3396,1782053999999,True
1782054000000,0.3396,0.3426,0.339,0.3415,1782057599999,True
1782057600000,0.3414,0.3417,0.3378,0.3395,1782061199999,True
1782061200000,0.3395,0.3407,0.3367,0.3374,1782064799999,True
1782064800000,0.3374,0.3398,0.3357,0.3396,1782068399999,True
1782068400000,0.3397,0.3409,0.3391,0.3402,1782071999999,True
1782072000000,0.3402,0.3405,0.3358,0.3365,1782075599999,True
1782075600000,0.3364,0.3368,0.3318,0.3339,1782079199999,True
1782079200000,0.3339,0.3356,0.3324,0.3335,1782082799999,True
1782082800000,0.3335,0.3335,0.3291,0.3295,1782086399999,True
1782086400000,0.3295,0.3369,0.3294,0.3364,1782089999999,True
1782090000000,0.3364,0.3418,0.3356,0.3396,1782093599999,True
1782093600000,0.3396,0.34,0.3367,0.3367,1782097199999,True
1782097200000,0.3367,0.3381,0.3326,0.3332,1782100799999,True
1782100800000,0.3333,0.3353,0.3324,0.3349,1782104399999,True
1782104400000,0.3349,0.3377,0.3346,0.3368,1782107999999,True
1782108000000,0.3368,0.3379,0.3352,0.3361,1782111599999,True
1782111600000,0.336,0.3394,0.3358,0.3373,1782115199999,True
1782115200000,0.3373,0.3379,0.3353,0.3362,1782118799999,True
1782118800000,0.3362,0.3366,0.3344,0.3347,1782122399999,True
1782122400000,0.3346,0.3352,0.3334,0.3339,1782125999999,True
1782126000000,0.334,0.3399,0.3336,0.3393,1782129599999,True
1782129600000,0.3393,0.3424,0.3386,0.3422,1782133199999,True
1782133200000,0.3423,0.344,0.34,0.3429,1782136799999,True
1782136800000,0.3429,0.3434,0.3344,0.3361,1782140399999,True
1782140400000,0.3362,0.3371,0.3318,0.3326,1782143999999,True
1782144000000,0.3327,0.3337,0.3306,0.332,1782147599999,True
1782147600000,0.3319,0.3328,0.3285,0.3316,1782151199999,True
1782151200000,0.3316,0.3337,0.3292,0.3299,1782154799999,True
1782154800000,0.33,0.3316,0.3288,0.3306,1782158399999,True
1782158400000,0.3306,0.3331,0.3302,0.3322,1782161999999,True
1782162000000,0.3321,0.3325,0.3282,0.3303,1782165599999,True
1782165600000,0.3304,0.3319,0.3255,0.328,1782169199999,True
1782169200000,0.328,0.3292,0.3261,0.3288,1782172799999,True
1782172800000,0.3287,0.3288,0.3252,0.328,1782176399999,True
1782176400000,0.328,0.3293,0.3239,0.3269,1782179999999,True
1782180000000,0.3268,0.327,0.3239,0.3247,1782183599999,True
1782183600000,0.3247,0.3247,0.3217,0.3247,1782187199999,True
1782187200000,0.3247,0.3251,0.3201,0.3202,1782190799999,True
1782190800000,0.3202,0.3215,0.3173,0.3179,1782194399999,True
1782194400000,0.318,0.318,0.3101,0.3139,1782197999999,True
1782198000000,0.314,0.3168,0.3138,0.3142,1782201599999,True
1782201600000,0.3143,0.3167,0.3086,0.314,1782205199999,True
1782205200000,0.314,0.3152,0.3119,0.3134,1782208799999,True
1782208800000,0.3134,0.3142,0.3106,0.3117,1782212399999,True
1782212400000,0.3117,0.3142,0.3114,0.3134,1782215999999,True
1782216000000,0.3134,0.3137,0.3101,0.3113,1782219599999,True
1782219600000,0.3113,0.315,0.3092,0.3142,1782223199999,True
1782223200000,0.3142,0.3158,0.3118,0.3125,1782226799999,True
1782226800000,0.3125,0.3126,0.3078,0.3106,1782230399999,True
1782230400000,0.3107,0.313,0.3093,0.3099,1782233999999,True
1782234000000,0.3098,0.3117,0.3081,0.3089,1782237599999,True
1782237600000,0.3089,0.3106,0.3082,0.31,1782241199999,True
1782241200000,0.3101,0.3119,0.3096,0.3115,1782244799999,True
1782244800000,0.3115,0.3146,0.3114,0.3135,1782248399999,True
1782248400000,0.3135,0.3162,0.3131,0.3144,1782251999999,True
1782252000000,0.3143,0.3163,0.3127,0.313,1782255599999,True
1782255600000,0.313,0.3148,0.3115,0.3146,1782259199999,True
1782259200000,0.3146,0.3157,0.3131,0.3142,1782262799999,True
1782262800000,0.3143,0.3145,0.3113,0.3125,1782266399999,True
1782266400000,0.3125,0.3129,0.3093,0.3106,1782269999999,True
1782270000000,0.3107,0.3107,0.3073,0.3088,1782273599999,True
1782273600000,0.3088,0.3093,0.3052,0.3084,1782277199999,True
1782277200000,0.3083,0.3119,0.3082,0.3106,1782280799999,True
1782280800000,0.3106,0.3111,0.3094,0.3098,1782284399999,True
1782284400000,0.3098,0.3101,0.3066,0.307,1782287999999,True
1782288000000,0.3071,0.3085,0.3062,0.3073,1782291599999,True
1782291600000,0.3073,0.3074,0.3053,0.3055,1782295199999,True
1782295200000,0.3055,0.3057,0.3031,0.3037,1782298799999,True
1782298800000,0.3037,0.3091,0.3013,0.3067,1782302399999,True
1782302400000,0.3067,0.3083,0.3043,0.3043,1782305999999,True
1782306000000,0.3044,0.3048,0.2987,0.3008,1782309599999,True
1782309600000,0.3009,0.305,0.2998,0.3034,1782313199999,True
1782313200000,0.3033,0.3033,0.2964,0.2981,1782316799999,True
1782316800000,0.2981,0.3024,0.2947,0.298,1782320399999,True
1782320400000,0.2981,0.3006,0.2936,0.2938,1782323999999,True
1782324000000,0.2938,0.3042,0.2932,0.3028,1782327599999,True
1782327600000,0.3028,0.3038,0.299,0.3017,1782331199999,True
1782331200000,0.3017,0.3094,0.301,0.3076,1782334799999,True
1782334800000,0.3076,0.3121,0.3067,0.3114,1782338399999,True
1782338400000,0.3113,0.3135,0.309,0.3095,1782341999999,True
1782342000000,0.3095,0.3144,0.3094,0.3143,1782345599999,True
1782345600000,0.3143,0.3178,0.3136,0.3167,1782349199999,True
1782349200000,0.3167,0.3193,0.3143,0.3191,1782352799999,True
1782352800000,0.319,0.3194,0.3148,0.3155,1782356399999,True
1782356400000,0.3155,0.3161,0.3124,0.3147,1782359999999,True
1782360000000,0.3147,0.3176,0.3121,0.3163,1782363599999,True
1782363600000,0.3164,0.3218,0.3161,0.3202,1782367199999,True
1782367200000,0.3202,0.3216,0.3185,0.3189,1782370799999,True
1782370800000,0.3189,0.3238,0.3176,0.32,1782374399999,True
1782374400000,0.32,0.3202,0.3153,0.3159,1782377999999,True
1782378000000,0.316,0.3167,0.3145,0.3158,1782381599999,True
1782381600000,0.3159,0.3163,0.3124,0.3127,1782385199999,True
1782385200000,0.3126,0.3142,0.3111,0.3126,1782388799999,True
1782388800000,0.3126,0.3153,0.3088,0.3139,1782392399999,True
1782392400000,0.3139,0.3209,0.2952,0.2967,1782395999999,True
1782396000000,0.2966,0.3126,0.2966,0.3063,1782399599999,True
1782399600000,0.3063,0.3093,0.3033,0.3086,1782403199999,True
1782403200000,0.3087,0.3132,0.3076,0.3082,1782406799999,True
1782406800000,0.3082,0.3132,0.3077,0.3122,1782410399999,True
1782410400000,0.3123,0.3131,0.305,0.3065,1782413999999,True
1782414000000,0.3065,0.3066,0.3028,0.3065,1782417599999,True
1782417600000,0.3065,0.3102,0.3065,0.3081,1782421199999,True
1782421200000,0.3081,0.3143,0.308,0.3143,1782424799999,True
