open_time,open,high,low,close,close_time,is_closed
1781269200000,0.0991,0.0995,0.0966,0.0984,1781272799999,True
1781272800000,0.0985,0.1007,0.0979,0.1004,1781276399999,True
1781276400000,0.1003,0.1009,0.0985,0.0987,1781279999999,True
1781280000000,0.0986,0.101,0.0983,0.1008,1781283599999,True
1781283600000,0.1009,0.1019,0.1,0.1002,1781287199999,True
1781287200000,0.1003,0.1008,0.099,0.0999,1781290799999,True
1781290800000,0.1,0.1013,0.0999,0.1004,1781294399999,True
1781294400000,0.1005,0.1009,0.0998,0.1002,1781297999999,True
1781298000000,0.1003,0.101,0.099,0.0993,1781301599999,True
1781301600000,0.0994,0.1001,0.0992,0.0995,1781305199999,True
1781305200000,0.0995,0.0998,0.0988,0.0998,1781308799999,True
1781308800000,0.0998,0.1,0.0993,0.0995,1781312399999,True
1781312400000,0.0995,0.1011,0.0995,0.1006,1781315999999,True
1781316000000,0.1007,0.1008,0.1,0.1006,1781319599999,True
1781319600000,0.1006,0.1011,0.0999,0.1005,1781323199999,True
1781323200000,0.1006,0.1019,0.0998,0.101,1781326799999,True
1781326800000,0.101,0.1022,0.1009,0.1021,1781330399999,True
1781330400000,0.1022,0.106,0.102,0.1039,1781333999999,True
1781334000000,0.1039,0.1072,0.1032,0.1057,1781337599999,True
1781337600000,0.1057,0.1098,0.1056,0.1068,1781341199999,True
1781341200000,0.1068,0.1091,0.1057,0.1081,1781344799999,True
1781344800000,0.1081,0.1096,0.1064,0.107,1781348399999,True
1781348400000,0.107,0.1099,0.1066,0.1076,1781351999999,True
1781352000000,0.1076,0.1098,0.1067,0.1082,1781355599999,True
1781355600000,0.1083,0.1103,0.1079,0.1101,1781359199999,True
1781359200000,0.1102,0.1125,0.1067,0.1078,1781362799999,True
1781362800000,0.1078,0.1091,0.1068,0.1076,1781366399999,True
1781366400000,0.1077,0.1082,0.1058,0.1078,1781369999999,True
1781370000000,0.1079,0.1101,0.107,0.1088,1781373599999,True
1781373600000,0.1088,0.1094,0.1077,0.1084,1781377199999,True
1781377200000,0.1084,0.1091,0.1074,0.1081,1781380799999,True
1781380800000,0.1081,0.1087,0.1075,0.1077,1781384399999,True
1781384400000,0.1078,0.1085,0.1071,0.108,1781387999999,True
1781388000000,0.1081,0.1086,0.1071,0.1072,1781391599999,True
1781391600000,0.1072,0.1077,0.1068,0.1069,1781395199999,True
1781395200000,0.1068,0.1072,0.1058,0.1061,1781398799999,True
1781398800000,0.1061,0.107,0.1055,0.1065,1781402399999,True
1781402400000,0.1065,0.1073,0.106,0.106,1781405999999,True
1781406000000,0.106,0.1074,0.1057,0.1061,1781409599999,True
1781409600000,0.1062,0.1062,0.1046,0.105,1781413199999,True
1781413200000,0.1051,0.106,0.1042,0.1055,1781416799999,True
1781416800000,0.1055,0.107,0.1053,0.1056,1781420399999,True
1781420400000,0.1056,0.1061,0.1051,0.1059,1781423999999,True
1781424000000,0.1059,0.1069,0.1055,0.1061,1781427599999,True
1781427600000,0.1061,0.1068,0.1055,0.1067,1781431199999,True
1781431200000,0.1068,0.108,0.1061,0.107,1781434799999,True
1781434800000,0.1071,0.1073,0.1064,0.1068,1781438399999,True
1781438400000,0.1069,0.107,0.1056,0.1057,1781441999999,True
1781442000000,0.1058,0.1071,0.1056,0.1067,1781445599999,True
1781445600000,0.1067,0.1069,0.1044,0.1061,1781449199999,True
1781449200000,0.1062,0.1066,0.1056,0.1057,1781452799999,True
1781452800000,0.1057,0.1066,0.1056,0.1059,1781456399999,True
1781456400000,0.1059,0.1065,0.1053,0.1056,1781459999999,True
1781460000000,0.1055,0.1061,0.1053,0.1057,1781463599999,True
1781463600000,0.1058,0.1065,0.1055,0.1056,1781467199999,True
1781467200000,0.1057,0.1066,0.1052,0.1057,1781470799999,True
1781470800000,0.1057,0.1096,0.1056,0.1083,1781474399999,True
1781474400000,0.1084,0.1089,0.1076,0.108,1781477999999,True
1781478000000,0.108,0.1089,0.1077,0.1084,1781481599999,True
1781481600000,0.1084,0.1091,0.1072,0.1087,1781485199999,True
1781485200000,0.1088,0.1115,0.1081,0.1101,1781488799999,True
1781488800000,0.1101,0.1108,0.1088,0.1104,1781492399999,True
1781492400000,0.1105,0.1113,0.11,0.1106,1781495999999,True
1781496000000,0.1107,0.1112,0.1102,0.1105,1781499599999,True
1781499600000,0.1104,0.1115,0.1097,0.1106,1781503199999,True
1781503200000,0.1106,0.1112,0.1098,0.1099,1781506799999,True
1781506800000,0.11,0.1106,0.1096,0.1098,1781510399999,True
1781510400000,0.1098,0.1107,0.1095,0.1098,1781513999999,True
1781514000000,0.1098,0.1103,0.1095,0.1099,1781517599999,True
1781517600000,0.11,0.1107,0.1094,0.11,1781521199999,True
1781521200000,0.1101,0.1115,0.11,0.1106,1781524799999,True
1781524800000,0.1107,0.112,0.1103,0.1114,1781528399999,True
1781528400000,0.1114,0.1122,0.1107,0.1113,1781531999999,True
1781532000000,0.1113,0.1119,0.1105,0.1114,1781535599999,True
1781535600000,0.1113,0.1116,0.1101,0.1109,1781539199999,True
1781539200000,0.1109,0.1112,0.1103,0.1106,1781542799999,True
1781542800000,0.1105,0.1115,0.1103,0.1113,1781546399999,True
1781546400000,0.1112,0.1115,0.1107,0.1108,1781549999999,True
1781550000000,0.1107,0.111,0.1084,0.1099,1781553599999,True
1781553600000,0.1098,0.1102,0.1092,0.1094,1781557199999,True
1781557200000,0.1093,0.1096,0.109,0.1095,1781560799999,True
1781560800000,0.1094,0.1097,0.1073,0.1081,1781564399999,True
1781564400000,0.108,0.1087,0.1075,0.1085,1781567999999,True
1781568000000,0.1085,0.1091,0.1082,0.1084,1781571599999,True
1781571600000,0.1084,0.1092,0.1084,0.1085,1781575199999,True
1781575200000,0.1085,0.1087,0.1068,0.1077,1781578799999,True
1781578800000,0.1077,0.1088,0.1074,0.1084,1781582399999,True
1781582400000,0.1083,0.1084,0.107,0.1073,1781585999999,True
1781586000000,0.1073,0.108,0.1069,0.1071,1781589599999,True
1781589600000,0.1072,0.1074,0.1066,0.1067,1781593199999,True
1781593200000,0.1067,0.1075,0.1063,0.1068,1781596799999,True
1781596800000,0.1068,0.1089,0.1066,0.1088,1781600399999,True
1781600400000,0.1089,0.1089,0.1075,0.1078,1781603999999,True
1781604000000,0.1078,0.1081,0.1071,0.1073,1781607599999,True
1781607600000,0.1073,0.1086,0.107,0.1085,1781611199999,True
1781611200000,0.1085,0.11,0.1081,0.109,1781614799999,True
1781614800000,0.1091,0.1093,0.1069,0.1073,1781618399999,True
1781618400000,0.1074,0.1079,0.1049,0.1065,1781621999999,True
1781622000000,0.1064,0.1072,0.1062,0.1067,1781625599999,True
1781625600000,0.1067,0.107,0.1059,0.1063,1781629199999,True
1781629200000,0.1062,0.1076,0.1062,0.1074,1781632799999,True
1781632800000,0.1074,0.1086,0.1073,0.1081,1781636399999,True
1781636400000,0.108,0.1082,0.107,0.108,1781639999999,True
1781640000000,0.1079,0.1105,0.1077,0.11,1781643599999,True
1781643600000,0.1101,0.1102,0.1088,0.1097,1781647199999,True
1781647200000,0.1098,0.1103,0.109,0.1095,1781650799999,True
1781650800000,0.1096,0.1097,0.1086,0.1089,1781654399999,True
1781654400000,0.1089,0.1097,0.1088,0.1093,1781657999999,True
1781658000000,0.1094,0.1113,0.1093,0.1112,1781661599999,True
1781661600000,0.1113,0.1122,0.11,0.1104,1781665199999,True
1781665200000,0.1104,0.1105,0.1091,0.1097,1781668799999,True
1781668800000,0.1097,0.1107,0.1094,0.1097,1781672399999,True
1781672400000,0.1098,0.1103,0.1088,0.109,1781675999999,True
1781676000000,0.1091,0.1103,0.1084,0.1084,1781679599999,True
1781679600000,0.1084,0.1092,0.1077,0.1084,1781683199999,True
1781683200000,0.1085,0.1087,0.1069,0.1074,1781686799999,True
1781686800000,0.1074,0.1081,0.1073,0.1079,1781690399999,True
1781690400000,0.108,0.1084,0.1071,0.1072,1781693999999,True
1781694000000,0.1073,0.1078,0.1067,0.1071,1781697599999,True
1781697600000,0.1072,0.1077,0.1064,0.1075,1781701199999,True
1781701200000,0.1075,0.1079,0.1068,0.1069,1781704799999,True
1781704800000,0.1069,0.1073,0.1051,0.1064,1781708399999,True
1781708400000,0.1064,0.1093,0.1063,0.1091,1781711999999,True
1781712000000,0.1091,0.1103,0.1091,0.1091,1781715599999,True
1781715600000,0.1092,0.1106,0.1087,0.1105,1781719199999,True
1781719200000,0.1105,0.1106,0.1066,0.1092,1781722799999,True
1781722800000,0.1092,0.1098,0.1051,0.1061,1781726399999,True
1781726400000,0.106,0.1072,0.1056,0.1071,1781729999999,True
1781730000000,0.1071,0.1073,0.1061,0.1067,1781733599999,True
1781733600000,0.1066,0.1083,0.1052,0.1079,1781737199999,True
1781737200000,0.1079,0.1097,0.1078,0.1087,1781740799999,True
1781740800000,0.1088,0.1094,0.1083,0.1087,1781744399999,True
1781744400000,0.1087,0.1096,0.1083,0.1087,1781747999999,True
1781748000000,0.1086,0.1095,0.1083,0.1088,1781751599999,True
1781751600000,0.1088,0.1089,0.1068,0.107,1781755199999,True
1781755200000,0.1071,0.1072,0.1047,0.1048,1781758799999,True
1781758800000,0.1048,0.105,0.1035,0.1042,1781762399999,True
1781762400000,0.1043,0.1051,0.1038,0.1048,1781765999999,True
1781766000000,0.1049,0.1068,0.1045,0.1064,1781769599999,True
1781769600000,0.1064,0.1077,0.1061,0.1074,1781773199999,True
1781773200000,0.1075,0.1109,0.1071,0.1091,1781776799999,True
