open_time,open,high,low,close,close_time,is_closed
1782298800000,0.7647,0.7647,0.6673,0.6973,1782302399999,True
1782302400000,0.6973,0.7575,0.682,0.7277,1782305999999,True
1782306000000,0.7278,0.7507,0.6417,0.647,1782309599999,True
1782309600000,0.647,0.7178,0.6443,0.6637,1782313199999,True
1782313200000,0.6633,0.6909,0.6614,0.6814,1782316799999,True
1782316800000,0.6812,0.7367,0.6741,0.681,1782320399999,True
1782320400000,0.6807,0.728,0.666,0.7214,1782323999999,True
1782324000000,0.7214,0.7449,0.6834,0.6957,1782327599999,True
1782327600000,0.6956,0.697,0.6445,0.666,1782331199999,True
1782331200000,0.6656,0.6942,0.6617,0.6846,1782334799999,True
1782334800000,0.6849,0.7273,0.6823,0.7206,1782338399999,True
1782338400000,0.7207,0.8557,0.7199,0.8302,1782341999999,True
1782342000000,0.8302,0.8456,0.7926,0.8215,1782345599999,True
1782345600000,0.8216,0.8337,0.7713,0.8154,1782349199999,True
1782349200000,0.8157,0.8284,0.7208,0.725,1782352799999,True
1782352800000,0.7246,0.7319,0.6721,0.6794,1782356399999,True
1782356400000,0.6794,0.6957,0.6424,0.6636,1782359999999,True
1782360000000,0.6631,0.6636,0.631,0.6493,1782363599999,True
1782363600000,0.6495,0.6625,0.6387,0.6529,1782367199999,True
1782367200000,0.6532,0.6729,0.6462,0.6496,1782370799999,True
1782370800000,0.6493,0.6588,0.6209,0.639,1782374399999,True
1782374400000,0.6391,0.6396,0.5943,0.6053,1782377999999,True
1782378000000,0.605,0.6056,0.5853,0.5996,1782381599999,True
1782381600000,0.5996,0.6077,0.59,0.5963,1782385199999,True
1782385200000,0.5966,0.5994,0.5701,0.5871,1782388799999,True
1782388800000,0.5874,0.6016,0.5793,0.5892,1782392399999,True
1782392400000,0.5895,0.6011,0.5513,0.5534,1782395999999,True
1782396000000,0.5534,0.5866,0.5512,0.5758,1782399599999,True
1782399600000,0.5759,0.5785,0.5631,0.5675,1782403199999,True
1782403200000,0.5678,0.5709,0.5529,0.5539,1782406799999,True
1782406800000,0.5544,0.566,0.5413,0.5588,1782410399999,True
1782410400000,0.5588,0.56,0.5496,0.5516,1782413999999,True
1782414000000,0.552,0.5563,0.5444,0.5519,1782417599999,True
1782417600000,0.5519,0.5658,0.543,0.5561,1782421199999,True
1782421200000,0.5565,0.5584,0.5491,0.5565,1782424799999,True
1782424800000,0.5564,0.5671,0.5533,0.5607,1782428399999,True
1782428400000,0.5607,0.5786,0.5506,0.5603,1782431999999,True
1782432000000,0.5603,0.5674,0.5152,0.5363,1782435599999,True
1782435600000,0.5361,0.5387,0.5075,0.5223,1782439199999,True
1782439200000,0.5224,0.5247,0.4933,0.5086,1782442799999,True
1782442800000,0.5085,0.5209,0.492,0.5187,1782446399999,True
1782446400000,0.5192,0.5373,0.4989,0.502,1782449999999,True
1782450000000,0.502,0.5032,0.4782,0.4938,1782453599999,True
1782453600000,0.4938,0.5021,0.4605,0.4664,1782457199999,True
1782457200000,0.4664,0.4749,0.4507,0.4619,1782460799999,True
1782460800000,0.4617,0.4663,0.453,0.4595,1782464399999,True
1782464400000,0.4594,0.4641,0.4551,0.4579,1782467999999,True
1782468000000,0.458,0.4583,0.4303,0.4363,1782471599999,True
1782471600000,0.4362,0.4445,0.4223,0.4299,1782475199999,True
1782475200000,0.4298,0.4325,0.407,0.4151,1782478799999,True
1782478800000,0.415,0.4351,0.4142,0.4277,1782482399999,True
1782482400000,0.4277,0.439,0.4204,0.4267,1782485999999,True
1782486000000,0.4266,0.4509,0.413,0.4196,1782489599999,True
1782489600000,0.4196,0.434,0.419,0.4232,1782493199999,True
1782493200000,0.4232,0.4645,0.4223,0.4382,1782496799999,True
1782496800000,0.4382,0.4413,0.416,0.4191,1782500399999,True
1782500400000,0.4191,0.4254,0.4078,0.425,1782503999999,True
1782504000000,0.425,0.4627,0.418,0.4521,1782507599999,True
1782507600000,0.4521,0.4671,0.4407,0.4512,1782511199999,True
1782511200000,0.4512,0.4652,0.4423,0.4468,1782514799999,True
1782514800000,0.4468,0.4685,0.4468,0.4537,1782518399999,True
1782518400000,0.4538,0.4612,0.3766,0.4021,1782521999999,True
1782522000000,0.402,0.4397,0.3864,0.4081,1782525599999,True
