open_time,open,high,low,close,close_time,is_closed
1781269200000,0.30456,0.32476,0.30342,0.32081,1781272799999,True
1781272800000,0.32095,0.3213,0.3083,0.30929,1781276399999,True
1781276400000,0.30927,0.32278,0.30569,0.31414,1781279999999,True
1781280000000,0.31419,0.31959,0.30449,0.31239,1781283599999,True
1781283600000,0.31243,0.31329,0.30018,0.30393,1781287199999,True
1781287200000,0.30395,0.31356,0.29839,0.30399,1781290799999,True
1781290800000,0.30413,0.31118,0.29942,0.30007,1781294399999,True
1781294400000,0.30007,0.30719,0.29973,0.30284,1781297999999,True
1781298000000,0.30288,0.32172,0.30101,0.31134,1781301599999,True
1781301600000,0.31135,0.3179,0.30661,0.31041,1781305199999,True
1781305200000,0.31042,0.31554,0.30841,0.31068,1781308799999,True
1781308800000,0.31068,0.31988,0.29621,0.30087,1781312399999,True
1781312400000,0.30097,0.30145,0.28243,0.29244,1781315999999,True
1781316000000,0.2925,0.29999,0.28326,0.2843,1781319599999,True
1781319600000,0.28439,0.31245,0.28085,0.3081,1781323199999,True
1781323200000,0.3081,0.32458,0.30198,0.32369,1781326799999,True
1781326800000,0.32354,0.35098,0.31809,0.34953,1781330399999,True
1781330400000,0.34937,0.36555,0.34275,0.35938,1781333999999,True
1781334000000,0.35929,0.3618,0.3315,0.33468,1781337599999,True
1781337600000,0.33472,0.35695,0.33103,0.35415,1781341199999,True
1781341200000,0.35424,0.3666,0.35163,0.36308,1781344799999,True
1781344800000,0.36307,0.37198,0.35319,0.36544,1781348399999,True
1781348400000,0.36544,0.36959,0.35402,0.35763,1781351999999,True
1781352000000,0.35776,0.36176,0.34244,0.34371,1781355599999,True
1781355600000,0.34366,0.35693,0.34202,0.34925,1781359199999,True
1781359200000,0.34923,0.35348,0.34313,0.34897,1781362799999,True
1781362800000,0.34884,0.36698,0.34768,0.35525,1781366399999,True
1781366400000,0.35528,0.36969,0.3539,0.36703,1781369999999,True
1781370000000,0.36719,0.37342,0.36172,0.36645,1781373599999,True
1781373600000,0.36645,0.37344,0.363,0.36428,1781377199999,True
