open_time,open,high,low,close,close_time,is_closed
1781269200000,66.74,66.98,66.33,66.69,1781272799999,True
1781272800000,66.69,67.95,66.61,67.89,1781276399999,True
1781276400000,67.88,68.78,67.12,67.2,1781279999999,True
1781280000000,67.19,67.98,67.03,67.97,1781283599999,True
1781283600000,67.97,68.18,67.21,67.36,1781287199999,True
1781287200000,67.36,67.45,66.94,67.03,1781290799999,True
1781290800000,67.03,67.37,66.65,66.74,1781294399999,True
1781294400000,66.75,66.82,66.48,66.64,1781297999999,True
1781298000000,66.64,66.91,66.42,66.53,1781301599999,True
1781301600000,66.54,66.73,66.41,66.6,1781305199999,True
1781305200000,66.59,66.79,66.43,66.79,1781308799999,True
1781308800000,66.79,67.04,66.73,66.94,1781312399999,True
1781312400000,66.95,67.49,66.94,67.4,1781315999999,True
1781316000000,67.4,67.47,66.83,66.92,1781319599999,True
1781319600000,66.93,67.02,66.65,66.84,1781323199999,True
1781323200000,66.83,66.93,66.59,66.61,1781326799999,True
1781326800000,66.61,66.93,66.55,66.75,1781330399999,True
1781330400000,66.75,67.2,66.62,67.12,1781333999999,True
1781334000000,67.13,67.45,66.93,67.34,1781337599999,True
1781337600000,67.33,67.55,67.22,67.29,1781341199999,True
1781341200000,67.28,67.5,67.25,67.34,1781344799999,True
1781344800000,67.34,67.58,67.29,67.4,1781348399999,True
1781348400000,67.4,67.93,67.34,67.87,1781351999999,True
1781352000000,67.87,68.03,67.74,67.92,1781355599999,True
1781355600000,67.93,68.27,67.79,67.97,1781359199999,True
1781359200000,67.97,68.41,67.95,68.25,1781362799999,True
1781362800000,68.25,68.68,68.12,68.55,1781366399999,True
1781366400000,68.56,68.59,67.77,68.05,1781369999999,True
1781370000000,68.04,68.24,67.78,67.95,1781373599999,True
1781373600000,67.94,68.34,67.92,68.08,1781377199999,True
1781377200000,68.08,68.36,67.97,68.19,1781380799999,True
1781380800000,68.18,68.24,68.0,68.22,1781384399999,True
1781384400000,68.23,69.55,68.18,69.21,1781387999999,True
1781388000000,69.21,69.22,68.82,68.85,1781391599999,True
1781391600000,68.85,69.14,68.73,68.88,1781395199999,True
1781395200000,68.88,68.88,68.6,68.71,1781398799999,True
1781398800000,68.7,69.07,68.58,68.76,1781402399999,True
1781402400000,68.77,69.06,68.66,68.77,1781405999999,True
1781406000000,68.77,69.0,68.7,68.9,1781409599999,True
1781409600000,68.91,68.98,68.38,68.48,1781413199999,True
1781413200000,68.48,68.54,67.98,68.22,1781416799999,True
1781416800000,68.21,68.46,68.07,68.15,1781420399999,True
1781420400000,68.16,68.22,68.0,68.18,1781423999999,True
1781424000000,68.19,68.32,68.07,68.2,1781427599999,True
1781427600000,68.2,68.46,67.86,68.45,1781431199999,True
1781431200000,68.44,68.48,68.09,68.1,1781434799999,True
1781434800000,68.11,68.3,67.97,68.06,1781438399999,True
1781438400000,68.06,68.12,67.66,67.73,1781441999999,True
1781442000000,67.74,67.83,67.46,67.73,1781445599999,True
1781445600000,67.72,67.8,66.89,67.24,1781449199999,True
1781449200000,67.24,67.51,67.22,67.39,1781452799999,True
1781452800000,67.38,67.72,67.37,67.45,1781456399999,True
1781456400000,67.44,67.69,67.25,67.3,1781459999999,True
1781460000000,67.3,67.46,67.14,67.37,1781463599999,True
1781463600000,67.37,67.72,67.29,67.52,1781467199999,True
1781467200000,67.53,68.05,67.4,67.75,1781470799999,True
1781470800000,67.76,70.5,67.76,70.12,1781474399999,True
1781474400000,70.12,70.69,69.64,70.4,1781477999999,True
1781478000000,70.39,71.25,70.11,71.24,1781481599999,True
1781481600000,71.24,71.69,70.9,71.09,1781485199999,True
1781485200000,71.09,71.31,70.62,70.98,1781488799999,True
1781488800000,70.98,71.55,70.86,70.93,1781492399999,True
1781492400000,70.93,71.34,70.87,71.19,1781495999999,True
1781496000000,71.19,71.24,70.84,70.89,1781499599999,True
1781499600000,70.88,71.28,70.75,71.18,1781503199999,True
1781503200000,71.17,71.47,71.06,71.32,1781506799999,True
1781506800000,71.31,71.48,71.08,71.23,1781510399999,True
1781510400000,71.23,71.57,71.11,71.24,1781513999999,True
1781514000000,71.24,71.43,70.72,71.18,1781517599999,True
1781517600000,71.18,72.2,71.14,71.84,1781521199999,True
1781521200000,71.84,72.84,71.61,72.56,1781524799999,True
1781524800000,72.56,72.98,72.25,72.81,1781528399999,True
1781528400000,72.8,74.23,72.67,73.59,1781531999999,True
1781532000000,73.59,73.95,73.17,73.77,1781535599999,True
1781535600000,73.76,75.22,73.73,75.21,1781539199999,True
1781539200000,75.22,76.06,74.91,75.43,1781542799999,True
1781542800000,75.44,75.45,74.62,75.24,1781546399999,True
1781546400000,75.24,75.65,75.06,75.26,1781549999999,True
1781550000000,75.25,75.76,74.52,75.24,1781553599999,True
1781553600000,75.23,75.41,74.72,74.91,1781557199999,True
1781557200000,74.91,74.98,74.35,74.42,1781560799999,True
1781560800000,74.41,74.57,73.57,73.74,1781564399999,True
1781564400000,73.73,74.04,73.58,73.93,1781567999999,True
1781568000000,73.94,74.38,73.81,74.0,1781571599999,True
1781571600000,73.99,74.32,73.81,73.83,1781575199999,True
1781575200000,73.83,73.85,72.73,72.99,1781578799999,True
1781578800000,72.98,73.77,72.82,73.7,1781582399999,True
1781582400000,73.7,73.9,73.15,73.34,1781585999999,True
1781586000000,73.34,73.79,73.33,73.61,1781589599999,True
1781589600000,73.61,74.26,73.61,74.13,1781593199999,True
1781593200000,74.13,74.5,74.07,74.41,1781596799999,True
1781596800000,74.41,75.63,74.3,75.36,1781600399999,True
1781600400000,75.35,75.42,74.77,74.8,1781603999999,True
1781604000000,74.81,75.08,74.62,74.65,1781607599999,True
1781607600000,74.65,74.85,74.33,74.63,1781611199999,True
1781611200000,74.63,75.51,74.45,74.89,1781614799999,True
1781614800000,74.9,74.94,73.82,73.95,1781618399999,True
1781618400000,73.95,74.27,72.29,72.93,1781621999999,True
1781622000000,72.93,73.63,72.83,73.25,1781625599999,True
1781625600000,73.24,73.45,72.96,73.06,1781629199999,True
1781629200000,73.06,73.8,73.01,73.64,1781632799999,True
1781632800000,73.64,74.32,73.54,73.98,1781636399999,True
1781636400000,73.98,74.19,73.45,73.8,1781639999999,True
1781640000000,73.8,74.23,73.63,74.11,1781643599999,True
1781643600000,74.11,74.17,73.69,73.9,1781647199999,True
1781647200000,73.89,74.07,73.57,73.79,1781650799999,True
1781650800000,73.79,73.93,73.36,73.49,1781654399999,True
1781654400000,73.49,73.75,73.28,73.33,1781657999999,True
1781658000000,73.33,73.98,73.11,73.89,1781661599999,True
1781661600000,73.89,74.44,73.64,74.0,1781665199999,True
1781665200000,74.01,74.01,73.47,73.64,1781668799999,True
1781668800000,73.64,74.08,73.55,73.79,1781672399999,True
1781672400000,73.78,73.96,73.39,73.6,1781675999999,True
1781676000000,73.6,73.79,73.13,73.38,1781679599999,True
1781679600000,73.38,73.57,72.93,73.22,1781683199999,True
1781683200000,73.23,73.26,72.11,72.3,1781686799999,True
1781686800000,72.3,72.65,72.27,72.49,1781690399999,True
1781690400000,72.49,72.65,72.06,72.1,1781693999999,True
1781694000000,72.11,72.21,71.66,71.98,1781697599999,True
1781697600000,71.99,72.3,71.54,72.29,1781701199999,True
1781701200000,72.28,72.73,72.11,72.38,1781704799999,True
1781704800000,72.37,72.64,71.78,72.34,1781708399999,True
1781708400000,72.34,73.83,72.31,73.76,1781711999999,True
1781712000000,73.76,74.66,73.66,73.72,1781715599999,True
1781715600000,73.73,74.32,73.41,74.17,1781719199999,True
1781719200000,74.18,74.36,72.12,73.45,1781722799999,True
1781722800000,73.45,73.67,71.36,71.61,1781726399999,True
1781726400000,71.62,72.21,71.49,72.16,1781729999999,True
1781730000000,72.15,72.19,71.3,71.57,1781733599999,True
1781733600000,71.57,71.9,70.76,71.66,1781737199999,True
1781737200000,71.66,72.09,71.63,72.0,1781740799999,True
1781740800000,72.01,72.48,71.97,72.18,1781744399999,True
1781744400000,72.18,72.59,72.04,72.18,1781747999999,True
1781748000000,72.19,72.64,72.07,72.48,1781751599999,True
1781751600000,72.48,72.5,71.49,71.61,1781755199999,True
1781755200000,71.61,71.69,70.85,71.02,1781758799999,True
1781758800000,71.01,71.1,70.59,71.08,1781762399999,True
1781762400000,71.09,71.38,70.94,71.29,1781765999999,True
1781766000000,71.3,71.8,71.11,71.73,1781769599999,True
1781769600000,71.74,72.03,71.58,71.82,1781773199999,True
1781773200000,71.82,72.12,71.69,71.81,1781776799999,True
1781776800000,71.8,71.82,71.05,71.36,1781780399999,True
1781780400000,71.36,71.53,70.67,70.9,1781783999999,True
1781784000000,70.89,71.58,70.83,71.51,1781787599999,True
1781787600000,71.51,71.76,70.69,71.0,1781791199999,True
1781791200000,71.01,71.68,70.65,71.04,1781794799999,True
1781794800000,71.04,71.06,68.32,68.42,1781798399999,True
1781798400000,68.41,69.1,68.35,69.03,1781801999999,True
1781802000000,69.04,69.13,68.48,68.62,1781805599999,True
1781805600000,68.62,68.97,68.2,68.62,1781809199999,True
1781809200000,68.62,69.51,68.53,69.34,1781812799999,True
1781812800000,69.35,69.94,69.35,69.79,1781816399999,True
1781816400000,69.78,69.87,69.35,69.53,1781819999999,True
1781820000000,69.53,69.66,69.21,69.48,1781823599999,True
1781823600000,69.49,69.77,69.24,69.69,1781827199999,True
1781827200000,69.68,69.86,69.53,69.77,1781830799999,True
1781830800000,69.77,69.99,69.5,69.91,1781834399999,True
1781834400000,69.9,70.06,69.38,69.63,1781837999999,True
1781838000000,69.62,69.72,68.53,69.02,1781841599999,True
1781841600000,69.01,69.24,68.16,68.3,1781845199999,True
1781845200000,68.29,68.72,68.27,68.65,1781848799999,True
1781848800000,68.65,68.81,68.43,68.72,1781852399999,True
1781852400000,68.71,68.74,67.93,68.34,1781855999999,True
1781856000000,68.35,68.72,68.2,68.64,1781859599999,True
1781859600000,68.65,68.71,68.17,68.28,1781863199999,True
1781863200000,68.28,68.43,68.02,68.28,1781866799999,True
1781866800000,68.27,68.44,68.05,68.21,1781870399999,True
1781870400000,68.21,68.7,67.86,68.58,1781873999999,True
1781874000000,68.58,69.55,68.35,69.23,1781877599999,True
1781877600000,69.22,69.44,68.78,69.1,1781881199999,True
1781881200000,69.09,69.5,68.89,69.29,1781884799999,True
1781884800000,69.28,69.53,68.64,68.67,1781888399999,True
1781888400000,68.67,69.49,68.57,69.29,1781891999999,True
1781892000000,69.29,69.34,68.76,69.01,1781895599999,True
1781895600000,69.02,69.12,68.74,68.92,1781899199999,True
1781899200000,68.93,69.27,68.68,69.22,1781902799999,True
1781902800000,69.22,69.27,68.86,68.97,1781906399999,True
1781906400000,68.97,69.41,68.94,69.37,1781909999999,True
1781910000000,69.38,69.84,69.19,69.69,1781913599999,True
1781913600000,69.69,70.09,69.57,69.6,1781917199999,True
1781917200000,69.59,69.91,69.49,69.76,1781920799999,True
1781920800000,69.76,69.83,69.44,69.61,1781924399999,True
1781924400000,69.61,70.07,69.59,69.97,1781927999999,True
1781928000000,69.96,71.05,69.85,70.83,1781931599999,True
1781931600000,70.83,72.45,70.67,71.74,1781935199999,True
1781935200000,71.75,72.35,71.66,72.05,1781938799999,True
1781938800000,72.06,72.1,71.4,71.55,1781942399999,True
1781942400000,71.54,71.62,71.23,71.3,1781945999999,True
