open_time,open,high,low,close,close_time,is_closed
1781269200000,217.28,227.72,214.52,224.71,1781272799999,True
1781272800000,224.76,236.48,223.59,235.42,1781276399999,True
1781276400000,235.49,241.51,227.81,228.93,1781279999999,True
1781280000000,228.86,239.94,227.86,239.38,1781283599999,True
1781283600000,239.4,242.42,238.31,240.44,1781287199999,True
1781287200000,240.45,240.87,235.51,235.89,1781290799999,True
1781290800000,235.88,238.95,233.25,234.5,1781294399999,True
1781294400000,234.47,236.19,234.23,234.89,1781297999999,True
1781298000000,234.9,235.18,233.9,234.58,1781301599999,True
1781301600000,234.58,236.64,234.27,236.54,1781305199999,True
1781305200000,236.53,239.11,236.06,239.06,1781308799999,True
1781308800000,239.06,239.5,233.61,236.49,1781312399999,True
1781312400000,236.51,238.38,235.73,237.36,1781315999999,True
1781316000000,237.36,241.33,236.53,239.33,1781319599999,True
1781319600000,239.38,241.5,235.59,236.87,1781323199999,True
1781323200000,236.92,237.54,235.0,235.63,1781326799999,True
1781326800000,235.64,237.07,235.4,236.68,1781330399999,True
1781330400000,236.68,237.81,235.62,236.79,1781333999999,True
1781334000000,236.79,238.42,236.35,237.75,1781337599999,True
1781337600000,237.75,238.7,235.95,236.02,1781341199999,True
1781341200000,236.08,237.51,234.0,234.89,1781344799999,True
1781344800000,234.87,235.39,231.95,233.26,1781348399999,True
1781348400000,233.28,234.78,233.05,234.11,1781351999999,True
1781352000000,234.12,235.35,233.33,235.23,1781355599999,True
1781355600000,235.21,235.32,233.65,234.22,1781359199999,True
1781359200000,234.22,238.43,231.49,236.53,1781362799999,True
1781362800000,236.56,238.18,235.23,236.43,1781366399999,True
1781366400000,236.47,236.59,232.0,233.37,1781369999999,True
1781370000000,233.36,234.05,232.56,233.64,1781373599999,True
1781373600000,233.63,235.85,233.07,235.76,1781377199999,True
1781377200000,235.72,237.83,235.38,237.75,1781380799999,True
1781380800000,237.74,238.23,236.16,237.31,1781384399999,True
1781384400000,237.28,237.83,236.33,236.97,1781387999999,True
1781388000000,236.98,238.13,236.48,237.27,1781391599999,True
1781391600000,237.26,237.69,237.04,237.26,1781395199999,True
1781395200000,237.26,237.97,235.38,236.46,1781398799999,True
1781398800000,236.46,236.71,234.89,234.91,1781402399999,True
1781402400000,234.91,235.97,234.31,235.94,1781405999999,True
1781406000000,235.95,236.2,234.5,235.37,1781409599999,True
1781409600000,235.36,235.47,230.2,234.09,1781413199999,True
1781413200000,234.1,235.14,233.51,234.45,1781416799999,True
1781416800000,234.46,236.72,234.37,236.45,1781420399999,True
1781420400000,236.45,238.95,235.68,237.77,1781423999999,True
1781424000000,237.8,238.49,236.45,237.3,1781427599999,True
1781427600000,237.31,238.08,236.53,237.72,1781431199999,True
1781431200000,237.74,240.66,237.74,238.24,1781434799999,True
1781434800000,238.24,240.32,237.87,239.25,1781438399999,True
1781438400000,239.25,239.26,236.69,237.68,1781441999999,True
1781442000000,237.67,238.57,235.73,237.66,1781445599999,True
1781445600000,237.68,238.23,235.49,237.2,1781449199999,True
1781449200000,237.21,239.49,236.97,238.56,1781452799999,True
1781452800000,238.55,239.65,238.21,238.65,1781456399999,True
1781456400000,238.64,239.73,238.38,239.49,1781459999999,True
1781460000000,239.49,243.52,239.03,243.09,1781463599999,True
1781463600000,243.09,243.69,240.14,240.29,1781467199999,True
1781467200000,240.3,240.3,238.05,238.12,1781470799999,True
1781470800000,238.12,262.97,237.45,259.44,1781474399999,True
1781474400000,259.5,260.28,253.13,257.42,1781477999999,True
1781478000000,257.43,259.58,252.15,252.24,1781481599999,True
1781481600000,252.26,264.51,251.32,260.11,1781485199999,True
1781485200000,260.12,261.45,258.86,260.65,1781488799999,True
1781488800000,260.68,261.96,260.04,261.72,1781492399999,True
1781492400000,261.73,262.83,261.31,261.82,1781495999999,True
1781496000000,261.83,262.75,260.83,262.44,1781499599999,True
1781499600000,262.45,267.77,260.9,261.81,1781503199999,True
1781503200000,261.81,263.24,261.24,262.88,1781506799999,True
1781506800000,262.9,262.9,261.44,262.2,1781510399999,True
1781510400000,262.2,267.75,261.82,266.19,1781513999999,True
1781514000000,266.16,266.53,262.15,263.87,1781517599999,True
1781517600000,263.86,265.06,263.02,263.92,1781521199999,True
1781521200000,263.9,268.13,263.61,267.13,1781524799999,True
1781524800000,267.11,267.81,263.77,266.04,1781528399999,True
1781528400000,266.04,272.18,262.6,264.5,1781531999999,True
1781532000000,264.53,268.47,261.77,264.19,1781535599999,True
1781535600000,264.14,269.66,264.0,269.04,1781539199999,True
1781539200000,269.06,271.84,268.39,270.57,1781542799999,True
1781542800000,270.57,272.73,268.0,271.54,1781546399999,True
1781546400000,271.55,274.92,270.65,272.65,1781549999999,True
1781550000000,272.65,274.76,270.42,272.68,1781553599999,True
1781553600000,272.66,273.39,270.11,270.3,1781557199999,True
1781557200000,270.29,271.98,270.28,271.58,1781560799999,True
1781560800000,271.62,272.02,268.0,269.68,1781564399999,True
1781564400000,269.68,271.51,269.21,271.2,1781567999999,True
1781568000000,271.22,271.95,265.13,265.2,1781571599999,True
1781571600000,265.17,268.0,262.19,266.96,1781575199999,True
1781575200000,266.96,267.17,264.9,266.15,1781578799999,True
1781578800000,266.15,271.28,265.88,270.17,1781582399999,True
1781582400000,270.17,270.56,268.32,269.46,1781585999999,True
