open_time,open,high,low,close,close_time,is_closed
1781269200000,0.7547,0.7557,0.7477,0.7514,1781272799999,True
1781272800000,0.7514,0.7637,0.7501,0.7631,1781276399999,True
1781276400000,0.7632,0.7705,0.7466,0.7471,1781279999999,True
1781280000000,0.7471,0.7565,0.7445,0.756,1781283599999,True
1781283600000,0.7562,0.7593,0.7515,0.7529,1781287199999,True
1781287200000,0.753,0.7544,0.7485,0.7499,1781290799999,True
1781290800000,0.7499,0.7537,0.7479,0.7481,1781294399999,True
1781294400000,0.7481,0.7506,0.7466,0.7479,1781297999999,True
1781298000000,0.748,0.7512,0.7457,0.747,1781301599999,True
1781301600000,0.7471,0.751,0.747,0.749,1781305199999,True
1781305200000,0.749,0.7511,0.7454,0.7507,1781308799999,True
1781308800000,0.7506,0.7527,0.7493,0.7512,1781312399999,True
1781312400000,0.7513,0.7579,0.751,0.7566,1781315999999,True
1781316000000,0.7566,0.7568,0.7514,0.7525,1781319599999,True
1781319600000,0.7526,0.7541,0.748,0.7504,1781323199999,True
1781323200000,0.7505,0.7528,0.7475,0.749,1781326799999,True
1781326800000,0.7491,0.7516,0.7471,0.7503,1781330399999,True
1781330400000,0.7504,0.7551,0.7484,0.7544,1781333999999,True
1781334000000,0.7545,0.7686,0.7523,0.7619,1781337599999,True
1781337600000,0.7618,0.7658,0.7601,0.7621,1781341199999,True
1781341200000,0.7621,0.768,0.7621,0.7649,1781344799999,True
1781344800000,0.7648,0.7702,0.7636,0.7653,1781348399999,True
1781348400000,0.7653,0.7692,0.7645,0.7689,1781351999999,True
1781352000000,0.769,0.7767,0.7656,0.7743,1781355599999,True
1781355600000,0.7743,0.7756,0.7657,0.7675,1781359199999,True
1781359200000,0.7676,0.7726,0.7667,0.7722,1781362799999,True
1781362800000,0.7722,0.7749,0.7697,0.7734,1781366399999,True
1781366400000,0.7734,0.774,0.7621,0.7671,1781369999999,True
1781370000000,0.7671,0.7699,0.7639,0.7679,1781373599999,True
1781373600000,0.7678,0.7708,0.7648,0.7659,1781377199999,True
1781377200000,0.7659,0.7689,0.7645,0.7654,1781380799999,True
1781380800000,0.7654,0.7662,0.7618,0.7648,1781384399999,True
1781384400000,0.7648,0.7743,0.762,0.7696,1781387999999,True
1781388000000,0.7696,0.7699,0.7651,0.7652,1781391599999,True
1781391600000,0.7652,0.7695,0.7647,0.7678,1781395199999,True
1781395200000,0.7678,0.7679,0.763,0.7651,1781398799999,True
1781398800000,0.7651,0.7695,0.7635,0.7669,1781402399999,True
1781402400000,0.7669,0.7704,0.7658,0.7684,1781405999999,True
1781406000000,0.7684,0.7693,0.766,0.7683,1781409599999,True
1781409600000,0.7684,0.7692,0.7608,0.762,1781413199999,True
1781413200000,0.762,0.7631,0.7587,0.762,1781416799999,True
1781416800000,0.762,0.765,0.7577,0.7595,1781420399999,True
1781420400000,0.7595,0.7597,0.7561,0.7586,1781423999999,True
1781424000000,0.7586,0.7603,0.7568,0.7584,1781427599999,True
1781427600000,0.7584,0.7616,0.7547,0.7607,1781431199999,True
1781431200000,0.7607,0.7613,0.7576,0.7576,1781434799999,True
1781434800000,0.7577,0.7602,0.7571,0.7587,1781438399999,True
1781438400000,0.7588,0.7605,0.7546,0.7565,1781441999999,True
1781442000000,0.7565,0.7577,0.7523,0.7544,1781445599999,True
1781445600000,0.7545,0.7545,0.7443,0.7475,1781449199999,True
1781449200000,0.7476,0.7492,0.7469,0.7481,1781452799999,True
1781452800000,0.7481,0.7517,0.7472,0.7497,1781456399999,True
1781456400000,0.7496,0.7523,0.7469,0.7478,1781459999999,True
1781460000000,0.7479,0.75,0.7461,0.7481,1781463599999,True
1781463600000,0.7481,0.7519,0.747,0.7491,1781467199999,True
1781467200000,0.7492,0.7553,0.7475,0.7513,1781470799999,True
1781470800000,0.7514,0.7895,0.7509,0.7848,1781474399999,True
1781474400000,0.7848,0.79,0.7763,0.7846,1781477999999,True
1781478000000,0.7846,0.8033,0.7804,0.8028,1781481599999,True
1781481600000,0.8027,0.8042,0.7944,0.7976,1781485199999,True
1781485200000,0.7975,0.798,0.7855,0.7901,1781488799999,True
1781488800000,0.7901,0.7981,0.7887,0.7912,1781492399999,True
1781492400000,0.7912,0.8006,0.7901,0.7991,1781495999999,True
1781496000000,0.7991,0.801,0.7937,0.7941,1781499599999,True
1781499600000,0.794,0.8043,0.7928,0.8029,1781503199999,True
1781503200000,0.8029,0.8045,0.7976,0.7977,1781506799999,True
1781506800000,0.7978,0.8001,0.7928,0.7938,1781510399999,True
1781510400000,0.7938,0.7984,0.7929,0.7944,1781513999999,True
1781514000000,0.7944,0.7963,0.7883,0.7921,1781517599999,True
1781517600000,0.792,0.8085,0.7906,0.8037,1781521199999,True
1781521200000,0.8036,0.8165,0.801,0.8085,1781524799999,True
1781524800000,0.8086,0.8155,0.8065,0.8121,1781528399999,True
1781528400000,0.8122,0.8284,0.8114,0.8255,1781531999999,True
1781532000000,0.8256,0.8263,0.8145,0.8149,1781535599999,True
1781535600000,0.8149,0.8266,0.8105,0.824,1781539199999,True
1781539200000,0.8239,0.8274,0.8176,0.8181,1781542799999,True
1781542800000,0.8181,0.8182,0.8077,0.8139,1781546399999,True
1781546400000,0.814,0.8146,0.8068,0.8084,1781549999999,True
1781550000000,0.8084,0.8122,0.7951,0.8031,1781553599999,True
1781553600000,0.803,0.8056,0.7995,0.801,1781557199999,True
1781557200000,0.8009,0.8017,0.797,0.7978,1781560799999,True
1781560800000,0.7978,0.8009,0.7873,0.7894,1781564399999,True
1781564400000,0.7894,0.794,0.7863,0.7931,1781567999999,True
1781568000000,0.7931,0.7961,0.7905,0.7913,1781571599999,True
1781571600000,0.7913,0.7948,0.7898,0.7908,1781575199999,True
1781575200000,0.7907,0.7923,0.7764,0.7787,1781578799999,True
1781578800000,0.7787,0.7873,0.7763,0.787,1781582399999,True
1781582400000,0.7871,0.7898,0.7799,0.7818,1781585999999,True
1781586000000,0.7819,0.7858,0.7819,0.7833,1781589599999,True
1781589600000,0.7834,0.7894,0.7834,0.7885,1781593199999,True
1781593200000,0.7886,0.792,0.7856,0.7904,1781596799999,True
1781596800000,0.7904,0.81,0.7902,0.8072,1781600399999,True
1781600400000,0.8073,0.8083,0.7969,0.7977,1781603999999,True
1781604000000,0.7977,0.8017,0.7962,0.7973,1781607599999,True
