open_time,open,high,low,close,close_time,is_closed
1781269200000,213.65,214.05,210.4,212.19,1781272799999,True
1781272800000,212.2,216.96,211.98,216.65,1781276399999,True
1781276400000,216.66,217.86,212.11,212.22,1781279999999,True
1781280000000,212.21,214.63,211.6,214.19,1781283599999,True
1781283600000,214.2,214.91,213.07,213.21,1781287199999,True
1781287200000,213.21,213.75,211.66,212.27,1781290799999,True
1781290800000,212.27,213.97,212.01,212.11,1781294399999,True
1781294400000,212.11,213.62,212.01,212.32,1781297999999,True
1781298000000,212.33,213.1,210.77,211.58,1781301599999,True
1781301600000,211.51,212.71,211.2,212.36,1781305199999,True
1781305200000,212.39,212.4,210.95,212.1,1781308799999,True
1781308800000,212.1,213.23,211.85,212.95,1781312399999,True
1781312400000,212.96,215.12,212.77,214.73,1781315999999,True
1781316000000,214.73,215.45,213.55,215.22,1781319599999,True
1781319600000,215.22,217.46,213.99,217.15,1781323199999,True
1781323200000,217.15,219.63,216.15,217.2,1781326799999,True
1781326800000,217.2,218.74,213.37,214.77,1781330399999,True
1781330400000,214.78,220.63,214.59,220.33,1781333999999,True
1781334000000,220.33,236.76,219.71,234.51,1781337599999,True
1781337600000,234.51,239.49,232.12,236.7,1781341199999,True
1781341200000,236.75,247.29,235.28,245.05,1781344799999,True
1781344800000,245.03,248.63,241.27,245.31,1781348399999,True
1781348400000,245.3,249.43,243.11,245.86,1781351999999,True
1781352000000,245.89,251.7,244.74,247.99,1781355599999,True
1781355600000,248.0,256.2,246.06,255.9,1781359199999,True
1781359200000,255.89,266.1,255.81,265.55,1781362799999,True
1781362800000,265.51,269.27,259.04,262.67,1781366399999,True
1781366400000,262.68,265.18,260.33,264.51,1781369999999,True
1781370000000,264.52,277.21,259.15,262.14,1781373599999,True
1781373600000,262.13,262.6,251.19,256.73,1781377199999,True
1781377200000,256.7,256.94,250.64,251.31,1781380799999,True
1781380800000,251.32,256.59,250.23,255.91,1781384399999,True
1781384400000,255.92,264.28,253.34,260.3,1781387999999,True
1781388000000,260.32,263.82,260.01,262.02,1781391599999,True
1781391600000,262.02,266.6,261.32,262.76,1781395199999,True
1781395200000,262.76,267.17,261.26,264.53,1781398799999,True
1781398800000,264.53,269.77,261.74,264.88,1781402399999,True
1781402400000,264.87,276.31,263.72,275.75,1781405999999,True
1781406000000,275.76,276.67,271.93,275.44,1781409599999,True
1781409600000,275.44,282.06,272.31,274.42,1781413199999,True
1781413200000,274.43,277.76,272.7,275.23,1781416799999,True
1781416800000,275.23,277.87,270.26,273.6,1781420399999,True
1781420400000,273.6,275.42,267.52,269.39,1781423999999,True
1781424000000,269.39,274.99,267.73,268.88,1781427599999,True
1781427600000,268.87,269.45,264.63,268.03,1781431199999,True
