open_time,open,high,low,close,close_time,is_closed
1781269200000,0.1576,0.1577,0.1554,0.1562,1781272799999,True
1781272800000,0.1563,0.1589,0.156,0.1585,1781276399999,True
1781276400000,0.1585,0.1594,0.1561,0.1562,1781279999999,True
1781280000000,0.1562,0.1573,0.1555,0.1566,1781283599999,True
1781283600000,0.1565,0.1569,0.1555,0.156,1781287199999,True
1781287200000,0.1561,0.1564,0.1552,0.1557,1781290799999,True
1781290800000,0.1557,0.1566,0.1554,0.1558,1781294399999,True
1781294400000,0.1558,0.1563,0.1547,0.155,1781297999999,True
1781298000000,0.155,0.1554,0.1536,0.1543,1781301599999,True
1781301600000,0.1542,0.155,0.1542,0.1546,1781305199999,True
1781305200000,0.1547,0.155,0.154,0.155,1781308799999,True
1781308800000,0.1551,0.1557,0.1549,0.1555,1781312399999,True
1781312400000,0.1555,0.1572,0.1555,0.1569,1781315999999,True
1781316000000,0.1569,0.157,0.1555,0.1557,1781319599999,True
1781319600000,0.1557,0.156,0.1551,0.1554,1781323199999,True
1781323200000,0.1554,0.1562,0.1548,0.1553,1781326799999,True
1781326800000,0.1553,0.1556,0.1547,0.1555,1781330399999,True
1781330400000,0.1556,0.1573,0.155,0.1571,1781333999999,True
1781334000000,0.1571,0.1588,0.1567,0.1584,1781337599999,True
1781337600000,0.1585,0.1593,0.1582,0.1582,1781341199999,True
1781341200000,0.1584,0.1587,0.1577,0.1579,1781344799999,True
1781344800000,0.1579,0.158,0.1567,0.1573,1781348399999,True
1781348400000,0.1574,0.1593,0.1573,0.1587,1781351999999,True
1781352000000,0.1588,0.1611,0.1585,0.1606,1781355599999,True
1781355600000,0.1605,0.1608,0.1592,0.1597,1781359199999,True
1781359200000,0.1597,0.1605,0.1593,0.1605,1781362799999,True
1781362800000,0.1605,0.1614,0.1601,0.1609,1781366399999,True
1781366400000,0.1609,0.1619,0.1595,0.1616,1781369999999,True
1781370000000,0.1616,0.1629,0.1605,0.161,1781373599999,True
1781373600000,0.161,0.1611,0.1595,0.1602,1781377199999,True
1781377200000,0.1601,0.1616,0.1592,0.1614,1781380799999,True
1781380800000,0.1614,0.162,0.1605,0.1614,1781384399999,True
1781384400000,0.1614,0.1634,0.1607,0.1627,1781387999999,True
1781388000000,0.1627,0.1632,0.1612,0.1612,1781391599999,True
1781391600000,0.1612,0.1624,0.1608,0.1618,1781395199999,True
1781395200000,0.1618,0.162,0.1603,0.1605,1781398799999,True
1781398800000,0.1606,0.1622,0.1602,0.1613,1781402399999,True
1781402400000,0.1613,0.1621,0.1605,0.1606,1781405999999,True
1781406000000,0.1606,0.1612,0.1604,0.161,1781409599999,True
1781409600000,0.1611,0.1611,0.1592,0.1597,1781413199999,True
1781413200000,0.1597,0.1606,0.1591,0.1606,1781416799999,True
1781416800000,0.1605,0.1617,0.16,0.1601,1781420399999,True
1781420400000,0.1601,0.1601,0.1591,0.1598,1781423999999,True
1781424000000,0.1599,0.1609,0.1595,0.1603,1781427599999,True
1781427600000,0.1603,0.1608,0.159,0.1608,1781431199999,True
1781431200000,0.1607,0.1608,0.1592,0.1592,1781434799999,True
1781434800000,0.1592,0.1601,0.1587,0.1597,1781438399999,True
1781438400000,0.1597,0.1601,0.1581,0.1585,1781441999999,True
1781442000000,0.1585,0.159,0.1578,0.1589,1781445599999,True
1781445600000,0.1589,0.1592,0.1568,0.1578,1781449199999,True
1781449200000,0.1578,0.1581,0.1572,0.1575,1781452799999,True
1781452800000,0.1574,0.1587,0.157,0.1579,1781456399999,True
1781456400000,0.1578,0.1583,0.1571,0.1573,1781459999999,True
1781460000000,0.1573,0.1584,0.1569,0.1577,1781463599999,True
1781463600000,0.1578,0.1592,0.1576,0.1584,1781467199999,True
1781467200000,0.1585,0.1599,0.1582,0.1593,1781470799999,True
1781470800000,0.1593,0.1647,0.1593,0.1637,1781474399999,True
1781474400000,0.1637,0.1646,0.163,0.1637,1781477999999,True
1781478000000,0.1637,0.1651,0.1631,0.165,1781481599999,True
1781481600000,0.1649,0.1657,0.164,0.1644,1781485199999,True
1781485200000,0.1644,0.1653,0.1634,0.1647,1781488799999,True
1781488800000,0.1647,0.1662,0.1645,0.1654,1781492399999,True
1781492400000,0.1654,0.1657,0.1648,0.1653,1781495999999,True
