open_time,open,high,low,close,close_time,is_closed
1781269200000,0.3362,0.3371,0.3243,0.329,1781272799999,True
1781272800000,0.3291,0.336,0.3285,0.3349,1781276399999,True
1781276400000,0.335,0.337,0.3253,0.3256,1781279999999,True
1781280000000,0.3254,0.3294,0.3242,0.3277,1781283599999,True
1781283600000,0.3277,0.3304,0.3269,0.3286,1781287199999,True
1781287200000,0.3286,0.3294,0.3239,0.3289,1781290799999,True
1781290800000,0.3289,0.3318,0.3267,0.3271,1781294399999,True
1781294400000,0.3271,0.3289,0.3252,0.3263,1781297999999,True
1781298000000,0.3263,0.3271,0.3216,0.3223,1781301599999,True
1781301600000,0.3223,0.3244,0.321,0.3225,1781305199999,True
1781305200000,0.3224,0.3235,0.3203,0.3234,1781308799999,True
1781308800000,0.3234,0.3245,0.3217,0.324,1781312399999,True
1781312400000,0.3241,0.3284,0.3241,0.3279,1781315999999,True
1781316000000,0.3279,0.3281,0.3248,0.3263,1781319599999,True
1781319600000,0.3263,0.3278,0.3249,0.3261,1781323199999,True
1781323200000,0.3261,0.3293,0.3237,0.3262,1781326799999,True
1781326800000,0.3262,0.3286,0.325,0.3286,1781330399999,True
1781330400000,0.3286,0.3351,0.3268,0.3333,1781333999999,True
1781334000000,0.3333,0.3375,0.3314,0.335,1781337599999,True
1781337600000,0.3349,0.3356,0.3322,0.3323,1781341199999,True
1781341200000,0.3323,0.3349,0.3315,0.3342,1781344799999,True
1781344800000,0.3342,0.336,0.3325,0.334,1781348399999,True
1781348400000,0.334,0.3382,0.3328,0.3374,1781351999999,True
1781352000000,0.3374,0.3434,0.3369,0.341,1781355599999,True
1781355600000,0.3411,0.3451,0.3398,0.3413,1781359199999,True
1781359200000,0.3414,0.344,0.3391,0.3428,1781362799999,True
1781362800000,0.3429,0.3581,0.3423,0.3494,1781366399999,True
1781366400000,0.3495,0.3522,0.3434,0.3472,1781369999999,True
1781370000000,0.3471,0.3527,0.3439,0.3493,1781373599999,True
1781373600000,0.3493,0.3507,0.344,0.3464,1781377199999,True
1781377200000,0.3464,0.3488,0.344,0.3459,1781380799999,True
1781380800000,0.3458,0.3469,0.3435,0.3452,1781384399999,True
1781384400000,0.3452,0.3504,0.3437,0.3472,1781387999999,True
1781388000000,0.3472,0.3483,0.3448,0.3451,1781391599999,True
1781391600000,0.345,0.3472,0.3446,0.3458,1781395199999,True
1781395200000,0.3459,0.347,0.343,0.3443,1781398799999,True
1781398800000,0.3443,0.3459,0.3431,0.3451,1781402399999,True
1781402400000,0.345,0.3466,0.3417,0.3428,1781405999999,True
1781406000000,0.3428,0.3438,0.3417,0.3432,1781409599999,True
1781409600000,0.3431,0.3433,0.3381,0.3389,1781413199999,True
1781413200000,0.339,0.3412,0.3364,0.3407,1781416799999,True
1781416800000,0.3408,0.3434,0.3384,0.3386,1781420399999,True
1781420400000,0.3387,0.3393,0.3373,0.3386,1781423999999,True
1781424000000,0.3385,0.3405,0.3374,0.3386,1781427599999,True
1781427600000,0.3386,0.3399,0.3364,0.3391,1781431199999,True
1781431200000,0.3392,0.3397,0.3367,0.3367,1781434799999,True
1781434800000,0.3367,0.339,0.3356,0.3371,1781438399999,True
1781438400000,0.3371,0.3379,0.3336,0.3346,1781441999999,True
1781442000000,0.3346,0.3357,0.3328,0.3345,1781445599999,True
1781445600000,0.3345,0.3345,0.3292,0.3327,1781449199999,True
1781449200000,0.3327,0.3351,0.3324,0.3338,1781452799999,True
1781452800000,0.3338,0.3361,0.3335,0.3353,1781456399999,True
1781456400000,0.3353,0.3361,0.3322,0.3331,1781459999999,True
1781460000000,0.3332,0.3362,0.3325,0.3356,1781463599999,True
1781463600000,0.3356,0.3413,0.3351,0.3375,1781467199999,True
1781467200000,0.3375,0.3397,0.3363,0.3387,1781470799999,True
1781470800000,0.3387,0.3531,0.3377,0.3491,1781474399999,True
1781474400000,0.3492,0.3513,0.3461,0.3486,1781477999999,True
1781478000000,0.3485,0.3506,0.3466,0.3505,1781481599999,True
1781481600000,0.3505,0.3518,0.3481,0.3496,1781485199999,True
1781485200000,0.3496,0.3502,0.3473,0.3491,1781488799999,True
1781488800000,0.3492,0.3558,0.3485,0.3546,1781492399999,True
1781492400000,0.3546,0.36,0.3527,0.3566,1781495999999,True
1781496000000,0.3567,0.3627,0.3557,0.3601,1781499599999,True
