open_time,open,high,low,close,close_time,is_closed
1781269200000,0.02573,0.0258,0.02474,0.02483,1781272799999,True
1781272800000,0.02483,0.02492,0.02462,0.02482,1781276399999,True
1781276400000,0.02482,0.0253,0.02447,0.02449,1781279999999,True
1781280000000,0.02449,0.0246,0.02377,0.02394,1781283599999,True
1781283600000,0.02395,0.02399,0.02314,0.02322,1781287199999,True
1781287200000,0.02322,0.02425,0.02317,0.0232,1781290799999,True
1781290800000,0.0232,0.02354,0.02295,0.02351,1781294399999,True
1781294400000,0.0235,0.02385,0.02344,0.02375,1781297999999,True
1781298000000,0.02376,0.02382,0.02343,0.02352,1781301599999,True
1781301600000,0.02352,0.0237,0.02333,0.02334,1781305199999,True
1781305200000,0.02333,0.02362,0.02332,0.0236,1781308799999,True
1781308800000,0.0236,0.02364,0.02344,0.0235,1781312399999,True
1781312400000,0.02348,0.02357,0.02326,0.02347,1781315999999,True
1781316000000,0.02348,0.02377,0.0234,0.02374,1781319599999,True
1781319600000,0.02375,0.02398,0.02352,0.02377,1781323199999,True
1781323200000,0.02378,0.02393,0.02323,0.02331,1781326799999,True
1781326800000,0.0233,0.02351,0.02255,0.0235,1781330399999,True
1781330400000,0.0235,0.02361,0.02296,0.02304,1781333999999,True
1781334000000,0.02305,0.02326,0.02294,0.02313,1781337599999,True
1781337600000,0.02313,0.02327,0.02303,0.02316,1781341199999,True
1781341200000,0.02316,0.02326,0.02309,0.0231,1781344799999,True
1781344800000,0.0231,0.02325,0.02305,0.02317,1781348399999,True
1781348400000,0.02317,0.02323,0.02306,0.02312,1781351999999,True
1781352000000,0.02312,0.02312,0.02265,0.02284,1781355599999,True
1781355600000,0.02284,0.02302,0.02222,0.02242,1781359199999,True
1781359200000,0.02244,0.02284,0.02241,0.02263,1781362799999,True
1781362800000,0.02264,0.02303,0.02222,0.02242,1781366399999,True
1781366400000,0.02243,0.02302,0.02202,0.02301,1781369999999,True
1781370000000,0.02301,0.02324,0.02225,0.02231,1781373599999,True
1781373600000,0.02231,0.02259,0.02186,0.02207,1781377199999,True
