open_time,open,high,low,close,close_time,is_closed
1781269200000,2.148,2.17,2.002,2.05,1781272799999,True
1781272800000,2.05,2.058,1.954,2.042,1781276399999,True
1781276400000,2.043,2.096,2.027,2.057,1781279999999,True
1781280000000,2.057,2.116,2.042,2.092,1781283599999,True
1781283600000,2.093,2.117,2.075,2.088,1781287199999,True
1781287200000,2.088,2.108,2.025,2.037,1781290799999,True
1781290800000,2.037,2.042,1.99,2.004,1781294399999,True
1781294400000,2.005,2.074,1.993,2.056,1781297999999,True
1781298000000,2.056,2.105,2.042,2.084,1781301599999,True
1781301600000,2.084,2.135,2.063,2.115,1781305199999,True
1781305200000,2.115,2.175,2.095,2.15,1781308799999,True
1781308800000,2.15,2.198,2.093,2.149,1781312399999,True
1781312400000,2.147,2.356,2.143,2.337,1781315999999,True
1781316000000,2.336,2.396,2.24,2.306,1781319599999,True
1781319600000,2.307,2.331,2.242,2.27,1781323199999,True
1781323200000,2.271,2.32,2.214,2.22,1781326799999,True
1781326800000,2.219,2.258,2.151,2.219,1781330399999,True
1781330400000,2.219,2.248,2.171,2.2,1781333999999,True
1781334000000,2.2,2.24,2.179,2.189,1781337599999,True
1781337600000,2.189,2.206,2.152,2.164,1781341199999,True
1781341200000,2.163,2.193,2.135,2.172,1781344799999,True
1781344800000,2.172,2.202,2.164,2.184,1781348399999,True
1781348400000,2.185,2.234,2.175,2.219,1781351999999,True
1781352000000,2.218,2.239,2.175,2.22,1781355599999,True
1781355600000,2.22,2.255,2.206,2.208,1781359199999,True
1781359200000,2.208,2.234,2.17,2.199,1781362799999,True
1781362800000,2.2,2.239,2.195,2.216,1781366399999,True
1781366400000,2.216,2.224,2.173,2.192,1781369999999,True
1781370000000,2.191,2.264,2.176,2.231,1781373599999,True
1781373600000,2.23,2.254,2.199,2.206,1781377199999,True
1781377200000,2.207,2.288,2.196,2.249,1781380799999,True
1781380800000,2.25,2.261,2.211,2.226,1781384399999,True
1781384400000,2.226,2.252,2.2,2.243,1781387999999,True
1781388000000,2.242,2.27,2.208,2.21,1781391599999,True
1781391600000,2.209,2.239,2.174,2.184,1781395199999,True
1781395200000,2.183,2.205,2.079,2.116,1781398799999,True
1781398800000,2.116,2.125,2.087,2.097,1781402399999,True
1781402400000,2.096,2.098,2.063,2.076,1781405999999,True
1781406000000,2.077,2.118,2.072,2.111,1781409599999,True
1781409600000,2.111,2.142,2.032,2.049,1781413199999,True
1781413200000,2.049,2.079,2.012,2.059,1781416799999,True
1781416800000,2.059,2.071,2.05,2.064,1781420399999,True
1781420400000,2.064,2.077,2.05,2.058,1781423999999,True
1781424000000,2.058,2.072,2.033,2.054,1781427599999,True
1781427600000,2.054,2.057,2.032,2.052,1781431199999,True
1781431200000,2.051,2.053,2.015,2.02,1781434799999,True
1781434800000,2.02,2.034,2.008,2.015,1781438399999,True
1781438400000,2.015,2.034,2.003,2.015,1781441999999,True
1781442000000,2.015,2.039,2.013,2.027,1781445599999,True
1781445600000,2.026,2.029,1.969,2.013,1781449199999,True
1781449200000,2.013,2.016,1.996,2.002,1781452799999,True
1781452800000,2.002,2.018,1.966,1.984,1781456399999,True
1781456400000,1.984,1.995,1.964,1.971,1781459999999,True
1781460000000,1.971,1.981,1.962,1.972,1781463599999,True
1781463600000,1.972,1.989,1.971,1.973,1781467199999,True
1781467200000,1.973,1.988,1.966,1.981,1781470799999,True
1781470800000,1.982,2.064,1.974,2.043,1781474399999,True
1781474400000,2.044,2.103,2.022,2.087,1781477999999,True
1781478000000,2.087,2.097,2.065,2.069,1781481599999,True
1781481600000,2.069,2.091,2.052,2.056,1781485199999,True
1781485200000,2.055,2.06,2.031,2.033,1781488799999,True
1781488800000,2.034,2.072,2.03,2.07,1781492399999,True
1781492400000,2.071,2.094,2.037,2.053,1781495999999,True
1781496000000,2.053,2.072,2.037,2.041,1781499599999,True
1781499600000,2.041,2.043,1.994,2.008,1781503199999,True
1781503200000,2.008,2.019,1.999,2.008,1781506799999,True
1781506800000,2.007,2.014,1.988,1.993,1781510399999,True
1781510400000,1.994,1.999,1.97,1.977,1781513999999,True
1781514000000,1.976,1.995,1.975,1.988,1781517599999,True
1781517600000,1.988,2.012,1.985,2.006,1781521199999,True
1781521200000,2.006,2.039,2.001,2.013,1781524799999,True
1781524800000,2.013,2.035,2.006,2.023,1781528399999,True
1781528400000,2.022,2.037,2.005,2.008,1781531999999,True
1781532000000,2.007,2.01,1.979,2.003,1781535599999,True
1781535600000,2.002,2.016,1.98,2.015,1781539199999,True
1781539200000,2.014,2.032,2.005,2.011,1781542799999,True
1781542800000,2.012,2.014,1.988,2.006,1781546399999,True
