open_time,open,high,low,close,close_time,is_closed
1781269200000,2.533,2.533,2.498,2.51,1781272799999,True
1781272800000,2.511,2.56,2.507,2.552,1781276399999,True
1781276400000,2.551,2.561,2.508,2.512,1781279999999,True
1781280000000,2.512,2.544,2.503,2.537,1781283599999,True
1781283600000,2.537,2.543,2.519,2.53,1781287199999,True
1781287200000,2.53,2.534,2.513,2.517,1781290799999,True
1781290800000,2.517,2.537,2.516,2.518,1781294399999,True
1781294400000,2.518,2.525,2.508,2.516,1781297999999,True
1781298000000,2.515,2.522,2.503,2.507,1781301599999,True
1781301600000,2.507,2.513,2.496,2.504,1781305199999,True
1781305200000,2.504,2.504,2.489,2.498,1781308799999,True
1781308800000,2.499,2.5,2.489,2.497,1781312399999,True
1781312400000,2.497,2.515,2.494,2.509,1781315999999,True
1781316000000,2.51,2.515,2.498,2.501,1781319599999,True
1781319600000,2.501,2.509,2.491,2.499,1781323199999,True
1781323200000,2.498,2.503,2.488,2.488,1781326799999,True
1781326800000,2.488,2.495,2.481,2.489,1781330399999,True
1781330400000,2.49,2.509,2.485,2.504,1781333999999,True
1781334000000,2.504,2.522,2.495,2.516,1781337599999,True
1781337600000,2.516,2.524,2.507,2.512,1781341199999,True
1781341200000,2.512,2.522,2.51,2.518,1781344799999,True
1781344800000,2.518,2.535,2.517,2.53,1781348399999,True
1781348400000,2.53,2.551,2.529,2.549,1781351999999,True
1781352000000,2.548,2.561,2.541,2.554,1781355599999,True
1781355600000,2.554,2.561,2.544,2.551,1781359199999,True
1781359200000,2.552,2.565,2.55,2.563,1781362799999,True
1781362800000,2.563,2.583,2.56,2.572,1781366399999,True
1781366400000,2.572,2.573,2.532,2.543,1781369999999,True
1781370000000,2.542,2.553,2.531,2.541,1781373599999,True
1781373600000,2.542,2.55,2.538,2.543,1781377199999,True
1781377200000,2.543,2.554,2.537,2.54,1781380799999,True
1781380800000,2.539,2.547,2.533,2.546,1781384399999,True
1781384400000,2.545,2.566,2.531,2.561,1781387999999,True
1781388000000,2.561,2.562,2.549,2.55,1781391599999,True
1781391600000,2.549,2.562,2.548,2.555,1781395199999,True
1781395200000,2.555,2.557,2.543,2.546,1781398799999,True
1781398800000,2.546,2.559,2.542,2.552,1781402399999,True
1781402400000,2.551,2.563,2.547,2.557,1781405999999,True
1781406000000,2.557,2.559,2.545,2.551,1781409599999,True
1781409600000,2.551,2.553,2.527,2.53,1781413199999,True
1781413200000,2.53,2.536,2.516,2.532,1781416799999,True
1781416800000,2.533,2.546,2.525,2.527,1781420399999,True
1781420400000,2.528,2.532,2.521,2.529,1781423999999,True
1781424000000,2.529,2.542,2.523,2.529,1781427599999,True
1781427600000,2.53,2.533,2.513,2.532,1781431199999,True
1781431200000,2.532,2.536,2.52,2.522,1781434799999,True
1781434800000,2.521,2.528,2.517,2.522,1781438399999,True
1781438400000,2.523,2.527,2.509,2.514,1781441999999,True
1781442000000,2.513,2.522,2.506,2.522,1781445599999,True
1781445600000,2.523,2.524,2.474,2.481,1781449199999,True
1781449200000,2.481,2.495,2.479,2.49,1781452799999,True
1781452800000,2.49,2.499,2.484,2.489,1781456399999,True
1781456400000,2.489,2.493,2.478,2.481,1781459999999,True
1781460000000,2.482,2.49,2.476,2.483,1781463599999,True
1781463600000,2.484,2.485,2.464,2.478,1781467199999,True
1781467200000,2.478,2.497,2.475,2.488,1781470799999,True
1781470800000,2.489,2.598,2.488,2.577,1781474399999,True
1781474400000,2.577,2.596,2.552,2.578,1781477999999,True
1781478000000,2.577,2.591,2.563,2.59,1781481599999,True
1781481600000,2.59,2.606,2.572,2.581,1781485199999,True
1781485200000,2.582,2.586,2.56,2.57,1781488799999,True
1781488800000,2.569,2.594,2.564,2.572,1781492399999,True
1781492400000,2.573,2.589,2.569,2.581,1781495999999,True
1781496000000,2.58,2.59,2.575,2.58,1781499599999,True
1781499600000,2.58,2.604,2.574,2.601,1781503199999,True
1781503200000,2.601,2.61,2.594,2.594,1781506799999,True
1781506800000,2.595,2.617,2.589,2.593,1781510399999,True
1781510400000,2.593,2.615,2.589,2.605,1781513999999,True
1781514000000,2.606,2.628,2.598,2.616,1781517599999,True
1781517600000,2.617,2.69,2.613,2.652,1781521199999,True
1781521200000,2.652,2.691,2.638,2.686,1781524799999,True
1781524800000,2.686,2.705,2.672,2.689,1781528399999,True
1781528400000,2.688,2.733,2.677,2.7,1781531999999,True
1781532000000,2.701,2.708,2.684,2.698,1781535599999,True
1781535600000,2.698,2.744,2.698,2.737,1781539199999,True
1781539200000,2.737,2.744,2.722,2.727,1781542799999,True
1781542800000,2.726,2.728,2.699,2.724,1781546399999,True
1781546400000,2.723,2.725,2.698,2.702,1781549999999,True
1781550000000,2.701,2.716,2.667,2.685,1781553599999,True
1781553600000,2.685,2.708,2.678,2.695,1781557199999,True
