open_time,open,high,low,close,close_time,is_closed
1781269200000,1.67415,1.74632,1.62115,1.63403,1781272799999,True
1781272800000,1.63374,1.67857,1.417,1.46658,1781276399999,True
1781276400000,1.46743,1.47544,0.811,0.92935,1781279999999,True
1781280000000,0.93044,1.09888,0.865,0.99268,1781283599999,True
1781283600000,0.99187,1.00928,0.62004,0.72078,1781287199999,True
1781287200000,0.72086,0.72835,0.4021,0.4761,1781290799999,True
1781290800000,0.477,0.52674,0.42277,0.44408,1781294399999,True
1781294400000,0.44409,0.47411,0.37144,0.3983,1781297999999,True
1781298000000,0.39818,0.4083,0.35286,0.38089,1781301599999,True
1781301600000,0.38089,0.43421,0.361,0.41207,1781305199999,True
1781305200000,0.41204,0.46766,0.391,0.43815,1781308799999,True
1781308800000,0.43769,0.53273,0.42553,0.5232,1781312399999,True
1781312400000,0.5232,0.53063,0.42371,0.4437,1781315999999,True
1781316000000,0.44393,0.47955,0.44062,0.46915,1781319599999,True
1781319600000,0.46918,0.47234,0.4405,0.44984,1781323199999,True
1781323200000,0.44983,0.4524,0.38314,0.41281,1781326799999,True
1781326800000,0.41265,0.418,0.375,0.38808,1781330399999,True
1781330400000,0.38808,0.4273,0.38402,0.4125,1781333999999,True
1781334000000,0.4125,0.4203,0.378,0.3861,1781337599999,True
1781337600000,0.3863,0.4131,0.3592,0.3956,1781341199999,True
1781341200000,0.3954,0.398,0.373,0.3852,1781344799999,True
1781344800000,0.3852,0.4048,0.3775,0.3902,1781348399999,True
1781348400000,0.3903,0.39895,0.3822,0.3881,1781351999999,True
1781352000000,0.3881,0.3895,0.3551,0.3694,1781355599999,True
1781355600000,0.3695,0.4337,0.3631,0.4094,1781359199999,True
1781359200000,0.4095,0.4684,0.4053,0.4387,1781362799999,True
1781362800000,0.439,0.4487,0.4155,0.4385,1781366399999,True
1781366400000,0.4384,0.4467,0.4254,0.4266,1781369999999,True
1781370000000,0.4266,0.5083,0.4225,0.4963,1781373599999,True
1781373600000,0.4964,0.6435,0.4902,0.5426,1781377199999,True
1781377200000,0.5425,0.5458,0.4529,0.4746,1781380799999,True
1781380800000,0.4746,0.5036,0.425,0.4549,1781384399999,True
1781384400000,0.4549,0.475,0.4131,0.4338,1781387999999,True
1781388000000,0.434,0.4367,0.3926,0.4274,1781391599999,True
1781391600000,0.4275,0.4476,0.385,0.4001,1781395199999,True
1781395200000,0.4001,0.4012,0.368,0.3884,1781398799999,True
1781398800000,0.3885,0.4265,0.3713,0.4068,1781402399999,True
1781402400000,0.4068,0.4287,0.402,0.419,1781405999999,True
1781406000000,0.419,0.4252,0.4002,0.4088,1781409599999,True
