open_time,open,high,low,close,close_time,is_closed
1781269200000,0.62,0.6228,0.6058,0.613,1781272799999,True
1781272800000,0.613,0.6291,0.6123,0.6281,1781276399999,True
1781276400000,0.6281,0.6318,0.6073,0.6078,1781279999999,True
1781280000000,0.6082,0.6166,0.607,0.6164,1781283599999,True
1781283600000,0.6164,0.62,0.6135,0.6141,1781287199999,True
1781287200000,0.6141,0.615,0.6089,0.6101,1781290799999,True
1781290800000,0.6102,0.6158,0.6101,0.6101,1781294399999,True
1781294400000,0.6102,0.6142,0.6084,0.6101,1781297999999,True
1781298000000,0.6101,0.6132,0.6074,0.6086,1781301599999,True
1781301600000,0.6087,0.6124,0.6075,0.6093,1781305199999,True
1781305200000,0.6093,0.6093,0.6006,0.6048,1781308799999,True
1781308800000,0.6048,0.6118,0.6035,0.6109,1781312399999,True
1781312400000,0.611,0.6184,0.61,0.6176,1781315999999,True
1781316000000,0.6177,0.621,0.6145,0.6163,1781319599999,True
1781319600000,0.6163,0.62,0.6134,0.6155,1781323199999,True
1781323200000,0.6154,0.6224,0.6126,0.6159,1781326799999,True
1781326800000,0.6158,0.6216,0.6141,0.6214,1781330399999,True
1781330400000,0.6214,0.6386,0.6184,0.6344,1781333999999,True
1781334000000,0.6344,0.6422,0.6298,0.6411,1781337599999,True
1781337600000,0.641,0.6475,0.635,0.6361,1781341199999,True
1781341200000,0.6361,0.6438,0.6345,0.6408,1781344799999,True
1781344800000,0.6409,0.6427,0.6349,0.6376,1781348399999,True
1781348400000,0.6377,0.6452,0.6369,0.6404,1781351999999,True
1781352000000,0.6403,0.6442,0.6376,0.6391,1781355599999,True
1781355600000,0.6391,0.6427,0.6375,0.64,1781359199999,True
1781359200000,0.6401,0.6497,0.6401,0.6479,1781362799999,True
1781362800000,0.648,0.6561,0.6448,0.6512,1781366399999,True
1781366400000,0.6512,0.6528,0.6374,0.6446,1781369999999,True
1781370000000,0.6446,0.6467,0.6379,0.641,1781373599999,True
1781373600000,0.6409,0.6439,0.6388,0.6415,1781377199999,True
1781377200000,0.6413,0.6445,0.6395,0.6406,1781380799999,True
1781380800000,0.6405,0.6419,0.6392,0.6415,1781384399999,True
1781384400000,0.6416,0.6486,0.6385,0.646,1781387999999,True
1781388000000,0.646,0.6462,0.6424,0.6429,1781391599999,True
1781391600000,0.6428,0.6468,0.6411,0.6424,1781395199999,True
1781395200000,0.6423,0.6449,0.6399,0.6426,1781398799999,True
1781398800000,0.6427,0.6469,0.6404,0.6428,1781402399999,True
1781402400000,0.6428,0.6457,0.6392,0.6409,1781405999999,True
1781406000000,0.6408,0.6454,0.6402,0.6436,1781409599999,True
1781409600000,0.6436,0.6437,0.6324,0.6335,1781413199999,True
1781413200000,0.6335,0.6351,0.6283,0.6334,1781416799999,True
1781416800000,0.6335,0.6372,0.6304,0.6315,1781420399999,True
1781420400000,0.6314,0.6323,0.626,0.6283,1781423999999,True
1781424000000,0.6283,0.6325,0.6261,0.6296,1781427599999,True
1781427600000,0.6295,0.6337,0.6237,0.6319,1781431199999,True
1781431200000,0.6318,0.6332,0.6282,0.6285,1781434799999,True
1781434800000,0.6285,0.6292,0.6248,0.625,1781438399999,True
1781438400000,0.6252,0.626,0.614,0.6166,1781441999999,True
1781442000000,0.6166,0.6184,0.6105,0.6121,1781445599999,True
1781445600000,0.6122,0.6125,0.6019,0.6098,1781449199999,True
1781449200000,0.6098,0.6125,0.6083,0.6086,1781452799999,True
1781452800000,0.6087,0.6118,0.6061,0.6096,1781456399999,True
1781456400000,0.6097,0.6133,0.6063,0.6072,1781459999999,True
1781460000000,0.6073,0.6091,0.6049,0.6077,1781463599999,True
1781463600000,0.6076,0.6115,0.6068,0.6085,1781467199999,True
1781467200000,0.6085,0.6158,0.608,0.6132,1781470799999,True
1781470800000,0.6132,0.6427,0.6124,0.6371,1781474399999,True
1781474400000,0.6372,0.6421,0.6291,0.6391,1781477999999,True
1781478000000,0.6391,0.6435,0.6367,0.6412,1781481599999,True
1781481600000,0.6412,0.6429,0.633,0.6371,1781485199999,True
1781485200000,0.637,0.6465,0.6314,0.643,1781488799999,True
1781488800000,0.643,0.6494,0.6389,0.6471,1781492399999,True
1781492400000,0.6472,0.6554,0.6463,0.6523,1781495999999,True
1781496000000,0.6523,0.6592,0.6494,0.6572,1781499599999,True
1781499600000,0.6571,0.6672,0.6548,0.6646,1781503199999,True
1781503200000,0.6646,0.6654,0.6487,0.6508,1781506799999,True
1781506800000,0.6508,0.654,0.6471,0.6485,1781510399999,True
1781510400000,0.6486,0.6534,0.6477,0.6492,1781513999999,True
1781514000000,0.6494,0.6519,0.6425,0.6469,1781517599999,True
1781517600000,0.6468,0.6563,0.6449,0.653,1781521199999,True
1781521200000,0.6529,0.6619,0.6494,0.6584,1781524799999,True
1781524800000,0.6585,0.661,0.6531,0.6595,1781528399999,True
1781528400000,0.6594,0.6721,0.6565,0.6612,1781531999999,True
1781532000000,0.6612,0.6632,0.6564,0.6601,1781535599999,True
1781535600000,0.66,0.6658,0.6546,0.6649,1781539199999,True
1781539200000,0.6648,0.6663,0.6593,0.6598,1781542799999,True
1781542800000,0.6598,0.6598,0.6525,0.6559,1781546399999,True
1781546400000,0.6559,0.656,0.6507,0.6511,1781549999999,True
