open_time,open,high,low,close,close_time,is_closed
1781269200000,0.4817,0.4823,0.4633,0.4686,1781272799999,True
1781272800000,0.4686,0.4782,0.468,0.477,1781276399999,True
1781276400000,0.477,0.4816,0.4601,0.4629,1781279999999,True
1781280000000,0.4629,0.4689,0.4567,0.4668,1781283599999,True
1781283600000,0.4669,0.4769,0.4658,0.4723,1781287199999,True
1781287200000,0.4722,0.4764,0.4606,0.4627,1781290799999,True
1781290800000,0.4627,0.4696,0.4623,0.4633,1781294399999,True
1781294400000,0.4633,0.4702,0.4617,0.4646,1781297999999,True
1781298000000,0.4645,0.4671,0.4591,0.4615,1781301599999,True
1781301600000,0.4615,0.4661,0.4591,0.4612,1781305199999,True
1781305200000,0.4612,0.4614,0.4553,0.4577,1781308799999,True
1781308800000,0.4577,0.4733,0.4532,0.4717,1781312399999,True
1781312400000,0.4718,0.4835,0.4717,0.476,1781315999999,True
1781316000000,0.4761,0.4819,0.4733,0.4775,1781319599999,True
1781319600000,0.4776,0.4816,0.4734,0.4784,1781323199999,True
1781323200000,0.4783,0.4799,0.4677,0.4748,1781326799999,True
1781326800000,0.4748,0.4772,0.47,0.4754,1781330399999,True
1781330400000,0.4754,0.4817,0.4706,0.4786,1781333999999,True
1781334000000,0.4787,0.4983,0.4758,0.4888,1781337599999,True
1781337600000,0.4887,0.4974,0.485,0.4877,1781341199999,True
1781341200000,0.4877,0.4909,0.4834,0.4878,1781344799999,True
1781344800000,0.4879,0.4957,0.4858,0.4906,1781348399999,True
1781348400000,0.4905,0.495,0.4873,0.4911,1781351999999,True
1781352000000,0.4912,0.5046,0.4905,0.5003,1781355599999,True
1781355600000,0.5004,0.5107,0.4991,0.505,1781359199999,True
1781359200000,0.505,0.5274,0.5045,0.5202,1781362799999,True
1781362800000,0.5201,0.535,0.5158,0.5162,1781366399999,True
1781366400000,0.5162,0.5177,0.4949,0.5051,1781369999999,True
1781370000000,0.5051,0.5059,0.4986,0.502,1781373599999,True
1781373600000,0.5019,0.5065,0.4923,0.4966,1781377199999,True
1781377200000,0.4966,0.5047,0.4956,0.4999,1781380799999,True
1781380800000,0.4998,0.5031,0.4934,0.5018,1781384399999,True
1781384400000,0.5018,0.515,0.497,0.5072,1781387999999,True
1781388000000,0.5072,0.5108,0.5016,0.5033,1781391599999,True
1781391600000,0.5033,0.5068,0.4968,0.5014,1781395199999,True
