open_time,open,high,low,close,close_time,is_closed
1781269200000,66.55,67.08,66.25,66.3,1781272799999,True
1781272800000,66.31,67.18,66.25,67.05,1781276399999,True
1781276400000,67.06,68.09,66.89,67.51,1781279999999,True
1781280000000,67.51,68.12,67.37,67.78,1781283599999,True
1781283600000,67.78,68.22,67.68,68.07,1781287199999,True
1781287200000,68.08,68.41,67.93,67.94,1781290799999,True
1781290800000,67.94,68.1,67.63,67.8,1781294399999,True
1781294400000,67.81,68.11,67.8,68.09,1781297999999,True
1781298000000,68.1,68.12,67.93,68.01,1781301599999,True
1781301600000,68.01,68.08,67.95,68.0,1781305199999,True
1781305200000,67.99,68.05,67.97,68.03,1781308799999,True
1781308800000,68.03,68.16,68.0,68.11,1781312399999,True
1781312400000,68.11,68.17,68.1,68.14,1781315999999,True
1781316000000,68.15,68.17,68.09,68.15,1781319599999,True
1781319600000,68.15,68.15,68.0,68.04,1781323199999,True
1781323200000,68.05,68.06,68.01,68.05,1781326799999,True
1781326800000,68.04,68.11,68.01,68.11,1781330399999,True
1781330400000,68.11,68.15,68.0,68.13,1781333999999,True
1781334000000,68.14,68.14,68.11,68.13,1781337599999,True
1781337600000,68.13,68.17,68.12,68.12,1781341199999,True
1781341200000,68.12,68.13,68.06,68.07,1781344799999,True
1781344800000,68.08,68.14,68.07,68.12,1781348399999,True
1781348400000,68.12,68.15,68.09,68.1,1781351999999,True
1781352000000,68.09,68.21,68.09,68.13,1781355599999,True
1781355600000,68.13,68.18,68.08,68.12,1781359199999,True
1781359200000,68.12,68.17,68.12,68.14,1781362799999,True
1781362800000,68.15,68.18,68.13,68.17,1781366399999,True
1781366400000,68.17,68.19,67.81,68.07,1781369999999,True
1781370000000,68.08,68.13,68.03,68.08,1781373599999,True
1781373600000,68.08,68.15,68.07,68.13,1781377199999,True
1781377200000,68.14,68.2,68.13,68.16,1781380799999,True
1781380800000,68.16,68.16,68.05,68.09,1781384399999,True
1781384400000,68.1,68.17,68.02,68.14,1781387999999,True
1781388000000,68.15,68.15,68.06,68.09,1781391599999,True
1781391600000,68.1,68.14,68.08,68.12,1781395199999,True
1781395200000,68.12,68.16,68.1,68.13,1781398799999,True
1781398800000,68.13,68.16,68.12,68.12,1781402399999,True
1781402400000,68.12,68.14,68.09,68.12,1781405999999,True
1781406000000,68.12,68.15,68.11,68.13,1781409599999,True
1781409600000,68.13,68.15,68.12,68.12,1781413199999,True
1781413200000,68.12,68.16,68.1,68.15,1781416799999,True
1781416800000,68.15,68.17,68.15,68.16,1781420399999,True
1781420400000,68.17,68.2,68.12,68.19,1781423999999,True
1781424000000,68.2,68.22,68.17,68.2,1781427599999,True
1781427600000,68.2,68.22,68.2,68.21,1781431199999,True
1781431200000,68.21,68.22,68.04,68.07,1781434799999,True
1781434800000,68.07,68.17,68.04,68.16,1781438399999,True
1781438400000,68.16,68.17,68.04,68.05,1781441999999,True
1781442000000,68.05,68.13,68.05,68.05,1781445599999,True
1781445600000,68.05,68.07,67.91,68.07,1781449199999,True
1781449200000,68.08,68.09,67.9,67.92,1781452799999,True
1781452800000,67.92,68.06,67.92,68.03,1781456399999,True
1781456400000,68.03,68.08,68.03,68.05,1781459999999,True
1781460000000,68.05,68.09,68.02,68.07,1781463599999,True
1781463600000,68.07,68.13,68.03,68.09,1781467199999,True
1781467200000,68.09,68.22,67.91,68.18,1781470799999,True
1781470800000,68.18,69.36,68.16,69.29,1781474399999,True
1781474400000,69.29,70.29,68.6,70.03,1781477999999,True
1781478000000,70.02,70.35,69.76,70.31,1781481599999,True
1781481600000,70.3,70.61,69.95,70.08,1781485199999,True
1781485200000,70.08,70.54,69.91,70.3,1781488799999,True
1781488800000,70.29,70.84,70.26,70.64,1781492399999,True
1781492400000,70.63,70.64,70.29,70.41,1781495999999,True
1781496000000,70.41,70.55,70.3,70.52,1781499599999,True
1781499600000,70.53,70.63,69.91,70.03,1781503199999,True
1781503200000,70.02,70.29,69.95,70.17,1781506799999,True
1781506800000,70.17,70.45,70.03,70.31,1781510399999,True
