open_time,open,high,low,close,close_time,is_closed
1781269200000,0.19271,0.19299,0.18919,0.19038,1781272799999,True
1781272800000,0.19038,0.19302,0.19001,0.19261,1781276399999,True
1781276400000,0.19263,0.19472,0.188,0.18819,1781279999999,True
1781280000000,0.18819,0.19046,0.18797,0.19011,1781283599999,True
1781283600000,0.19012,0.19068,0.18899,0.18929,1781287199999,True
1781287200000,0.1893,0.18973,0.18817,0.18844,1781290799999,True
1781290800000,0.18844,0.19034,0.18839,0.18894,1781294399999,True
1781294400000,0.18894,0.18999,0.18877,0.18924,1781297999999,True
1781298000000,0.18924,0.1901,0.1873,0.18809,1781301599999,True
1781301600000,0.18808,0.18905,0.18759,0.18804,1781305199999,True
1781305200000,0.18804,0.18846,0.18709,0.18791,1781308799999,True
1781308800000,0.18791,0.18791,0.18688,0.18727,1781312399999,True
1781312400000,0.18728,0.18843,0.18689,0.18823,1781315999999,True
1781316000000,0.18824,0.18837,0.18413,0.18506,1781319599999,True
1781319600000,0.18507,0.18595,0.18472,0.18514,1781323199999,True
1781323200000,0.18515,0.18577,0.18328,0.18506,1781326799999,True
1781326800000,0.18507,0.18576,0.18477,0.1854,1781330399999,True
1781330400000,0.1854,0.18769,0.18515,0.18753,1781333999999,True
1781334000000,0.18754,0.19099,0.18638,0.1906,1781337599999,True
1781337600000,0.1906,0.19098,0.18945,0.18996,1781341199999,True
1781341200000,0.18995,0.1917,0.18991,0.19006,1781344799999,True
1781344800000,0.19007,0.19091,0.18986,0.19074,1781348399999,True
1781348400000,0.19073,0.1922,0.19064,0.19131,1781351999999,True
1781352000000,0.19133,0.19141,0.18973,0.19018,1781355599999,True
1781355600000,0.19019,0.19031,0.18797,0.18863,1781359199999,True
1781359200000,0.18863,0.18939,0.18795,0.18918,1781362799999,True
1781362800000,0.18919,0.19141,0.18891,0.19123,1781366399999,True
1781366400000,0.19123,0.19142,0.18753,0.18862,1781369999999,True
1781370000000,0.18862,0.18869,0.18592,0.18632,1781373599999,True
1781373600000,0.18631,0.18742,0.18558,0.18696,1781377199999,True
1781377200000,0.18696,0.18723,0.1859,0.18681,1781380799999,True
1781380800000,0.1868,0.18704,0.18615,0.18682,1781384399999,True
1781384400000,0.18683,0.18883,0.1863,0.18811,1781387999999,True
1781388000000,0.18812,0.1883,0.1868,0.18681,1781391599999,True
1781391600000,0.18681,0.18753,0.18645,0.18693,1781395199999,True
1781395200000,0.18693,0.18698,0.18583,0.18679,1781398799999,True
1781398800000,0.18679,0.18909,0.18607,0.18762,1781402399999,True
1781402400000,0.18762,0.18951,0.18635,0.18645,1781405999999,True
1781406000000,0.18646,0.18659,0.1851,0.18572,1781409599999,True
1781409600000,0.18572,0.186,0.18489,0.18543,1781413199999,True
1781413200000,0.18544,0.18616,0.18456,0.18588,1781416799999,True
1781416800000,0.18587,0.18715,0.18576,0.18639,1781420399999,True
1781420400000,0.18639,0.18693,0.18565,0.18652,1781423999999,True
1781424000000,0.18651,0.18712,0.18589,0.18629,1781427599999,True
1781427600000,0.18629,0.18662,0.18461,0.18536,1781431199999,True
1781431200000,0.18535,0.18549,0.18338,0.18359,1781434799999,True
1781434800000,0.18359,0.18449,0.18311,0.18374,1781438399999,True
1781438400000,0.18375,0.18388,0.18197,0.18273,1781441999999,True
1781442000000,0.18274,0.18364,0.18205,0.183,1781445599999,True
1781445600000,0.18301,0.1832,0.18125,0.1821,1781449199999,True
1781449200000,0.1821,0.1827,0.1808,0.1817,1781452799999,True
1781452800000,0.1817,0.18362,0.18143,0.18259,1781456399999,True
1781456400000,0.18259,0.183,0.18132,0.18151,1781459999999,True
1781460000000,0.18151,0.18298,0.1813,0.18162,1781463599999,True
1781463600000,0.18162,0.1822,0.18107,0.18161,1781467199999,True
1781467200000,0.18161,0.18302,0.18129,0.18226,1781470799999,True
1781470800000,0.18227,0.189,0.18148,0.18774,1781474399999,True
1781474400000,0.18775,0.18865,0.18603,0.18737,1781477999999,True
1781478000000,0.18738,0.19182,0.18693,0.19088,1781481599999,True
1781481600000,0.19088,0.1911,0.18871,0.18944,1781485199999,True
