open_time,open,high,low,close,close_time,is_closed
1781269200000,0.09079,0.09115,0.08592,0.08819,1781272799999,True
1781272800000,0.08821,0.09169,0.08801,0.08935,1781276399999,True
1781276400000,0.08935,0.09188,0.08708,0.08829,1781279999999,True
1781280000000,0.0883,0.09038,0.0866,0.09014,1781283599999,True
1781283600000,0.09012,0.09089,0.0876,0.08812,1781287199999,True
1781287200000,0.08811,0.08879,0.08216,0.08341,1781290799999,True
1781290800000,0.08342,0.0841,0.08169,0.08197,1781294399999,True
1781294400000,0.08198,0.08339,0.08165,0.0826,1781297999999,True
1781298000000,0.0826,0.08495,0.08234,0.08367,1781301599999,True
1781301600000,0.08366,0.08419,0.08271,0.08346,1781305199999,True
1781305200000,0.08347,0.08349,0.08186,0.0825,1781308799999,True
1781308800000,0.08249,0.0856,0.08117,0.08389,1781312399999,True
1781312400000,0.0839,0.08534,0.08327,0.08366,1781315999999,True
1781316000000,0.08366,0.08468,0.08281,0.08348,1781319599999,True
1781319600000,0.08348,0.08405,0.08252,0.08318,1781323199999,True
1781323200000,0.08317,0.08419,0.08183,0.08224,1781326799999,True
1781326800000,0.08225,0.0833,0.0805,0.08311,1781330399999,True
1781330400000,0.08312,0.08563,0.08276,0.08548,1781333999999,True
1781334000000,0.08548,0.08677,0.08456,0.08585,1781337599999,True
1781337600000,0.08584,0.08667,0.08457,0.08641,1781341199999,True
1781341200000,0.08642,0.08869,0.08618,0.08768,1781344799999,True
1781344800000,0.08768,0.0881,0.08602,0.08716,1781348399999,True
1781348400000,0.08716,0.0898,0.08615,0.08882,1781351999999,True
1781352000000,0.08882,0.08936,0.08732,0.08833,1781355599999,True
1781355600000,0.08834,0.0893,0.08741,0.08855,1781359199999,True
1781359200000,0.08855,0.09599,0.08826,0.09456,1781362799999,True
1781362800000,0.09456,0.09511,0.09075,0.09178,1781366399999,True
1781366400000,0.09179,0.09187,0.08745,0.08907,1781369999999,True
1781370000000,0.08906,0.08939,0.08746,0.088,1781373599999,True
1781373600000,0.088,0.09087,0.08792,0.08971,1781377199999,True
1781377200000,0.08971,0.0921,0.08947,0.0903,1781380799999,True
1781380800000,0.0903,0.09053,0.08832,0.08874,1781384399999,True
1781384400000,0.08874,0.08959,0.08777,0.08915,1781387999999,True
1781388000000,0.08914,0.0894,0.08652,0.08704,1781391599999,True
1781391600000,0.08704,0.08777,0.08634,0.087,1781395199999,True
1781395200000,0.087,0.08831,0.08652,0.08766,1781398799999,True
1781398800000,0.08767,0.08796,0.08678,0.08741,1781402399999,True
1781402400000,0.08741,0.08822,0.08632,0.08734,1781405999999,True
1781406000000,0.08733,0.08958,0.08722,0.08922,1781409599999,True
1781409600000,0.08922,0.08969,0.08774,0.0884,1781413199999,True
1781413200000,0.0884,0.08976,0.08773,0.08905,1781416799999,True
1781416800000,0.08905,0.09019,0.08636,0.08708,1781420399999,True
1781420400000,0.08708,0.08731,0.08526,0.08707,1781423999999,True
1781424000000,0.08708,0.09118,0.08629,0.09022,1781427599999,True
1781427600000,0.09023,0.09095,0.08922,0.0902,1781431199999,True
1781431200000,0.0902,0.09189,0.08954,0.08962,1781434799999,True
1781434800000,0.08963,0.09112,0.0887,0.09011,1781438399999,True
1781438400000,0.09011,0.09065,0.08742,0.08793,1781441999999,True
1781442000000,0.08793,0.08854,0.08599,0.08813,1781445599999,True
1781445600000,0.08813,0.0883,0.0839,0.08691,1781449199999,True
1781449200000,0.08691,0.08798,0.08634,0.08723,1781452799999,True
1781452800000,0.08723,0.08841,0.08496,0.08609,1781456399999,True
1781456400000,0.08608,0.08608,0.08437,0.08469,1781459999999,True
1781460000000,0.08469,0.08809,0.08452,0.08661,1781463599999,True
1781463600000,0.08661,0.08732,0.08616,0.08699,1781467199999,True
1781467200000,0.08699,0.09058,0.0866,0.09013,1781470799999,True
1781470800000,0.09014,0.09289,0.08945,0.09148,1781474399999,True
1781474400000,0.0915,0.0921,0.08948,0.08965,1781477999999,True
1781478000000,0.08966,0.08992,0.08863,0.08949,1781481599999,True
1781481600000,0.0895,0.08995,0.08873,0.08967,1781485199999,True
1781485200000,0.08967,0.09127,0.08894,0.09107,1781488799999,True
1781488800000,0.09106,0.09234,0.09008,0.09067,1781492399999,True
1781492400000,0.09067,0.09146,0.08995,0.09065,1781495999999,True
1781496000000,0.09065,0.0912,0.08843,0.08906,1781499599999,True
