open_time,open,high,low,close,close_time,is_closed
1781269200000,1.1354,1.1368,1.1252,1.1295,1781272799999,True
1781272800000,1.1296,1.1504,1.1284,1.1481,1781276399999,True
1781276400000,1.1482,1.1572,1.1267,1.1281,1781279999999,True
1781280000000,1.128,1.1362,1.1255,1.1351,1781283599999,True
1781283600000,1.1352,1.1384,1.1297,1.1316,1781287199999,True
1781287200000,1.1317,1.1342,1.1271,1.1297,1781290799999,True
1781290800000,1.1296,1.1363,1.1294,1.1308,1781294399999,True
1781294400000,1.1307,1.1346,1.1293,1.1323,1781297999999,True
1781298000000,1.1323,1.1345,1.1292,1.1292,1781301599999,True
1781301600000,1.1293,1.1319,1.1276,1.1302,1781305199999,True
1781305200000,1.1301,1.1325,1.1277,1.1318,1781308799999,True
1781308800000,1.1318,1.1352,1.1307,1.1338,1781312399999,True
1781312400000,1.1339,1.1404,1.1338,1.1392,1781315999999,True
1781316000000,1.1391,1.1393,1.1325,1.1339,1781319599999,True
1781319600000,1.1339,1.1365,1.13,1.133,1781323199999,True
1781323200000,1.133,1.1364,1.1321,1.1326,1781326799999,True
1781326800000,1.1327,1.1332,1.1291,1.132,1781330399999,True
1781330400000,1.1319,1.1379,1.1305,1.1367,1781333999999,True
1781334000000,1.1368,1.1441,1.1343,1.1409,1781337599999,True
1781337600000,1.1409,1.1459,1.1398,1.1426,1781341199999,True
1781341200000,1.1426,1.1447,1.1414,1.1426,1781344799999,True
1781344800000,1.1426,1.1457,1.1417,1.144,1781348399999,True
1781348400000,1.1439,1.149,1.1435,1.1477,1781351999999,True
1781352000000,1.1478,1.1554,1.1461,1.1533,1781355599999,True
1781355600000,1.1534,1.154,1.1495,1.1506,1781359199999,True
1781359200000,1.1505,1.157,1.1504,1.1546,1781362799999,True
1781362800000,1.1546,1.1606,1.1516,1.156,1781366399999,True
1781366400000,1.156,1.1563,1.1431,1.1466,1781369999999,True
1781370000000,1.1467,1.1487,1.1422,1.1436,1781373599999,True
1781373600000,1.1436,1.1475,1.1432,1.1454,1781377199999,True
1781377200000,1.1454,1.1482,1.1438,1.1468,1781380799999,True
1781380800000,1.1468,1.1469,1.1443,1.1462,1781384399999,True
1781384400000,1.1462,1.156,1.1444,1.1522,1781387999999,True
1781388000000,1.1523,1.1526,1.1486,1.1494,1781391599999,True
1781391600000,1.1495,1.1525,1.1483,1.1499,1781395199999,True
1781395200000,1.15,1.1504,1.1476,1.1487,1781398799999,True
