open_time,open,high,low,close,close_time,is_closed
1781269200000,434.57,435.4,423.32,425.98,1781272799999,True
1781272800000,425.98,432.41,422.5,431.65,1781276399999,True
1781276400000,431.66,432.88,416.79,417.01,1781279999999,True
1781280000000,417.0,418.88,410.54,417.99,1781283599999,True
1781283600000,417.98,420.58,414.6,416.0,1781287199999,True
1781287200000,416.0,416.63,411.04,413.29,1781290799999,True
1781290800000,413.3,418.73,412.57,414.31,1781294399999,True
1781294400000,414.3,416.8,411.62,414.52,1781297999999,True
1781298000000,414.53,415.89,402.77,406.67,1781301599999,True
1781301600000,406.68,409.93,405.08,409.43,1781305199999,True
1781305200000,409.44,412.15,407.18,411.77,1781308799999,True
1781308800000,411.77,419.99,410.61,415.66,1781312399999,True
1781312400000,415.67,419.26,415.21,417.53,1781315999999,True
1781316000000,417.53,417.62,414.21,415.03,1781319599999,True
1781319600000,415.04,417.22,413.41,414.67,1781323199999,True
1781323200000,414.67,416.47,411.61,413.13,1781326799999,True
1781326800000,413.13,413.56,410.35,412.52,1781330399999,True
1781330400000,412.52,414.91,410.33,413.83,1781333999999,True
1781334000000,413.84,415.96,411.02,414.66,1781337599999,True
1781337600000,414.66,417.94,413.17,415.76,1781341199999,True
1781341200000,415.76,416.52,412.34,413.21,1781344799999,True
1781344800000,413.21,413.82,408.06,409.6,1781348399999,True
1781348400000,409.6,415.77,409.03,413.63,1781351999999,True
1781352000000,413.64,418.32,412.28,416.61,1781355599999,True
1781355600000,416.62,418.45,411.66,412.32,1781359199999,True
1781359200000,412.33,415.27,411.3,413.34,1781362799999,True
1781362800000,413.34,417.74,412.51,416.59,1781366399999,True
1781366400000,416.59,417.13,404.5,408.11,1781369999999,True
1781370000000,408.11,416.49,405.85,409.51,1781373599999,True
1781373600000,409.51,414.75,409.17,413.94,1781377199999,True
1781377200000,413.94,415.99,412.16,412.53,1781380799999,True
1781380800000,412.56,414.36,407.0,413.71,1781384399999,True
1781384400000,413.71,429.22,411.23,426.34,1781387999999,True
1781388000000,426.35,426.62,420.51,420.91,1781391599999,True
1781391600000,420.92,424.5,418.21,420.81,1781395199999,True
1781395200000,420.81,424.37,419.14,424.02,1781398799999,True
1781398800000,424.03,426.2,420.86,421.13,1781402399999,True
1781402400000,421.13,424.89,420.1,422.76,1781405999999,True
1781406000000,422.75,425.44,421.4,423.69,1781409599999,True
1781409600000,423.7,424.68,418.88,423.99,1781413199999,True
1781413200000,423.98,427.5,421.89,424.09,1781416799999,True
1781416800000,424.11,428.93,421.44,423.5,1781420399999,True
1781420400000,423.5,428.59,422.3,427.3,1781423999999,True
1781424000000,427.3,430.27,425.51,425.73,1781427599999,True
1781427600000,425.72,428.42,423.33,427.09,1781431199999,True
1781431200000,427.1,427.94,422.73,423.02,1781434799999,True
1781434800000,423.02,425.24,420.45,421.22,1781438399999,True
1781438400000,421.29,423.5,416.45,416.62,1781441999999,True
1781442000000,416.61,428.38,415.52,426.33,1781445599999,True
1781445600000,426.32,427.35,419.15,424.41,1781449199999,True
1781449200000,424.41,425.92,421.06,422.14,1781452799999,True
1781452800000,422.14,423.89,419.24,419.65,1781456399999,True
1781456400000,419.64,425.75,419.55,422.43,1781459999999,True
1781460000000,422.43,424.83,419.19,423.18,1781463599999,True
1781463600000,423.18,427.22,422.47,425.76,1781467199999,True
1781467200000,425.76,429.19,425.6,426.29,1781470799999,True
1781470800000,426.29,465.55,425.69,458.9,1781474399999,True
1781474400000,458.92,475.01,451.22,466.92,1781477999999,True
1781478000000,466.91,476.96,463.55,472.18,1781481599999,True
1781481600000,472.17,475.42,467.84,472.92,1781485199999,True
1781485200000,472.92,472.99,466.54,468.88,1781488799999,True
1781488800000,468.88,493.0,468.5,486.22,1781492399999,True
1781492400000,486.22,488.33,480.6,486.22,1781495999999,True
1781496000000,486.23,490.7,483.0,485.26,1781499599999,True
1781499600000,485.29,492.48,484.33,489.85,1781503199999,True
1781503200000,489.84,499.35,489.67,495.94,1781506799999,True
1781506800000,495.95,498.43,491.0,492.45,1781510399999,True
1781510400000,492.46,496.23,491.39,492.2,1781513999999,True
1781514000000,492.2,495.23,487.28,494.15,1781517599999,True
1781517600000,494.14,515.0,492.32,507.68,1781521199999,True
1781521200000,507.66,539.39,506.08,534.78,1781524799999,True
1781524800000,534.77,537.95,527.24,533.19,1781528399999,True
1781528400000,533.18,535.4,528.76,530.22,1781531999999,True
1781532000000,530.22,535.73,521.5,532.39,1781535599999,True
1781535600000,532.38,544.28,524.07,534.26,1781539199999,True
1781539200000,534.26,538.8,529.98,530.03,1781542799999,True
1781542800000,530.02,531.27,523.84,527.3,1781546399999,True
1781546400000,527.26,532.83,524.23,527.7,1781549999999,True
1781550000000,527.7,530.28,515.7,522.92,1781553599999,True
1781553600000,522.9,527.5,516.93,517.31,1781557199999,True
1781557200000,517.32,522.98,516.51,519.41,1781560799999,True
1781560800000,519.42,525.16,512.55,515.7,1781564399999,True
1781564400000,515.71,519.88,511.33,518.35,1781567999999,True
1781568000000,518.34,519.57,511.75,512.48,1781571599999,True
1781571600000,512.51,515.84,510.72,512.09,1781575199999,True
1781575200000,512.09,519.6,507.32,519.01,1781578799999,True
1781578800000,519.01,531.93,515.72,527.94,1781582399999,True
1781582400000,527.94,531.64,519.62,522.64,1781585999999,True
1781586000000,522.65,528.27,521.35,522.07,1781589599999,True
1781589600000,522.09,527.0,521.71,522.66,1781593199999,True
1781593200000,522.66,527.84,518.67,524.67,1781596799999,True
1781596800000,524.69,534.41,524.04,531.71,1781600399999,True
1781600400000,531.72,532.88,520.24,521.52,1781603999999,True
1781604000000,521.52,522.84,515.89,516.97,1781607599999,True
1781607600000,516.96,520.32,510.45,514.4,1781611199999,True
1781611200000,514.4,516.69,510.07,512.02,1781614799999,True
1781614800000,512.02,512.28,501.01,504.39,1781618399999,True
1781618400000,504.42,508.0,479.2,493.34,1781621999999,True
1781622000000,493.33,500.85,492.18,496.96,1781625599999,True
1781625600000,496.95,506.29,496.0,504.74,1781629199999,True
1781629200000,504.73,506.74,500.2,505.71,1781632799999,True
1781632800000,505.71,511.27,500.65,501.69,1781636399999,True
1781636400000,501.69,502.99,494.15,496.91,1781639999999,True
1781640000000,496.88,502.78,495.21,502.37,1781643599999,True
1781643600000,502.37,506.94,500.82,506.05,1781647199999,True
1781647200000,506.05,517.89,503.65,508.1,1781650799999,True
1781650800000,508.1,509.03,502.59,504.94,1781654399999,True
1781654400000,504.94,506.3,500.57,504.73,1781657999999,True
1781658000000,504.73,509.5,501.28,508.31,1781661599999,True
1781661600000,508.31,509.42,502.68,504.87,1781665199999,True
1781665200000,504.87,515.7,502.83,510.78,1781668799999,True
1781668800000,510.82,515.08,509.91,512.72,1781672399999,True
1781672400000,512.73,517.05,510.03,513.48,1781675999999,True
1781676000000,513.47,516.0,503.58,511.19,1781679599999,True
1781679600000,511.19,511.96,506.68,509.4,1781683199999,True
1781683200000,509.4,509.41,501.08,505.3,1781686799999,True
1781686800000,505.3,511.92,503.85,511.69,1781690399999,True
1781690400000,511.68,512.58,505.45,506.44,1781693999999,True
1781694000000,506.44,508.17,485.54,488.55,1781697599999,True
1781697600000,488.55,492.25,470.3,484.32,1781701199999,True
1781701200000,484.32,487.24,480.26,481.12,1781704799999,True
1781704800000,481.11,485.48,479.33,482.23,1781708399999,True
1781708400000,482.23,493.79,480.1,491.91,1781711999999,True
1781712000000,491.91,501.05,491.2,492.75,1781715599999,True
1781715600000,492.75,498.43,491.2,498.27,1781719199999,True
1781719200000,498.28,507.6,487.12,497.17,1781722799999,True
1781722800000,497.16,499.41,478.68,480.37,1781726399999,True
1781726400000,480.39,485.0,478.16,484.88,1781729999999,True
1781730000000,484.86,486.25,474.54,475.46,1781733599999,True
1781733600000,475.46,483.41,471.67,480.56,1781737199999,True
1781737200000,480.57,482.81,476.08,477.06,1781740799999,True
1781740800000,477.07,483.48,476.53,479.79,1781744399999,True
1781744400000,479.79,485.78,479.67,484.46,1781747999999,True
1781748000000,484.46,489.21,483.03,483.64,1781751599999,True
1781751600000,483.64,483.97,475.13,475.83,1781755199999,True
1781755200000,475.84,476.64,462.12,466.92,1781758799999,True
1781758800000,466.91,467.15,455.16,463.52,1781762399999,True
1781762400000,463.51,468.0,462.97,463.63,1781765999999,True
1781766000000,463.63,470.5,463.25,469.16,1781769599999,True
1781769600000,469.16,473.53,467.9,470.25,1781773199999,True
1781773200000,470.25,474.32,468.48,470.46,1781776799999,True
1781776800000,470.47,473.47,467.87,470.14,1781780399999,True
1781780400000,470.12,472.47,467.18,470.06,1781783999999,True
1781784000000,470.06,476.75,468.58,474.81,1781787599999,True
1781787600000,474.81,475.49,468.01,470.21,1781791199999,True
1781791200000,470.21,476.78,469.13,471.62,1781794799999,True
1781794800000,471.62,471.86,443.29,447.08,1781798399999,True
1781798400000,447.05,454.43,440.27,448.48,1781801999999,True
1781802000000,448.49,450.28,443.16,444.67,1781805599999,True
1781805600000,444.67,446.95,441.36,444.77,1781809199999,True
1781809200000,444.77,451.95,444.12,450.32,1781812799999,True
1781812800000,450.34,457.18,450.28,455.53,1781816399999,True
1781816400000,455.53,455.83,449.3,453.97,1781819999999,True
1781820000000,453.97,459.4,452.66,457.43,1781823599999,True
1781823600000,457.44,458.68,454.61,455.74,1781827199999,True
1781827200000,455.76,455.77,451.82,452.38,1781830799999,True
1781830800000,452.38,456.4,449.69,451.77,1781834399999,True
1781834400000,451.77,453.96,449.38,451.83,1781837999999,True
1781838000000,451.83,452.86,437.82,447.65,1781841599999,True
1781841600000,447.66,451.1,440.72,442.06,1781845199999,True
1781845200000,442.07,450.93,441.66,450.6,1781848799999,True
1781848800000,450.59,452.62,447.57,450.76,1781852399999,True
1781852400000,450.75,451.28,443.68,445.58,1781855999999,True
1781856000000,445.59,454.91,445.43,452.39,1781859599999,True
1781859600000,452.39,453.44,448.0,449.68,1781863199999,True
1781863200000,449.68,450.71,445.19,449.22,1781866799999,True
1781866800000,449.2,449.84,444.8,445.93,1781870399999,True
1781870400000,445.94,457.62,444.21,456.77,1781873999999,True
1781874000000,456.76,462.07,446.0,453.47,1781877599999,True
1781877600000,453.44,455.49,451.16,453.61,1781881199999,True
1781881200000,453.61,454.8,451.32,454.04,1781884799999,True
1781884800000,454.04,459.13,445.66,446.55,1781888399999,True
1781888400000,446.56,457.47,444.51,456.73,1781891999999,True
1781892000000,456.72,458.0,452.33,453.69,1781895599999,True
1781895600000,453.68,455.18,447.57,451.27,1781899199999,True
1781899200000,451.27,454.44,446.73,452.98,1781902799999,True
1781902800000,452.98,453.77,448.19,451.54,1781906399999,True
1781906400000,451.54,466.99,451.19,465.98,1781909999999,True
1781910000000,465.98,479.37,462.56,476.32,1781913599999,True
1781913600000,476.32,477.85,470.05,472.16,1781917199999,True
1781917200000,472.17,473.78,466.32,470.63,1781920799999,True
1781920800000,470.63,471.3,466.43,467.97,1781924399999,True
1781924400000,467.98,471.65,465.22,466.32,1781927999999,True
1781928000000,466.32,471.78,465.6,470.74,1781931599999,True
1781931600000,470.74,476.38,467.83,469.7,1781935199999,True
1781935200000,469.69,472.46,466.66,470.37,1781938799999,True
1781938800000,470.38,470.91,467.82,468.34,1781942399999,True
1781942400000,468.33,471.83,466.86,468.68,1781945999999,True
1781946000000,468.69,474.55,468.56,471.73,1781949599999,True
1781949600000,471.74,474.69,470.64,470.83,1781953199999,True
1781953200000,470.84,472.0,468.21,469.3,1781956799999,True
1781956800000,469.31,475.2,468.57,472.72,1781960399999,True
1781960400000,472.72,474.27,462.21,467.0,1781963999999,True
1781964000000,467.0,474.73,460.5,473.29,1781967599999,True
1781967600000,473.29,486.85,471.92,475.21,1781971199999,True
1781971200000,475.21,476.99,471.4,473.42,1781974799999,True
1781974800000,473.41,473.43,464.0,468.49,1781978399999,True
1781978400000,468.49,471.34,466.05,467.75,1781981999999,True
1781982000000,467.75,468.55,463.35,465.67,1781985599999,True
1781985600000,465.67,471.0,465.34,470.85,1781989199999,True
1781989200000,470.86,474.23,469.33,470.84,1781992799999,True
1781992800000,470.84,476.56,467.75,475.1,1781996399999,True
1781996400000,475.09,476.43,470.5,470.5,1781999999999,True
1782000000000,470.51,470.84,468.34,469.83,1782003599999,True
1782003600000,469.83,471.55,468.33,468.86,1782007199999,True
1782007200000,468.84,471.0,466.19,466.51,1782010799999,True
1782010800000,466.51,472.31,465.57,470.71,1782014399999,True
1782014400000,470.71,471.9,466.13,466.51,1782017999999,True
1782018000000,466.52,468.0,463.5,466.37,1782021599999,True
1782021600000,466.38,468.87,464.92,467.76,1782025199999,True
1782025200000,467.75,469.08,464.4,465.87,1782028799999,True
1782028800000,465.87,466.0,445.0,454.72,1782032399999,True
1782032400000,454.72,458.57,452.32,456.86,1782035999999,True
1782036000000,456.87,461.32,456.31,457.74,1782039599999,True
1782039600000,457.73,458.66,448.8,453.31,1782043199999,True
1782043200000,453.3,454.16,447.1,451.41,1782046799999,True
1782046800000,451.42,453.24,449.53,452.77,1782050399999,True
1782050400000,452.78,453.56,448.58,453.55,1782053999999,True
1782054000000,453.56,455.65,453.12,453.42,1782057599999,True
1782057600000,453.42,453.42,446.4,450.01,1782061199999,True
1782061200000,450.02,452.37,448.69,449.2,1782064799999,True
1782064800000,449.2,453.24,446.51,452.26,1782068399999,True
1782068400000,452.26,454.2,451.18,451.4,1782071999999,True
1782072000000,451.4,452.5,443.24,446.33,1782075599999,True
1782075600000,446.34,449.48,443.11,445.07,1782079199999,True
1782079200000,445.07,447.1,443.5,445.63,1782082799999,True
1782082800000,445.63,445.63,432.1,434.25,1782086399999,True
1782086400000,434.25,443.0,433.65,441.57,1782089999999,True
1782090000000,441.57,451.88,441.31,447.69,1782093599999,True
1782093600000,447.69,448.51,444.17,444.5,1782097199999,True
1782097200000,444.51,445.96,440.2,440.38,1782100799999,True
1782100800000,440.38,444.72,439.5,443.69,1782104399999,True
1782104400000,443.69,445.85,442.58,444.25,1782107999999,True
1782108000000,444.25,448.74,444.24,447.31,1782111599999,True
1782111600000,447.32,454.48,447.13,451.19,1782115199999,True
1782115200000,451.18,453.96,449.64,452.51,1782118799999,True
1782118800000,452.51,456.0,451.39,452.13,1782122399999,True
1782122400000,452.13,454.57,451.37,453.56,1782125999999,True
1782126000000,453.56,458.57,451.61,455.84,1782129599999,True
1782129600000,455.85,463.41,454.7,459.86,1782133199999,True
1782133200000,459.86,465.58,458.16,461.9,1782136799999,True
1782136800000,461.92,462.21,452.0,452.85,1782140399999,True
1782140400000,452.86,456.02,448.01,449.7,1782143999999,True
1782144000000,449.71,454.48,448.0,453.2,1782147599999,True
1782147600000,453.2,454.38,449.4,451.83,1782151199999,True
1782151200000,451.83,455.65,449.15,450.08,1782154799999,True
1782154800000,450.09,451.54,444.0,448.8,1782158399999,True
1782158400000,448.82,452.68,447.62,452.64,1782161999999,True
1782162000000,452.64,453.3,442.44,445.47,1782165599999,True
1782165600000,445.47,446.66,440.1,443.0,1782169199999,True
1782169200000,442.99,444.4,441.1,442.06,1782172799999,True
1782172800000,442.06,444.54,437.77,443.78,1782176399999,True
1782176400000,443.77,444.58,438.25,441.51,1782179999999,True
1782180000000,441.51,446.83,440.9,445.53,1782183599999,True
1782183600000,445.53,448.5,443.55,447.24,1782187199999,True
1782187200000,447.24,447.88,442.6,443.2,1782190799999,True
1782190800000,443.2,444.52,437.21,438.84,1782194399999,True
1782194400000,438.84,438.92,418.21,425.13,1782197999999,True
1782198000000,425.13,428.76,423.92,424.84,1782201599999,True
1782201600000,424.83,426.35,415.18,421.94,1782205199999,True
1782205200000,421.95,424.38,421.24,423.69,1782208799999,True
1782208800000,423.7,425.56,419.12,421.81,1782212399999,True
1782212400000,421.8,426.46,421.68,424.57,1782215999999,True
1782216000000,424.56,426.25,419.98,421.44,1782219599999,True
1782219600000,421.44,424.86,416.3,422.29,1782223199999,True
1782223200000,422.29,427.49,421.04,421.96,1782226799999,True
1782226800000,421.97,422.44,415.56,417.47,1782230399999,True
1782230400000,417.47,423.0,415.5,416.06,1782233999999,True
1782234000000,416.05,418.55,410.29,412.9,1782237599999,True
1782237600000,412.9,415.17,411.12,413.07,1782241199999,True
1782241200000,413.07,417.74,412.72,416.88,1782244799999,True
1782244800000,416.9,419.2,415.47,416.65,1782248399999,True
1782248400000,416.66,418.76,415.27,417.58,1782251999999,True
1782252000000,417.59,421.25,416.59,417.6,1782255599999,True
1782255600000,417.59,417.63,412.36,415.87,1782259199999,True
1782259200000,415.87,420.86,415.01,419.41,1782262799999,True
1782262800000,419.41,422.99,416.18,418.85,1782266399999,True
1782266400000,418.84,419.18,412.45,412.95,1782269999999,True
1782270000000,412.95,415.21,405.9,411.65,1782273599999,True
1782273600000,411.66,415.28,408.06,413.9,1782277199999,True
1782277200000,413.9,420.65,413.62,418.35,1782280799999,True
1782280800000,418.35,418.59,415.3,416.66,1782284399999,True
1782284400000,416.66,417.25,412.8,413.55,1782287999999,True
1782288000000,413.55,416.32,413.1,415.54,1782291599999,True
1782291600000,415.54,415.64,412.19,414.04,1782295199999,True
1782295200000,414.03,415.19,410.74,412.0,1782298799999,True
1782298800000,411.99,423.0,409.84,421.44,1782302399999,True
1782302400000,421.44,422.49,416.57,416.99,1782305999999,True
1782306000000,416.98,418.39,407.24,409.85,1782309599999,True
1782309600000,409.85,421.0,408.0,417.84,1782313199999,True
1782313200000,417.85,417.89,398.21,406.17,1782316799999,True
1782316800000,406.16,407.71,396.09,398.7,1782320399999,True
1782320400000,398.69,402.52,387.25,391.67,1782323999999,True
1782324000000,391.66,410.49,390.93,404.71,1782327599999,True
1782327600000,404.72,406.65,401.73,404.43,1782331199999,True
1782331200000,404.43,415.21,403.23,410.95,1782334799999,True
1782334800000,410.96,418.67,407.57,416.06,1782338399999,True
1782338400000,416.05,418.88,411.4,412.52,1782341999999,True
1782342000000,412.53,417.9,412.0,416.66,1782345599999,True
1782345600000,416.67,417.8,411.75,413.05,1782349199999,True
1782349200000,413.06,416.0,411.55,414.96,1782352799999,True
1782352800000,414.95,415.13,411.18,412.61,1782356399999,True
1782356400000,412.61,413.58,409.2,411.35,1782359999999,True
1782360000000,411.36,414.18,407.83,413.47,1782363599999,True
1782363600000,413.47,421.05,413.08,415.79,1782367199999,True
1782367200000,415.8,418.34,414.54,415.74,1782370799999,True
1782370800000,415.74,420.75,415.22,418.52,1782374399999,True
1782374400000,418.52,419.6,415.18,415.79,1782377999999,True
1782378000000,415.8,417.07,415.18,416.17,1782381599999,True
1782381600000,416.18,416.64,411.62,412.22,1782385199999,True
1782385200000,412.23,415.19,410.41,413.49,1782388799999,True
1782388800000,413.49,417.62,409.0,412.66,1782392399999,True
1782392400000,412.67,415.69,386.01,387.9,1782395999999,True
1782396000000,387.95,405.67,387.95,397.65,1782399599999,True
1782399600000,397.66,401.17,392.29,401.12,1782403199999,True
1782403200000,401.13,407.65,396.77,398.35,1782406799999,True
1782406800000,398.33,402.58,396.51,400.03,1782410399999,True
1782410400000,400.01,400.72,393.32,397.47,1782413999999,True
1782414000000,397.47,397.62,393.51,396.93,1782417599999,True
1782417600000,396.93,405.49,396.9,399.85,1782421199999,True
1782421200000,399.85,417.3,399.82,414.48,1782424799999,True
1782424800000,414.48,418.44,410.57,416.55,1782428399999,True
1782428400000,416.54,421.3,414.47,416.6,1782431999999,True
1782432000000,416.61,418.28,412.26,414.02,1782435599999,True
1782435600000,414.02,417.04,408.97,411.63,1782439199999,True
1782439200000,411.64,411.95,400.88,402.75,1782442799999,True
1782442800000,402.76,420.88,398.39,419.09,1782446399999,True
1782446400000,419.1,419.95,409.72,410.45,1782449999999,True
1782450000000,410.46,412.61,407.83,410.16,1782453599999,True
1782453600000,410.17,415.68,405.75,413.7,1782457199999,True
1782457200000,413.69,415.73,412.1,413.54,1782460799999,True
1782460800000,413.53,413.99,405.56,406.11,1782464399999,True
1782464400000,406.11,406.19,399.3,401.14,1782467999999,True
1782468000000,401.15,401.94,394.61,397.25,1782471599999,True
1782471600000,397.24,399.35,394.37,396.19,1782475199999,True
1782475200000,396.18,402.51,393.52,396.54,1782478799999,True
1782478800000,396.55,408.98,392.1,408.39,1782482399999,True
1782482400000,408.38,409.48,402.81,404.36,1782485999999,True
1782486000000,404.37,414.97,403.76,409.92,1782489599999,True
1782489600000,409.93,429.25,409.93,417.0,1782493199999,True
1782493200000,417.01,422.4,415.36,416.97,1782496799999,True
1782496800000,416.98,418.77,411.36,412.46,1782500399999,True
1782500400000,412.45,420.03,411.69,415.67,1782503999999,True
1782504000000,415.62,424.69,415.58,421.37,1782507599999,True
1782507600000,421.36,425.51,418.2,421.43,1782511199999,True
1782511200000,421.43,423.71,418.75,420.46,1782514799999,True
1782514800000,420.46,422.08,417.29,419.06,1782518399999,True
1782518400000,419.06,422.49,417.43,420.64,1782521999999,True
1782522000000,420.64,421.16,416.61,417.15,1782525599999,True
1782525600000,417.14,420.0,416.82,416.85,1782529199999,True
1782529200000,416.88,417.92,412.46,413.75,1782532799999,True
1782532800000,413.75,417.98,413.34,414.01,1782536399999,True
1782536400000,414.01,415.46,411.58,413.8,1782539999999,True
1782540000000,413.78,413.91,407.78,409.58,1782543599999,True
1782543600000,409.59,411.72,408.35,411.15,1782547199999,True
1782547200000,411.15,411.52,408.0,408.5,1782550799999,True
1782550800000,408.5,409.51,405.2,407.46,1782554399999,True
1782554400000,407.46,410.64,407.29,408.43,1782557999999,True
1782558000000,408.43,409.66,405.66,408.37,1782561599999,True
1782561600000,408.36,409.14,406.32,408.25,1782565199999,True
1782565200000,408.26,412.32,407.38,410.04,1782568799999,True
1782568800000,410.04,411.4,407.57,408.95,1782572399999,True
1782572400000,408.96,414.76,408.24,411.38,1782575999999,True
1782576000000,411.37,412.78,409.61,410.96,1782579599999,True
1782579600000,410.96,411.01,403.42,405.01,1782583199999,True
