open_time,open,high,low,close,close_time,is_closed
1720742400000,6.04,6.15,5.9,6.1,1720828799999,True
1720828800000,6.11,6.41,6.1,6.35,1720915199999,True
1720915200000,6.34,6.71,6.33,6.63,1721001599999,True
1721001600000,6.63,7.0,6.61,6.98,1721087999999,True
1721088000000,6.98,7.17,6.6,7.07,1721174399999,True
1721174400000,7.05,7.38,7.05,7.05,1721260799999,True
1721260800000,7.06,7.15,6.83,7.0,1721347199999,True
1721347200000,7.0,7.5,6.84,7.45,1721433599999,True
1721433600000,7.46,7.49,7.26,7.36,1721519999999,True
1721520000000,7.36,7.56,7.07,7.49,1721606399999,True
1721606400000,7.48,7.66,7.15,7.22,1721692799999,True
1721692800000,7.21,7.36,6.92,7.15,1721779199999,True
1721779200000,7.15,7.2,6.77,6.81,1721865599999,True
1721865600000,6.82,6.84,6.42,6.62,1721951999999,True
1721952000000,6.62,6.99,6.6,6.98,1722038399999,True
1722038400000,6.99,7.36,6.97,7.14,1722124799999,True
1722124800000,7.14,7.14,6.79,6.84,1722211199999,True
1722211200000,6.85,7.1,6.72,6.75,1722297599999,True
1722297600000,6.76,6.89,6.5,6.6,1722383999999,True
1722384000000,6.6,6.7,6.38,6.42,1722470399999,True
1722470400000,6.42,6.47,6.04,6.41,1722556799999,True
1722556800000,6.41,6.45,5.9,6.01,1722643199999,True
1722643200000,6.0,6.03,5.45,5.58,1722729599999,True
1722729600000,5.58,5.63,5.11,5.34,1722815999999,True
1722816000000,5.34,5.39,4.32,4.98,1722902399999,True
1722902400000,4.98,5.32,4.97,5.13,1722988799999,True
1722988800000,5.14,5.33,4.94,5.09,1723075199999,True
1723075200000,5.09,5.77,4.99,5.77,1723161599999,True
1723161600000,5.76,5.89,5.62,5.75,1723247999999,True
1723248000000,5.75,6.39,5.68,6.27,1723334399999,True
1723334400000,6.27,6.29,5.73,5.73,1723420799999,True
1723420800000,5.72,6.85,5.72,6.44,1723507199999,True
1723507200000,6.44,6.94,6.15,6.8,1723593599999,True
1723593600000,6.79,6.97,6.58,6.69,1723679999999,True
1723680000000,6.69,6.76,6.1,6.22,1723766399999,True
1723766400000,6.23,6.51,5.78,5.92,1723852799999,True
1723852800000,5.91,5.98,5.79,5.83,1723939199999,True
1723939200000,5.82,5.99,5.77,5.79,1724025599999,True
1724025600000,5.78,6.06,5.72,6.04,1724111999999,True
1724112000000,6.05,6.46,5.95,6.05,1724198399999,True
1724198400000,6.06,6.38,6.01,6.35,1724284799999,True
1724284800000,6.36,6.51,6.24,6.51,1724371199999,True
1724371200000,6.5,7.21,6.49,7.09,1724457599999,True
1724457600000,7.09,7.4,7.04,7.15,1724543999999,True
1724544000000,7.16,7.48,6.82,7.34,1724630399999,True
1724630400000,7.33,7.38,6.95,7.02,1724716799999,True
1724716800000,7.02,7.57,6.71,6.83,1724803199999,True
1724803200000,6.83,7.29,6.49,6.74,1724889599999,True
1724889600000,6.74,7.28,6.6,6.8,1724975999999,True
1724976000000,6.79,7.04,6.37,6.71,1725062399999,True
1725062400000,6.71,6.8,6.38,6.49,1725148799999,True
1725148800000,6.48,6.52,6.09,6.17,1725235199999,True
1725235200000,6.16,6.46,6.11,6.35,1725321599999,True
1725321600000,6.36,6.48,6.06,6.13,1725407999999,True
1725408000000,6.13,6.33,5.83,6.12,1725494399999,True
1725494400000,6.12,6.15,5.67,5.78,1725580799999,True
1725580800000,5.78,5.92,5.48,5.7,1725667199999,True
1725667200000,5.71,5.97,5.7,5.86,1725753599999,True
1725753600000,5.85,6.11,5.8,6.04,1725839999999,True
1725840000000,6.03,6.42,6.02,6.3,1725926399999,True
1725926400000,6.3,6.34,6.1,6.28,1726012799999,True
1726012800000,6.28,6.31,5.96,6.09,1726099199999,True
1726099200000,6.09,6.24,6.04,6.18,1726185599999,True
1726185600000,6.18,6.35,6.09,6.3,1726271999999,True
1726272000000,6.3,6.36,5.98,6.06,1726358399999,True
1726358400000,6.07,6.17,5.82,5.88,1726444799999,True
1726444800000,5.87,5.89,5.66,5.75,1726531199999,True
1726531200000,5.75,6.01,5.68,5.94,1726617599999,True
1726617600000,5.94,6.23,5.7,6.22,1726703999999,True
1726704000000,6.23,6.96,6.23,6.81,1726790399999,True
1726790400000,6.81,7.45,6.7,7.31,1726876799999,True
1726876800000,7.3,8.39,7.19,8.25,1726963199999,True
1726963200000,8.25,8.25,7.74,7.96,1727049599999,True
1727049600000,7.97,8.12,7.67,7.95,1727135999999,True
1727136000000,7.95,8.39,7.69,8.15,1727222399999,True
1727222400000,8.15,8.49,7.93,8.02,1727308799999,True
1727308800000,8.02,8.64,7.86,8.07,1727395199999,True
1727395200000,8.07,8.59,8.03,8.51,1727481599999,True
1727481600000,8.5,8.55,7.92,8.07,1727567999999,True
1727568000000,8.07,8.29,7.75,8.07,1727654399999,True
1727654400000,8.08,8.12,7.57,7.67,1727740799999,True
1727740800000,7.67,8.38,7.23,7.55,1727827199999,True
1727827200000,7.55,7.99,7.47,7.79,1727913599999,True
1727913600000,7.79,8.74,7.62,8.56,1727999999999,True
1728000000000,8.56,9.32,8.19,9.1,1728086399999,True
1728086400000,9.1,9.22,8.59,8.61,1728172799999,True
1728172800000,8.6,9.0,8.48,8.71,1728259199999,True
1728259200000,8.7,9.33,8.43,8.68,1728345599999,True
1728345600000,8.68,9.56,8.67,9.34,1728431999999,True
1728432000000,9.33,9.45,8.51,8.57,1728518399999,True
1728518400000,8.56,8.56,7.86,8.11,1728604799999,True
1728604800000,8.1,8.6,7.95,8.52,1728691199999,True
1728691200000,8.52,9.96,8.41,9.93,1728777599999,True
1728777600000,9.92,10.4231,9.63,10.19,1728863999999,True
1728864000000,10.2,10.46,9.89,10.17,1728950399999,True
1728950400000,10.18,10.74,9.95,10.47,1729036799999,True
1729036800000,10.47,10.48,9.69,10.03,1729123199999,True
1729123200000,10.03,10.29,9.73,9.93,1729209599999,True
1729209600000,9.93,10.19,9.76,10.02,1729295999999,True
1729296000000,10.02,10.03,9.61,9.71,1729382399999,True
1729382400000,9.72,10.2,9.69,10.0,1729468799999,True
1729468800000,9.99,10.31,9.81,10.09,1729555199999,True
1729555200000,10.09,11.24,10.01,10.4,1729641599999,True
1729641600000,10.4,10.64,9.64,9.93,1729727999999,True
1729728000000,9.93,10.43,9.81,10.19,1729814399999,True
1729814400000,10.19,10.24,8.46,8.95,1729900799999,True
1729900800000,8.95,9.33,8.7,9.31,1729987199999,True
1729987200000,9.31,9.39,9.07,9.2,1730073599999,True
1730073600000,9.2,9.31,8.71,9.21,1730159999999,True
1730160000000,9.21,10.2,9.2,10.04,1730246399999,True
1730246400000,10.04,10.22,9.66,9.8,1730332799999,True
1730332800000,9.8,9.81,9.08,9.1,1730419199999,True
1730419200000,9.09,9.31,8.67,8.94,1730505599999,True
1730505600000,8.93,8.97,8.54,8.63,1730591999999,True
1730592000000,8.64,8.66,7.85,8.19,1730678399999,True
1730678400000,8.2,8.36,7.74,8.06,1730764799999,True
1730764800000,8.06,8.65,8.04,8.46,1730851199999,True
1730851200000,8.47,9.73,8.46,9.57,1730937599999,True
1730937600000,9.56,9.97,9.43,9.82,1731023999999,True
1731024000000,9.83,10.1,9.42,9.72,1731110399999,True
1731110400000,9.72,10.6,9.55,10.44,1731196799999,True
1731196800000,10.44,11.524,10.19,10.9,1731283199999,True
1731283200000,10.91,14.11,10.5,13.72,1731369599999,True
1731369600000,13.72,13.75,11.51,12.36,1731455999999,True
1731456000000,12.37,12.98,11.2,11.72,1731542399999,True
1731542400000,11.72,12.34,11.0,11.24,1731628799999,True
1731628800000,11.24,12.22,11.01,11.88,1731715199999,True
1731715200000,11.87,12.76,11.73,12.31,1731801599999,True
1731801600000,12.3,12.71,11.51,11.79,1731887999999,True
1731888000000,11.79,12.27,11.54,12.05,1731974399999,True
1731974400000,12.05,12.34,11.42,11.81,1732060799999,True
1732060800000,11.81,13.46,11.11,11.78,1732147199999,True
1732147200000,11.78,12.35,11.21,12.07,1732233599999,True
1732233600000,12.07,12.51,11.61,12.48,1732319999999,True
1732320000000,12.48,13.23,12.29,12.74,1732406399999,True
1732406400000,12.74,13.37,11.55,12.52,1732492799999,True
1732492800000,12.52,12.84,11.67,11.82,1732579199999,True
1732579200000,11.82,12.12,10.93,12.0,1732665599999,True
1732665600000,12.0,12.74,11.74,12.65,1732751999999,True
1732752000000,12.66,13.06,12.24,12.77,1732838399999,True
1732838400000,12.78,13.35,12.55,13.28,1732924799999,True
1732924800000,13.28,13.67,12.84,13.39,1733011199999,True
1733011200000,13.39,13.92,12.89,13.44,1733097599999,True
1733097600000,13.44,13.8,12.31,13.73,1733183999999,True
1733184000000,13.73,14.75,13.0,14.51,1733270399999,True
1733270400000,14.51,14.87,13.62,14.14,1733356799999,True
1733356800000,14.14,14.43,13.03,13.63,1733443199999,True
1733443200000,13.62,14.77,13.45,14.67,1733529599999,True
