open_time,open,high,low,close,close_time,is_closed
1679529600000,0.5,1.6,0.5,1.3217,1679615999999,True
1679616000000,1.3218,1.5675,1.1717,1.2727,1679702399999,True
1679702400000,1.2726,1.315,1.18,1.2178,1679788799999,True
1679788800000,1.2179,1.3499,1.2021,1.2818,1679875199999,True
1679875200000,1.2818,1.3259,1.116,1.1657,1679961599999,True
1679961600000,1.1658,1.224,1.11,1.2204,1680047999999,True
1680048000000,1.2202,1.2767,1.1957,1.2257,1680134399999,True
1680134400000,1.2257,1.43,1.2234,1.3796,1680220799999,True
1680220800000,1.3795,1.445,1.3274,1.3897,1680307199999,True
1680307200000,1.3897,1.4028,1.26,1.2931,1680393599999,True
1680393600000,1.293,1.2985,1.1329,1.2016,1680479999999,True
1680480000000,1.2017,1.2279,1.1,1.153,1680566399999,True
1680566400000,1.1527,1.2687,1.1479,1.2345,1680652799999,True
1680652800000,1.2345,1.2905,1.2046,1.2425,1680739199999,True
1680739200000,1.2419,1.2444,1.18,1.2149,1680825599999,True
1680825600000,1.2151,1.2469,1.1813,1.197,1680911999999,True
1680912000000,1.1969,1.21,1.1523,1.1618,1680998399999,True
1680998400000,1.1618,1.2,1.1431,1.1815,1681084799999,True
1681084800000,1.1815,1.2539,1.1625,1.2423,1681171199999,True
1681171200000,1.2423,1.259,1.2032,1.2164,1681257599999,True
1681257600000,1.2162,1.2193,1.1528,1.1934,1681343999999,True
1681344000000,1.1935,1.377,1.1777,1.369,1681430399999,True
1681430400000,1.3689,1.745,1.368,1.6985,1681516799999,True
1681516800000,1.6982,1.744,1.595,1.6531,1681603199999,True
1681603200000,1.6531,1.7228,1.572,1.6957,1681689599999,True
1681689600000,1.6957,1.6993,1.5819,1.6091,1681775999999,True
1681776000000,1.6093,1.82,1.582,1.6731,1681862399999,True
1681862400000,1.6726,1.6966,1.4543,1.4888,1681948799999,True
1681948800000,1.4886,1.545,1.4036,1.442,1682035199999,True
1682035200000,1.4419,1.5036,1.41,1.4719,1682121599999,True
1682121600000,1.4717,1.5003,1.42,1.4652,1682207999999,True
1682208000000,1.4652,1.4652,1.3,1.3405,1682294399999,True
1682294400000,1.3405,1.3689,1.28,1.3385,1682380799999,True
1682380800000,1.3382,1.3873,1.2933,1.3794,1682467199999,True
