open_time,open,high,low,close,close_time,is_closed
1720742400000,2.158,2.19,2.132,2.176,1720828799999,True
1720828800000,2.175,2.25,2.169,2.227,1720915199999,True
1720915200000,2.227,2.327,2.209,2.266,1721001599999,True
1721001600000,2.267,2.29,2.202,2.288,1721087999999,True
1721088000000,2.286,2.298,2.182,2.237,1721174399999,True
1721174400000,2.237,2.286,2.193,2.227,1721260799999,True
1721260800000,2.231,2.259,2.166,2.21,1721347199999,True
1721347200000,2.209,2.25,2.09,2.197,1721433599999,True
1721433600000,2.199,2.25,2.191,2.226,1721519999999,True
1721520000000,2.229,2.294,2.195,2.239,1721606399999,True
1721606400000,2.238,2.246,2.176,2.19,1721692799999,True
1721692800000,2.191,2.221,2.125,2.144,1721779199999,True
1721779200000,2.145,2.186,2.087,2.099,1721865599999,True
1721865600000,2.099,2.178,2.03,2.121,1721951999999,True
1721952000000,2.12,2.18,2.112,2.169,1722038399999,True
1722038400000,2.169,2.18,2.126,2.169,1722124799999,True
1722124800000,2.168,2.222,2.138,2.162,1722211199999,True
1722211200000,2.164,2.203,2.14,2.185,1722297599999,True
1722297600000,2.184,2.26,2.131,2.131,1722383999999,True
1722384000000,2.132,2.157,2.09,2.101,1722470399999,True
1722470400000,2.101,2.132,2.002,2.122,1722556799999,True
1722556800000,2.124,2.134,1.98,1.991,1722643199999,True
1722643200000,1.994,2.043,1.874,1.906,1722729599999,True
1722729600000,1.906,1.958,1.804,1.832,1722815999999,True
1722816000000,1.832,1.841,1.562,1.714,1722902399999,True
1722902400000,1.71,1.816,1.708,1.804,1722988799999,True
1722988800000,1.803,1.837,1.751,1.768,1723075199999,True
1723075200000,1.768,1.929,1.754,1.927,1723161599999,True
1723161600000,1.927,1.955,1.89,1.937,1723247999999,True
1723248000000,1.937,1.957,1.908,1.913,1723334399999,True
1723334400000,1.913,1.928,1.845,1.877,1723420799999,True
1723420800000,1.877,1.93,1.85,1.891,1723507199999,True
1723507200000,1.893,1.92,1.857,1.899,1723593599999,True
1723593600000,1.898,1.906,1.85,1.87,1723679999999,True
1723680000000,1.87,1.882,1.731,1.761,1723766399999,True
1723766400000,1.761,1.792,1.731,1.768,1723852799999,True
1723852800000,1.768,1.827,1.757,1.815,1723939199999,True
1723939200000,1.815,1.877,1.67,1.839,1724025599999,True
1724025600000,1.839,1.913,1.82,1.912,1724111999999,True
1724112000000,1.911,1.973,1.891,1.961,1724198399999,True
1724198400000,1.961,2.041,1.949,2.034,1724284799999,True
1724284800000,2.031,2.056,1.993,2.003,1724371199999,True
1724371200000,2.005,2.122,1.99,2.115,1724457599999,True
1724457600000,2.114,2.146,2.048,2.087,1724543999999,True
1724544000000,2.085,2.086,2.005,2.054,1724630399999,True
1724630400000,2.051,2.1,1.927,1.928,1724716799999,True
