open_time,open,high,low,close,close_time,is_closed
1600732800000,0.85,7.0,0.85,5.3193,1600819199999,True
1600819200000,5.3279,5.36,3.4,3.535,1600905599999,True
1600905600000,3.5305,4.8873,3.4033,4.6411,1600991999999,True
1600992000000,4.6366,5.0234,4.2001,4.7134,1601078399999,True
1601078400000,4.7164,4.82,4.3294,4.52,1601164799999,True
1601164800000,4.5214,4.7134,4.1068,4.6484,1601251199999,True
1601251200000,4.6485,4.705,4.1667,4.2021,1601337599999,True
1601337600000,4.1999,4.2899,3.9607,4.1394,1601423999999,True
1601424000000,4.1429,4.411,3.9958,4.3293,1601510399999,True
1601510400000,4.3293,4.53,4.014,4.15,1601596799999,True
1601596800000,4.1422,4.2198,3.6332,3.9115,1601683199999,True
1601683200000,3.9156,4.19,3.8696,4.0168,1601769599999,True
1601769600000,4.0202,4.0798,3.8334,3.964,1601855999999,True
1601856000000,3.9582,4.0456,3.87,3.9813,1601942399999,True
1601942400000,3.9949,4.0,3.5,3.5424,1602028799999,True
1602028800000,3.5401,3.5462,3.207,3.442,1602115199999,True
1602115200000,3.4409,3.9599,3.3228,3.9147,1602201599999,True
1602201600000,3.9147,4.3252,3.8034,4.2491,1602287999999,True
1602288000000,4.2427,4.2693,4.0001,4.023,1602374399999,True
1602374400000,4.0205,4.1762,3.9333,4.096,1602460799999,True
1602460800000,4.0841,4.71,4.054,4.41,1602547199999,True
1602547200000,4.4099,4.5636,4.3203,4.4806,1602633599999,True
1602633600000,4.4808,4.4848,4.0125,4.1596,1602719999999,True
1602720000000,4.15,4.2312,3.9985,4.1269,1602806399999,True
1602806400000,4.1266,4.1582,3.8755,4.0433,1602892799999,True
1602892800000,4.0462,4.21,3.9673,4.1946,1602979199999,True
1602979200000,4.1874,4.2461,4.0701,4.1195,1603065599999,True
1603065600000,4.1371,4.1748,3.9926,4.05,1603151999999,True
1603152000000,4.0568,4.0908,3.6925,3.804,1603238399999,True
1603238400000,3.8007,4.103,3.7918,3.9585,1603324799999,True
1603324800000,3.9574,4.4904,3.9511,4.3385,1603411199999,True
1603411200000,4.3406,4.4872,4.1354,4.2568,1603497599999,True
1603497600000,4.2539,4.362,4.14,4.1821,1603583999999,True
1603584000000,4.1803,4.2526,4.1,4.1479,1603670399999,True
1603670400000,4.1409,4.4897,4.0141,4.148,1603756799999,True
1603756800000,4.1454,4.35,4.0343,4.1217,1603843199999,True
1603843200000,4.1214,4.1792,3.9308,4.0596,1603929599999,True
1603929600000,4.0607,4.1051,3.7296,3.7758,1604015999999,True
1604016000000,3.7744,3.8226,3.5781,3.7224,1604102399999,True
1604102400000,3.7116,3.7612,3.5876,3.6456,1604188799999,True
1604188800000,3.6355,3.7142,3.5521,3.6814,1604275199999,True
1604275200000,3.6851,3.8775,3.6145,3.617,1604361599999,True
1604361600000,3.6174,3.6513,3.2368,3.323,1604447999999,True
1604448000000,3.3299,3.3759,3.0,3.1718,1604534399999,True
1604534400000,3.1736,3.3841,3.0211,3.3348,1604620799999,True
1604620800000,3.335,3.6666,3.3194,3.5913,1604707199999,True
1604707200000,3.594,3.9193,3.37,3.4126,1604793599999,True
1604793600000,3.4093,3.67,3.3613,3.4754,1604879999999,True
1604880000000,3.4674,3.5399,3.2619,3.4125,1604966399999,True
1604966400000,3.421,3.63,3.369,3.5713,1605052799999,True
1605052800000,3.5775,3.82,3.46,3.4842,1605139199999,True
1605139200000,3.4918,3.5691,3.32,3.4243,1605225599999,True
1605225600000,3.4268,3.7018,3.3911,3.6745,1605311999999,True
1605312000000,3.6779,3.7042,3.396,3.4894,1605398399999,True
1605398400000,3.484,3.6415,3.4101,3.5453,1605484799999,True
1605484800000,3.5348,3.82,3.455,3.7,1605571199999,True
