open_time,open,high,low,close,close_time,is_closed
1762992000000,0.077,0.0895,0.0491,0.0543,1763078399999,True
1763078400000,0.0543,0.0569,0.0475,0.0495,1763164799999,True
1763164800000,0.0495,0.0589,0.0492,0.0561,1763251199999,True
1763251200000,0.0561,0.0608,0.0521,0.0567,1763337599999,True
1763337600000,0.0567,0.058,0.0508,0.0525,1763423999999,True
1763424000000,0.0524,0.0551,0.0499,0.0507,1763510399999,True
1763510400000,0.0506,0.0524,0.0468,0.0492,1763596799999,True
1763596800000,0.0491,0.0499,0.0418,0.0438,1763683199999,True
1763683200000,0.0438,0.0521,0.0421,0.0444,1763769599999,True
1763769600000,0.0443,0.0453,0.0403,0.0426,1763855999999,True
1763856000000,0.0425,0.0459,0.0414,0.0444,1763942399999,True
1763942400000,0.0444,0.0464,0.0436,0.0445,1764028799999,True
1764028800000,0.0446,0.0465,0.0423,0.0442,1764115199999,True
1764115200000,0.0441,0.0488,0.0427,0.0468,1764201599999,True
1764201600000,0.0468,0.0526,0.046,0.0463,1764287999999,True
1764288000000,0.0463,0.0475,0.0441,0.0465,1764374399999,True
1764374400000,0.0465,0.0475,0.0442,0.0448,1764460799999,True
1764460800000,0.0449,0.0458,0.0429,0.043,1764547199999,True
1764547200000,0.043,0.0478,0.0401,0.0444,1764633599999,True
1764633600000,0.0443,0.0456,0.0423,0.0437,1764719999999,True
1764720000000,0.0437,0.047,0.0427,0.0461,1764806399999,True
1764806400000,0.0461,0.048,0.0451,0.0468,1764892799999,True
1764892800000,0.0468,0.0487,0.0435,0.0452,1764979199999,True
1764979200000,0.0451,0.0456,0.0435,0.0453,1765065599999,True
1765065600000,0.0454,0.0474,0.0437,0.0444,1765151999999,True
1765152000000,0.0444,0.0462,0.0439,0.0443,1765238399999,True
1765238400000,0.0443,0.0446,0.0417,0.0429,1765324799999,True
1765324800000,0.0429,0.0429,0.0401,0.0405,1765411199999,True
1765411200000,0.0405,0.0429,0.0396,0.0408,1765497599999,True
1765497600000,0.0408,0.0441,0.0386,0.0421,1765583999999,True
1765584000000,0.0421,0.0425,0.0395,0.0397,1765670399999,True
1765670400000,0.0396,0.0409,0.0381,0.0394,1765756799999,True
1765756800000,0.0394,0.0418,0.036,0.0379,1765843199999,True
1765843200000,0.0379,0.0381,0.0361,0.0363,1765929599999,True
1765929600000,0.0362,0.0369,0.0343,0.0346,1766015999999,True
1766016000000,0.0347,0.0392,0.0335,0.0353,1766102399999,True
1766102400000,0.0353,0.0373,0.0349,0.0369,1766188799999,True
1766188800000,0.0369,0.0388,0.0365,0.0376,1766275199999,True
1766275200000,0.0376,0.0474,0.0371,0.0422,1766361599999,True
1766361600000,0.0422,0.0477,0.0417,0.0462,1766447999999,True
1766448000000,0.0462,0.0511,0.0454,0.0478,1766534399999,True
1766534400000,0.0479,0.0485,0.0425,0.043,1766620799999,True
1766620800000,0.043,0.0449,0.0416,0.043,1766707199999,True
1766707200000,0.043,0.0579,0.0427,0.049,1766793599999,True
1766793600000,0.0489,0.0555,0.0485,0.0539,1766879999999,True
1766880000000,0.054,0.0572,0.0497,0.0536,1766966399999,True
1766966400000,0.0536,0.0543,0.0481,0.0489,1767052799999,True
1767052800000,0.0489,0.0492,0.0449,0.0455,1767139199999,True
1767139200000,0.0454,0.0484,0.0442,0.0444,1767225599999,True
1767225600000,0.0444,0.0459,0.0442,0.0447,1767311999999,True
1767312000000,0.0446,0.0447,0.0425,0.0438,1767398399999,True
1767398400000,0.0438,0.0479,0.0432,0.0458,1767484799999,True
1767484800000,0.0458,0.0474,0.0445,0.0449,1767571199999,True
1767571200000,0.0449,0.0452,0.0436,0.0444,1767657599999,True
1767657600000,0.0445,0.0485,0.0443,0.0479,1767743999999,True
1767744000000,0.0479,0.0484,0.0452,0.0456,1767830399999,True
1767830400000,0.0456,0.0461,0.0423,0.0448,1767916799999,True
1767916800000,0.0447,0.0472,0.0446,0.0458,1768003199999,True
1768003200000,0.0457,0.048,0.0453,0.0467,1768089599999,True
1768089600000,0.0468,0.0473,0.0446,0.0448,1768175999999,True
1768176000000,0.0448,0.049,0.0448,0.0471,1768262399999,True
1768262400000,0.0471,0.0475,0.0443,0.0454,1768348799999,True
1768348800000,0.0454,0.0505,0.0452,0.0479,1768435199999,True
1768435200000,0.048,0.0505,0.0456,0.0484,1768521599999,True
1768521600000,0.0484,0.054,0.0476,0.0502,1768607999999,True
1768608000000,0.0501,0.0513,0.0488,0.049,1768694399999,True
1768694400000,0.049,0.052,0.0483,0.0499,1768780799999,True
1768780800000,0.05,0.0545,0.0451,0.0509,1768867199999,True
1768867200000,0.051,0.0548,0.0489,0.0494,1768953599999,True
1768953600000,0.0495,0.0541,0.0493,0.053,1769039999999,True
1769040000000,0.0529,0.0542,0.0511,0.0514,1769126399999,True
1769126400000,0.0515,0.0561,0.0504,0.0551,1769212799999,True
1769212800000,0.0551,0.0586,0.05,0.0506,1769299199999,True
1769299200000,0.0507,0.0538,0.0467,0.0526,1769385599999,True
1769385600000,0.0527,0.0567,0.0506,0.0531,1769471999999,True
1769472000000,0.0529,0.0533,0.0501,0.0512,1769558399999,True
1769558400000,0.0513,0.0525,0.0496,0.0502,1769644799999,True
1769644800000,0.0502,0.0548,0.05,0.0516,1769731199999,True
1769731200000,0.0516,0.0539,0.0502,0.0532,1769817599999,True
1769817600000,0.0533,0.0535,0.0448,0.0473,1769903999999,True
1769904000000,0.0472,0.0497,0.0434,0.0444,1769990399999,True
1769990400000,0.0444,0.0456,0.0406,0.0414,1770076799999,True
1770076800000,0.0413,0.0415,0.0355,0.0358,1770163199999,True
1770163200000,0.0359,0.0371,0.033,0.0368,1770249599999,True
1770249600000,0.0369,0.0387,0.0332,0.0339,1770335999999,True
1770336000000,0.0339,0.0342,0.031,0.0328,1770422399999,True
1770422400000,0.0328,0.0334,0.0309,0.0318,1770508799999,True
1770508800000,0.0318,0.0323,0.0299,0.0307,1770595199999,True
1770595200000,0.0308,0.0314,0.0284,0.0301,1770681599999,True
1770681600000,0.0302,0.0312,0.0284,0.0309,1770767999999,True
1770768000000,0.0309,0.0309,0.0279,0.0306,1770854399999,True
1770854400000,0.0306,0.0342,0.0306,0.0333,1770940799999,True
1770940800000,0.0333,0.0439,0.0326,0.041,1771027199999,True
1771027200000,0.041,0.0454,0.0402,0.0403,1771113599999,True
1771113600000,0.0403,0.0438,0.0395,0.041,1771199999999,True
1771200000000,0.0411,0.042,0.0399,0.0411,1771286399999,True
1771286400000,0.041,0.0415,0.0371,0.0412,1771372799999,True
1771372800000,0.0412,0.0437,0.0393,0.0407,1771459199999,True
